"","2015-12-11_to_2017-12-12_GrowthPortfolio_12QRank","2016-01-11_to_2018-01-12_GrowthPortfolio_12QRank","2016-02-11_to_2018-02-12_GrowthPortfolio_12QRank","2016-03-11_to_2018-03-12_GrowthPortfolio_12QRank","2016-04-11_to_2018-04-12_GrowthPortfolio_12QRank","2016-05-11_to_2018-05-12_GrowthPortfolio_12QRank","2016-06-13_to_2018-06-12_GrowthPortfolio_12QRank","2016-07-11_to_2018-07-12_GrowthPortfolio_12QRank","2016-08-11_to_2018-08-12_GrowthPortfolio_12QRank","2016-09-12_to_2018-09-12_GrowthPortfolio_12QRank","2016-10-11_to_2018-10-12_GrowthPortfolio_12QRank","2016-11-11_to_2018-11-12_GrowthPortfolio_12QRank","2016-12-12_to_2018-12-12_GrowthPortfolio_12QRank","2017-01-11_to_2019-01-12_GrowthPortfolio_12QRank","2017-02-13_to_2019-02-12_GrowthPortfolio_12QRank","2017-03-13_to_2019-03-12_GrowthPortfolio_12QRank","2017-04-11_to_2019-04-12_GrowthPortfolio_12QRank","2017-05-11_to_2019-05-12_GrowthPortfolio_12QRank","2017-06-12_to_2019-06-12_GrowthPortfolio_12QRank","2017-07-11_to_2019-07-12_GrowthPortfolio_12QRank","2017-08-11_to_2019-08-12_GrowthPortfolio_12QRank","2017-09-11_to_2019-09-12_GrowthPortfolio_12QRank","2017-10-11_to_2019-10-12_GrowthPortfolio_12QRank","2017-11-13_to_2019-11-12_GrowthPortfolio_12QRank","2017-12-11_to_2019-12-12_GrowthPortfolio_12QRank","2018-01-11_to_2020-01-12_GrowthPortfolio_12QRank","2018-02-12_to_2020-02-12_GrowthPortfolio_12QRank","2018-03-12_to_2020-03-12_GrowthPortfolio_12QRank","2018-04-11_to_2020-04-12_GrowthPortfolio_12QRank","2018-05-11_to_2020-05-12_GrowthPortfolio_12QRank","2018-06-11_to_2020-06-12_GrowthPortfolio_12QRank","2018-07-11_to_2020-07-12_GrowthPortfolio_12QRank","2018-08-13_to_2020-08-12_GrowthPortfolio_12QRank","2018-09-11_to_2020-09-12_GrowthPortfolio_12QRank","2018-10-11_to_2020-10-12_GrowthPortfolio_12QRank","2018-11-12_to_2020-11-12_GrowthPortfolio_12QRank","2018-12-11_to_2020-12-12_GrowthPortfolio_12QRank","2019-01-11_to_2021-01-12_GrowthPortfolio_12QRank","2019-02-11_to_2021-02-12_GrowthPortfolio_12QRank","2019-03-11_to_2021-03-12_GrowthPortfolio_12QRank","2019-04-11_to_2021-04-12_GrowthPortfolio_12QRank","2019-05-13_to_2021-05-12_GrowthPortfolio_12QRank","2019-06-11_to_2021-06-12_GrowthPortfolio_12QRank","2019-07-11_to_2021-07-12_GrowthPortfolio_12QRank","2019-08-12_to_2021-08-12_GrowthPortfolio_12QRank","2019-09-11_to_2021-09-12_GrowthPortfolio_12QRank"
"P Information Ratio","1.84","2.17","2.59","2.44","2.22","2.34","2.55","2.34","2.15","2.09","1.98","1.29","1.12","1.23","1","1.01","1.14","1.09","0.88","1.45","1.43","1.13","0.83","1.05","1.1","1.14","0.64","0.34","0.51","0.31","0.42","0.92","1.43","1.8","3","2.8","1.62","1.61","2.38","1.14","1.47","1.11","1.56","1.63","1.33","1.79"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.8","1.22","1.15","1.09","1.36","1.12","1.33","1.24","1.37","1.2","1.15","0.66","0.44","0.52","0.54","0.47","0.55","0.46","0.46","0.64","0.62","0.76","0.37","0.58","0.62","0.33","0.01","0.34","0.23","0.04","0.23","0.46","0.57","0.68","1.01","1.26","1.02","0.73","1.31","0.57","0.52","0.5","0.63","0.6","0.58","0.87"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","1.17","0.94","1.21","1.23","1.19","1.21","1.17","1.18","1.02","1.02","1.03","1.27","1.27","1.1","1.24","1.25","1.23","1.15","1.17","1.19","1.17","1.14","1.11","1.1","1.11","1.07","1.15","1.02","1.05","1.06","1.05","1.09","1.1","1.07","1","0.93","0.89","0.94","1.31","0.98","1","1.01","0.97","1.02","1.02","0.93"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","59.11","32.22","39.29","45.57","47.94","53.76","52.94","52.29","40.55","43.8","44.32","67.66","66.56","71","79.74","79.32","76.12","77.89","85.44","83.83","85.79","82.66","81.73","83.8","83.71","87.28","88.27","87.52","91.38","93.73","93.03","94.33","94.03","94.5","94.58","91.41","88.87","92.21","87.79","91.33","92.42","90.66","90.44","92.64","89.3","88.08"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-17.3888","-10.4699","-9.7256","-9.5442","-9.7983","-9.719","-9.6883","-9.7753","-9.5311","-9.5116","-9.8566","-15.2162","-17.3804","-24.9942","-26.652","-26.7553","-26.1292","-24.4703","-23.8434","-25.3323","-24.8923","-24.7589","-23.8688","-23.3372","-23.6332","-22.9983","-23.5305","-27.8089","-32.3624","-32.9894","-32.1983","-32.3933","-31.715","-32.2075","-31.5125","-29.4103","-30.6358","-30.5902","-35.1947","-31.6951","-31.8563","-31.9708","-30.8808","-32.3508","-32.2254","-30.0604"
"B Max Drawdown","-10.5262","-5.1204","-10.3384","-10.3384","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-26.0386","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312"
"MD DIFF(P-B)","-6.8626","-5.3495","0.6128","0.7942","1.3745","1.4538","1.4845","1.3975","1.6417","1.6612","1.3162","-4.0434","-6.2076","-5.0349","-6.6927","-6.796","-6.1699","-4.511","-3.8841","-5.373","-4.933","-4.7996","-3.9095","-3.3779","-3.6739","-3.039","-3.5712","-1.7703","-0.831200000000003","-1.45820000000001","-0.667100000000005","-0.862100000000005","-0.183800000000002","-0.676300000000005","0.0186999999999991","2.1209","0.895399999999999","0.940999999999999","-3.6635","-0.163900000000002","-0.325100000000003","-0.439600000000002","0.650399999999998","-0.819600000000001","-0.694200000000002","1.4708"
