"","1 Y 2014-06-11 to 2015-06-12","1 Y 2014-07-11 to 2015-07-12","1 Y 2014-08-11 to 2015-08-12","1 Y 2014-09-11 to 2015-09-12","1 Y 2014-10-13 to 2015-10-12","1 Y 2014-11-11 to 2015-11-12","1 Y 2014-12-11 to 2015-12-12","1 Y 2015-01-12 to 2016-01-12","1 Y 2015-02-11 to 2016-02-12","1 Y 2015-03-11 to 2016-03-12","1 Y 2015-04-13 to 2016-04-12","1 Y 2015-05-11 to 2016-05-12","1 Y 2015-06-11 to 2016-06-12","1 Y 2015-07-13 to 2016-07-12","1 Y 2015-08-11 to 2016-08-12","1 Y 2015-09-11 to 2016-09-12","1 Y 2015-10-12 to 2016-10-12","1 Y 2015-11-11 to 2016-11-12","1 Y 2015-12-11 to 2016-12-12","1 Y 2016-01-11 to 2017-01-12","1 Y 2016-02-11 to 2017-02-12","1 Y 2016-03-11 to 2017-03-12","1 Y 2016-04-11 to 2017-04-12","1 Y 2016-05-11 to 2017-05-12","1 Y 2016-06-13 to 2017-06-12","1 Y 2016-07-11 to 2017-07-12","1 Y 2016-08-11 to 2017-08-12","1 Y 2016-09-12 to 2017-09-12","1 Y 2016-10-11 to 2017-10-12","1 Y 2016-11-11 to 2017-11-12","1 Y 2016-12-12 to 2017-12-12","1 Y 2017-01-11 to 2018-01-12","1 Y 2017-02-13 to 2018-02-12","1 Y 2017-03-13 to 2018-03-12","1 Y 2017-04-11 to 2018-04-12","1 Y 2017-05-11 to 2018-05-12","1 Y 2017-06-12 to 2018-06-12","1 Y 2017-07-11 to 2018-07-12","1 Y 2017-08-11 to 2018-08-12","1 Y 2017-09-11 to 2018-09-12","1 Y 2017-10-11 to 2018-10-12","1 Y 2017-11-13 to 2018-11-12","1 Y 2017-12-11 to 2018-12-12","1 Y 2018-01-11 to 2019-01-12","1 Y 2018-02-12 to 2019-02-12","1 Y 2018-03-12 to 2019-03-12","1 Y 2018-04-11 to 2019-04-12","1 Y 2018-05-11 to 2019-05-12","1 Y 2018-06-11 to 2019-06-12","1 Y 2018-07-11 to 2019-07-12","1 Y 2018-08-13 to 2019-08-12","1 Y 2018-09-11 to 2019-09-12","1 Y 2018-10-11 to 2019-10-12","1 Y 2018-11-12 to 2019-11-12","1 Y 2018-12-11 to 2019-12-12","1 Y 2019-01-11 to 2020-01-12","1 Y 2019-02-11 to 2020-02-12","1 Y 2019-03-11 to 2020-03-12","1 Y 2019-04-11 to 2020-04-12","1 Y 2019-05-13 to 2020-05-12","1 Y 2019-06-11 to 2020-06-12","1 Y 2019-07-11 to 2020-07-12","1 Y 2019-08-12 to 2020-08-12","1 Y 2019-09-11 to 2020-09-12","1 Y 2019-10-11 to 2020-10-12","1 Y 2019-11-11 to 2020-11-12","1 Y 2019-12-11 to 2020-12-12","1 Y 2020-01-13 to 2021-01-12","1 Y 2020-02-11 to 2021-02-12","1 Y 2020-03-11 to 2021-03-12","1 Y 2020-04-13 to 2021-04-12","1 Y 2020-05-11 to 2021-05-12","1 Y 2020-06-11 to 2021-06-12","1 Y 2020-07-13 to 2021-07-12","1 Y 2020-08-11 to 2021-08-12","1 Y 2020-09-11 to 2021-09-12"
"P Alpha Stat","0.3","0.65","0.36","0.22","0.36","0.44","0.69","0.5","0.22","0.3","0.23","0.2","0.25","0.15","0.76","0.15","0.6","0.31","0.37","0.29","0.53","0.35","0.35","0.37","0.72","0.66","0.7","0.35","0.52","0.8","0.9","0.34","-0.03","0.05","0.32","0.24","0.41","0.14","0.04","-0.13","-0.13","0.07","0.07","-0.12","0.17","0.1","-0.11","-0.35","-0.31","0.04","0.09","0.08","-0.29","-0.2","-0.63","-0.34","-0.56","-0.24","-0.4","-0.12","0.28","0.4","0.53","0.5","0.7","-0.09","0.07","0.59","-0.21","1.21","1.39","0.87","1.08","1.27","0.74","0.43"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","0.9","0.87","0.83","1.03","0.9","0.77","0.8","0.87","0.86","0.82","0.81","0.77","0.8","0.83","0.78","0.81","0.88","0.9","0.95","1","1.03","1.17","1.22","1.22","1.12","1.06","1.11","1.14","1.05","0.87","0.78","0.91","1.14","1.09","1","0.95","0.97","0.99","0.86","1","0.95","0.92","0.96","0.93","0.97","0.95","0.97","0.92","0.95","1.06","1.01","1.04","1.06","1.1","1.16","0.95","1.01","0.88","1.13","1.09","1.12","1.08","1.11","1.15","1.11","1.05","1.11","1.15","1.19","1.01","1.07","1.07","0.97","0.89","1.05","1.09"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","76.31","76.02","73.99","82.52","68.74","72.4","74.26","75.42","79.38","76.95","81.55","78.26","78.27","81.93","84.32","93.24","91.52","86.79","88.74","80.17","68.98","67.72","61.65","66.54","63.25","44.6","48.17","51.37","44.49","41.57","36.57","51.02","73.64","85.38","87.32","83.53","85.7","88.55","89.01","89.97","85.6","91.21","91.69","91.41","94.22","96.61","95.21","95.16","95.53","95.87","92.81","90.62","90.43","89.33","84.16","76.22","74.59","81.99","89.63","90.72","86.98","87.35","88.18","91.84","92.36","90.7","90.21","92.01","90.75","81.36","65.41","67.26","69.65","58.01","52.83","41.03"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-7.3558","-7.2996","-7.3495","-12.2264","-12.7339","-11.6633","-12.1174","-12.616","-13.5622","-13.0247","-13.0503","-12.3821","-12.9737","-14.0122","-13.5741","-14.4694","-13.2134","-12.4638","-13.0776","-6.5054","-5.4338","-5.0841","-5.2331","-5.316","-4.309","-3.7149","-3.7487","-3.1699","-3.0857","-2.2135","-2.427","-2.5245","-9.6243","-9.3312","-10.1413","-9.7034","-10.094","-9.7486","-9.1301","-9.8366","-9.7144","-9.8468","-11.3926","-19.1375","-19.341","-18.3882","-18.8981","-19.0635","-18.8018","-19.7786","-19.0056","-20.0349","-16.7065","-14.4045","-11.1442","-7.1626","-7.4262","-26.6827","-31.7879","-31.2724","-30.8899","-30.6417","-31.0706","-31.4958","-30.8428","-30.5159","-30.6511","-30.4808","-30.8412","-13.7177","-8.5588","-8.8044","-8.4387","-8.4641","-8.6774","-6.4707"
"B Max Drawdown","-7.4469","-7.4469","-7.4469","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-11.8362","-11.8362","-11.8362","-11.4136","-10.5262","-5.1204","-5.1204","-5.1205","-5.1204","-5.1205","-4.8468","-4.3548","-4.3548","-3.7967","-2.9402","-2.9033","-2.9033","-2.9033","-9.7411","-9.7411","-10.5811","-10.5811","-10.5811","-10.5811","-10.5811","-10.5811","-10.5811","-10.5811","-10.5811","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-16.7416","-15.8126","-11.4984","-7.6691","-7.6691","-18.5281","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-16.0505","-10.5021","-10.5021","-10.5021","-10.502","-10.5021","-7.8111"
"MD DIFF(P-B)","0.0911","0.1473","0.0974000000000004","1.1015","0.593999999999999","1.6646","1.2105","0.7119","-0.234300000000001","0.3032","0.2776","0.9458","0.354200000000001","-0.6843","-1.7379","-2.6332","-1.3772","-1.0502","-2.5514","-1.385","-0.3134","0.0363999999999995","-0.1127","-0.1955","0.5378","0.6399","0.6061","0.6268","-0.1455","0.6898","0.4763","0.3788","0.1168","0.409899999999999","0.4398","0.877699999999999","0.4871","0.8325","1.451","0.744499999999999","0.8667","0.734299999999999","-0.811500000000001","0.8218","0.618299999999998","1.5711","1.0612","0.895799999999998","1.1575","0.180699999999998","0.953699999999998","-0.0756000000000014","0.0350999999999999","1.4081","0.354200000000001","0.5065","0.242900000000001","-8.1546","-0.256700000000002","0.258799999999997","0.641299999999998","0.889499999999998","0.460599999999999","0.0353999999999992","0.688399999999998","1.0153","0.880099999999999","1.0504","0.689999999999998","2.3328","1.9433","1.6977","2.0634","2.0379","1.8247","1.3404"
