"","2013-03-12_to_2015-03-13_GrowthPortfolio_1QRank","2013-04-12_to_2015-04-13_GrowthPortfolio_1QRank","2013-05-13_to_2015-05-13_GrowthPortfolio_1QRank","2013-06-12_to_2015-06-13_GrowthPortfolio_1QRank","2013-07-12_to_2015-07-13_GrowthPortfolio_1QRank","2013-08-12_to_2015-08-13_GrowthPortfolio_1QRank","2013-09-12_to_2015-09-13_GrowthPortfolio_1QRank","2013-10-14_to_2015-10-13_GrowthPortfolio_1QRank","2013-11-12_to_2015-11-13_GrowthPortfolio_1QRank","2013-12-12_to_2015-12-13_GrowthPortfolio_1QRank","2014-01-13_to_2016-01-13_GrowthPortfolio_1QRank","2014-02-12_to_2016-02-13_GrowthPortfolio_1QRank","2014-03-12_to_2016-03-13_GrowthPortfolio_1QRank","2014-04-14_to_2016-04-13_GrowthPortfolio_1QRank","2014-05-12_to_2016-05-13_GrowthPortfolio_1QRank","2014-06-12_to_2016-06-13_GrowthPortfolio_1QRank","2014-07-14_to_2016-07-13_GrowthPortfolio_1QRank","2014-08-12_to_2016-08-13_GrowthPortfolio_1QRank","2014-09-12_to_2016-09-13_GrowthPortfolio_1QRank","2014-10-13_to_2016-10-13_GrowthPortfolio_1QRank","2014-11-12_to_2016-11-13_GrowthPortfolio_1QRank","2014-12-12_to_2016-12-13_GrowthPortfolio_1QRank","2015-01-12_to_2017-01-13_GrowthPortfolio_1QRank","2015-02-12_to_2017-02-13_GrowthPortfolio_1QRank","2015-03-12_to_2017-03-13_GrowthPortfolio_1QRank","2015-04-13_to_2017-04-13_GrowthPortfolio_1QRank","2015-05-12_to_2017-05-13_GrowthPortfolio_1QRank","2015-06-12_to_2017-06-13_GrowthPortfolio_1QRank","2015-07-13_to_2017-07-13_GrowthPortfolio_1QRank","2015-08-12_to_2017-08-13_GrowthPortfolio_1QRank","2015-09-14_to_2017-09-13_GrowthPortfolio_1QRank","2015-10-12_to_2017-10-13_GrowthPortfolio_1QRank","2015-11-12_to_2017-11-13_GrowthPortfolio_1QRank","2015-12-14_to_2017-12-13_GrowthPortfolio_1QRank","2016-01-12_to_2018-01-13_GrowthPortfolio_1QRank","2016-02-12_to_2018-02-13_GrowthPortfolio_1QRank","2016-03-14_to_2018-03-13_GrowthPortfolio_1QRank","2016-04-12_to_2018-04-13_GrowthPortfolio_1QRank","2016-05-12_to_2018-05-13_GrowthPortfolio_1QRank","2016-06-13_to_2018-06-13_GrowthPortfolio_1QRank","2016-07-12_to_2018-07-13_GrowthPortfolio_1QRank","2016-08-12_to_2018-08-13_GrowthPortfolio_1QRank","2016-09-12_to_2018-09-13_GrowthPortfolio_1QRank","2016-10-12_to_2018-10-13_GrowthPortfolio_1QRank","2016-11-14_to_2018-11-13_GrowthPortfolio_1QRank","2016-12-12_to_2018-12-13_GrowthPortfolio_1QRank","2017-01-12_to_2019-01-13_GrowthPortfolio_1QRank","2017-02-13_to_2019-02-13_GrowthPortfolio_1QRank","2017-03-13_to_2019-03-13_GrowthPortfolio_1QRank","2017-04-12_to_2019-04-13_GrowthPortfolio_1QRank","2017-05-12_to_2019-05-13_GrowthPortfolio_1QRank","2017-06-12_to_2019-06-13_GrowthPortfolio_1QRank","2017-07-12_to_2019-07-13_GrowthPortfolio_1QRank","2017-08-14_to_2019-08-13_GrowthPortfolio_1QRank","2017-09-12_to_2019-09-13_GrowthPortfolio_1QRank","2017-10-12_to_2019-10-13_GrowthPortfolio_1QRank","2017-11-13_to_2019-11-13_GrowthPortfolio_1QRank","2017-12-12_to_2019-12-13_GrowthPortfolio_1QRank","2018-01-12_to_2020-01-13_GrowthPortfolio_1QRank","2018-02-12_to_2020-02-13_GrowthPortfolio_1QRank","2018-03-12_to_2020-03-13_GrowthPortfolio_1QRank","2018-04-12_to_2020-04-13_GrowthPortfolio_1QRank","2018-05-14_to_2020-05-13_GrowthPortfolio_1QRank","2018-06-12_to_2020-06-13_GrowthPortfolio_1QRank","2018-07-12_to_2020-07-13_GrowthPortfolio_1QRank","2018-08-13_to_2020-08-13_GrowthPortfolio_1QRank","2018-09-12_to_2020-09-13_GrowthPortfolio_1QRank","2018-10-12_to_2020-10-13_GrowthPortfolio_1QRank","2018-11-12_to_2020-11-13_GrowthPortfolio_1QRank","2018-12-12_to_2020-12-13_GrowthPortfolio_1QRank","2019-01-14_to_2021-01-13_GrowthPortfolio_1QRank","2019-02-12_to_2021-02-13_GrowthPortfolio_1QRank","2019-03-12_to_2021-03-13_GrowthPortfolio_1QRank","2019-04-12_to_2021-04-13_GrowthPortfolio_1QRank","2019-05-13_to_2021-05-13_GrowthPortfolio_1QRank","2019-06-12_to_2021-06-13_GrowthPortfolio_1QRank","2019-07-12_to_2021-07-13_GrowthPortfolio_1QRank","2019-08-12_to_2021-08-13_GrowthPortfolio_1QRank","2019-09-12_to_2021-09-13_GrowthPortfolio_1QRank"
"P Information Ratio","1.57","1.56","1.8","1.91","1.17","1.82","1.19","1.65","1.75","1.76","0.94","0.29","0.73","0.72","0.97","0.59","0.62","0.89","0.69","0.32","0.41","0.15","1.51","2.53","1.73","1.98","1.53","1.01","0.44","2.01","2.52","1.98","2.17","1.7","1.75","-1.12","-1.19","2.03","2.91","2.41","1.49","2.1","1.93","1.6","0.41","-0.04","0.45","0.16","1.47","1.06","1.41","1.42","1.21","0.57","0.44","0.36","0.75","0.2","0.34","-0.29","0.16","0.95","1.04","-0.51","0.86","2.24","0.32","0.76","-0.83","0.45","1.67","0.21","-0.01","1.07","0.27","-0.13","-0.66","-1.51","1.85"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.83","1.5","1.36","1.04","0.69","1.21","0.9","1.13","1.16","1.03","0.76","0.23","0.79","0.56","0.48","0.11","0.34","0.32","0.47","0.13","0.14","0.26","0.82","1.12","0.96","1.13","0.56","0.43","0.14","1.29","1.25","0.84","0.96","0.84","1.08","-0.04","-0.47","0.81","1.1","1.06","0.43","0.89","0.52","0.59","-0.07","-0.02","-0.07","0.12","0.84","0.62","0.82","0.49","0.51","0.12","0.44","0.22","0.42","-0.05","0.1","-0.31","0.09","0.35","0.33","-0.09","0.54","1.19","0.34","0.57","-0.33","0.34","0.77","-0.05","-0.01","0.27","0.01","0.03","-0.24","-0.38","1.11"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","1.04","0.71","0.77","0.9","0.94","0.87","0.72","0.93","0.83","0.91","0.77","0.89","0.83","0.74","0.79","0.95","0.99","1.07","0.98","0.89","0.83","0.71","0.94","0.94","0.93","1.02","0.94","1.02","0.96","0.84","0.94","1.01","1.2","1.14","0.86","0.64","0.97","1.15","1.22","0.99","1.16","1.08","1.2","1.19","1.3","1.21","1.21","1.03","1.07","1.01","1.1","1.05","1.16","1.06","1.09","1.01","1.08","1.1","1.11","1.15","1.06","0.99","0.9","0.92","0.96","0.83","0.78","0.82","0.64","0.93","1.05","1","1.07","1.07","1.05","0.99","1.02","0.84","1.41"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","58.99","23.34","42.71","56.13","61.61","44.09","38.48","55.97","58.7","70.07","60.33","59.25","59.55","66.2","79.32","89.54","77.52","85.58","76.73","88.32","78.24","72.68","78.76","79.17","71.75","76.11","81.21","80.35","80.99","63.57","65.29","58.93","60.18","61.42","28.26","19.98","52.83","65.38","64.96","61.41","73.34","61.57","73.94","66.61","80.7","74.84","85.58","77.8","75.93","74.6","74.21","90.99","88.45","91.02","78.2","82.82","83.79","93.82","96.42","91.24","90.59","92.75","92.99","92.19","91.84","88.1","91.11","87.94","80.35","81.74","84.39","92.74","90.18","94.45","93.2","86.97","89.42","89.06","79.1"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-10.4587","-11.573","-9.9012","-9.6331","-10.2751","-10.3713","-12.537","-13.3131","-12.7915","-13.7255","-12.4517","-17.1621","-16.7706","-12.3147","-11.4916","-14.054","-19.3825","-17.5887","-20.5274","-13.8158","-13.8985","-10.7257","-12.9318","-16.54","-18.3263","-18.6043","-18.5885","-19.1837","-18.1728","-14.7792","-14.5712","-15.5707","-15.7504","-13.9535","-7.3865","-9.465","-9.9681","-12.1503","-9.4633","-9.0307","-9.8532","-10.0486","-10.2556","-9.7696","-15.9515","-18.9477","-26.0114","-23.8051","-23.5889","-20.2647","-22.7004","-18.9282","-21.606","-19.7697","-22.1767","-22.0587","-22.5418","-21.6081","-22.9448","-23.7068","-26.6656","-31.221","-28.7354","-30.787","-29.8527","-26.5322","-24.9889","-27.2033","-27.0062","-32.3068","-32.8099","-32.9053","-36.5166","-34.7313","-33.6013","-34.0236","-34.4294","-30.2641","-33.4579"
"B Max Drawdown","-7.5098","-7.5098","-7.5098","-7.5098","-7.5098","-7.5098","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-11.8362","-11.8362","-11.8362","-11.4136","-10.5262","-5.1205","-10.3384","-10.3384","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-26.0386","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312"
"MD DIFF(P-B)","-2.9489","-4.0632","-2.3914","-2.1233","-2.7653","-2.8615","0.790899999999999","0.0147999999999993","0.5364","-0.397600000000001","0.876199999999999","-3.8342","-3.4427","1.0132","1.8363","-0.726100000000001","-6.0546","-4.2608","-7.1995","-0.4879","-0.570600000000001","2.6022","0.396099999999999","-3.2121","-4.9984","-5.2764","-5.2606","-5.8558","-4.8449","-2.943","-2.735","-3.7345","-4.3368","-3.4273","-2.266","0.8734","0.3703","-0.977499999999999","1.7095","2.1421","1.3196","1.1242","0.917200000000001","1.4032","-4.7787","-7.7749","-6.0521","-3.8458","-3.6296","-0.305400000000002","-2.7411","1.0311","-1.6467","0.189599999999999","-2.2174","-2.0994","-2.5825","-1.6488","-2.9855","-3.7475","-0.627000000000002","0.310199999999998","2.7958","0.744199999999999","1.6785","4.999","6.5423","4.3279","4.525","-0.775600000000004","-1.2787","-1.3741","-4.9854","-3.2001","-2.0701","-2.4924","-2.8982","1.2671","-1.9267"
