"","2014-12-11_to_2015-12-12_GrowthPortfolio_8QRank","2015-01-12_to_2016-01-12_GrowthPortfolio_8QRank","2015-02-11_to_2016-02-12_GrowthPortfolio_8QRank","2015-03-11_to_2016-03-12_GrowthPortfolio_8QRank","2015-04-13_to_2016-04-12_GrowthPortfolio_8QRank","2015-05-11_to_2016-05-12_GrowthPortfolio_8QRank","2015-06-11_to_2016-06-12_GrowthPortfolio_8QRank","2015-07-13_to_2016-07-12_GrowthPortfolio_8QRank","2015-08-11_to_2016-08-12_GrowthPortfolio_8QRank","2015-09-11_to_2016-09-12_GrowthPortfolio_8QRank","2015-10-12_to_2016-10-12_GrowthPortfolio_8QRank","2015-11-11_to_2016-11-12_GrowthPortfolio_8QRank","2015-12-11_to_2016-12-12_GrowthPortfolio_8QRank","2016-01-11_to_2017-01-12_GrowthPortfolio_8QRank","2016-02-11_to_2017-02-12_GrowthPortfolio_8QRank","2016-03-11_to_2017-03-12_GrowthPortfolio_8QRank","2016-04-11_to_2017-04-12_GrowthPortfolio_8QRank","2016-05-11_to_2017-05-12_GrowthPortfolio_8QRank","2016-06-13_to_2017-06-12_GrowthPortfolio_8QRank","2016-07-11_to_2017-07-12_GrowthPortfolio_8QRank","2016-08-11_to_2017-08-12_GrowthPortfolio_8QRank","2016-09-12_to_2017-09-12_GrowthPortfolio_8QRank","2016-10-11_to_2017-10-12_GrowthPortfolio_8QRank","2016-11-11_to_2017-11-12_GrowthPortfolio_8QRank","2016-12-12_to_2017-12-12_GrowthPortfolio_8QRank","2017-01-11_to_2018-01-12_GrowthPortfolio_8QRank","2017-02-13_to_2018-02-12_GrowthPortfolio_8QRank","2017-03-13_to_2018-03-12_GrowthPortfolio_8QRank","2017-04-11_to_2018-04-12_GrowthPortfolio_8QRank","2017-05-11_to_2018-05-12_GrowthPortfolio_8QRank","2017-06-12_to_2018-06-12_GrowthPortfolio_8QRank","2017-07-11_to_2018-07-12_GrowthPortfolio_8QRank","2017-08-11_to_2018-08-12_GrowthPortfolio_8QRank","2017-09-11_to_2018-09-12_GrowthPortfolio_8QRank","2017-10-11_to_2018-10-12_GrowthPortfolio_8QRank","2017-11-13_to_2018-11-12_GrowthPortfolio_8QRank","2017-12-11_to_2018-12-12_GrowthPortfolio_8QRank","2018-01-11_to_2019-01-12_GrowthPortfolio_8QRank","2018-02-12_to_2019-02-12_GrowthPortfolio_8QRank","2018-03-12_to_2019-03-12_GrowthPortfolio_8QRank","2018-04-11_to_2019-04-12_GrowthPortfolio_8QRank","2018-05-11_to_2019-05-12_GrowthPortfolio_8QRank","2018-06-11_to_2019-06-12_GrowthPortfolio_8QRank","2018-07-11_to_2019-07-12_GrowthPortfolio_8QRank","2018-08-13_to_2019-08-12_GrowthPortfolio_8QRank","2018-09-11_to_2019-09-12_GrowthPortfolio_8QRank","2018-10-11_to_2019-10-12_GrowthPortfolio_8QRank","2018-11-12_to_2019-11-12_GrowthPortfolio_8QRank","2018-12-11_to_2019-12-12_GrowthPortfolio_8QRank","2019-01-11_to_2020-01-12_GrowthPortfolio_8QRank","2019-02-11_to_2020-02-12_GrowthPortfolio_8QRank","2019-03-11_to_2020-03-12_GrowthPortfolio_8QRank","2019-04-11_to_2020-04-12_GrowthPortfolio_8QRank","2019-05-13_to_2020-05-12_GrowthPortfolio_8QRank","2019-06-11_to_2020-06-12_GrowthPortfolio_8QRank","2019-07-11_to_2020-07-12_GrowthPortfolio_8QRank","2019-08-12_to_2020-08-12_GrowthPortfolio_8QRank","2019-09-11_to_2020-09-12_GrowthPortfolio_8QRank","2019-10-11_to_2020-10-12_GrowthPortfolio_8QRank","2019-11-11_to_2020-11-12_GrowthPortfolio_8QRank","2019-12-11_to_2020-12-12_GrowthPortfolio_8QRank","2020-01-13_to_2021-01-12_GrowthPortfolio_8QRank","2020-02-11_to_2021-02-12_GrowthPortfolio_8QRank","2020-03-11_to_2021-03-12_GrowthPortfolio_8QRank","2020-04-13_to_2021-04-12_GrowthPortfolio_8QRank","2020-05-11_to_2021-05-12_GrowthPortfolio_8QRank","2020-06-11_to_2021-06-12_GrowthPortfolio_8QRank","2020-07-13_to_2021-07-12_GrowthPortfolio_8QRank","2020-08-11_to_2021-08-12_GrowthPortfolio_8QRank","2020-09-11_to_2021-09-12_GrowthPortfolio_8QRank"
"P Information Ratio","1.14","1.82","0.38","0.59","0.82","1.08","0.09","-0.51","1.36","-0.66","1.72","2.65","1.04","3.43","4.13","1.99","2.03","3.8","1.98","1.63","1.95","2.41","2.23","2.11","1.91","1.84","1.8","2.28","2.14","1.75","1.37","2.22","1.12","1.66","0.88","0.63","0.48","0.33","0.2","-0.37","-0.51","0.36","-0.18","-0.05","-0.78","-0.09","0.02","0.79","0.06","-0.24","0.26","0.61","1.12","0.59","0.64","0.98","1.21","2.41","5.63","4.91","2.82","5.59","5.59","1.86","1.58","0.58","0.7","0.96","0.76","0.58"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","1.19","1.2","0.23","0.52","0.8","0.48","0.04","-0.36","0.66","-0.03","0.73","0.56","0.38","0.59","1.15","0.88","1.47","1.04","1.63","1.04","1.82","1.62","2.22","2","1.97","0.97","0.18","0.96","1.11","0.62","0.68","0.9","0.48","1.08","0.4","0.6","0.12","-0.08","-0.16","0.01","-0.45","0.15","0.09","0.07","-0.17","0","0.06","0.49","0.36","0.38","0.4","0.21","0.46","0.12","0.48","0.73","0.75","0.98","1.76","1.59","1.65","2.31","2.26","0.91","0.4","0.42","-0.02","0.63","0.25","0.21"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","0.73","0.75","0.82","0.81","0.9","0.87","0.78","0.75","0.85","0.75","1.01","1.15","1.15","1.02","0.91","0.81","0.74","0.83","0.62","0.75","0.51","0.62","0.28","0.6","0.53","0.72","1.65","1.24","1.19","1.2","1.15","1.2","1.1","1.06","1.16","1.22","1.15","1.07","1.2","1.18","1.26","1.15","1.17","1.19","1.13","1.14","1.06","0.89","0.86","0.72","0.69","0.82","0.81","0.84","0.9","0.89","0.94","0.97","0.94","0.94","0.83","1.05","1.02","1.1","1.23","1.13","1.13","0.94","0.95","0.95"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","67.08","66.64","65.22","65.93","74.11","78.07","76.62","77.16","75.65","85.11","85.04","92.62","92.17","88.72","63.25","40.94","32.5","52.51","21.44","19.55","1.44","8.15","-8.92","-2.42","-2.43","6.8","52.97","51.91","57.73","68.51","66.88","70.87","57.08","59.53","62.42","74.5","90.07","78.52","90.83","88.68","91.82","89.49","93.13","95.51","95.95","95.31","94.19","90.33","84.69","77.62","83.45","90.69","91.99","90.65","88.2","87.57","89.12","95.04","97.13","96.66","93.12","91.99","93.75","82.94","78.39","71.51","76.74","68.83","73.39","64.47"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-13.265","-13.0776","-17.4548","-17.2115","-16.8748","-16.6792","-17.4247","-17.4745","-16.9684","-15.3007","-14.9752","-16.0722","-16.5468","-9.9005","-4.7391","-4.7633","-5.5813","-5.4766","-4.3297","-4.4704","-4.7539","-4.6054","-5.4536","-5.1472","-4.3896","-4.1774","-8.2527","-8.8186","-10.3489","-9.0555","-9.2019","-9.285","-9.3709","-8.7534","-11.0009","-12.3083","-12.5548","-25.1927","-23.7324","-24.2144","-24.7856","-23.4626","-23.5964","-24.7927","-24.2429","-24.1925","-19.8418","-15.8443","-12.5507","-7.0603","-7.0602","-25.9915","-29.3784","-30.6403","-30.4905","-27.2304","-27.3335","-28.0577","-28.8399","-27.44","-25.8384","-27.9519","-27.3376","-14.7594","-13.0027","-14.0165","-12.6173","-13.593","-12.7463","-12.9479"
"B Max Drawdown","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-11.8362","-11.8362","-11.8362","-11.4136","-10.5262","-5.1204","-5.1204","-5.1204","-5.1204","-5.1205","-4.8468","-4.6428","-4.6428","-4.0864","-3.2324","-2.9033","-2.9033","-2.9033","-10.3384","-10.3384","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-16.7416","-15.8126","-11.4984","-7.6691","-7.6691","-26.0386","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-15.9392","-10.5021","-10.5021","-10.5021","-10.502","-10.5021","-7.9326"
"MD DIFF(P-B)","0.0628999999999991","0.250299999999999","-4.1269","-3.8836","-3.5469","-3.3513","-4.0968","-4.1466","-5.1322","-3.4645","-3.139","-4.6586","-6.0206","-4.7801","0.3813","0.3571","-0.4609","-0.356100000000001","0.5171","0.172400000000001","-0.1111","-0.519","-2.2212","-2.2439","-1.4863","-1.2741","2.0857","1.5198","0.8239","2.1173","1.9709","1.8878","1.8019","2.4194","0.171900000000001","-1.1355","-1.382","-5.2334","-3.7731","-4.2551","-4.8263","-3.5033","-3.6371","-4.8334","-4.2836","-4.2332","-3.1002","-0.0317000000000007","-1.0523","0.6088","0.6089","0.0471000000000004","2.1528","0.890899999999998","1.0407","4.3008","4.1977","3.4735","2.6913","4.0912","5.6928","3.5793","4.1936","1.1798","-2.5006","-3.5144","-2.1152","-3.091","-2.2442","-5.0153"
