"","2013-09-11_to_2015-09-12_CorePortfolio_3QRank","2013-10-11_to_2015-10-12_CorePortfolio_3QRank","2013-11-11_to_2015-11-12_CorePortfolio_3QRank","2013-12-11_to_2015-12-12_CorePortfolio_3QRank","2014-01-13_to_2016-01-12_CorePortfolio_3QRank","2014-02-11_to_2016-02-12_CorePortfolio_3QRank","2014-03-11_to_2016-03-12_CorePortfolio_3QRank","2014-04-11_to_2016-04-12_CorePortfolio_3QRank","2014-05-12_to_2016-05-12_CorePortfolio_3QRank","2014-06-11_to_2016-06-12_CorePortfolio_3QRank","2014-07-11_to_2016-07-12_CorePortfolio_3QRank","2014-08-11_to_2016-08-12_CorePortfolio_3QRank","2014-09-11_to_2016-09-12_CorePortfolio_3QRank","2014-10-13_to_2016-10-12_CorePortfolio_3QRank","2014-11-11_to_2016-11-12_CorePortfolio_3QRank","2014-12-11_to_2016-12-12_CorePortfolio_3QRank","2015-01-12_to_2017-01-12_CorePortfolio_3QRank","2015-02-11_to_2017-02-12_CorePortfolio_3QRank","2015-03-11_to_2017-03-12_CorePortfolio_3QRank","2015-04-13_to_2017-04-12_CorePortfolio_3QRank","2015-05-11_to_2017-05-12_CorePortfolio_3QRank","2015-06-11_to_2017-06-12_CorePortfolio_3QRank","2015-07-13_to_2017-07-12_CorePortfolio_3QRank","2015-08-11_to_2017-08-12_CorePortfolio_3QRank","2015-09-11_to_2017-09-12_CorePortfolio_3QRank","2015-10-12_to_2017-10-12_CorePortfolio_3QRank","2015-11-11_to_2017-11-12_CorePortfolio_3QRank","2015-12-11_to_2017-12-12_CorePortfolio_3QRank","2016-01-11_to_2018-01-12_CorePortfolio_3QRank","2016-02-11_to_2018-02-12_CorePortfolio_3QRank","2016-03-11_to_2018-03-12_CorePortfolio_3QRank","2016-04-11_to_2018-04-12_CorePortfolio_3QRank","2016-05-11_to_2018-05-12_CorePortfolio_3QRank","2016-06-13_to_2018-06-12_CorePortfolio_3QRank","2016-07-11_to_2018-07-12_CorePortfolio_3QRank","2016-08-11_to_2018-08-12_CorePortfolio_3QRank","2016-09-12_to_2018-09-12_CorePortfolio_3QRank","2016-10-11_to_2018-10-12_CorePortfolio_3QRank","2016-11-11_to_2018-11-12_CorePortfolio_3QRank","2016-12-12_to_2018-12-12_CorePortfolio_3QRank","2017-01-11_to_2019-01-12_CorePortfolio_3QRank","2017-02-13_to_2019-02-12_CorePortfolio_3QRank","2017-03-13_to_2019-03-12_CorePortfolio_3QRank","2017-04-11_to_2019-04-12_CorePortfolio_3QRank","2017-05-11_to_2019-05-12_CorePortfolio_3QRank","2017-06-12_to_2019-06-12_CorePortfolio_3QRank","2017-07-11_to_2019-07-12_CorePortfolio_3QRank","2017-08-11_to_2019-08-12_CorePortfolio_3QRank","2017-09-11_to_2019-09-12_CorePortfolio_3QRank","2017-10-11_to_2019-10-12_CorePortfolio_3QRank","2017-11-13_to_2019-11-12_CorePortfolio_3QRank","2017-12-11_to_2019-12-12_CorePortfolio_3QRank","2018-01-11_to_2020-01-12_CorePortfolio_3QRank","2018-02-12_to_2020-02-12_CorePortfolio_3QRank","2018-03-12_to_2020-03-12_CorePortfolio_3QRank","2018-04-11_to_2020-04-12_CorePortfolio_3QRank","2018-05-11_to_2020-05-12_CorePortfolio_3QRank","2018-06-11_to_2020-06-12_CorePortfolio_3QRank","2018-07-11_to_2020-07-12_CorePortfolio_3QRank","2018-08-13_to_2020-08-12_CorePortfolio_3QRank","2018-09-11_to_2020-09-12_CorePortfolio_3QRank","2018-10-11_to_2020-10-12_CorePortfolio_3QRank","2018-11-12_to_2020-11-12_CorePortfolio_3QRank","2018-12-11_to_2020-12-12_CorePortfolio_3QRank","2019-01-11_to_2021-01-12_CorePortfolio_3QRank","2019-02-11_to_2021-02-12_CorePortfolio_3QRank","2019-03-11_to_2021-03-12_CorePortfolio_3QRank","2019-04-11_to_2021-04-12_CorePortfolio_3QRank","2019-05-13_to_2021-05-12_CorePortfolio_3QRank","2019-06-11_to_2021-06-12_CorePortfolio_3QRank","2019-07-11_to_2021-07-12_CorePortfolio_3QRank","2019-08-12_to_2021-08-12_CorePortfolio_3QRank","2019-09-11_to_2021-09-12_CorePortfolio_3QRank"
"P Information Ratio","1.68","1.1","1.04","0.46","1.1","0.19","0.37","0.56","0.52","1.45","1.37","1.83","0.79","1.56","1.91","1.1","1.16","1.62","2.02","1.99","1.99","2.35","2.1","1.3","-0.34","0.3","0.38","0.83","0.03","1.01","1.25","0.12","-0.03","0.51","0.67","0.15","-0.37","-0.16","0.44","1.35","1.44","1.41","1.37","1.12","0.56","0.71","0.63","-0.18","-0.24","-0.48","-0.56","-0.27","-0.97","-1.44","-0.49","-1.31","-1.42","-1.36","-1.44","-0.83","-1.18","-0.92","-0.63","-0.24","-0.99","1.05","-1.43","-0.88","-0.53","-0.69","0.61","-0.65","-0.47"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.38","0.25","0.32","0.2","0.26","0.07","0.14","0.18","0.18","0.36","0.34","0.4","0.31","0.41","0.35","0.38","0.35","0.39","0.55","0.52","0.45","0.55","0.54","0.47","-0.07","0.01","-0.01","-0.03","0.07","-0.03","0.16","0.03","0.13","0.04","0.06","0.07","-0.05","-0.08","0.12","0.24","0.22","0.21","0.31","0.27","0.18","0.21","0.25","0.03","-0.04","-0.04","-0.12","-0.05","-0.16","-0.24","-0.14","-0.42","-0.42","-0.37","-0.4","-0.22","-0.56","-0.22","-0.2","-0.09","-0.29","0.24","-0.37","-0.36","-0.25","-0.24","0.04","-0.24","-0.05"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","1.01","1.01","0.93","0.94","1.01","1.02","0.97","0.93","0.93","0.94","1.01","0.96","0.88","0.93","0.89","0.86","0.91","0.93","0.91","0.96","0.94","1.01","1.05","0.97","0.99","1.11","1.08","1.06","0.99","1.03","0.99","0.97","0.97","1.04","1.05","0.99","0.95","0.98","0.99","0.98","0.94","0.98","0.96","0.96","0.89","0.91","0.93","0.93","0.96","0.95","0.93","0.95","0.95","0.95","0.93","1.01","0.99","0.98","0.91","1","0.89","0.9","1","1.02","0.97","1.06","1.03","1.06","1.01","1","1.2","0.96","0.94"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","89.37","92.54","90.32","94.14","93.9","93.12","92.89","93.84","93.41","93.25","96.05","95.65","93.11","94.2","96.43","94.02","94.4","93.21","92.16","93.58","93.16","93.66","91.08","89.61","94.78","93.45","93.01","93.53","87.38","92.84","92.41","92.95","92.25","95.81","94.08","91.6","92.3","90.87","94.22","94.48","97.07","97.41","95.38","94.7","94.01","95.53","96.26","95.16","95.36","94.94","93.53","96.26","96.4","95.52","95.98","95.77","96.31","95.55","95.71","96.78","93.34","94.15","96.95","96.28","94.81","97.08","97.15","94.13","94.67","92.59","92.11","90.41","91.84"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-11.718","-12.5682","-12.6819","-12.1271","-11.8896","-14.9154","-14.4416","-13.6699","-13.2675","-13.688","-13.9807","-13.4293","-14.0685","-12.9971","-11.9916","-13.0365","-13.3212","-13.9348","-13.9446","-14.0537","-12.5609","-12.8572","-14.7025","-14.1989","-13.0414","-13.5962","-13.3904","-12.7898","-5.4938","-9.6337","-9.4408","-10.1526","-10.0554","-10.9529","-11.2689","-11.0675","-10.5297","-10.6827","-11.8645","-11.0022","-17.8287","-17.4952","-17.0557","-16.667","-15.6756","-16.3912","-16.9933","-17.5266","-17.456","-17.3726","-17.452","-17.8623","-18.0411","-17.8742","-26.2055","-34.6707","-35.2058","-35.3689","-33.4723","-34.5171","-33.1893","-33.2028","-34.0676","-32.5091","-33.1895","-32.0336","-33.478","-35.5776","-34.6389","-33.8261","-36.4717","-33.707","-33.6593"
"B Max Drawdown","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-11.8362","-11.8362","-11.8362","-11.4136","-10.5262","-5.1204","-10.3384","-10.3384","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-26.0386","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312"
"MD DIFF(P-B)","1.6099","0.7597","0.645999999999999","1.2008","1.4383","-1.5875","-1.1137","-0.342000000000001","0.0603999999999996","-0.360100000000001","-0.652800000000001","-0.1014","-0.740600000000001","0.3308","1.3363","0.291399999999999","0.00670000000000037","-0.6069","-0.6167","-0.7258","0.766999999999999","0.470699999999999","-1.3746","-2.3627","-1.2052","-1.76","-1.9768","-2.2636","-0.3734","0.704700000000001","0.897600000000001","1.0202","1.1174","0.219900000000001","-0.0960999999999999","0.1053","0.6431","0.4901","-0.691699999999999","0.1706","2.1306","2.4641","2.9036","3.2923","4.2837","3.5681","2.966","2.4327","2.5033","2.5867","2.5073","2.097","1.9182","2.0851","-0.166900000000002","-3.1395","-3.67460000000001","-3.8377","-1.9411","-2.9859","-1.6581","-1.67160000000001","-2.5364","-0.977899999999998","-1.6583","-0.502400000000002","-1.9468","-4.0464","-3.1077","-2.2949","-4.9405","-2.1758","-2.1281"
