"","1 Y 2013-09-11 to 2014-09-12","1 Y 2013-10-11 to 2014-10-12","1 Y 2013-11-11 to 2014-11-12","1 Y 2013-12-11 to 2014-12-12","1 Y 2014-01-13 to 2015-01-12","1 Y 2014-02-11 to 2015-02-12","1 Y 2014-03-11 to 2015-03-12","1 Y 2014-04-11 to 2015-04-12","1 Y 2014-05-12 to 2015-05-12","1 Y 2014-06-11 to 2015-06-12","1 Y 2014-07-11 to 2015-07-12","1 Y 2014-08-11 to 2015-08-12","1 Y 2014-09-11 to 2015-09-12","1 Y 2014-10-13 to 2015-10-12","1 Y 2014-11-11 to 2015-11-12","1 Y 2014-12-11 to 2015-12-12","1 Y 2015-01-12 to 2016-01-12","1 Y 2015-02-11 to 2016-02-12","1 Y 2015-03-11 to 2016-03-12","1 Y 2015-04-13 to 2016-04-12","1 Y 2015-05-11 to 2016-05-12","1 Y 2015-06-11 to 2016-06-12","1 Y 2015-07-13 to 2016-07-12","1 Y 2015-08-11 to 2016-08-12","1 Y 2015-09-11 to 2016-09-12","1 Y 2015-10-12 to 2016-10-12","1 Y 2015-11-11 to 2016-11-12","1 Y 2015-12-11 to 2016-12-12","1 Y 2016-01-11 to 2017-01-12","1 Y 2016-02-11 to 2017-02-12","1 Y 2016-03-11 to 2017-03-12","1 Y 2016-04-11 to 2017-04-12","1 Y 2016-05-11 to 2017-05-12","1 Y 2016-06-13 to 2017-06-12","1 Y 2016-07-11 to 2017-07-12","1 Y 2016-08-11 to 2017-08-12","1 Y 2016-09-12 to 2017-09-12","1 Y 2016-10-11 to 2017-10-12","1 Y 2016-11-11 to 2017-11-12","1 Y 2016-12-12 to 2017-12-12","1 Y 2017-01-11 to 2018-01-12","1 Y 2017-02-13 to 2018-02-12","1 Y 2017-03-13 to 2018-03-12","1 Y 2017-04-11 to 2018-04-12","1 Y 2017-05-11 to 2018-05-12","1 Y 2017-06-12 to 2018-06-12","1 Y 2017-07-11 to 2018-07-12","1 Y 2017-08-11 to 2018-08-12","1 Y 2017-09-11 to 2018-09-12","1 Y 2017-10-11 to 2018-10-12","1 Y 2017-11-13 to 2018-11-12","1 Y 2017-12-11 to 2018-12-12","1 Y 2018-01-11 to 2019-01-12","1 Y 2018-02-12 to 2019-02-12","1 Y 2018-03-12 to 2019-03-12","1 Y 2018-04-11 to 2019-04-12","1 Y 2018-05-11 to 2019-05-12","1 Y 2018-06-11 to 2019-06-12","1 Y 2018-07-11 to 2019-07-12","1 Y 2018-08-13 to 2019-08-12","1 Y 2018-09-11 to 2019-09-12","1 Y 2018-10-11 to 2019-10-12","1 Y 2018-11-12 to 2019-11-12","1 Y 2018-12-11 to 2019-12-12","1 Y 2019-01-11 to 2020-01-12","1 Y 2019-02-11 to 2020-02-12","1 Y 2019-03-11 to 2020-03-12","1 Y 2019-04-11 to 2020-04-12","1 Y 2019-05-13 to 2020-05-12","1 Y 2019-06-11 to 2020-06-12","1 Y 2019-07-11 to 2020-07-12","1 Y 2019-08-12 to 2020-08-12","1 Y 2019-09-11 to 2020-09-12","1 Y 2019-10-11 to 2020-10-12","1 Y 2019-11-11 to 2020-11-12","1 Y 2019-12-11 to 2020-12-12","1 Y 2020-01-13 to 2021-01-12","1 Y 2020-02-11 to 2021-02-12","1 Y 2020-03-11 to 2021-03-12","1 Y 2020-04-13 to 2021-04-12","1 Y 2020-05-11 to 2021-05-12","1 Y 2020-06-11 to 2021-06-12","1 Y 2020-07-13 to 2021-07-12","1 Y 2020-08-11 to 2021-08-12","1 Y 2020-09-11 to 2021-09-12"
"P Information Ratio","0.19","0.55","0.49","1.08","0.71","0.24","0.1","1.94","2.05","2.09","2.41","1.4","1.61","2.55","1.48","1.95","3.53","0.69","0.02","0.31","0.52","0.05","0.56","0.92","1.61","2.72","3.72","2.51","2.68","4.28","1.67","1.85","2.4","3.46","2.43","1.98","3.61","2.56","2.46","1.12","0.57","2.34","0.64","1.16","0.94","1.89","0.53","-0.09","-0.15","0.1","0.53","0.4","1.46","0.98","-0.64","0.03","0.04","-0.11","0.04","1.18","-0.06","-0.96","-0.17","-1.84","-3.01","-6.65","-0.59","0.26","-0.23","1.37","-0.79","2.42","0.89","2.28","-1.8","-1.26","2.1","0.47","2.4","1.73","2.88","2.6","2.13","1.87","1.61"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.49","0.36","0.38","0.51","-0.73","0.53","0.58","0.82","0.9","0.82","1.06","0.77","0.6","0.72","0.61","0.92","0.78","0.11","-0.05","0.18","0.19","-0.02","0.34","0.47","0.62","0.79","0.61","0.46","0.63","0.84","0.35","0.66","0.56","0.82","0.81","0.8","0.71","1.03","0.11","0.62","0.45","0.08","0.12","0.31","0.27","0.28","-0.04","-0.11","-0.05","0.19","0.15","0.05","0.1","0.16","-0.04","0.18","-0.05","-0.13","0.02","0.34","0.06","-0.39","-0.09","-0.65","-0.49","-0.6","-0.03","0.11","0.1","0.37","-0.17","0.59","0.41","0.77","-0.68","-0.6","0.56","0.12","0.8","1.03","1.14","1.42","1.4","1.13","0.83"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","0.7","0.88","0.93","0.89","1.38","0.43","0.74","1.01","0.76","0.81","0.68","0.66","0.91","0.9","0.82","0.9","0.91","0.91","0.91","0.89","0.93","0.81","0.78","0.83","0.87","1.11","1.09","1.17","1.08","1.12","1.16","1.04","1.1","0.93","0.77","0.99","0.93","0.61","1.09","0.69","0.76","1.14","1.02","0.96","1.08","1.03","1.02","0.98","0.97","0.92","1","0.96","0.93","0.91","0.92","0.92","0.95","0.97","1.04","0.97","1.04","1.07","1.01","1.05","1.05","0.98","0.92","0.9","0.97","1.02","0.88","1.1","1.19","1.09","0.93","0.99","1.16","1.09","1.03","1.09","1.09","0.99","1.01","1.06","1.1"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","54.93","55.17","60.31","53.54","73.12","16.41","68.34","77.19","67.63","78.01","69.98","61.45","83.4","85.04","85.74","93.05","96.71","94.31","91.06","94.78","93.02","87.91","88.83","93.33","89.24","96.4","96.46","95.55","87.08","72.94","69.51","55.63","57.78","80.62","56.83","49.26","76.19","50.54","82.59","67.39","72.12","89.96","86","88.84","91.51","92.74","94.05","89.46","92.49","85.99","94.73","92.78","97.6","98.25","94.4","97.48","94.27","96.21","97.65","95.9","95.21","96.27","98.66","93.94","97.81","98.69","97.6","97.82","98.92","98.52","94.48","97.53","95.5","95.18","95.53","93.91","97.57","94.23","84.06","74.36","75.6","76.46","77.68","70.94","60.93"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-5.4579","-5.8476","-7.1209","-7.1618","-6.7576","-7.2649","-7.5151","-8.6579","-7.7666","-7.8401","-6.892","-7.8931","-12.1039","-11.5855","-11.8377","-11.8383","-12.1728","-13.4135","-14.1642","-13.6119","-14.4907","-14.8602","-12.408","-12.1906","-13.4863","-13.3216","-12.5494","-12.7234","-7.6447","-6.8751","-6.6331","-7.4105","-7.2225","-5.6095","-4.319","-4.3078","-3.0771","-3.3335","-3.2317","-2.9176","-2.8704","-8.6602","-8.6762","-9.3133","-10.4949","-10.0488","-10.8018","-10.5947","-10.8006","-10.1969","-10.9136","-11.3133","-18.2391","-17.9221","-17.8241","-18.2463","-18.8997","-19.512","-20.9105","-18.6127","-20.4346","-16.8213","-15.1791","-10.7095","-7.6707","-8.0115","-27.3505","-31.9015","-33.0609","-34.7201","-30.4733","-35.1189","-34.7705","-31.9914","-32.959","-33.8759","-35.1377","-35.3746","-17.616","-10.9777","-10.7158","-9.3807","-9.8316","-8.7325","-7.4603"
"B Max Drawdown","-6.2539","-6.2539","-7.5098","-7.5098","-7.5098","-7.5098","-7.5098","-7.5099","-7.5098","-7.5098","-7.5098","-7.5098","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-11.8362","-11.8362","-11.8362","-11.4136","-10.5262","-5.1204","-5.1204","-5.1204","-5.1204","-5.1205","-4.8468","-4.6428","-4.6428","-4.0864","-3.2324","-2.9033","-2.9033","-2.9033","-10.3384","-10.3384","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-16.7416","-15.8126","-11.4984","-7.6691","-7.6691","-26.0386","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-15.9392","-10.5021","-10.5021","-10.5021","-10.502","-10.5021","-7.9326"
"MD DIFF(P-B)","0.795999999999999","0.4063","0.3889","0.348","0.7522","0.2449","-0.00530000000000008","-1.148","-0.2568","-0.330299999999999","0.6178","-0.383299999999999","1.224","1.7424","1.4902","1.4896","1.1551","-0.0856000000000012","-0.8363","-0.284000000000001","-1.1628","-1.5323","0.9199","-0.3544","-1.6501","-1.4854","-1.1358","-2.1972","-2.5243","-1.7547","-1.5127","-2.2901","-2.102","-0.7627","0.3238","0.335","1.0093","-0.1011","-0.3284","-0.0143","0.0329000000000002","1.6782","1.6622","1.8595","0.677900000000001","1.124","0.371","0.578100000000001","0.372200000000001","0.975900000000001","0.2592","-0.140499999999999","1.7202","2.0372","2.1352","1.713","1.0596","0.447299999999998","-0.9512","1.3466","-0.475300000000001","-0.0797000000000025","0.6335","0.7889","-0.00159999999999982","-0.3424","-1.3119","-0.3703","-1.5297","-3.1889","1.0579","-3.5877","-3.2393","-0.4602","-1.4278","-2.3447","-3.6065","-3.8434","-1.6768","-0.4756","-0.213699999999999","1.1214","0.670400000000001","1.7696","0.4723"
