"","1 Y 2015-12-11 to 2016-12-12","1 Y 2016-01-11 to 2017-01-12","1 Y 2016-02-11 to 2017-02-12","1 Y 2016-03-11 to 2017-03-12","1 Y 2016-04-11 to 2017-04-12","1 Y 2016-05-11 to 2017-05-12","1 Y 2016-06-13 to 2017-06-12","1 Y 2016-07-11 to 2017-07-12","1 Y 2016-08-11 to 2017-08-12","1 Y 2016-09-12 to 2017-09-12","1 Y 2016-10-11 to 2017-10-12","1 Y 2016-11-11 to 2017-11-12","1 Y 2016-12-12 to 2017-12-12","1 Y 2017-01-11 to 2018-01-12","1 Y 2017-02-13 to 2018-02-12","1 Y 2017-03-13 to 2018-03-12","1 Y 2017-04-11 to 2018-04-12","1 Y 2017-05-11 to 2018-05-12","1 Y 2017-06-12 to 2018-06-12","1 Y 2017-07-11 to 2018-07-12","1 Y 2017-08-11 to 2018-08-12","1 Y 2017-09-11 to 2018-09-12","1 Y 2017-10-11 to 2018-10-12","1 Y 2017-11-13 to 2018-11-12","1 Y 2017-12-11 to 2018-12-12","1 Y 2018-01-11 to 2019-01-12","1 Y 2018-02-12 to 2019-02-12","1 Y 2018-03-12 to 2019-03-12","1 Y 2018-04-11 to 2019-04-12","1 Y 2018-05-11 to 2019-05-12","1 Y 2018-06-11 to 2019-06-12","1 Y 2018-07-11 to 2019-07-12","1 Y 2018-08-13 to 2019-08-12","1 Y 2018-09-11 to 2019-09-12","1 Y 2018-10-11 to 2019-10-12","1 Y 2018-11-12 to 2019-11-12","1 Y 2018-12-11 to 2019-12-12","1 Y 2019-01-11 to 2020-01-12","1 Y 2019-02-11 to 2020-02-12","1 Y 2019-03-11 to 2020-03-12","1 Y 2019-04-11 to 2020-04-12","1 Y 2019-05-13 to 2020-05-12","1 Y 2019-06-11 to 2020-06-12","1 Y 2019-07-11 to 2020-07-12","1 Y 2019-08-12 to 2020-08-12","1 Y 2019-09-11 to 2020-09-12","1 Y 2019-10-11 to 2020-10-12","1 Y 2019-11-11 to 2020-11-12","1 Y 2019-12-11 to 2020-12-12","1 Y 2020-01-13 to 2021-01-12","1 Y 2020-02-11 to 2021-02-12","1 Y 2020-03-11 to 2021-03-12","1 Y 2020-04-13 to 2021-04-12","1 Y 2020-05-11 to 2021-05-12","1 Y 2020-06-11 to 2021-06-12","1 Y 2020-07-13 to 2021-07-12","1 Y 2020-08-11 to 2021-08-12","1 Y 2020-09-11 to 2021-09-12"
"P Information Ratio","1.4","3.17","3.7","1.94","1.15","1.62","2.14","1.91","1.51","1.88","1.95","0.86","0.35","1.62","1.79","2.38","1.59","1.35","1.53","1.58","0.62","0.81","0.51","0.31","0.97","0.83","0.89","0.61","-1.18","-0.16","-1.34","-0.5","-0.38","-0.09","-0.31","0","-0.45","-1.6","-1.03","-2.29","-0.58","-1.08","0.11","-0.59","-0.69","-0.56","0.01","0.46","0.84","1.04","0.77","4.47","1.44","1.98","1.15","1.38","0.84","0.65"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.44","0.28","0.71","0.37","0.24","0.2","0.67","0.52","0.58","0.18","0.38","0.41","0.33","0.34","-0.11","0.1","0.45","0.32","0.54","0.28","0.28","0.2","0.15","0.26","0.32","0.17","0.3","0.16","-0.19","-0.39","-0.47","0.01","-0.08","0","-0.28","-0.12","-0.37","-0.29","-0.44","-0.25","-0.54","-0.6","-0.05","-0.36","-0.47","-0.36","-0.18","0.36","0.68","0.51","-0.21","1.23","1.23","0.86","1.05","1.29","0.6","0.39"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","0.86","1.05","1.01","1.08","1.14","1.15","1.11","1.11","1.06","1.19","1.13","1","0.97","0.9","1.29","1.25","1.05","1.03","1.09","1.13","0.98","0.99","0.97","1","1","0.94","0.99","0.98","1.01","1","1.01","1.04","1.08","1.05","1.11","1.12","1.09","0.95","0.95","0.89","1.09","1.07","1.16","1.11","1.14","1.09","1.05","1.17","1.26","1.23","1.29","1.11","1.12","1.01","0.94","0.89","1.04","1.09"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","86.23","85.16","71.15","78.96","78.06","74.71","61.93","50.83","48.07","51.88","46.37","41.04","42.61","43.44","70.43","86","76.95","81.59","86.64","86.29","81.27","83.9","82.73","91.08","93.21","94.14","95.67","96.98","96.13","96.27","95.97","95.51","93.67","94","92.96","91.28","80.42","80.38","72.26","85.89","87.73","90.86","87.6","88.04","88.45","89.61","90.43","91.52","91.17","91.9","92.49","85.08","77.14","66.27","69.78","64.85","57.97","41.01"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-11.3271","-6.1287","-5.1037","-4.2274","-4.261","-4.2722","-4.253","-3.5651","-3.4543","-3.396","-3.0053","-2.3505","-2.334","-2.1305","-9.6737","-9.6171","-10.3213","-10.2958","-10.1207","-10.279","-10.0718","-9.9226","-9.8769","-10.1346","-11.5772","-18.6325","-19.0689","-18.51","-19.7053","-19.827","-19.6732","-19.231","-19.7786","-19.2786","-15.8495","-14.1607","-10.9937","-6.9411","-6.9097","-26.5871","-31.1058","-30.736","-32.3588","-30.6859","-31.4395","-30.8323","-30.4781","-31.8475","-32.1836","-32.2299","-32.4551","-14.0613","-8.3984","-8.3274","-8.1684","-7.9533","-8.7589","-6.782"
"B Max Drawdown","-10.5262","-5.1204","-5.1204","-5.1205","-5.1204","-5.1205","-4.8468","-4.3548","-4.3548","-3.7967","-2.9402","-2.9033","-2.9033","-2.9033","-9.7411","-9.7411","-10.5811","-10.5811","-10.5811","-10.5811","-10.5811","-10.5811","-10.5811","-10.5811","-10.5811","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-16.7416","-15.8126","-11.4984","-7.6691","-7.6691","-18.5281","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-16.0505","-10.5021","-10.5021","-10.5021","-10.502","-10.5021","-7.8111"
"MD DIFF(P-B)","-0.8009","-1.0083","0.0167000000000002","0.8931","0.8594","0.8483","0.5938","0.7897","0.9005","0.4007","-0.0651000000000002","0.5528","0.5693","0.7728","0.0673999999999992","0.123999999999999","0.259799999999998","0.285299999999999","0.4604","0.302099999999999","0.5093","0.6585","0.7042","0.446499999999999","-0.9961","1.3268","0.8904","1.4493","0.253999999999998","0.132299999999997","0.286099999999998","0.728299999999997","0.180699999999998","0.680699999999998","0.892099999999997","1.6519","0.5047","0.728000000000001","0.7594","-8.059","0.4254","0.795199999999998","-0.827600000000004","0.845299999999998","0.0916999999999994","0.698899999999998","1.0531","-0.316300000000002","-0.6524","-0.698700000000002","-0.923900000000003","1.9892","2.1037","2.1747","2.3337","2.5487","1.7432","1.0291"
