"","2013-09-11_to_2014-09-12_GrowthPortfolio_3QRank","2013-10-11_to_2014-10-12_GrowthPortfolio_3QRank","2013-11-11_to_2014-11-12_GrowthPortfolio_3QRank","2013-12-11_to_2014-12-12_GrowthPortfolio_3QRank","2014-01-13_to_2015-01-12_GrowthPortfolio_3QRank","2014-02-11_to_2015-02-12_GrowthPortfolio_3QRank","2014-03-11_to_2015-03-12_GrowthPortfolio_3QRank","2014-04-11_to_2015-04-12_GrowthPortfolio_3QRank","2014-05-12_to_2015-05-12_GrowthPortfolio_3QRank","2014-06-11_to_2015-06-12_GrowthPortfolio_3QRank","2014-07-11_to_2015-07-12_GrowthPortfolio_3QRank","2014-08-11_to_2015-08-12_GrowthPortfolio_3QRank","2014-09-11_to_2015-09-12_GrowthPortfolio_3QRank","2014-10-13_to_2015-10-12_GrowthPortfolio_3QRank","2014-11-11_to_2015-11-12_GrowthPortfolio_3QRank","2014-12-11_to_2015-12-12_GrowthPortfolio_3QRank","2015-01-12_to_2016-01-12_GrowthPortfolio_3QRank","2015-02-11_to_2016-02-12_GrowthPortfolio_3QRank","2015-03-11_to_2016-03-12_GrowthPortfolio_3QRank","2015-04-13_to_2016-04-12_GrowthPortfolio_3QRank","2015-05-11_to_2016-05-12_GrowthPortfolio_3QRank","2015-06-11_to_2016-06-12_GrowthPortfolio_3QRank","2015-07-13_to_2016-07-12_GrowthPortfolio_3QRank","2015-08-11_to_2016-08-12_GrowthPortfolio_3QRank","2015-09-11_to_2016-09-12_GrowthPortfolio_3QRank","2015-10-12_to_2016-10-12_GrowthPortfolio_3QRank","2015-11-11_to_2016-11-12_GrowthPortfolio_3QRank","2015-12-11_to_2016-12-12_GrowthPortfolio_3QRank","2016-01-11_to_2017-01-12_GrowthPortfolio_3QRank","2016-02-11_to_2017-02-12_GrowthPortfolio_3QRank","2016-03-11_to_2017-03-12_GrowthPortfolio_3QRank","2016-04-11_to_2017-04-12_GrowthPortfolio_3QRank","2016-05-11_to_2017-05-12_GrowthPortfolio_3QRank","2016-06-13_to_2017-06-12_GrowthPortfolio_3QRank","2016-07-11_to_2017-07-12_GrowthPortfolio_3QRank","2016-08-11_to_2017-08-12_GrowthPortfolio_3QRank","2016-09-12_to_2017-09-12_GrowthPortfolio_3QRank","2016-10-11_to_2017-10-12_GrowthPortfolio_3QRank","2016-11-11_to_2017-11-12_GrowthPortfolio_3QRank","2016-12-12_to_2017-12-12_GrowthPortfolio_3QRank","2017-01-11_to_2018-01-12_GrowthPortfolio_3QRank","2017-02-13_to_2018-02-12_GrowthPortfolio_3QRank","2017-03-13_to_2018-03-12_GrowthPortfolio_3QRank","2017-04-11_to_2018-04-12_GrowthPortfolio_3QRank","2017-05-11_to_2018-05-12_GrowthPortfolio_3QRank","2017-06-12_to_2018-06-12_GrowthPortfolio_3QRank","2017-07-11_to_2018-07-12_GrowthPortfolio_3QRank","2017-08-11_to_2018-08-12_GrowthPortfolio_3QRank","2017-09-11_to_2018-09-12_GrowthPortfolio_3QRank","2017-10-11_to_2018-10-12_GrowthPortfolio_3QRank","2017-11-13_to_2018-11-12_GrowthPortfolio_3QRank","2017-12-11_to_2018-12-12_GrowthPortfolio_3QRank","2018-01-11_to_2019-01-12_GrowthPortfolio_3QRank","2018-02-12_to_2019-02-12_GrowthPortfolio_3QRank","2018-03-12_to_2019-03-12_GrowthPortfolio_3QRank","2018-04-11_to_2019-04-12_GrowthPortfolio_3QRank","2018-05-11_to_2019-05-12_GrowthPortfolio_3QRank","2018-06-11_to_2019-06-12_GrowthPortfolio_3QRank","2018-07-11_to_2019-07-12_GrowthPortfolio_3QRank","2018-08-13_to_2019-08-12_GrowthPortfolio_3QRank","2018-09-11_to_2019-09-12_GrowthPortfolio_3QRank","2018-10-11_to_2019-10-12_GrowthPortfolio_3QRank","2018-11-12_to_2019-11-12_GrowthPortfolio_3QRank","2018-12-11_to_2019-12-12_GrowthPortfolio_3QRank","2019-01-11_to_2020-01-12_GrowthPortfolio_3QRank","2019-02-11_to_2020-02-12_GrowthPortfolio_3QRank","2019-03-11_to_2020-03-12_GrowthPortfolio_3QRank","2019-04-11_to_2020-04-12_GrowthPortfolio_3QRank","2019-05-13_to_2020-05-12_GrowthPortfolio_3QRank","2019-06-11_to_2020-06-12_GrowthPortfolio_3QRank","2019-07-11_to_2020-07-12_GrowthPortfolio_3QRank","2019-08-12_to_2020-08-12_GrowthPortfolio_3QRank","2019-09-11_to_2020-09-12_GrowthPortfolio_3QRank","2019-10-11_to_2020-10-12_GrowthPortfolio_3QRank","2019-11-11_to_2020-11-12_GrowthPortfolio_3QRank","2019-12-11_to_2020-12-12_GrowthPortfolio_3QRank","2020-01-13_to_2021-01-12_GrowthPortfolio_3QRank","2020-02-11_to_2021-02-12_GrowthPortfolio_3QRank","2020-03-11_to_2021-03-12_GrowthPortfolio_3QRank","2020-04-13_to_2021-04-12_GrowthPortfolio_3QRank","2020-05-11_to_2021-05-12_GrowthPortfolio_3QRank","2020-06-11_to_2021-06-12_GrowthPortfolio_3QRank","2020-07-13_to_2021-07-12_GrowthPortfolio_3QRank","2020-08-11_to_2021-08-12_GrowthPortfolio_3QRank","2020-09-11_to_2021-09-12_GrowthPortfolio_3QRank"
"P Information Ratio","0.81","0.74","0.89","1.07","0.41","0.09","0.13","1.81","1.8","2.04","2.01","1.17","1.05","1.55","0.46","0.55","1.08","1.12","0.12","0.76","1.19","0.4","0.73","0.95","1.48","2.09","1.42","0.66","1.25","2.52","0.79","2.08","3.13","1","0.8","0.85","1.38","2.39","4.12","2.14","2.01","2.62","2.41","2.83","2.69","2.87","1.27","1.13","0.9","0.84","0.94","1.22","1.57","0.7","0.02","0.77","0.12","0","0.72","0.58","0.43","0.71","-0.04","-1.15","-0.54","-0.95","0.67","0.62","-1.16","-0.21","-0.09","0.28","0.05","0.64","0.82","1.07","3.82","1.85","1.04","0.86","0.2","1.84","1.02","1.14","0.44"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.92","0.75","0.74","0.85","-1.14","0.35","0.89","1.07","1.08","1.24","1.37","0.86","0.66","0.82","0.26","0.65","0.62","0.65","0.16","0.71","0.39","0.14","0.17","0.42","0.82","1.03","0.8","0.34","0.55","0.86","0.4","1.49","0.96","1.04","0.62","0.91","0.58","1.52","1.23","0.99","0.47","0.34","1.17","1.34","1.15","1.01","0.44","0.53","0.78","0.66","0.84","0.79","0.46","0.08","0.2","0.28","0.01","0.09","0.5","0.16","0.35","0.4","0.36","0.37","0.51","0.41","0.24","0.11","-0.51","0.25","0.21","0.24","-0.21","0.53","0.32","0.55","2.03","1.18","0.3","0.19","-0.05","0.03","0.32","0.37","0"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","0.7","0.93","0.95","0.96","1.75","0.36","0.85","1.09","0.67","0.77","0.64","0.56","0.87","0.76","0.67","0.79","0.81","0.9","0.85","0.81","0.9","0.81","0.82","0.76","0.89","1.09","1.15","1.06","0.95","0.87","0.85","0.57","0.83","0.61","0.75","0.73","0.84","0.54","0.89","0.71","1","1.5","1.08","1.11","1.27","1.21","1.2","1.02","1.07","0.97","1.28","1.28","1.08","1.14","1.15","1.13","1.15","1.18","1.12","0.99","0.97","0.76","0.67","0.38","0.65","0.36","0.55","0.66","0.9","0.84","0.89","0.99","1.06","0.93","1.05","0.94","1.12","1.02","1.12","1.18","1.24","1.14","1.1","0.91","0.95"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","18.33","23.93","24.12","21.36","39.38","-4.74","35.28","61.72","39.33","50.5","39.29","30.31","68.92","62.09","74.03","81.93","81.5","80.23","77.28","89.91","88.68","86.49","87.46","89.99","78.46","78.54","70.24","79.13","62.68","63.16","54.81","34.28","57.73","13.49","11.52","18.21","34.49","11.61","35.97","37.87","43.45","70.24","53.83","62.98","71.17","75.91","73.05","50.21","53.8","51.02","75.55","76.73","87.05","92.46","84.2","85.53","85.51","88.71","91.45","89.02","87.27","87.59","81.46","42.55","63.56","57.44","63.55","85.89","94.96","88.7","90.75","91.65","95.33","93.28","94.63","96.34","89.39","87.58","80.97","76.41","77.19","87.99","82.53","78.47","69.69"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-11.343","-11.6799","-12.3631","-12.1637","-12.3293","-12.1318","-10.9684","-10.8666","-9.7559","-9.5811","-9.3205","-10.5208","-13.1196","-11.9151","-11.6827","-10.9385","-11.501","-15.1392","-13.5734","-13.0327","-16.703","-15.6976","-16.3845","-14.7862","-18.0299","-17.2239","-17.406","-15.7873","-9.7776","-4.1204","-5.7196","-4.3252","-4.0877","-4.1461","-5.1875","-4.8188","-4.3196","-3.3134","-4.112","-4.7713","-5.7838","-8.5102","-8.7495","-9.842","-9.6955","-9.1382","-9.7278","-8.7872","-9.6338","-9.3196","-13.5158","-15.2768","-23.6123","-23.7718","-22.8982","-23.7463","-23.9594","-24.6687","-23.9134","-22.6899","-22.8358","-15.5274","-14.7447","-11.2681","-5.9316","-5.0101","-20.4047","-28.2632","-32.3891","-31.259","-29.9349","-32.251","-32.9904","-30.9187","-33.6727","-31.2013","-31.9062","-31.5882","-13.1252","-13.6222","-12.5928","-11.5699","-11.1456","-11.5572","-12.7675"
"B Max Drawdown","-6.2539","-6.2539","-7.5098","-7.5098","-7.5098","-7.5098","-7.5098","-7.5099","-7.5098","-7.5098","-7.5098","-7.5098","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-11.8362","-11.8362","-11.8362","-11.4136","-10.5262","-5.1204","-5.1204","-5.1204","-5.1204","-5.1205","-4.8468","-4.6428","-4.6428","-4.0864","-3.2324","-2.9033","-2.9033","-2.9033","-10.3384","-10.3384","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-16.7416","-15.8126","-11.4984","-7.6691","-7.6691","-26.0386","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-15.9392","-10.5021","-10.5021","-10.5021","-10.502","-10.5021","-7.9326"
"MD DIFF(P-B)","-5.0891","-5.426","-4.8533","-4.6539","-4.8195","-4.622","-3.4586","-3.3567","-2.2461","-2.0713","-1.8107","-3.011","0.208299999999999","1.4128","1.6452","2.3894","1.8269","-1.8113","-0.2455","0.295199999999999","-3.3751","-2.3697","-3.0566","-2.95","-6.1937","-5.3877","-5.9924","-5.2611","-4.6572","1","-0.5992","0.7952","1.0328","0.7007","-0.5447","-0.176","-0.2332","-0.081","-1.2087","-1.868","-2.8805","1.8282","1.5889","1.3308","1.4773","2.0346","1.445","2.3856","1.539","1.8532","-2.343","-4.104","-3.653","-3.8125","-2.9389","-3.787","-4.0001","-4.7094","-3.9541","-2.7306","-2.8765","1.2142","1.0679","0.2303","1.7375","2.659","5.6339","3.268","-0.857900000000001","0.272199999999998","1.5963","-0.719799999999999","-1.4592","0.612499999999997","-2.1415","0.329899999999999","-0.375","-0.0570000000000022","2.814","-3.1201","-2.0907","-1.0678","-0.643599999999999","-1.0551","-4.8349"
