"","2013-06-11_to_2014-06-12_CorePortfolio_2QRank","2013-07-11_to_2014-07-12_CorePortfolio_2QRank","2013-08-12_to_2014-08-12_CorePortfolio_2QRank","2013-09-11_to_2014-09-12_CorePortfolio_2QRank","2013-10-11_to_2014-10-12_CorePortfolio_2QRank","2013-11-11_to_2014-11-12_CorePortfolio_2QRank","2013-12-11_to_2014-12-12_CorePortfolio_2QRank","2014-01-13_to_2015-01-12_CorePortfolio_2QRank","2014-02-11_to_2015-02-12_CorePortfolio_2QRank","2014-03-11_to_2015-03-12_CorePortfolio_2QRank","2014-04-11_to_2015-04-12_CorePortfolio_2QRank","2014-05-12_to_2015-05-12_CorePortfolio_2QRank","2014-06-11_to_2015-06-12_CorePortfolio_2QRank","2014-07-11_to_2015-07-12_CorePortfolio_2QRank","2014-08-11_to_2015-08-12_CorePortfolio_2QRank","2014-09-11_to_2015-09-12_CorePortfolio_2QRank","2014-10-13_to_2015-10-12_CorePortfolio_2QRank","2014-11-11_to_2015-11-12_CorePortfolio_2QRank","2014-12-11_to_2015-12-12_CorePortfolio_2QRank","2015-01-12_to_2016-01-12_CorePortfolio_2QRank","2015-02-11_to_2016-02-12_CorePortfolio_2QRank","2015-03-11_to_2016-03-12_CorePortfolio_2QRank","2015-04-13_to_2016-04-12_CorePortfolio_2QRank","2015-05-11_to_2016-05-12_CorePortfolio_2QRank","2015-06-11_to_2016-06-12_CorePortfolio_2QRank","2015-07-13_to_2016-07-12_CorePortfolio_2QRank","2015-08-11_to_2016-08-12_CorePortfolio_2QRank","2015-09-11_to_2016-09-12_CorePortfolio_2QRank","2015-10-12_to_2016-10-12_CorePortfolio_2QRank","2015-11-11_to_2016-11-12_CorePortfolio_2QRank","2015-12-11_to_2016-12-12_CorePortfolio_2QRank","2016-01-11_to_2017-01-12_CorePortfolio_2QRank","2016-02-11_to_2017-02-12_CorePortfolio_2QRank","2016-03-11_to_2017-03-12_CorePortfolio_2QRank","2016-04-11_to_2017-04-12_CorePortfolio_2QRank","2016-05-11_to_2017-05-12_CorePortfolio_2QRank","2016-06-13_to_2017-06-12_CorePortfolio_2QRank","2016-07-11_to_2017-07-12_CorePortfolio_2QRank","2016-08-11_to_2017-08-12_CorePortfolio_2QRank","2016-09-12_to_2017-09-12_CorePortfolio_2QRank","2016-10-11_to_2017-10-12_CorePortfolio_2QRank","2016-11-11_to_2017-11-12_CorePortfolio_2QRank","2016-12-12_to_2017-12-12_CorePortfolio_2QRank","2017-01-11_to_2018-01-12_CorePortfolio_2QRank","2017-02-13_to_2018-02-12_CorePortfolio_2QRank","2017-03-13_to_2018-03-12_CorePortfolio_2QRank","2017-04-11_to_2018-04-12_CorePortfolio_2QRank","2017-05-11_to_2018-05-12_CorePortfolio_2QRank","2017-06-12_to_2018-06-12_CorePortfolio_2QRank","2017-07-11_to_2018-07-12_CorePortfolio_2QRank","2017-08-11_to_2018-08-12_CorePortfolio_2QRank","2017-09-11_to_2018-09-12_CorePortfolio_2QRank","2017-10-11_to_2018-10-12_CorePortfolio_2QRank","2017-11-13_to_2018-11-12_CorePortfolio_2QRank","2017-12-11_to_2018-12-12_CorePortfolio_2QRank","2018-01-11_to_2019-01-12_CorePortfolio_2QRank","2018-02-12_to_2019-02-12_CorePortfolio_2QRank","2018-03-12_to_2019-03-12_CorePortfolio_2QRank","2018-04-11_to_2019-04-12_CorePortfolio_2QRank","2018-05-11_to_2019-05-12_CorePortfolio_2QRank","2018-06-11_to_2019-06-12_CorePortfolio_2QRank","2018-07-11_to_2019-07-12_CorePortfolio_2QRank","2018-08-13_to_2019-08-12_CorePortfolio_2QRank","2018-09-11_to_2019-09-12_CorePortfolio_2QRank","2018-10-11_to_2019-10-12_CorePortfolio_2QRank","2018-11-12_to_2019-11-12_CorePortfolio_2QRank","2018-12-11_to_2019-12-12_CorePortfolio_2QRank","2019-01-11_to_2020-01-12_CorePortfolio_2QRank","2019-02-11_to_2020-02-12_CorePortfolio_2QRank","2019-03-11_to_2020-03-12_CorePortfolio_2QRank","2019-04-11_to_2020-04-12_CorePortfolio_2QRank","2019-05-13_to_2020-05-12_CorePortfolio_2QRank","2019-06-11_to_2020-06-12_CorePortfolio_2QRank","2019-07-11_to_2020-07-12_CorePortfolio_2QRank","2019-08-12_to_2020-08-12_CorePortfolio_2QRank","2019-09-11_to_2020-09-12_CorePortfolio_2QRank","2019-10-11_to_2020-10-12_CorePortfolio_2QRank","2019-11-11_to_2020-11-12_CorePortfolio_2QRank","2019-12-11_to_2020-12-12_CorePortfolio_2QRank","2020-01-13_to_2021-01-12_CorePortfolio_2QRank","2020-02-11_to_2021-02-12_CorePortfolio_2QRank","2020-03-11_to_2021-03-12_CorePortfolio_2QRank","2020-04-13_to_2021-04-12_CorePortfolio_2QRank","2020-05-11_to_2021-05-12_CorePortfolio_2QRank","2020-06-11_to_2021-06-12_CorePortfolio_2QRank","2020-07-13_to_2021-07-12_CorePortfolio_2QRank","2020-08-11_to_2021-08-12_CorePortfolio_2QRank","2020-09-11_to_2021-09-12_CorePortfolio_2QRank"
"P Information Ratio","1.43","0.39","0.48","1.24","0.4","1.43","1.13","1.22","0.94","1.12","1.1","0.72","1.09","0.65","1.73","1.23","1.71","2.02","-0.02","0.64","1.09","0.58","1.05","1.29","1.17","1.78","1.09","1.15","-0.6","0.67","0.42","0.42","1.65","0.42","-0.83","0.05","-0.61","-0.67","1.33","3.03","2.67","1.33","1.18","2.94","1.19","2.5","1.16","0.51","-0.85","-1.29","-1.43","-1.38","-1.7","-0.67","0.31","0.05","-0.15","0.38","-0.53","0.13","-0.31","0.12","0.28","1.37","0.72","-0.35","-0.43","-1.49","-2.59","-2.86","-1.55","-3.06","-2.17","-2.82","-2.61","-1.45","-1.67","-1.35","-1.61","-1.36","-1.44","0.03","0.12","0.44","-0.12","-0.08","0.01","0.06"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.15","-0.02","0.02","0.12","0.06","0.3","0.12","-0.42","0.18","0.35","0.41","0.15","0.24","0.38","0.53","0.31","0.44","0.59","0.28","0.24","0.4","0.06","0.29","0.28","0.32","0.26","0.56","0.44","0.01","-0.02","-0.02","0.31","0.04","0.11","-0.27","0.17","0.06","0.02","0.07","0.52","0.22","0.53","0.43","0.51","0.19","0.23","0.26","0.17","-0.09","-0.1","-0.17","-0.31","-0.22","-0.21","0.07","-0.01","0.01","0.07","-0.03","0.12","-0.04","0.05","0.1","0.43","0.26","-0.12","-0.01","-0.12","-0.66","-0.31","-0.52","-0.92","-0.6","-0.97","-0.65","-0.63","-0.51","-0.76","-0.56","-0.5","-0.56","0.63","0.74","0.18","0.76","0.42","0.58","0.13"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","1.03","1.05","1.09","1.03","1.03","0.95","1.05","1.45","1.06","0.98","0.87","0.95","0.9","0.76","0.78","0.89","0.86","0.83","0.85","0.89","0.87","0.9","0.98","0.99","0.98","0.96","0.86","0.9","1.1","1.09","1.03","0.88","1.04","0.92","1.06","0.93","0.98","0.94","1.04","0.84","0.94","0.83","0.91","0.8","0.99","0.98","0.95","0.92","0.92","0.93","0.98","0.87","0.83","0.86","0.91","0.92","0.9","0.88","0.86","0.84","0.89","0.89","0.97","0.96","0.95","0.98","0.97","0.96","1","0.96","1.1","1.05","1","1","0.99","0.98","0.95","0.99","0.94","0.93","0.94","0.83","0.87","0.87","0.79","0.83","0.86","1.03"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","92.89","95.08","86.24","84.69","87.2","85.33","86.24","86.55","86.03","83.78","85.18","91.14","90.91","84.78","89.1","94.65","90.3","93.77","94.67","94.86","92.35","94.91","95.77","96.97","97.06","97.56","92.1","93.71","89.66","96.21","93.3","87.15","85.6","87.02","89.61","82.33","87.38","90.48","95.41","89.63","83.67","70.92","81.82","83.73","89.86","97.5","96.57","94.83","92.02","93.88","93.01","88.57","95.76","96.29","96.6","94.31","94.2","96.37","94.95","94.5","93.41","93.2","95.9","97.1","96.55","97.5","95.56","94.58","93.23","98.66","97.65","97.41","97.32","95.46","97.96","97.61","95.81","92.58","95.22","95.04","93.03","88.79","83.14","75.85","79.86","74.29","77.44","68.51"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-5.8961","-6.1577","-6.069","-5.9194","-6.0285","-7.8401","-7.908","-7.8976","-7.6674","-6.6971","-7.3936","-7.3413","-7.2648","-6.5048","-6.9123","-11.7148","-12.1439","-11.1741","-11.711","-12.1084","-13.3123","-12.6761","-13.9079","-14.0121","-14.1652","-12.8951","-12.157","-12.0934","-13.4237","-12.8029","-12.1238","-5.0955","-5.1545","-5.0457","-5.7134","-5.3693","-5.3021","-4.6425","-4.4358","-2.9971","-3.3039","-2.7508","-2.3301","-2.4193","-9.8307","-9.6324","-10.6698","-10.3668","-10.8694","-11.2095","-11.3919","-11.0305","-10.2615","-10.2576","-10.4727","-17.1627","-17.1673","-16.8608","-16.7792","-15.9153","-16.588","-16.5017","-17.0386","-16.7636","-14.4048","-14.862","-11.3619","-6.923","-6.9368","-27.2224","-35.2136","-35.495","-33.9421","-35.3032","-33.3088","-34.3721","-34.5771","-37.2334","-33.5122","-33.3886","-33.092","-17.5214","-7.9683","-8.6869","-7.4355","-7.6507","-7.8466","-7.8039"
"B Max Drawdown","-6.2539","-6.2539","-6.2539","-6.2539","-6.2539","-7.5098","-7.5098","-7.5098","-7.5098","-7.5098","-7.5099","-7.5098","-7.5098","-7.5098","-7.5098","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-11.8362","-11.8362","-11.8362","-11.4136","-10.5262","-5.1204","-5.1204","-5.1204","-5.1204","-5.1205","-4.8468","-4.6428","-4.6428","-4.0864","-3.2324","-2.9033","-2.9033","-2.9033","-10.3384","-10.3384","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-16.7416","-15.8126","-11.4984","-7.6691","-7.6691","-26.0386","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-15.9392","-10.5021","-10.5021","-10.5021","-10.502","-10.5021","-7.9326"
"MD DIFF(P-B)","0.3578","0.0961999999999996","0.1849","0.334499999999999","0.2254","-0.330299999999999","-0.3982","-0.387799999999999","-0.1576","0.8127","0.1163","0.1685","0.245","1.005","0.5975","1.6131","1.184","2.1538","1.6169","1.2195","0.0155999999999992","0.6518","-0.58","-0.684200000000001","-0.837300000000001","0.4328","-0.3208","-0.257200000000001","-1.5875","-1.3893","-1.5976","0.0248999999999997","-0.0340999999999996","0.0747","-0.593","-0.2488","-0.4553","0.000300000000000189","0.207","1.0893","-0.0714999999999999","0.1525","0.5732","0.484","0.5077","0.706","0.503","0.806000000000001","0.3034","-0.0366999999999997","-0.219099999999999","0.142300000000001","0.911300000000001","0.9152","0.700100000000001","2.7966","2.792","3.0985","3.1801","4.044","3.3713","3.4576","2.9207","3.1957","2.3368","0.9506","0.1365","0.7461","0.7323","-1.1838","-3.6824","-3.9638","-2.41090000000001","-3.772","-1.7776","-2.8409","-3.0459","-5.7022","-1.981","-1.8574","-1.5608","-1.5822","2.5338","1.8152","3.0666","2.8513","2.6555","0.1287"
