"","1 Y 2015-12-11 to 2017-12-12","1 Y 2016-01-11 to 2018-01-12","1 Y 2016-02-11 to 2018-02-12","1 Y 2016-03-11 to 2018-03-12","1 Y 2016-04-11 to 2018-04-12","1 Y 2016-05-11 to 2018-05-12","1 Y 2016-06-13 to 2018-06-12","1 Y 2016-07-11 to 2018-07-12","1 Y 2016-08-11 to 2018-08-12","1 Y 2016-09-12 to 2018-09-12","1 Y 2016-10-11 to 2018-10-12","1 Y 2016-11-11 to 2018-11-12","1 Y 2016-12-12 to 2018-12-12","1 Y 2017-01-11 to 2019-01-12","1 Y 2017-02-13 to 2019-02-12","1 Y 2017-03-13 to 2019-03-12","1 Y 2017-04-11 to 2019-04-12","1 Y 2017-05-11 to 2019-05-12","1 Y 2017-06-12 to 2019-06-12","1 Y 2017-07-11 to 2019-07-12","1 Y 2017-08-11 to 2019-08-12","1 Y 2017-09-11 to 2019-09-12","1 Y 2017-10-11 to 2019-10-12","1 Y 2017-11-13 to 2019-11-12","1 Y 2017-12-11 to 2019-12-12","1 Y 2018-01-11 to 2020-01-12","1 Y 2018-02-12 to 2020-02-12","1 Y 2018-03-12 to 2020-03-12","1 Y 2018-04-11 to 2020-04-12","1 Y 2018-05-11 to 2020-05-12","1 Y 2018-06-11 to 2020-06-12","1 Y 2018-07-11 to 2020-07-12","1 Y 2018-08-13 to 2020-08-12","1 Y 2018-09-11 to 2020-09-12","1 Y 2018-10-11 to 2020-10-12","1 Y 2018-11-12 to 2020-11-12","1 Y 2018-12-11 to 2020-12-12","1 Y 2019-01-11 to 2021-01-12","1 Y 2019-02-11 to 2021-02-12","1 Y 2019-03-11 to 2021-03-12","1 Y 2019-04-11 to 2021-04-12","1 Y 2019-05-13 to 2021-05-12","1 Y 2019-06-11 to 2021-06-12","1 Y 2019-07-11 to 2021-07-12","1 Y 2019-08-12 to 2021-08-12","1 Y 2019-09-11 to 2021-09-12","2 Y 2015-12-11 to 2017-12-12","2 Y 2016-01-11 to 2018-01-12","2 Y 2016-02-11 to 2018-02-12","2 Y 2016-03-11 to 2018-03-12","2 Y 2016-04-11 to 2018-04-12","2 Y 2016-05-11 to 2018-05-12","2 Y 2016-06-13 to 2018-06-12","2 Y 2016-07-11 to 2018-07-12","2 Y 2016-08-11 to 2018-08-12","2 Y 2016-09-12 to 2018-09-12","2 Y 2016-10-11 to 2018-10-12","2 Y 2016-11-11 to 2018-11-12","2 Y 2016-12-12 to 2018-12-12","2 Y 2017-01-11 to 2019-01-12","2 Y 2017-02-13 to 2019-02-12","2 Y 2017-03-13 to 2019-03-12","2 Y 2017-04-11 to 2019-04-12","2 Y 2017-05-11 to 2019-05-12","2 Y 2017-06-12 to 2019-06-12","2 Y 2017-07-11 to 2019-07-12","2 Y 2017-08-11 to 2019-08-12","2 Y 2017-09-11 to 2019-09-12","2 Y 2017-10-11 to 2019-10-12","2 Y 2017-11-13 to 2019-11-12","2 Y 2017-12-11 to 2019-12-12","2 Y 2018-01-11 to 2020-01-12","2 Y 2018-02-12 to 2020-02-12","2 Y 2018-03-12 to 2020-03-12","2 Y 2018-04-11 to 2020-04-12","2 Y 2018-05-11 to 2020-05-12","2 Y 2018-06-11 to 2020-06-12","2 Y 2018-07-11 to 2020-07-12","2 Y 2018-08-13 to 2020-08-12","2 Y 2018-09-11 to 2020-09-12","2 Y 2018-10-11 to 2020-10-12","2 Y 2018-11-12 to 2020-11-12","2 Y 2018-12-11 to 2020-12-12","2 Y 2019-01-11 to 2021-01-12","2 Y 2019-02-11 to 2021-02-12","2 Y 2019-03-11 to 2021-03-12","2 Y 2019-04-11 to 2021-04-12","2 Y 2019-05-13 to 2021-05-12","2 Y 2019-06-11 to 2021-06-12","2 Y 2019-07-11 to 2021-07-12","2 Y 2019-08-12 to 2021-08-12","2 Y 2019-09-11 to 2021-09-12"
"P Information Ratio","0.85","1.82","1.9","2.45","2.27","1.85","2.11","1.41","1.27","0.96","0.79","0.03","0.48","0.17","0.12","-0.06","-0.3","-0.1","-0.93","-0.47","-0.11","-0.19","0.52","0","-0.25","-1.01","-1.14","-1.99","-0.38","-1.11","-0.56","-0.31","-0.69","-0.62","-0.18","-0.01","-0.1","0.18","1.14","1.87","0.26","0.79","2.35","0.99","0.24","0.87","1.14","2.3","2.75","2.22","1.84","1.65","2.19","1.73","1.31","1.47","1.34","0.39","0.45","0.8","0.73","0.75","0.73","0.77","0.26","0.44","0.32","0.24","0.11","0.26","0.22","-0.18","-0.29","-1.15","-0.64","-0.72","-0.64","-0.41","-0.38","-0.41","-0.25","-0.01","-0.22","-0.33","0.43","-0.19","-0.15","-0.24","0.85","-0.08","-0.29","-0.23"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.89","0.71","-0.05","0.24","0.74","0.41","0.74","0.38","0.43","0.27","0.16","0.22","0.19","-0.06","0.11","-0.08","-0.09","-0.25","-0.35","0.05","-0.1","-0.06","-0.22","-0.06","-0.08","-0.15","-0.5","-0.15","-0.52","-0.52","-0.49","-0.16","-0.52","-0.46","-0.29","-0.02","0.08","0.09","0.09","0.59","0.76","-0.01","-0.04","0.43","0.14","-0.14","0.56","0.46","0.51","0.2","0.5","0.45","0.6","0.48","0.48","0.32","0.39","0.32","0.21","0.15","0.13","0.2","0.17","0.11","0.06","0.07","0.01","0.03","-0.03","0.11","0.08","0.04","-0.1","-0.07","-0.44","-0.46","-0.39","-0.14","-0.21","-0.26","-0.23","-0.14","-0.19","-0.3","-0.06","-0.19","-0.04","-0.13","0.21","-0.07","-0.26","-0.15"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","0.7","0.75","1.49","1.31","1.12","1.1","1.16","1.17","1.04","1.04","0.96","0.93","0.99","0.96","1.02","1.06","1.09","0.99","1.04","1.14","1.12","1.12","1.06","1.06","0.99","0.9","0.95","0.86","1.09","1.07","1.11","1.1","1.16","1.11","1.09","1.09","1.12","1.09","1.34","1.03","1.02","1.07","1.45","1","1.01","1.06","0.86","0.96","1.12","1.24","1.12","1.11","1.14","1.16","1.05","1.06","1.01","0.94","0.99","1.01","1.07","1.07","1.08","1.01","1.06","1.11","1.09","1.09","1.02","1.03","1","0.95","0.95","0.92","1.05","1.04","1.08","1.08","1.12","1.08","1.09","1.09","1.11","1.07","1.21","1.09","1.08","1.09","1.27","1.08","1.09","1.06"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","17.85","20.28","61.43","78.75","75.19","78.85","86.35","84.49","75.56","77.27","79.15","86.73","87.07","91.87","93.15","95.33","94.66","95.77","96.13","95.93","94.33","94.13","89.06","89.1","77.85","74.77","74.63","81.49","87.35","91.02","89.36","89.52","90.76","90.52","89.6","90.04","87.69","89.42","90.76","78.39","73.38","78.72","83.72","77.84","66.74","63.24","73.18","62.55","65.16","79.1","76.67","75.05","77.39","74.79","69.12","71.14","71.2","79.91","81.81","89.54","90.79","91.73","89.85","90.76","92.56","92.59","91.79","92.11","89.37","90.25","89.78","89.5","88.31","88.82","90.97","93.27","91.6","91.75","91.82","91.91","90.96","90.61","87.02","87.89","87.19","86.66","86.87","85.63","86.1","86.03","84.78","85.7"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-2.4391","-2.4669","-9.4295","-9.3058","-9.3093","-9.3068","-9.67","-9.6752","-9.7394","-9.7386","-9.7441","-9.8028","-11.6569","-20.7159","-21.2508","-21.7578","-21.4711","-20.5106","-20.533","-21.544","-21.2463","-21.7484","-16.6066","-14.5927","-11.7628","-6.5161","-6.6827","-26.6005","-31.0247","-30.6931","-31.7276","-31.1207","-31.7657","-31.9486","-32.1488","-31.5452","-31.9755","-31.021","-32.1797","-14.301","-8.4098","-9.1807","-9.8785","-9.1255","-9.2608","-7.6686","-11.3271","-6.1287","-9.4295","-9.3058","-9.3093","-9.3068","-9.67","-9.6752","-9.7394","-9.7386","-9.7441","-9.8028","-11.6569","-20.7159","-21.2508","-21.7578","-21.4711","-20.5106","-20.533","-21.544","-21.2463","-21.7484","-20.1616","-20.1855","-19.9641","-18.6325","-19.0689","-26.6005","-31.0247","-30.6931","-31.7276","-31.1207","-31.7657","-31.9486","-32.1488","-31.5452","-31.9755","-31.021","-32.1797","-31.4014","-31.1058","-30.736","-32.3588","-30.6859","-31.4395","-30.8323"
"B Max Drawdown","-2.9033","-2.9033","-9.7412","-9.7411","-10.5811","-10.5811","-10.5811","-10.5811","-10.5811","-10.5811","-10.5811","-10.5811","-10.5811","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-16.7416","-15.8126","-11.4984","-7.6691","-7.6691","-18.528","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-16.0505","-10.5021","-10.5021","-10.5021","-10.5021","-10.5021","-10.5021","-10.5262","-5.1204","-9.7412","-9.7411","-10.5811","-10.5811","-10.5811","-10.5811","-10.5811","-10.5811","-10.5811","-10.5811","-10.5811","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312"
"MD DIFF(P-B)","0.4642","0.4364","0.311699999999998","0.4353","1.2718","1.2743","0.911099999999999","0.905899999999999","0.841699999999999","0.842499999999999","0.837","0.7783","-1.0758","-0.756600000000002","-1.2915","-1.7985","-1.5118","-0.551300000000001","-0.573700000000002","-1.5847","-1.287","-1.7891","0.134999999999998","1.2199","-0.2644","1.153","0.986400000000001","-8.0725","0.506499999999999","0.838099999999997","-0.196400000000001","0.410499999999999","-0.234500000000001","-0.417400000000001","-0.617600000000003","-0.0140000000000029","-0.444300000000002","0.510199999999998","-0.648499999999999","1.7495","2.0923","1.3214","0.6236","1.3766","1.2413","2.8335","-0.8009","-1.0083","0.311699999999998","0.4353","1.2718","1.2743","0.911099999999999","0.905899999999999","0.841699999999999","0.842499999999999","0.837","0.7783","-1.0758","-0.756600000000002","-1.2915","-1.7985","-1.5118","-0.551300000000001","-0.573700000000002","-1.5847","-1.287","-1.7891","-0.202300000000001","-0.226200000000002","-0.00479999999999947","1.3268","0.8904","-6.6412","0.506499999999999","0.838099999999997","-0.196400000000001","0.410499999999999","-0.234500000000001","-0.417400000000001","-0.617600000000003","-0.0140000000000029","-0.444300000000002","0.510199999999998","-0.648499999999999","0.129799999999999","0.4254","0.795199999999998","-0.827600000000004","0.845299999999998","0.0916999999999994","0.698899999999998"
