"","2013-12-11_to_2016-12-12_VGPortfolio_4QRank","2014-01-13_to_2017-01-12_VGPortfolio_4QRank","2014-02-11_to_2017-02-12_VGPortfolio_4QRank","2014-03-11_to_2017-03-12_VGPortfolio_4QRank","2014-04-11_to_2017-04-12_VGPortfolio_4QRank","2014-05-12_to_2017-05-12_VGPortfolio_4QRank","2014-06-11_to_2017-06-12_VGPortfolio_4QRank","2014-07-11_to_2017-07-12_VGPortfolio_4QRank","2014-08-11_to_2017-08-12_VGPortfolio_4QRank","2014-09-11_to_2017-09-12_VGPortfolio_4QRank","2014-10-13_to_2017-10-12_VGPortfolio_4QRank","2014-11-11_to_2017-11-12_VGPortfolio_4QRank","2014-12-11_to_2017-12-12_VGPortfolio_4QRank","2015-01-12_to_2018-01-12_VGPortfolio_4QRank","2015-02-11_to_2018-02-12_VGPortfolio_4QRank","2015-03-11_to_2018-03-12_VGPortfolio_4QRank","2015-04-13_to_2018-04-12_VGPortfolio_4QRank","2015-05-11_to_2018-05-12_VGPortfolio_4QRank","2015-06-11_to_2018-06-12_VGPortfolio_4QRank","2015-07-13_to_2018-07-12_VGPortfolio_4QRank","2015-08-11_to_2018-08-12_VGPortfolio_4QRank","2015-09-11_to_2018-09-12_VGPortfolio_4QRank","2015-10-12_to_2018-10-12_VGPortfolio_4QRank","2015-11-11_to_2018-11-12_VGPortfolio_4QRank","2015-12-11_to_2018-12-12_VGPortfolio_4QRank","2016-01-11_to_2019-01-12_VGPortfolio_4QRank","2016-02-11_to_2019-02-12_VGPortfolio_4QRank","2016-03-11_to_2019-03-12_VGPortfolio_4QRank","2016-04-11_to_2019-04-12_VGPortfolio_4QRank","2016-05-11_to_2019-05-12_VGPortfolio_4QRank","2016-06-13_to_2019-06-12_VGPortfolio_4QRank","2016-07-11_to_2019-07-12_VGPortfolio_4QRank","2016-08-11_to_2019-08-12_VGPortfolio_4QRank","2016-09-12_to_2019-09-12_VGPortfolio_4QRank","2016-10-11_to_2019-10-12_VGPortfolio_4QRank","2016-11-11_to_2019-11-12_VGPortfolio_4QRank","2016-12-12_to_2019-12-12_VGPortfolio_4QRank","2017-01-11_to_2020-01-12_VGPortfolio_4QRank","2017-02-13_to_2020-02-12_VGPortfolio_4QRank","2017-03-13_to_2020-03-12_VGPortfolio_4QRank","2017-04-11_to_2020-04-12_VGPortfolio_4QRank","2017-05-11_to_2020-05-12_VGPortfolio_4QRank","2017-06-12_to_2020-06-12_VGPortfolio_4QRank","2017-07-11_to_2020-07-12_VGPortfolio_4QRank","2017-08-11_to_2020-08-12_VGPortfolio_4QRank","2017-09-11_to_2020-09-12_VGPortfolio_4QRank","2017-10-11_to_2020-10-12_VGPortfolio_4QRank","2017-11-13_to_2020-11-12_VGPortfolio_4QRank","2017-12-11_to_2020-12-12_VGPortfolio_4QRank","2018-01-11_to_2021-01-12_VGPortfolio_4QRank","2018-02-12_to_2021-02-12_VGPortfolio_4QRank","2018-03-12_to_2021-03-12_VGPortfolio_4QRank","2018-04-11_to_2021-04-12_VGPortfolio_4QRank","2018-05-11_to_2021-05-12_VGPortfolio_4QRank","2018-06-11_to_2021-06-12_VGPortfolio_4QRank","2018-07-11_to_2021-07-12_VGPortfolio_4QRank","2018-08-13_to_2021-08-12_VGPortfolio_4QRank","2018-09-11_to_2021-09-12_VGPortfolio_4QRank","2018-10-11_to_2021-10-12_VGPortfolio_4QRank"
"P Information Ratio","0.62","0.9","0.68","0.95","1.37","0.95","1.88","1.05","1.41","0.67","1.02","0.73","1.98","1.92","1.74","1.31","0.25","0.18","0.64","0.73","0.38","0.44","1.78","1.49","1.52","1.37","1.7","1.1","1.23","1.32","0.94","0.7","0.58","0.35","1.04","0.2","0.38","-0.37","-0.2","0.04","0","-0.01","0.29","0.17","0.58","0.56","-0.05","0.53","1.22","1.35","-0.19","0.84","-0.21","0.76","0.89","-0.34","-0.09","1.12","1.24"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.34","0.38","0.38","0.59","0.68","0.47","0.78","0.39","0.66","0.3","0.33","0.28","0.86","0.43","0.57","0.42","0.1","0.16","0.19","0.23","0.23","0.23","0.68","0.42","0.31","0.39","0.41","0.3","0.32","0.26","0.23","0.09","0.12","0.01","0.25","-0.02","0.05","-0.07","-0.06","0.05","-0.01","-0.04","0.03","-0.06","0.08","0.15","-0.01","0.21","0.41","0.41","0.04","0.32","0.09","0.32","0.35","0.02","0.07","0.35","0.37"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","0.83","0.84","0.75","0.75","0.8","0.76","0.87","0.87","0.87","0.88","0.93","0.86","0.89","0.96","1.03","1.04","0.93","0.85","0.92","0.94","0.87","0.86","1.08","1.16","1.19","1.12","1.21","1.17","1.15","1.14","1.13","1.08","1.12","1.07","1.05","1.03","0.99","1","1","0.98","1.03","1.01","1.07","1.02","1.04","1.07","1.06","1.06","1.11","1.11","0.92","1.01","0.92","1.02","1","0.95","0.94","1.15","1.16"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","76.77","77.07","74.86","82.22","81.65","79.52","80.57","84.5","77.85","85.43","87.54","86.7","81.12","89.2","83.29","86.18","93.79","88.39","92.89","91.2","85.43","86.7","80.14","85.93","86.73","86.06","85.34","86.83","84.29","90.14","93.3","95.03","89.12","94.05","90.22","96.59","95.43","95.62","93.9","93.14","94.06","95.28","95.21","94.43","96.31","95.7","94.77","93.84","94.04","93.81","96.9","93.33","96.79","91.72","92.05","94.87","93.85","92.47","91.66"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-14.341","-14.1182","-11.6976","-12.2194","-13.076","-13.56","-13.5749","-14.3253","-12.6712","-13.4264","-14.4327","-13.3562","-13.8623","-14.8829","-15.4676","-14.9802","-12.7632","-12.7563","-12.9527","-13.5244","-14.2199","-13.7699","-14.288","-14.1282","-16.2447","-24.6072","-26.8595","-25.6426","-25.0469","-23.9295","-23.296","-22.6833","-23.293","-22.2343","-21.2692","-20.7757","-19.352","-19.6265","-20.6639","-26.9324","-32.2048","-32.2333","-33.6161","-33.4123","-33.3296","-34.0419","-35.5345","-31.4851","-32.1802","-32.3591","-32.131","-32.1765","-31.3595","-32.1835","-31.8023","-30.9515","-31.7788","-33.5937","-34.2895"
"B Max Drawdown","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-11.8362","-11.8362","-11.8362","-11.4136","-11.1728","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9594","-19.9593","-19.9593","-19.9593","-26.0386","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312"
"MD DIFF(P-B)","-1.0131","-0.7903","1.6303","1.1085","0.251899999999999","-0.232100000000001","-0.247","-0.997400000000001","0.656699999999999","-0.0984999999999996","-1.1048","-0.0282999999999998","-0.5344","-1.555","-2.1397","-1.6523","0.5647","0.5716","0.3752","-0.1965","-2.3837","-1.9337","-2.4518","-2.7146","-5.0719","-4.6479","-6.9002","-5.6833","-5.0876","-3.9702","-3.3367","-2.724","-3.3337","-2.275","-1.3099","-0.816300000000002","0.607299999999999","0.332799999999999","-0.704600000000003","-0.893800000000002","-0.6736","-0.702100000000002","-2.0849","-1.8811","-1.7984","-2.5107","-4.0033","0.0460999999999991","-0.649000000000001","-0.8279","-0.599800000000002","-0.645299999999999","0.171699999999998","-0.652300000000004","-0.271100000000001","0.579699999999999","-0.247600000000002","-2.0625","-2.7583"
