"","2014-12-11_to_2015-12-12_CorePortfolio_8QRank","2015-01-12_to_2016-01-12_CorePortfolio_8QRank","2015-02-11_to_2016-02-12_CorePortfolio_8QRank","2015-03-11_to_2016-03-12_CorePortfolio_8QRank","2015-04-13_to_2016-04-12_CorePortfolio_8QRank","2015-05-11_to_2016-05-12_CorePortfolio_8QRank","2015-06-11_to_2016-06-12_CorePortfolio_8QRank","2015-07-13_to_2016-07-12_CorePortfolio_8QRank","2015-08-11_to_2016-08-12_CorePortfolio_8QRank","2015-09-11_to_2016-09-12_CorePortfolio_8QRank","2015-10-12_to_2016-10-12_CorePortfolio_8QRank","2015-11-11_to_2016-11-12_CorePortfolio_8QRank","2015-12-11_to_2016-12-12_CorePortfolio_8QRank","2016-01-11_to_2017-01-12_CorePortfolio_8QRank","2016-02-11_to_2017-02-12_CorePortfolio_8QRank","2016-03-11_to_2017-03-12_CorePortfolio_8QRank","2016-04-11_to_2017-04-12_CorePortfolio_8QRank","2016-05-11_to_2017-05-12_CorePortfolio_8QRank","2016-06-13_to_2017-06-12_CorePortfolio_8QRank","2016-07-11_to_2017-07-12_CorePortfolio_8QRank","2016-08-11_to_2017-08-12_CorePortfolio_8QRank","2016-09-12_to_2017-09-12_CorePortfolio_8QRank","2016-10-11_to_2017-10-12_CorePortfolio_8QRank","2016-11-11_to_2017-11-12_CorePortfolio_8QRank","2016-12-12_to_2017-12-12_CorePortfolio_8QRank","2017-01-11_to_2018-01-12_CorePortfolio_8QRank","2017-02-13_to_2018-02-12_CorePortfolio_8QRank","2017-03-13_to_2018-03-12_CorePortfolio_8QRank","2017-04-11_to_2018-04-12_CorePortfolio_8QRank","2017-05-11_to_2018-05-12_CorePortfolio_8QRank","2017-06-12_to_2018-06-12_CorePortfolio_8QRank","2017-07-11_to_2018-07-12_CorePortfolio_8QRank","2017-08-11_to_2018-08-12_CorePortfolio_8QRank","2017-09-11_to_2018-09-12_CorePortfolio_8QRank","2017-10-11_to_2018-10-12_CorePortfolio_8QRank","2017-11-13_to_2018-11-12_CorePortfolio_8QRank","2017-12-11_to_2018-12-12_CorePortfolio_8QRank","2018-01-11_to_2019-01-12_CorePortfolio_8QRank","2018-02-12_to_2019-02-12_CorePortfolio_8QRank","2018-03-12_to_2019-03-12_CorePortfolio_8QRank","2018-04-11_to_2019-04-12_CorePortfolio_8QRank","2018-05-11_to_2019-05-12_CorePortfolio_8QRank","2018-06-11_to_2019-06-12_CorePortfolio_8QRank","2018-07-11_to_2019-07-12_CorePortfolio_8QRank","2018-08-13_to_2019-08-12_CorePortfolio_8QRank","2018-09-11_to_2019-09-12_CorePortfolio_8QRank","2018-10-11_to_2019-10-12_CorePortfolio_8QRank","2018-11-12_to_2019-11-12_CorePortfolio_8QRank","2018-12-11_to_2019-12-12_CorePortfolio_8QRank","2019-01-11_to_2020-01-12_CorePortfolio_8QRank","2019-02-11_to_2020-02-12_CorePortfolio_8QRank","2019-03-11_to_2020-03-12_CorePortfolio_8QRank","2019-04-11_to_2020-04-12_CorePortfolio_8QRank","2019-05-13_to_2020-05-12_CorePortfolio_8QRank","2019-06-11_to_2020-06-12_CorePortfolio_8QRank","2019-07-11_to_2020-07-12_CorePortfolio_8QRank","2019-08-12_to_2020-08-12_CorePortfolio_8QRank","2019-09-11_to_2020-09-12_CorePortfolio_8QRank","2019-10-11_to_2020-10-12_CorePortfolio_8QRank","2019-11-11_to_2020-11-12_CorePortfolio_8QRank","2019-12-11_to_2020-12-12_CorePortfolio_8QRank","2020-01-13_to_2021-01-12_CorePortfolio_8QRank","2020-02-11_to_2021-02-12_CorePortfolio_8QRank","2020-03-11_to_2021-03-12_CorePortfolio_8QRank","2020-04-13_to_2021-04-12_CorePortfolio_8QRank","2020-05-11_to_2021-05-12_CorePortfolio_8QRank","2020-06-11_to_2021-06-12_CorePortfolio_8QRank","2020-07-13_to_2021-07-12_CorePortfolio_8QRank","2020-08-11_to_2021-08-12_CorePortfolio_8QRank","2020-09-11_to_2021-09-12_CorePortfolio_8QRank"
"P Information Ratio","1.6","1","0.81","0.59","0.6","0.78","1.71","2.13","-0.02","1.11","0.34","0.82","0.75","-0.34","0.95","0.88","-0.4","-0.71","-0.18","0.32","-1","-0.28","0.45","-1.57","-1.67","0.35","-0.43","-0.75","-0.42","-0.58","0.03","-2.46","-1.14","-2.01","-1.46","-1.02","-0.09","0.25","0.6","0.34","0.64","0.29","0.52","0.51","0.89","0.49","0.45","-1","-1.43","-1.49","-1.48","-0.7","-1.76","-2.05","-2.3","-2.46","-2.15","-2.74","-2.65","-0.79","0.33","-0.77","-1.37","-0.61","-0.49","0.48","0.05","-0.25","-0.11","-0.4"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.67","0.29","0.3","0.12","0.18","0.21","0.43","0.38","0.15","0.33","0.16","0.07","0","0.04","-0.05","0.09","-0.14","0.04","-0.01","0.09","-0.2","0","-0.15","-0.27","-0.17","0.01","0.12","0.02","0.08","-0.01","0.07","-0.13","0","-0.4","-0.22","-0.4","-0.03","-0.05","0.17","0.1","0.3","0.17","0.2","0.17","0.25","0.21","0.13","-0.22","-0.26","-0.18","-0.22","-0.09","-0.6","-0.55","-0.52","-0.67","-0.94","-1.23","-1.04","-0.3","0.04","-0.52","-0.63","0.18","0.41","0.12","0.67","0.29","0.45","-0.09"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","0.9","0.87","0.95","1","1","0.99","1.03","1.03","0.99","1.03","1.15","1.1","1.09","1","1.03","1","1.01","0.97","1.01","0.94","1.1","1","1.11","1.07","1.02","1","0.87","0.92","0.91","0.89","0.92","0.91","0.94","0.89","0.87","0.88","0.9","0.89","0.9","0.93","0.85","0.86","0.89","0.89","0.92","0.91","0.91","0.97","0.99","0.99","0.95","0.96","1.04","1.03","1.03","1.03","1.03","1.02","0.96","1.06","1.16","1.02","0.98","0.91","0.88","0.89","0.84","0.87","0.88","0.99"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","96.84","96.79","94.67","95.92","95.94","95.91","96.91","96.69","94.09","93.47","93.34","94.46","96.24","92.67","95.51","91.92","88.42","90.95","92.22","86.65","92.65","92.88","90.2","85.13","90.28","89.74","91.45","96.3","96.56","97.74","95.57","96.22","94.2","93.42","88.99","91.94","95.25","92.47","96.49","94.79","94.44","92.08","94.95","94.75","96.34","95.58","94.46","98.16","95.55","95.64","95.06","97.38","97.55","97.59","98.1","97.06","96.41","97.07","94.11","97.6","95.61","93.11","91.6","91.2","81.52","77.01","79.85","74.79","74.69","73.8"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-11.2629","-11.193","-14.7528","-14.8215","-15.102","-15.1175","-14.0712","-14.1608","-14.3548","-14.2519","-13.7391","-13.5084","-12.626","-5.3407","-4.9048","-5.0494","-5.2872","-5.1624","-5.3081","-5.1507","-5.5009","-4.6227","-3.2918","-3.7476","-3.6152","-2.8004","-10.1087","-9.7811","-10.9973","-10.5993","-10.5486","-10.9325","-10.7971","-11.252","-10.8046","-11.2947","-10.9467","-16.7878","-17.1996","-17.5031","-16.3833","-16.0214","-16.6472","-16.4874","-16.61","-16.4913","-14.0801","-14.4578","-10.6621","-7.2563","-7.2456","-26.1112","-34.0125","-33.5598","-33.8253","-35.0005","-35.4199","-35.5246","-35.2955","-35.5087","-36.1013","-35.5435","-35.0983","-17.4631","-8.4889","-8.9451","-8.19","-8.4403","-7.8052","-7.7415"
"B Max Drawdown","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-11.8362","-11.8362","-11.8362","-11.4136","-10.5262","-5.1204","-5.1204","-5.1204","-5.1204","-5.1205","-4.8468","-4.6428","-4.6428","-4.0864","-3.2324","-2.9033","-2.9033","-2.9033","-10.3384","-10.3384","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-16.7416","-15.8126","-11.4984","-7.6691","-7.6691","-26.0386","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-15.9392","-10.5021","-10.5021","-10.5021","-10.502","-10.5021","-7.9326"
"MD DIFF(P-B)","2.065","2.1349","-1.4249","-1.4936","-1.7741","-1.7896","-0.7433","-0.8329","-2.5186","-2.4157","-1.9029","-2.0948","-2.0998","-0.2203","0.2156","0.0709999999999997","-0.1668","-0.0419","-0.4613","-0.507899999999999","-0.858099999999999","-0.5363","-0.0593999999999997","-0.8443","-0.7119","0.1029","0.229699999999999","0.5573","0.175500000000001","0.573500000000001","0.6242","0.240300000000001","0.3757","-0.0792000000000002","0.3682","-0.1219","0.226100000000001","3.1715","2.7597","2.4562","3.576","3.9379","3.3121","3.4719","3.3493","3.468","2.6615","1.3548","0.8363","0.4128","0.423500000000001","-0.0726000000000013","-2.4813","-2.0286","-2.2941","-3.4693","-3.8887","-3.9934","-3.7643","-3.9775","-4.5701","-4.0123","-3.5671","-1.5239","2.0132","1.557","2.3121","2.0617","2.6969","0.1911"
