"","2013-12-11_to_2014-12-12_VGPortfolio_4QRank","2014-01-13_to_2015-01-12_VGPortfolio_4QRank","2014-02-11_to_2015-02-12_VGPortfolio_4QRank","2014-03-11_to_2015-03-12_VGPortfolio_4QRank","2014-04-11_to_2015-04-12_VGPortfolio_4QRank","2014-05-12_to_2015-05-12_VGPortfolio_4QRank","2014-06-11_to_2015-06-12_VGPortfolio_4QRank","2014-07-11_to_2015-07-12_VGPortfolio_4QRank","2014-08-11_to_2015-08-12_VGPortfolio_4QRank","2014-09-11_to_2015-09-12_VGPortfolio_4QRank","2014-10-13_to_2015-10-12_VGPortfolio_4QRank","2014-11-11_to_2015-11-12_VGPortfolio_4QRank","2014-12-11_to_2015-12-12_VGPortfolio_4QRank","2015-01-12_to_2016-01-12_VGPortfolio_4QRank","2015-02-11_to_2016-02-12_VGPortfolio_4QRank","2015-03-11_to_2016-03-12_VGPortfolio_4QRank","2015-04-13_to_2016-04-12_VGPortfolio_4QRank","2015-05-11_to_2016-05-12_VGPortfolio_4QRank","2015-06-11_to_2016-06-12_VGPortfolio_4QRank","2015-07-13_to_2016-07-12_VGPortfolio_4QRank","2015-08-11_to_2016-08-12_VGPortfolio_4QRank","2015-09-11_to_2016-09-12_VGPortfolio_4QRank","2015-10-12_to_2016-10-12_VGPortfolio_4QRank","2015-11-11_to_2016-11-12_VGPortfolio_4QRank","2015-12-11_to_2016-12-12_VGPortfolio_4QRank","2016-01-11_to_2017-01-12_VGPortfolio_4QRank","2016-02-11_to_2017-02-12_VGPortfolio_4QRank","2016-03-11_to_2017-03-12_VGPortfolio_4QRank","2016-04-11_to_2017-04-12_VGPortfolio_4QRank","2016-05-11_to_2017-05-12_VGPortfolio_4QRank","2016-06-13_to_2017-06-12_VGPortfolio_4QRank","2016-07-11_to_2017-07-12_VGPortfolio_4QRank","2016-08-11_to_2017-08-12_VGPortfolio_4QRank","2016-09-12_to_2017-09-12_VGPortfolio_4QRank","2016-10-11_to_2017-10-12_VGPortfolio_4QRank","2016-11-11_to_2017-11-12_VGPortfolio_4QRank","2016-12-12_to_2017-12-12_VGPortfolio_4QRank","2017-01-11_to_2018-01-12_VGPortfolio_4QRank","2017-02-13_to_2018-02-12_VGPortfolio_4QRank","2017-03-13_to_2018-03-12_VGPortfolio_4QRank","2017-04-11_to_2018-04-12_VGPortfolio_4QRank","2017-05-11_to_2018-05-12_VGPortfolio_4QRank","2017-06-12_to_2018-06-12_VGPortfolio_4QRank","2017-07-11_to_2018-07-12_VGPortfolio_4QRank","2017-08-11_to_2018-08-12_VGPortfolio_4QRank","2017-09-11_to_2018-09-12_VGPortfolio_4QRank","2017-10-11_to_2018-10-12_VGPortfolio_4QRank","2017-11-13_to_2018-11-12_VGPortfolio_4QRank","2017-12-11_to_2018-12-12_VGPortfolio_4QRank","2018-01-11_to_2019-01-12_VGPortfolio_4QRank","2018-02-12_to_2019-02-12_VGPortfolio_4QRank","2018-03-12_to_2019-03-12_VGPortfolio_4QRank","2018-04-11_to_2019-04-12_VGPortfolio_4QRank","2018-05-11_to_2019-05-12_VGPortfolio_4QRank","2018-06-11_to_2019-06-12_VGPortfolio_4QRank","2018-07-11_to_2019-07-12_VGPortfolio_4QRank","2018-08-13_to_2019-08-12_VGPortfolio_4QRank","2018-09-11_to_2019-09-12_VGPortfolio_4QRank","2018-10-11_to_2019-10-12_VGPortfolio_4QRank","2018-11-12_to_2019-11-12_VGPortfolio_4QRank","2018-12-11_to_2019-12-12_VGPortfolio_4QRank","2019-01-11_to_2020-01-12_VGPortfolio_4QRank","2019-02-11_to_2020-02-12_VGPortfolio_4QRank","2019-03-11_to_2020-03-12_VGPortfolio_4QRank","2019-04-11_to_2020-04-12_VGPortfolio_4QRank","2019-05-13_to_2020-05-12_VGPortfolio_4QRank","2019-06-11_to_2020-06-12_VGPortfolio_4QRank","2019-07-11_to_2020-07-12_VGPortfolio_4QRank","2019-08-12_to_2020-08-12_VGPortfolio_4QRank","2019-09-11_to_2020-09-12_VGPortfolio_4QRank","2019-10-11_to_2020-10-12_VGPortfolio_4QRank","2019-11-11_to_2020-11-12_VGPortfolio_4QRank","2019-12-11_to_2020-12-12_VGPortfolio_4QRank","2020-01-13_to_2021-01-12_VGPortfolio_4QRank","2020-02-11_to_2021-02-12_VGPortfolio_4QRank","2020-03-11_to_2021-03-12_VGPortfolio_4QRank","2020-04-13_to_2021-04-12_VGPortfolio_4QRank","2020-05-11_to_2021-05-12_VGPortfolio_4QRank","2020-06-11_to_2021-06-12_VGPortfolio_4QRank","2020-07-13_to_2021-07-12_VGPortfolio_4QRank","2020-08-11_to_2021-08-12_VGPortfolio_4QRank","2020-09-11_to_2021-09-12_VGPortfolio_4QRank"
"P Information Ratio","0.62","0.82","-0.11","-0.02","0.5","1.2","2.07","1.91","0.97","0.77","2","0.77","1.53","2.52","-0.04","0.07","0.87","0.58","0.4","0.64","0.13","0.08","1.41","4.16","3.02","3.33","5.37","2.42","1.89","2.96","2.93","3.36","2.59","3.72","2.79","0.91","1.14","0.81","1.32","1.99","3.14","0.83","1.38","-0.14","-0.22","-0.2","-1.76","-0.13","1.05","0.63","1.21","0.14","0.11","0.18","0.62","0.05","0.32","0.15","-0.32","0.13","-0.76","-2.63","-3.8","-2.51","0.27","0.99","0.91","2.76","2.86","-1.45","-0.56","-1.34","1.47","2.23","1.67","3.5","2.07","2.98","2.21","2.17","2.22","1.84"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.36","-0.82","0.24","0.55","0.48","0.65","0.79","0.62","0.43","0.25","0.71","0.25","0.86","0.63","-0.13","0","0.32","0.25","0.13","0.13","0.19","0.15","0.64","0.66","0.6","0.67","1.06","0.85","0.86","0.63","0.89","0.83","1.17","0.72","1.08","0.51","0.47","0.06","-0.12","0.34","0.57","0.28","0.3","-0.05","-0.04","-0.06","-0.25","-0.03","0.25","-0.06","0.29","0.2","0.15","0.05","0.14","0.09","0.12","0.08","-0.09","-0.1","-0.6","-0.52","-0.63","-0.19","0.12","0.4","0.29","0.56","0.48","-0.56","-0.06","-0.48","0.57","0.59","0.56","0.91","0.8","1.29","1.32","1.63","1.06","0.95"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","0.87","1.52","0.54","0.64","0.72","0.62","0.84","0.87","0.77","0.88","0.92","0.77","0.81","0.86","0.94","0.94","0.9","0.82","0.9","0.91","0.86","0.85","1.14","1.17","1.21","1.1","1.15","0.9","0.98","1.11","1","0.84","0.79","0.93","0.68","0.71","0.79","0.98","1.21","1.04","1.01","1","1.03","0.92","0.97","0.97","0.98","1.1","1.04","0.9","0.96","0.93","0.98","0.91","0.88","1","0.99","1.07","1.04","1.1","1.18","1.09","1.07","0.95","1","0.93","0.97","0.92","0.97","0.91","0.81","0.87","1.2","1.13","1.12","1.05","1.14","1.01","0.96","0.94","1.13","1.08"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","51.42","75.22","36.23","65.62","74.48","64.86","78.42","81.91","72.96","82.97","87.17","87.62","90.56","95.66","91.01","87.64","94.96","90.23","94.61","94.37","87.77","87.06","95.6","98.04","96.09","88.9","74.82","59.14","48.19","67.03","70.03","69.34","42.49","80.03","36.05","76.66","72.01","88.44","91.29","86.57","92.35","89.66","87.93","90.04","93.28","91.28","92.65","93.58","92.75","95.4","97.12","96.66","97.71","94.34","94.92","97.14","96.49","96.93","96","95.04","92.7","98.39","98.5","99.53","98.52","98.73","97.51","97.35","98.31","96.18","93.67","95.79","96.33","97.56","96.32","89.87","84.93","74.79","73.71","72.38","76.17","62.76"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-7.0967","-7.6589","-7.6102","-7.1995","-7.6501","-7.0727","-7.4296","-7.8466","-7.7299","-13.4264","-13.1907","-13.1081","-11.3325","-11.5242","-15.4676","-14.9802","-12.7632","-12.7563","-12.9527","-13.5244","-14.2199","-13.7699","-14.288","-13.3263","-13.6256","-7.6","-7.1838","-6.509","-7.4648","-6.6734","-5.3333","-3.2452","-4.1444","-3.4496","-3.3855","-3.2918","-3.2252","-4.0519","-8.343","-8.3898","-9.3634","-9.2538","-9.0871","-9.6246","-10.3872","-10.8933","-11.5082","-12.0732","-12.1624","-19.6545","-18.7477","-18.1241","-18.5611","-17.8797","-17.4881","-19.6677","-19.2286","-20.4118","-17.2448","-15.2713","-11.3544","-8.3789","-7.6854","-26.7304","-34.2183","-33.5381","-33.7813","-31.2348","-34.3074","-32.3127","-30.2592","-31.7289","-35.3553","-33.4975","-34.5074","-17.4041","-10.6358","-10.8954","-9.5775","-8.8755","-9.4757","-7.1879"
"B Max Drawdown","-7.5098","-7.5098","-7.5098","-7.5098","-7.5099","-7.5098","-7.5098","-7.5098","-7.5098","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-11.8362","-11.8362","-11.8362","-11.4136","-10.5262","-5.1204","-5.1204","-5.1204","-5.1204","-5.1205","-4.8468","-4.6428","-4.6428","-4.0864","-3.2324","-2.9033","-2.9033","-2.9033","-10.3384","-10.3384","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-16.7416","-15.8126","-11.4984","-7.6691","-7.6691","-26.0386","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-15.9392","-10.5021","-10.5021","-10.5021","-10.502","-10.5021","-7.9326"
"MD DIFF(P-B)","0.4131","-0.1491","-0.1004","0.310300000000001","-0.1402","0.4371","0.0802000000000005","-0.336799999999999","-0.2201","-0.0984999999999996","0.1372","0.219799999999999","1.9954","1.8037","-2.1397","-1.6523","0.5647","0.5716","0.3752","-0.1965","-2.3837","-1.9337","-2.4518","-1.9127","-3.0994","-2.4796","-2.0634","-1.3886","-2.3444","-1.5529","-0.4865","1.3976","0.4984","0.6368","-0.1531","-0.3885","-0.3219","-1.1486","1.9954","1.9486","1.8094","1.919","2.0857","1.5482","0.785600000000001","0.279500000000001","-0.3354","-0.900399999999999","-0.989599999999999","0.3048","1.2116","1.8352","1.3982","2.0796","2.4712","0.291599999999999","0.730699999999999","-0.452500000000001","-0.503200000000003","0.5413","0.144","-0.7098","-0.0162999999999993","-0.691800000000001","-2.6871","-2.0069","-2.2501","0.296399999999998","-2.7762","-0.781500000000001","1.272","-0.197700000000001","-3.8241","-1.9663","-2.9762","-1.4649","-0.133699999999999","-0.3933","0.9246","1.6265","1.0264","0.7447"
