"","2014-06-11_to_2017-06-12_VGPortfolio_6QRank","2014-07-11_to_2017-07-12_VGPortfolio_6QRank","2014-08-11_to_2017-08-12_VGPortfolio_6QRank","2014-09-11_to_2017-09-12_VGPortfolio_6QRank","2014-10-13_to_2017-10-12_VGPortfolio_6QRank","2014-11-11_to_2017-11-12_VGPortfolio_6QRank","2014-12-11_to_2017-12-12_VGPortfolio_6QRank","2015-01-12_to_2018-01-12_VGPortfolio_6QRank","2015-02-11_to_2018-02-12_VGPortfolio_6QRank","2015-03-11_to_2018-03-12_VGPortfolio_6QRank","2015-04-13_to_2018-04-12_VGPortfolio_6QRank","2015-05-11_to_2018-05-12_VGPortfolio_6QRank","2015-06-11_to_2018-06-12_VGPortfolio_6QRank","2015-07-13_to_2018-07-12_VGPortfolio_6QRank","2015-08-11_to_2018-08-12_VGPortfolio_6QRank","2015-09-11_to_2018-09-12_VGPortfolio_6QRank","2015-10-12_to_2018-10-12_VGPortfolio_6QRank","2015-11-11_to_2018-11-12_VGPortfolio_6QRank","2015-12-11_to_2018-12-12_VGPortfolio_6QRank","2016-01-11_to_2019-01-12_VGPortfolio_6QRank","2016-02-11_to_2019-02-12_VGPortfolio_6QRank","2016-03-11_to_2019-03-12_VGPortfolio_6QRank","2016-04-11_to_2019-04-12_VGPortfolio_6QRank","2016-05-11_to_2019-05-12_VGPortfolio_6QRank","2016-06-13_to_2019-06-12_VGPortfolio_6QRank","2016-07-11_to_2019-07-12_VGPortfolio_6QRank","2016-08-11_to_2019-08-12_VGPortfolio_6QRank","2016-09-12_to_2019-09-12_VGPortfolio_6QRank","2016-10-11_to_2019-10-12_VGPortfolio_6QRank","2016-11-11_to_2019-11-12_VGPortfolio_6QRank","2016-12-12_to_2019-12-12_VGPortfolio_6QRank","2017-01-11_to_2020-01-12_VGPortfolio_6QRank","2017-02-13_to_2020-02-12_VGPortfolio_6QRank","2017-03-13_to_2020-03-12_VGPortfolio_6QRank","2017-04-11_to_2020-04-12_VGPortfolio_6QRank","2017-05-11_to_2020-05-12_VGPortfolio_6QRank","2017-06-12_to_2020-06-12_VGPortfolio_6QRank","2017-07-11_to_2020-07-12_VGPortfolio_6QRank","2017-08-11_to_2020-08-12_VGPortfolio_6QRank","2017-09-11_to_2020-09-12_VGPortfolio_6QRank","2017-10-11_to_2020-10-12_VGPortfolio_6QRank","2017-11-13_to_2020-11-12_VGPortfolio_6QRank","2017-12-11_to_2020-12-12_VGPortfolio_6QRank","2018-01-11_to_2021-01-12_VGPortfolio_6QRank","2018-02-12_to_2021-02-12_VGPortfolio_6QRank","2018-03-12_to_2021-03-12_VGPortfolio_6QRank","2018-04-11_to_2021-04-12_VGPortfolio_6QRank","2018-05-11_to_2021-05-12_VGPortfolio_6QRank","2018-06-11_to_2021-06-12_VGPortfolio_6QRank","2018-07-11_to_2021-07-12_VGPortfolio_6QRank","2018-08-13_to_2021-08-12_VGPortfolio_6QRank","2018-09-11_to_2021-09-12_VGPortfolio_6QRank","2018-10-11_to_2021-10-12_VGPortfolio_6QRank"
"P Information Ratio","0.81","1.93","1.51","0.99","0.61","0.9","0.72","0.94","1.71","1.39","1.57","-0.48","1.55","-0.03","1.11","0.03","1.65","1.48","1.38","1.34","1.43","0.73","1.21","1.5","1.11","1.03","0.95","0.98","0.93","1.1","1.24","1.1","0.12","0.62","0.21","0.94","0.21","0.95","0.3","0.55","-0.49","-0.45","-0.28","-0.91","-0.29","0.89","0.8","0.41","0.59","0.12","-0.08","-0.05","1.25"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.39","0.8","0.7","0.43","0.24","0.44","0.39","0.25","0.58","0.51","0.56","-0.02","0.62","0.11","0.38","0.06","0.62","0.42","0.24","0.4","0.26","0.15","0.27","0.38","0.36","0.26","0.26","0.25","0.18","0.26","0.31","0.25","0.02","0.16","0.03","0.18","0.09","0.14","0.04","0.14","-0.13","-0.1","-0.05","-0.16","-0.06","0.3","0.25","0.13","0.15","0.06","0.03","-0.01","0.37"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","0.79","0.81","0.86","0.8","0.86","0.79","0.84","0.95","1","0.95","0.95","0.85","0.94","0.91","1","0.93","1.08","1.15","1.23","1.16","1.21","1.2","1.22","1.17","1.18","1.18","1.18","1.11","1.09","1.04","1.03","0.99","0.99","0.96","1.01","0.97","0.99","1.02","1.02","1.1","1","0.98","1","0.97","0.97","1.08","1.09","1.06","1.07","1.02","0.98","0.98","1.14"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","84.76","79.25","77.65","85.8","87.53","85.16","86.47","88.92","82.5","83.41","85.97","89.23","79.95","92.11","84.53","88.98","80.88","86.57","87.18","85.68","87.66","86.63","85.54","87.17","90.12","89.18","88.98","90.03","90.92","92.14","91.73","93.06","94.85","94.89","96.23","96.05","95.89","96.74","96.19","95.25","94.42","96.54","97.24","97.93","97.04","93.61","92.29","92.46","93.97","97.55","96.19","94.72","91.56"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-14.0919","-12.2995","-11.9882","-12.8399","-13.5352","-13.4421","-13.485","-14.8218","-13.5946","-13.1834","-13.1887","-12.9439","-13.032","-14.6973","-13.7634","-15.1171","-13.1655","-14.0903","-16.7628","-24.9593","-26.2633","-26.4005","-25.7758","-25.358","-25.15","-25.4627","-24.9904","-24.0087","-22.6916","-22.5107","-22.0576","-20.6523","-18.3088","-27.003","-32.4368","-30.5995","-32.5744","-32.4483","-32.6912","-33.5498","-32.4931","-31.6939","-31.1631","-32.3132","-31.7935","-33.0523","-33.0941","-32.1443","-33.5698","-32.8566","-33.6598","-32.7083","-33.7879"
"B Max Drawdown","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-11.8362","-11.8362","-11.8362","-11.4136","-11.1728","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9594","-19.9593","-19.9593","-19.9593","-26.0386","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312"
"MD DIFF(P-B)","-0.764000000000001","1.0284","1.3397","0.488","-0.2073","-0.1142","-0.1571","-1.4939","-0.2667","0.144499999999999","0.139199999999999","0.384","0.2959","-1.3694","-1.9272","-3.2809","-1.3293","-2.6767","-5.59","-5","-6.304","-6.4412","-5.8165","-5.3987","-5.1907","-5.5034","-5.0311","-4.0494","-2.7323","-2.5513","-2.0983","-0.693000000000001","1.6505","-0.964400000000001","-0.9056","0.931699999999999","-1.0432","-0.917100000000005","-1.16","-2.0186","-0.9619","-0.162700000000001","0.368099999999998","-0.782000000000004","-0.262300000000003","-1.5211","-1.5629","-0.613100000000003","-2.0386","-1.3254","-2.1286","-1.1771","-2.2567"
