"","1 Y 2015-12-11 to 2016-12-12","1 Y 2016-01-11 to 2017-01-12","1 Y 2016-02-11 to 2017-02-12","1 Y 2016-03-11 to 2017-03-12","1 Y 2016-04-11 to 2017-04-12","1 Y 2016-05-11 to 2017-05-12","1 Y 2016-06-13 to 2017-06-12","1 Y 2016-07-11 to 2017-07-12","1 Y 2016-08-11 to 2017-08-12","1 Y 2016-09-12 to 2017-09-12","1 Y 2016-10-11 to 2017-10-12","1 Y 2016-11-11 to 2017-11-12","1 Y 2016-12-12 to 2017-12-12","1 Y 2017-01-11 to 2018-01-12","1 Y 2017-02-13 to 2018-02-12","1 Y 2017-03-13 to 2018-03-12","1 Y 2017-04-11 to 2018-04-12","1 Y 2017-05-11 to 2018-05-12","1 Y 2017-06-12 to 2018-06-12","1 Y 2017-07-11 to 2018-07-12","1 Y 2017-08-11 to 2018-08-12","1 Y 2017-09-11 to 2018-09-12","1 Y 2017-10-11 to 2018-10-12","1 Y 2017-11-13 to 2018-11-12","1 Y 2017-12-11 to 2018-12-12","1 Y 2018-01-11 to 2019-01-12","1 Y 2018-02-12 to 2019-02-12","1 Y 2018-03-12 to 2019-03-12","1 Y 2018-04-11 to 2019-04-12","1 Y 2018-05-11 to 2019-05-12","1 Y 2018-06-11 to 2019-06-12","1 Y 2018-07-11 to 2019-07-12","1 Y 2018-08-13 to 2019-08-12","1 Y 2018-09-11 to 2019-09-12","1 Y 2018-10-11 to 2019-10-12","1 Y 2018-11-12 to 2019-11-12","1 Y 2018-12-11 to 2019-12-12","1 Y 2019-01-11 to 2020-01-12","1 Y 2019-02-11 to 2020-02-12","1 Y 2019-03-11 to 2020-03-12","1 Y 2019-04-11 to 2020-04-12","1 Y 2019-05-13 to 2020-05-12","1 Y 2019-06-11 to 2020-06-12","1 Y 2019-07-11 to 2020-07-12","1 Y 2019-08-12 to 2020-08-12","1 Y 2019-09-11 to 2020-09-12","1 Y 2019-10-11 to 2020-10-12","1 Y 2019-11-11 to 2020-11-12","1 Y 2019-12-11 to 2020-12-12","1 Y 2020-01-13 to 2021-01-12","1 Y 2020-02-11 to 2021-02-12","1 Y 2020-03-11 to 2021-03-12","1 Y 2020-04-13 to 2021-04-12","1 Y 2020-05-11 to 2021-05-12","1 Y 2020-06-11 to 2021-06-12","1 Y 2020-07-13 to 2021-07-12","1 Y 2020-08-11 to 2021-08-12","1 Y 2020-09-11 to 2021-09-12"
"P Information Ratio","1.12","0.81","2.2","0.05","-0.09","-1.02","0.28","0.47","0.08","-0.28","0.26","-2.05","-2.53","-1.07","-0.26","-0.41","-0.3","0.07","0.38","-0.46","-0.53","-0.64","-1.13","-0.39","-0.47","-0.14","0","0.26","-1.89","-0.96","-1.5","-0.73","-0.56","-0.64","-0.99","-0.82","-1.07","-2.22","-2.58","-1.9","-1.54","-2.01","-0.88","-2.66","-3.11","-3.76","-3.57","-3.01","-1.76","-1.39","-1.12","1.95","1.17","2.36","1.31","1.71","0.91","0.95"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.72","0.41","0.6","0.11","-0.52","-0.57","-0.17","0.41","0","-0.47","-0.95","-0.71","-0.61","0.05","0.14","-0.21","-0.2","0.2","0.15","-0.36","-0.15","-0.48","-0.24","-0.23","-0.26","-0.02","0.36","0.11","-0.74","-0.67","-0.92","-0.35","-0.28","-0.43","-0.49","-0.76","-0.85","-0.52","-0.82","-0.75","-0.66","-1.43","-0.74","-1.98","-2.27","-2.96","-2.38","-2.19","-2.17","-1.88","-1.13","2.1","2.36","2.3","2.57","3.01","1.57","1.39"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","0.76","1.09","1.33","1.04","1.22","1.2","1.26","1.07","1.01","1.16","1.6","1.01","1.02","0.86","0.89","1.16","1.13","1.04","0.99","1.07","1","0.96","0.98","0.9","0.91","0.85","0.84","0.82","0.89","0.97","1","0.88","0.99","0.99","1.11","1.13","1.13","0.79","0.81","1.01","1.02","0.91","1.14","0.87","0.9","0.86","0.81","0.81","1.07","1.1","1.08","0.76","0.73","0.8","0.7","0.7","1.09","1.17"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","46.33","64.87","48.21","55.33","63.21","63.77","30.96","12.21","16.46","19.46","30.54","53.44","55.29","38.73","60.19","80.56","76.99","75.09","75.22","69.04","63.56","77.23","74.4","80.07","80.15","79.91","88.07","90.77","85.33","87.94","87.27","89.45","85.16","82.33","85.1","88.4","76.78","76.96","66.77","91.98","90.13","81.76","89.84","78.98","78.95","84.94","88.23","84.28","77.5","80.02","79.94","41.73","30.08","27.81","27.95","25.03","37.13","25.94"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-8.0173","-5.224","-9.7979","-5.8363","-5.9461","-6.1891","-7.1557","-7.5459","-7.0347","-7.4679","-6.4135","-4.3063","-4.4841","-4.3506","-10.4586","-10.3591","-14.8749","-14.073","-13.5315","-15.1456","-14.6613","-14.1243","-14.3506","-13.9708","-14.0259","-15.41","-16.3444","-15.8151","-19.1271","-19.7074","-20.2341","-18.0416","-19.6481","-18.5021","-15.6398","-14.9405","-10.2756","-6.9303","-7.0629","-27.6028","-33.7956","-33.7327","-37.0232","-34.2745","-36.3704","-36.4771","-35.3058","-36.5625","-40.7726","-41.1011","-39.2093","-19.6344","-18.8331","-18.9478","-8.3458","-8.7807","-12.1192","-12.192"
"B Max Drawdown","-10.5262","-5.1204","-5.1204","-5.1204","-5.1204","-5.1205","-4.8468","-4.6428","-4.6428","-4.0864","-3.2324","-2.9033","-2.9033","-2.9033","-10.3384","-10.3384","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-16.7416","-15.8126","-11.4984","-7.6691","-7.6691","-26.0386","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-15.9392","-10.5021","-10.5021","-10.5021","-10.502","-10.5021","-7.9326"
"MD DIFF(P-B)","2.5089","-0.1036","-4.6775","-0.7159","-0.8257","-1.0686","-2.3089","-2.9031","-2.3919","-3.3815","-3.1811","-1.403","-1.5808","-1.4473","-0.120200000000001","-0.0206999999999997","-3.7021","-2.9002","-2.3587","-3.9728","-3.4885","-2.9515","-3.1778","-2.798","-2.8531","4.5493","3.6149","4.1442","0.8322","0.251899999999999","-0.274800000000003","1.9177","0.311199999999999","1.4572","1.1018","0.8721","1.2228","0.7388","0.6062","-1.5642","-2.2644","-2.2015","-5.492","-2.7433","-4.8392","-4.9459","-3.7746","-5.0313","-9.2414","-9.5699","-7.6781","-3.6952","-8.331","-8.4457","2.1563","1.7213","-1.6171","-4.2594"
