"","1 Y 2013-06-11 to 2015-06-12","1 Y 2013-07-11 to 2015-07-12","1 Y 2013-08-12 to 2015-08-12","1 Y 2013-09-11 to 2015-09-12","1 Y 2013-10-11 to 2015-10-12","1 Y 2013-11-11 to 2015-11-12","1 Y 2013-12-11 to 2015-12-12","1 Y 2014-01-13 to 2016-01-12","1 Y 2014-02-11 to 2016-02-12","1 Y 2014-03-11 to 2016-03-12","1 Y 2014-04-11 to 2016-04-12","1 Y 2014-05-12 to 2016-05-12","1 Y 2014-06-11 to 2016-06-12","1 Y 2014-07-11 to 2016-07-12","1 Y 2014-08-11 to 2016-08-12","1 Y 2014-09-11 to 2016-09-12","1 Y 2014-10-13 to 2016-10-12","1 Y 2014-11-11 to 2016-11-12","1 Y 2014-12-11 to 2016-12-12","1 Y 2015-01-12 to 2017-01-12","1 Y 2015-02-11 to 2017-02-12","1 Y 2015-03-11 to 2017-03-12","1 Y 2015-04-13 to 2017-04-12","1 Y 2015-05-11 to 2017-05-12","1 Y 2015-06-11 to 2017-06-12","1 Y 2015-07-13 to 2017-07-12","1 Y 2015-08-11 to 2017-08-12","1 Y 2015-09-11 to 2017-09-12","1 Y 2015-10-12 to 2017-10-12","1 Y 2015-11-11 to 2017-11-12","1 Y 2015-12-11 to 2017-12-12","1 Y 2016-01-11 to 2018-01-12","1 Y 2016-02-11 to 2018-02-12","1 Y 2016-03-11 to 2018-03-12","1 Y 2016-04-11 to 2018-04-12","1 Y 2016-05-11 to 2018-05-12","1 Y 2016-06-13 to 2018-06-12","1 Y 2016-07-11 to 2018-07-12","1 Y 2016-08-11 to 2018-08-12","1 Y 2016-09-12 to 2018-09-12","1 Y 2016-10-11 to 2018-10-12","1 Y 2016-11-11 to 2018-11-12","1 Y 2016-12-12 to 2018-12-12","1 Y 2017-01-11 to 2019-01-12","1 Y 2017-02-13 to 2019-02-12","1 Y 2017-03-13 to 2019-03-12","1 Y 2017-04-11 to 2019-04-12","1 Y 2017-05-11 to 2019-05-12","1 Y 2017-06-12 to 2019-06-12","1 Y 2017-07-11 to 2019-07-12","1 Y 2017-08-11 to 2019-08-12","1 Y 2017-09-11 to 2019-09-12","1 Y 2017-10-11 to 2019-10-12","1 Y 2017-11-13 to 2019-11-12","1 Y 2017-12-11 to 2019-12-12","1 Y 2018-01-11 to 2020-01-12","1 Y 2018-02-12 to 2020-02-12","1 Y 2018-03-12 to 2020-03-12","1 Y 2018-04-11 to 2020-04-12","1 Y 2018-05-11 to 2020-05-12","1 Y 2018-06-11 to 2020-06-12","1 Y 2018-07-11 to 2020-07-12","1 Y 2018-08-13 to 2020-08-12","1 Y 2018-09-11 to 2020-09-12","1 Y 2018-10-11 to 2020-10-12","1 Y 2018-11-12 to 2020-11-12","1 Y 2018-12-11 to 2020-12-12","1 Y 2019-01-11 to 2021-01-12","1 Y 2019-02-11 to 2021-02-12","1 Y 2019-03-11 to 2021-03-12","1 Y 2019-04-11 to 2021-04-12","1 Y 2019-05-13 to 2021-05-12","1 Y 2019-06-11 to 2021-06-12","1 Y 2019-07-11 to 2021-07-12","1 Y 2019-08-12 to 2021-08-12","1 Y 2019-09-11 to 2021-09-12","2 Y 2013-06-11 to 2015-06-12","2 Y 2013-07-11 to 2015-07-12","2 Y 2013-08-12 to 2015-08-12","2 Y 2013-09-11 to 2015-09-12","2 Y 2013-10-11 to 2015-10-12","2 Y 2013-11-11 to 2015-11-12","2 Y 2013-12-11 to 2015-12-12","2 Y 2014-01-13 to 2016-01-12","2 Y 2014-02-11 to 2016-02-12","2 Y 2014-03-11 to 2016-03-12","2 Y 2014-04-11 to 2016-04-12","2 Y 2014-05-12 to 2016-05-12","2 Y 2014-06-11 to 2016-06-12","2 Y 2014-07-11 to 2016-07-12","2 Y 2014-08-11 to 2016-08-12","2 Y 2014-09-11 to 2016-09-12","2 Y 2014-10-13 to 2016-10-12","2 Y 2014-11-11 to 2016-11-12","2 Y 2014-12-11 to 2016-12-12","2 Y 2015-01-12 to 2017-01-12","2 Y 2015-02-11 to 2017-02-12","2 Y 2015-03-11 to 2017-03-12","2 Y 2015-04-13 to 2017-04-12","2 Y 2015-05-11 to 2017-05-12","2 Y 2015-06-11 to 2017-06-12","2 Y 2015-07-13 to 2017-07-12","2 Y 2015-08-11 to 2017-08-12","2 Y 2015-09-11 to 2017-09-12","2 Y 2015-10-12 to 2017-10-12","2 Y 2015-11-11 to 2017-11-12","2 Y 2015-12-11 to 2017-12-12","2 Y 2016-01-11 to 2018-01-12","2 Y 2016-02-11 to 2018-02-12","2 Y 2016-03-11 to 2018-03-12","2 Y 2016-04-11 to 2018-04-12","2 Y 2016-05-11 to 2018-05-12","2 Y 2016-06-13 to 2018-06-12","2 Y 2016-07-11 to 2018-07-12","2 Y 2016-08-11 to 2018-08-12","2 Y 2016-09-12 to 2018-09-12","2 Y 2016-10-11 to 2018-10-12","2 Y 2016-11-11 to 2018-11-12","2 Y 2016-12-12 to 2018-12-12","2 Y 2017-01-11 to 2019-01-12","2 Y 2017-02-13 to 2019-02-12","2 Y 2017-03-13 to 2019-03-12","2 Y 2017-04-11 to 2019-04-12","2 Y 2017-05-11 to 2019-05-12","2 Y 2017-06-12 to 2019-06-12","2 Y 2017-07-11 to 2019-07-12","2 Y 2017-08-11 to 2019-08-12","2 Y 2017-09-11 to 2019-09-12","2 Y 2017-10-11 to 2019-10-12","2 Y 2017-11-13 to 2019-11-12","2 Y 2017-12-11 to 2019-12-12","2 Y 2018-01-11 to 2020-01-12","2 Y 2018-02-12 to 2020-02-12","2 Y 2018-03-12 to 2020-03-12","2 Y 2018-04-11 to 2020-04-12","2 Y 2018-05-11 to 2020-05-12","2 Y 2018-06-11 to 2020-06-12","2 Y 2018-07-11 to 2020-07-12","2 Y 2018-08-13 to 2020-08-12","2 Y 2018-09-11 to 2020-09-12","2 Y 2018-10-11 to 2020-10-12","2 Y 2018-11-12 to 2020-11-12","2 Y 2018-12-11 to 2020-12-12","2 Y 2019-01-11 to 2021-01-12","2 Y 2019-02-11 to 2021-02-12","2 Y 2019-03-11 to 2021-03-12","2 Y 2019-04-11 to 2021-04-12","2 Y 2019-05-13 to 2021-05-12","2 Y 2019-06-11 to 2021-06-12","2 Y 2019-07-11 to 2021-07-12","2 Y 2019-08-12 to 2021-08-12","2 Y 2019-09-11 to 2021-09-12"
"P Information Ratio","1.48","-0.07","-0.42","-0.35","-0.39","-0.12","-0.19","-0.07","0.36","0.04","0.53","0.97","0.47","0.18","-0.03","0.17","1.84","1","0.96","1.73","2.15","0.27","-0.85","-0.39","-1.23","-3.16","-1.22","-0.53","0.48","-1.88","-0.26","1.18","1.36","0.49","1.58","1.94","2.51","1.61","-0.99","-1.59","-2.29","-0.07","1.13","0.76","-0.43","0.76","0.17","-1.22","-2.24","-1.8","-0.4","-0.61","-0.82","-1.4","-1.33","-1.63","-0.21","-0.07","0.43","-1.83","-1.61","-2.82","-2.32","1.16","1.39","-0.85","-0.05","0.5","1.57","5.26","-0.28","1.94","1.51","0.72","1.41","0.77","1.32","0.62","-0.45","-0.84","-0.62","-0.31","-0.02","0.14","0.38","-0.1","1.08","1.85","1.29","1.24","1.03","1.25","1.32","-0.32","1.62","1.54","0.09","0.08","-0.29","-0.14","0.02","-0.66","-0.38","-0.08","0.65","0.22","0.77","1.04","1.81","0.95","1.24","1.08","2.13","2.11","-1.62","-1.55","-1.67","-0.54","0.65","0.09","-0.38","-0.66","-0.68","-1.7","-1.79","-1.23","-0.87","-0.61","-0.39","-0.68","-0.93","-1.03","-0.11","-0.18","-0.45","-0.82","-0.71","-1.77","-1.65","0.13","0.51","-0.6","-0.04","-0.1","0.76","1.01","-0.31","1.44","1.1","0.93","1.02","0.8"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.72","-0.03","-0.07","-0.21","-0.05","-0.07","0.07","-0.13","-0.07","-0.25","0.34","0.49","0.21","-0.09","0.14","0.05","1.13","0.26","0.32","0.8","-0.07","0.47","0.07","0.41","-0.44","-0.48","-0.37","-0.57","0.36","-0.07","-0.04","1.02","-0.01","0.61","0.65","0.94","0.66","0.43","-0.06","-0.64","-0.35","-0.1","0.74","0.43","0.08","0.32","0.11","-0.79","-0.99","-0.57","0.02","-0.12","-0.13","-0.35","0.23","0.06","0.77","0.05","0.25","-0.57","-0.55","-1.21","-1.27","1.23","1.03","-0.64","-0.06","0.11","0.81","1.66","0.32","0.52","-0.06","-0.11","-0.62","-1","1.06","0.52","0.09","-0.12","-0.05","0.22","0.21","0.1","0.25","-0.09","0.43","0.69","0.64","0.55","0.46","0.57","0.62","-0.17","0.7","0.58","0","0.11","-0.15","0.11","0.24","-0.04","-0.01","-0.17","0.13","0","0.08","0.36","0.57","0.5","0.52","0.49","0.82","0.74","-0.29","-0.42","-0.25","0.08","0.45","0.21","-0.1","-0.14","-0.11","-0.68","-0.82","-0.54","-0.18","-0.39","0.01","-0.25","-0.41","-0.38","0.35","-0.12","-0.23","-0.39","-0.32","-0.82","-0.79","0.2","-0.02","-0.54","-0.53","-0.58","0.21","0.33","-0.1","1.32","0.82","0.63","0.44","0.27"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","0.78","0.76","0.64","0.6","0.58","0.55","0.61","0.66","0.5","0.67","1","1.03","0.89","1.05","1.06","1.09","1.3","0.96","1.25","0.98","1.25","0.68","0.75","0.68","0.9","0.74","0.93","1.13","0.79","0.81","1.03","0.64","1.53","0.84","1.11","1.02","1.15","1.03","0.7","0.89","0.88","0.47","0.72","0.8","0.73","0.74","0.85","0.98","0.99","1","1.01","1.09","0.93","0.9","0.66","0.52","0.48","0.8","0.95","0.8","0.81","0.83","1.05","1.31","1.48","1.07","1.19","1.2","1.19","0.99","0.96","1.84","1.91","1.87","1.71","1.87","0.66","0.62","0.7","0.65","0.62","0.63","0.67","0.68","0.6","0.76","1.03","1.02","0.87","1.07","1.1","1.05","1.1","0.89","1.07","1.11","1.14","1.03","0.83","0.73","0.72","0.8","0.92","1.06","1.12","1.11","1.23","1.25","1.29","1.13","1.13","1.16","1.18","1.02","0.74","0.9","0.82","0.51","0.7","0.78","0.8","0.81","0.9","0.98","0.99","0.98","0.94","1.05","0.93","0.83","0.77","0.7","0.66","0.79","0.87","0.83","0.84","0.92","1.07","1.28","1.45","1.2","1.32","1.27","1.26","1.21","0.97","1.28","1.37","1.34","1.49","1.44"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","70.85","84.95","69.95","67.49","68.34","83.96","83.81","79.89","70.57","85.76","93.19","91.96","88.22","82.14","84.42","82.61","81.87","82.9","77.07","71.71","80.64","59.56","57.23","34.45","58.4","67.04","62.73","59.26","37.26","73.35","32.27","9.74","53.89","49.91","68.89","76.2","81.66","82.01","57.06","74.83","85.74","43.57","63.93","68.89","75.35","92.15","92.14","92.83","91.87","94.74","93.02","94.13","97.94","92.29","72.52","74.47","44.32","82.95","96.48","92.93","93.14","93.8","91.37","87.2","89.72","86.05","88.57","94.94","92.05","92.15","89.63","74.57","75.93","70.43","66.09","56.21","52.13","50.99","71.05","70.84","70.18","77.93","80.97","75.68","68.77","81.45","90.59","89.58","82.57","83.97","87.66","84.65","85.12","86.83","83.53","81.18","80.79","72.36","75.89","65.61","69.5","78.11","84.82","81.7","79.4","80.46","66.98","48.52","44.23","45.34","42.21","48.41","69.61","63.96","60.21","68.17","73.67","46.86","55.31","71.97","74.56","81.45","85.83","86.29","85.33","87.35","85.81","89.29","87.68","80.52","70.6","71.24","61.86","72.17","81.99","87.39","89.38","89.82","92.63","87.3","90.08","87.6","85.14","93.4","92.28","93.14","87.97","71.13","73.99","70.85","74.04","73.24"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-6.439","-7.4675","-5.2729","-12.1757","-10.4234","-9.9682","-10.4681","-11.9532","-12.0578","-13.941","-16.987","-15.7373","-15.2535","-19.2972","-17.8362","-16.4893","-14.4924","-12.2207","-15.7462","-8.4395","-8.0523","-7.2932","-5.366","-5.2307","-5.1251","-4.948","-4.8259","-4.2754","-2.9594","-3.4394","-4.9766","-4.9131","-9.4878","-9.5624","-10.0334","-9.8367","-10.0151","-10.2293","-10.2086","-13.9677","-12.7603","-11.2292","-10.7572","-12.9235","-13.4399","-14.8958","-16.0361","-19.7736","-21.5101","-20.7995","-22.0542","-21.2208","-15.7546","-14.4755","-11.8864","-4.3","-5.1722","-24.684","-33.0939","-31.0354","-30.3223","-31.2486","-36.3527","-37.4919","-38.8472","-40.262","-41.2929","-39.0487","-37.4715","-17.4432","-9.1967","-16.5128","-16.2668","-15.2702","-14.1214","-14.0781","-6.439","-7.4675","-5.2729","-12.1757","-10.4234","-9.9682","-10.4681","-11.9532","-12.0578","-13.9571","-16.987","-15.7373","-15.2535","-19.2972","-17.8362","-16.4893","-14.4924","-18.4389","-16.0588","-17.4314","-18.5878","-19.8676","-17.2505","-16.0343","-11.9616","-13.4375","-15.4581","-15.6727","-15.3451","-12.8526","-13.2037","-12.4532","-12.9053","-12.8092","-11.6965","-11.6336","-10.0151","-10.2293","-10.2086","-13.9677","-12.7603","-11.2292","-10.7572","-12.9235","-15.3422","-15.0936","-16.0361","-23.2494","-24.8178","-22.7543","-23.1992","-22.6446","-18.2109","-18.9723","-21.2125","-18.6813","-14.1671","-24.684","-33.0939","-31.0354","-30.3223","-31.2486","-36.3527","-37.4919","-38.8472","-40.262","-41.2929","-39.0487","-37.6636","-36.8404","-34.0834","-31.5472","-33.8807","-32.5298","-37.9921","-36.8994"
"B Max Drawdown","-7.5098","-7.5098","-7.5098","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-11.8362","-11.8362","-11.8362","-11.4136","-10.5262","-5.1205","-5.1205","-5.1204","-5.1204","-5.1204","-4.8468","-4.6428","-4.6428","-4.0864","-3.2324","-2.9033","-2.9033","-2.9033","-10.3384","-10.3384","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-16.7416","-15.8126","-11.4984","-7.6691","-7.6691","-26.0386","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-15.9392","-10.5021","-10.5021","-10.5021","-10.5021","-10.5021","-7.9326","-7.5098","-7.5098","-7.5098","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-11.8362","-11.8362","-11.8362","-11.4136","-10.5262","-5.1204","-10.3384","-10.3384","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-26.0386","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312"
"MD DIFF(P-B)","1.0708","0.0423","2.2369","1.1522","2.9045","3.3597","2.8598","1.3747","1.2701","-0.613100000000001","-3.6591","-2.4094","-1.9256","-5.9693","-6","-4.6531","-2.6562","-0.8071","-5.22","-3.319","-2.9318","-2.1728","-0.2456","-0.1103","-0.2783","-0.3052","-0.1831","-0.189","0.273","-0.5361","-2.0733","-2.0098","0.8506","0.776","1.1394","1.3361","1.1577","0.9435","0.9642","-2.7949","-1.5875","-0.0564","0.415600000000001","7.0358","6.5194","5.0635","3.9232","0.185700000000001","-1.5508","-0.840199999999999","-2.0949","-1.2615","0.986999999999998","1.3371","-0.388","3.3691","2.4969","1.3546","-1.5627","0.495799999999999","1.2089","0.282599999999999","-4.8215","-5.9607","-7.316","-8.7308","-9.7617","-7.5175","-5.9403","-1.504","1.3054","-6.0107","-5.7647","-4.7681","-3.6193","-6.1455","1.0708","0.0423","2.2369","1.1522","2.9045","3.3597","2.8598","1.3747","1.2701","-0.629200000000001","-3.6591","-2.4094","-1.9256","-5.9693","-4.5083","-3.1614","-1.1645","-5.111","-2.7309","-4.1035","-5.2599","-6.5397","-3.9226","-2.7064","1.3663","-0.1096","-3.6219","-3.8365","-3.5089","-1.439","-2.6775","-7.3328","-2.5669","-2.4708","-0.5237","-0.460799999999999","1.1577","0.9435","0.9642","-2.7949","-1.5875","-0.0564","0.415600000000001","7.0358","4.6171","4.8657","3.9232","-3.2901","-4.8585","-2.795","-3.2399","-2.6853","1.7484","0.986999999999998","-1.2532","1.278","5.7922","1.3546","-1.5627","0.495799999999999","1.2089","0.282599999999999","-4.8215","-5.9607","-7.316","-8.7308","-9.7617","-7.5175","-6.1324","-5.3092","-2.5522","-0.0160000000000018","-2.3495","-0.998600000000003","-6.4609","-5.3682"
