"","1 Y 2017-12-12 to 2020-12-13","1 Y 2018-01-12 to 2021-01-13","1 Y 2018-02-12 to 2021-02-13","1 Y 2018-03-12 to 2021-03-13","1 Y 2018-04-12 to 2021-04-13","1 Y 2018-05-14 to 2021-05-13","1 Y 2018-06-12 to 2021-06-13","1 Y 2018-07-12 to 2021-07-13","1 Y 2018-08-13 to 2021-08-13","1 Y 2018-09-12 to 2021-09-13","1 Y 2018-10-12 to 2021-10-13","2 Y 2017-12-12 to 2020-12-13","2 Y 2018-01-12 to 2021-01-13","2 Y 2018-02-12 to 2021-02-13","2 Y 2018-03-12 to 2021-03-13","2 Y 2018-04-12 to 2021-04-13","2 Y 2018-05-14 to 2021-05-13","2 Y 2018-06-12 to 2021-06-13","2 Y 2018-07-12 to 2021-07-13","2 Y 2018-08-13 to 2021-08-13","2 Y 2018-09-12 to 2021-09-13","2 Y 2018-10-12 to 2021-10-13","3 Y 2017-12-12 to 2020-12-13","3 Y 2018-01-12 to 2021-01-13","3 Y 2018-02-12 to 2021-02-13","3 Y 2018-03-12 to 2021-03-13","3 Y 2018-04-12 to 2021-04-13","3 Y 2018-05-14 to 2021-05-13","3 Y 2018-06-12 to 2021-06-13","3 Y 2018-07-12 to 2021-07-13","3 Y 2018-08-13 to 2021-08-13","3 Y 2018-09-12 to 2021-09-13","3 Y 2018-10-12 to 2021-10-13"
"P Information Ratio","1.04","1.53","1.09","2.66","1.06","1.43","1.82","0.75","0.98","0.69","0.85","0.59","0.67","0.53","0.4","0.71","0.44","0.57","0.53","0.78","-0.34","-0.26","0.56","0.73","0.49","0.44","0.48","0.41","0.31","0.43","0.39","-0.14","-0.19"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.81","0.81","0.09","0.32","0.18","-0.26","-0.14","-0.05","-0.08","-0.41","-0.32","0.2","0.12","0.05","0.05","0.24","0.12","0.07","0.2","-0.05","-0.24","-0.16","0.27","0.23","0.19","0.09","0.12","0.02","0.02","0.17","0.07","-0.14","-0.16"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","1.21","1.2","1.31","1.24","1.42","1.34","1.3","1.32","1.2","1.12","1.11","1.17","1.16","1.17","1.17","1.22","1.19","1.17","1.2","1.2","1.1","1.09","1.12","1.1","1.11","1.11","1.15","1.13","1.12","1.15","1.15","1.09","1.09"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","92.02","92.07","92.63","86.79","88.33","83.3","84.24","82.92","73.54","66.81","68.76","89.37","88.59","88.37","88.61","90.07","87.29","87.96","87.98","88.17","87.46","88.23","90.04","89.5","89.01","89.04","89.39","88.31","88.9","89.02","89.5","89.48","89.68"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-31.8164","-31.8238","-32.1469","-14.3039","-9.2459","-9.0924","-9.2285","-8.8455","-8.9422","-7.1361","-7.2062","-31.8164","-31.8238","-32.1469","-31.7012","-31.8975","-31.5016","-31.6523","-32.4709","-32.6859","-32.1184","-31.6781","-31.8164","-31.8238","-32.1469","-31.7012","-31.8975","-31.5016","-31.6523","-32.4709","-32.6859","-32.1184","-31.6781"
"B Max Drawdown","-31.5312","-31.5312","-31.5312","-16.0505","-10.5021","-10.5021","-10.5021","-10.5021","-10.5021","-10.5021","-10.5021","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312"
"MD DIFF(P-B)","-0.285200000000003","-0.2926","-0.615700000000004","1.7466","1.2562","1.4097","1.2736","1.6566","1.5599","3.366","3.2959","-0.285200000000003","-0.2926","-0.615700000000004","-0.170000000000002","-0.366300000000003","0.0295999999999985","-0.121100000000002","-0.939700000000002","-1.1547","-0.587200000000003","-0.146900000000002","-0.285200000000003","-0.2926","-0.615700000000004","-0.170000000000002","-0.366300000000003","0.0295999999999985","-0.121100000000002","-0.939700000000002","-1.1547","-0.587200000000003","-0.146900000000002"
