"","2014-12-11_to_2015-12-12_ALLPortfolio_8QRank","2015-01-12_to_2016-01-12_ALLPortfolio_8QRank","2015-02-11_to_2016-02-12_ALLPortfolio_8QRank","2015-03-11_to_2016-03-12_ALLPortfolio_8QRank","2015-04-13_to_2016-04-12_ALLPortfolio_8QRank","2015-05-11_to_2016-05-12_ALLPortfolio_8QRank","2015-06-11_to_2016-06-12_ALLPortfolio_8QRank","2015-07-13_to_2016-07-12_ALLPortfolio_8QRank","2015-08-11_to_2016-08-12_ALLPortfolio_8QRank","2015-09-11_to_2016-09-12_ALLPortfolio_8QRank","2015-10-12_to_2016-10-12_ALLPortfolio_8QRank","2015-11-11_to_2016-11-12_ALLPortfolio_8QRank","2015-12-11_to_2016-12-12_ALLPortfolio_8QRank","2016-01-11_to_2017-01-12_ALLPortfolio_8QRank","2016-02-11_to_2017-02-12_ALLPortfolio_8QRank","2016-03-11_to_2017-03-12_ALLPortfolio_8QRank","2016-04-11_to_2017-04-12_ALLPortfolio_8QRank","2016-05-11_to_2017-05-12_ALLPortfolio_8QRank","2016-06-13_to_2017-06-12_ALLPortfolio_8QRank","2016-07-11_to_2017-07-12_ALLPortfolio_8QRank","2016-08-11_to_2017-08-12_ALLPortfolio_8QRank","2016-09-12_to_2017-09-12_ALLPortfolio_8QRank","2016-10-11_to_2017-10-12_ALLPortfolio_8QRank","2016-11-11_to_2017-11-12_ALLPortfolio_8QRank","2016-12-12_to_2017-12-12_ALLPortfolio_8QRank","2017-01-11_to_2018-01-12_ALLPortfolio_8QRank","2017-02-13_to_2018-02-12_ALLPortfolio_8QRank","2017-03-13_to_2018-03-12_ALLPortfolio_8QRank","2017-04-11_to_2018-04-12_ALLPortfolio_8QRank","2017-05-11_to_2018-05-12_ALLPortfolio_8QRank","2017-06-12_to_2018-06-12_ALLPortfolio_8QRank","2017-07-11_to_2018-07-12_ALLPortfolio_8QRank","2017-08-11_to_2018-08-12_ALLPortfolio_8QRank","2017-09-11_to_2018-09-12_ALLPortfolio_8QRank","2017-10-11_to_2018-10-12_ALLPortfolio_8QRank","2017-11-13_to_2018-11-12_ALLPortfolio_8QRank","2017-12-11_to_2018-12-12_ALLPortfolio_8QRank","2018-01-11_to_2019-01-12_ALLPortfolio_8QRank","2018-02-12_to_2019-02-12_ALLPortfolio_8QRank","2018-03-12_to_2019-03-12_ALLPortfolio_8QRank","2018-04-11_to_2019-04-12_ALLPortfolio_8QRank","2018-05-11_to_2019-05-12_ALLPortfolio_8QRank","2018-06-11_to_2019-06-12_ALLPortfolio_8QRank","2018-07-11_to_2019-07-12_ALLPortfolio_8QRank","2018-08-13_to_2019-08-12_ALLPortfolio_8QRank","2018-09-11_to_2019-09-12_ALLPortfolio_8QRank","2018-10-11_to_2019-10-12_ALLPortfolio_8QRank","2018-11-12_to_2019-11-12_ALLPortfolio_8QRank","2018-12-11_to_2019-12-12_ALLPortfolio_8QRank","2019-01-11_to_2020-01-12_ALLPortfolio_8QRank","2019-02-11_to_2020-02-12_ALLPortfolio_8QRank","2019-03-11_to_2020-03-12_ALLPortfolio_8QRank","2019-04-11_to_2020-04-12_ALLPortfolio_8QRank","2019-05-13_to_2020-05-12_ALLPortfolio_8QRank","2019-06-11_to_2020-06-12_ALLPortfolio_8QRank","2019-07-11_to_2020-07-12_ALLPortfolio_8QRank","2019-08-12_to_2020-08-12_ALLPortfolio_8QRank","2019-09-11_to_2020-09-12_ALLPortfolio_8QRank","2019-10-11_to_2020-10-12_ALLPortfolio_8QRank","2019-11-11_to_2020-11-12_ALLPortfolio_8QRank","2019-12-11_to_2020-12-12_ALLPortfolio_8QRank","2020-01-13_to_2021-01-12_ALLPortfolio_8QRank","2020-02-11_to_2021-02-12_ALLPortfolio_8QRank","2020-03-11_to_2021-03-12_ALLPortfolio_8QRank","2020-04-13_to_2021-04-12_ALLPortfolio_8QRank","2020-05-11_to_2021-05-12_ALLPortfolio_8QRank","2020-06-11_to_2021-06-12_ALLPortfolio_8QRank","2020-07-13_to_2021-07-12_ALLPortfolio_8QRank","2020-08-11_to_2021-08-12_ALLPortfolio_8QRank","2020-09-11_to_2021-09-12_ALLPortfolio_8QRank"
"P Information Ratio","0.32","1.05","0.15","0.34","0.57","0.55","0.12","0.04","0.73","-0.82","0.75","2.12","1.87","2.74","3.33","1.65","1.01","1.46","1.58","1.42","1.57","2.19","1.98","1.33","1.52","1.37","1.5","2.24","1.75","0.82","0.43","1.23","-0.09","0.53","0.72","0.47","0.32","0.12","0.22","0.1","-1.32","0.1","-0.54","-0.65","-0.48","-0.08","-0.49","-0.21","-0.09","-1.72","-1.51","-2.98","-0.32","-0.86","-0.08","0.23","0.32","0.6","1.39","-0.37","-0.15","1.22","0.88","3.68","1.33","2.02","1.18","1.22","0.89","0.76"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.46","0.68","0.17","0.34","0.3","0.29","0.04","0.16","0.93","0.26","0.54","0.25","0.47","0.53","0.7","0.4","0.24","0.11","0.41","0.21","0.48","0.13","0.63","0.86","0.77","0.18","-0.21","0.07","0.39","0.18","0.26","0.16","0.02","0.17","0.05","0.31","0.2","-0.05","0.11","0.07","-0.25","-0.27","-0.32","-0.06","-0.09","0.02","-0.35","-0.17","-0.32","-0.41","-0.72","-0.47","-0.32","-0.49","-0.16","0.04","0.18","0.52","0.62","-0.21","0.03","0.59","-0.04","1.29","1.26","0.97","1.28","1.43","0.83","0.59"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","0.81","0.88","0.81","0.77","0.79","0.78","0.76","0.78","0.69","0.73","0.83","0.89","0.92","0.97","1","1.14","1.21","1.26","1.2","1.25","1.11","1.26","0.95","0.83","0.84","0.97","1.3","1.21","1.06","1.08","1.03","1.06","0.96","0.97","1","0.91","0.91","0.92","0.93","0.94","1.01","0.95","0.95","1.02","1.02","1.02","1.11","1.09","1.09","0.99","1.03","0.94","1.14","1.14","1.17","1.14","1.17","1.17","1.17","1.07","1.1","1.15","1.23","1.04","1.14","0.99","0.94","0.87","1.05","1.07"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","74.29","76.24","78.21","74.13","79.48","80.34","76.71","77.82","83.88","92.71","90.39","89.84","90.2","72.94","67.01","70.92","62.97","68.45","65.3","56.78","53.29","57.58","40.5","34.77","42.27","50.85","69.5","85.21","82.61","83.06","85.77","88.39","87.96","86.63","88.58","91.76","91.29","94.04","93.4","95.76","93.52","93.38","93.36","93.78","92.45","92.04","93.28","90.42","83.5","81.41","79.99","87.15","89.57","92.27","87.95","89","89.08","90.99","91.27","91.25","90.35","93.16","91.33","78.06","72.59","63.58","62.63","54.49","51.08","38.17"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-12.3873","-12.2625","-13.6351","-12.8598","-12.7615","-12.639","-13.3458","-13.6582","-12.0918","-12.2333","-13.0339","-12.6189","-12.7029","-7.1849","-5.3241","-4.4641","-5.1272","-5.0789","-4.3208","-4.3161","-3.4384","-3.1433","-2.6966","-2.4939","-2.3896","-2.7105","-9.0118","-9.3112","-9.5936","-10.4137","-10.1733","-10.0881","-9.9819","-9.837","-10.0491","-9.8286","-10.3362","-18.7443","-18.1866","-17.6994","-19.1426","-19.2334","-18.5527","-18.96","-19.0104","-18.9113","-16.5141","-14.3531","-10.7626","-6.9419","-7.1753","-28.1649","-32.3848","-32.4579","-32.5187","-31.445","-31.238","-31.2641","-31.4136","-30.7273","-30.2558","-30.2642","-30.6744","-14.2154","-8.1567","-8.3969","-7.9338","-7.7042","-8.5133","-6.5837"
"B Max Drawdown","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-11.8362","-11.8362","-11.8362","-11.4136","-10.5262","-5.1204","-5.1204","-5.1205","-5.1204","-5.1205","-4.8468","-4.3548","-4.3548","-3.7967","-2.9402","-2.9033","-2.9033","-2.9033","-9.7411","-9.7411","-10.5811","-10.5811","-10.5811","-10.5811","-10.5811","-10.5811","-10.5811","-10.5811","-10.5811","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-16.7416","-15.8126","-11.4984","-7.6691","-7.6691","-18.5281","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-16.0505","-10.5021","-10.5021","-10.5021","-10.502","-10.5021","-7.8111"
"MD DIFF(P-B)","0.9406","1.0654","-0.3072","0.4681","0.5664","0.6889","-0.0179000000000009","-0.330300000000001","-0.255599999999999","-0.3971","-1.1977","-1.2053","-2.1767","-2.0645","-0.2037","0.6564","-0.00680000000000014","0.0415999999999999","0.526","0.0387000000000004","0.9164","0.6534","0.2436","0.4094","0.5137","0.1928","0.7293","0.4299","0.987499999999999","0.167399999999999","0.4078","0.492999999999999","0.5992","0.7441","0.532","0.7525","0.244899999999999","1.215","1.7727","2.2599","0.816699999999997","0.725899999999999","1.4066","0.999299999999998","0.948899999999998","1.048","0.227499999999999","1.4595","0.735799999999999","0.7272","0.4938","-9.6368","-0.8536","-0.926700000000004","-0.987500000000004","0.0861999999999981","0.293199999999999","0.267099999999999","0.117599999999999","0.803899999999999","1.2754","1.267","0.8568","1.8351","2.3454","2.1052","2.5683","2.7978","1.9888","1.2274"
