"","2013-06-11_to_2015-06-12_VGPortfolio_2QRank","2013-07-11_to_2015-07-12_VGPortfolio_2QRank","2013-08-12_to_2015-08-12_VGPortfolio_2QRank","2013-09-11_to_2015-09-12_VGPortfolio_2QRank","2013-10-11_to_2015-10-12_VGPortfolio_2QRank","2013-11-11_to_2015-11-12_VGPortfolio_2QRank","2013-12-11_to_2015-12-12_VGPortfolio_2QRank","2014-01-13_to_2016-01-12_VGPortfolio_2QRank","2014-02-11_to_2016-02-12_VGPortfolio_2QRank","2014-03-11_to_2016-03-12_VGPortfolio_2QRank","2014-04-11_to_2016-04-12_VGPortfolio_2QRank","2014-05-12_to_2016-05-12_VGPortfolio_2QRank","2014-06-11_to_2016-06-12_VGPortfolio_2QRank","2014-07-11_to_2016-07-12_VGPortfolio_2QRank","2014-08-11_to_2016-08-12_VGPortfolio_2QRank","2014-09-11_to_2016-09-12_VGPortfolio_2QRank","2014-10-13_to_2016-10-12_VGPortfolio_2QRank","2014-11-11_to_2016-11-12_VGPortfolio_2QRank","2014-12-11_to_2016-12-12_VGPortfolio_2QRank","2015-01-12_to_2017-01-12_VGPortfolio_2QRank","2015-02-11_to_2017-02-12_VGPortfolio_2QRank","2015-03-11_to_2017-03-12_VGPortfolio_2QRank","2015-04-13_to_2017-04-12_VGPortfolio_2QRank","2015-05-11_to_2017-05-12_VGPortfolio_2QRank","2015-06-11_to_2017-06-12_VGPortfolio_2QRank","2015-07-13_to_2017-07-12_VGPortfolio_2QRank","2015-08-11_to_2017-08-12_VGPortfolio_2QRank","2015-09-11_to_2017-09-12_VGPortfolio_2QRank","2015-10-12_to_2017-10-12_VGPortfolio_2QRank","2015-11-11_to_2017-11-12_VGPortfolio_2QRank","2015-12-11_to_2017-12-12_VGPortfolio_2QRank","2016-01-11_to_2018-01-12_VGPortfolio_2QRank","2016-02-11_to_2018-02-12_VGPortfolio_2QRank","2016-03-11_to_2018-03-12_VGPortfolio_2QRank","2016-04-11_to_2018-04-12_VGPortfolio_2QRank","2016-05-11_to_2018-05-12_VGPortfolio_2QRank","2016-06-13_to_2018-06-12_VGPortfolio_2QRank","2016-07-11_to_2018-07-12_VGPortfolio_2QRank","2016-08-11_to_2018-08-12_VGPortfolio_2QRank","2016-09-12_to_2018-09-12_VGPortfolio_2QRank","2016-10-11_to_2018-10-12_VGPortfolio_2QRank","2016-11-11_to_2018-11-12_VGPortfolio_2QRank","2016-12-12_to_2018-12-12_VGPortfolio_2QRank","2017-01-11_to_2019-01-12_VGPortfolio_2QRank","2017-02-13_to_2019-02-12_VGPortfolio_2QRank","2017-03-13_to_2019-03-12_VGPortfolio_2QRank","2017-04-11_to_2019-04-12_VGPortfolio_2QRank","2017-05-11_to_2019-05-12_VGPortfolio_2QRank","2017-06-12_to_2019-06-12_VGPortfolio_2QRank","2017-07-11_to_2019-07-12_VGPortfolio_2QRank","2017-08-11_to_2019-08-12_VGPortfolio_2QRank","2017-09-11_to_2019-09-12_VGPortfolio_2QRank","2017-10-11_to_2019-10-12_VGPortfolio_2QRank","2017-11-13_to_2019-11-12_VGPortfolio_2QRank","2017-12-11_to_2019-12-12_VGPortfolio_2QRank","2018-01-11_to_2020-01-12_VGPortfolio_2QRank","2018-02-12_to_2020-02-12_VGPortfolio_2QRank","2018-03-12_to_2020-03-12_VGPortfolio_2QRank","2018-04-11_to_2020-04-12_VGPortfolio_2QRank","2018-05-11_to_2020-05-12_VGPortfolio_2QRank","2018-06-11_to_2020-06-12_VGPortfolio_2QRank","2018-07-11_to_2020-07-12_VGPortfolio_2QRank","2018-08-13_to_2020-08-12_VGPortfolio_2QRank","2018-09-11_to_2020-09-12_VGPortfolio_2QRank","2018-10-11_to_2020-10-12_VGPortfolio_2QRank","2018-11-12_to_2020-11-12_VGPortfolio_2QRank","2018-12-11_to_2020-12-12_VGPortfolio_2QRank","2019-01-11_to_2021-01-12_VGPortfolio_2QRank","2019-02-11_to_2021-02-12_VGPortfolio_2QRank","2019-03-11_to_2021-03-12_VGPortfolio_2QRank","2019-04-11_to_2021-04-12_VGPortfolio_2QRank","2019-05-13_to_2021-05-12_VGPortfolio_2QRank","2019-06-11_to_2021-06-12_VGPortfolio_2QRank","2019-07-11_to_2021-07-12_VGPortfolio_2QRank","2019-08-12_to_2021-08-12_VGPortfolio_2QRank","2019-09-11_to_2021-09-12_VGPortfolio_2QRank"
"P Information Ratio","1.6","1.42","1.21","0.89","1.01","1.12","1.27","1.35","0.7","0.51","1.71","1.55","1.53","1.39","1.74","1.3","1.8","0.46","1.33","1.52","0.06","0.85","0.62","0.62","0.54","0.42","0.02","0.31","2.37","2.3","2.23","2.39","2.96","2.32","2.67","1.62","2.33","2.56","1.09","0.71","0.74","-0.12","0.51","-0.25","0.03","-0.03","0.19","0.25","0.48","0.24","0.45","0.34","-0.09","-0.07","-0.58","-0.48","0.78","-0.36","0.25","-0.7","0.35","-0.14","0.01","0.42","0.91","-0.97","-0.64","1.8","0.13","0.17","-0.54","1.44","1.17","1.16","0.97","0.52"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.98","0.92","0.78","0.46","0.55","0.71","0.76","0.59","0.34","0.35","0.57","0.64","0.65","0.57","0.53","0.5","0.59","0.09","0.48","0.35","-0.04","0.37","0.37","0.3","0.32","0.23","0.12","0.07","0.71","0.63","0.48","0.63","0.67","0.56","0.7","0.42","0.51","0.59","0.39","0.12","0.26","0.06","0.1","-0.09","0","0.06","0.01","-0.01","0.14","0.03","0.16","0.11","0.02","0.01","-0.13","-0.07","0.19","-0.07","0.06","-0.22","0.11","0.05","0.06","0.26","0.26","-0.29","-0.2","0.27","0.12","0.11","0.05","0.7","0.44","0.4","0.17","-0.04"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","0.81","0.73","0.69","0.73","0.81","0.75","0.72","0.77","0.79","0.84","0.92","0.88","0.86","1.01","1","0.97","1.02","0.93","0.93","0.93","0.98","0.94","0.87","0.82","0.81","0.85","0.94","0.94","0.99","1.04","1.13","1.11","1.11","1.05","1.07","1.07","1.06","1.06","0.9","1.01","0.97","0.89","1.01","1","1.02","0.99","1.04","1.06","1.03","1","1","1.04","1.04","0.96","0.96","0.88","0.92","0.97","0.96","0.97","0.94","0.92","0.94","1.08","1.14","0.92","0.96","1.1","0.98","0.95","0.87","1.13","1.23","1.19","1.24","1.23"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","58.51","52.75","59.1","73.61","76.94","75.47","72.63","78.9","78.49","83.69","92.35","86.33","85.68","85.46","90.91","88.86","90.2","91.46","90.49","92.43","91.35","86.23","83.32","86.18","85.16","87.74","92.51","90.48","75.87","80.52","81.15","69.34","69.91","78.38","76.9","77.83","85.53","82.5","78.74","86.92","85.88","90.24","90.83","95.35","96.64","95.07","94.61","92.72","93.72","94.9","94.46","95.72","95.56","95.07","94.69","94.93","96.77","94.59","96.43","96.63","98.25","97.15","96.86","93.22","94.2","94.85","91.96","95.93","95.55","94.35","95.39","87.76","89.51","89.22","88.2","86.98"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-8.5557","-9.1611","-7.6322","-11.181","-11.7807","-11.3184","-11.9711","-12.2479","-12.644","-13.6111","-14.1742","-14.6895","-14.5318","-18.1291","-16.0692","-15.051","-14.7646","-16.1185","-14.8119","-14.2625","-15.1841","-15.2752","-14.4554","-13.8461","-13.2963","-13.6546","-15.6047","-15.3624","-13.5048","-13.4695","-13.5208","-7.7981","-9.7334","-9.7596","-10.1394","-10.0174","-10.2125","-10.3747","-9.2392","-11.2922","-10.4248","-10.1809","-11.4103","-20.6376","-20.2794","-20.6424","-21.2235","-21.13","-21.3185","-20.6504","-21.4912","-20.4663","-20.2676","-17.9549","-19.368","-19.2494","-18.4843","-27.3409","-31.6717","-32.2673","-30.4699","-29.2701","-31.5976","-33.6811","-32.9261","-32.6805","-33.9585","-33.9907","-35.1554","-34.7099","-32.4421","-31.8931","-34.2958","-32.3928","-35.3965","-33.8024"
"B Max Drawdown","-7.5098","-7.5098","-7.5098","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-11.8362","-11.8362","-11.8362","-11.4136","-10.5262","-5.1204","-10.3384","-10.3384","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-26.0386","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312"
"MD DIFF(P-B)","-1.0459","-1.6513","-0.1224","2.1469","1.5472","2.0095","1.3568","1.08","0.6839","-0.283200000000001","-0.846300000000001","-1.3616","-1.2039","-4.8012","-2.7413","-1.7231","-1.4367","-2.7906","-1.484","-0.9346","-1.8562","-1.9473","-1.1275","-0.5182","0.0315999999999992","-0.326700000000001","-3.7685","-3.5262","-1.6686","-2.0559","-2.9946","-2.6777","0.605","0.578799999999999","1.0334","1.1554","0.9603","0.7981","1.9336","-0.119399999999999","0.748000000000001","0.991900000000001","-0.237499999999999","-0.6783","-0.3201","-0.6831","-1.2642","-1.1707","-1.3592","-0.691100000000002","-1.5319","-0.507000000000001","-0.308300000000003","2.0044","0.5913","0.709899999999998","1.475","-1.3023","-0.140500000000003","-0.7361","1.0613","2.2611","-0.0664000000000016","-2.1499","-1.3949","-1.1493","-2.4273","-2.4595","-3.6242","-3.1787","-0.910900000000005","-0.361900000000002","-2.7646","-0.861600000000003","-3.8653","-2.2712"
