"","1 Y 2014-12-11 to 2015-12-12","1 Y 2015-01-12 to 2016-01-12","1 Y 2015-02-11 to 2016-02-12","1 Y 2015-03-11 to 2016-03-12","1 Y 2015-04-13 to 2016-04-12","1 Y 2015-05-11 to 2016-05-12","1 Y 2015-06-11 to 2016-06-12","1 Y 2015-07-13 to 2016-07-12","1 Y 2015-08-11 to 2016-08-12","1 Y 2015-09-11 to 2016-09-12","1 Y 2015-10-12 to 2016-10-12","1 Y 2015-11-11 to 2016-11-12","1 Y 2015-12-11 to 2016-12-12","1 Y 2016-01-11 to 2017-01-12","1 Y 2016-02-11 to 2017-02-12","1 Y 2016-03-11 to 2017-03-12","1 Y 2016-04-11 to 2017-04-12","1 Y 2016-05-11 to 2017-05-12","1 Y 2016-06-13 to 2017-06-12","1 Y 2016-07-11 to 2017-07-12","1 Y 2016-08-11 to 2017-08-12","1 Y 2016-09-12 to 2017-09-12","1 Y 2016-10-11 to 2017-10-12","1 Y 2016-11-11 to 2017-11-12","1 Y 2016-12-12 to 2017-12-12","1 Y 2017-01-11 to 2018-01-12","1 Y 2017-02-13 to 2018-02-12","1 Y 2017-03-13 to 2018-03-12","1 Y 2017-04-11 to 2018-04-12","1 Y 2017-05-11 to 2018-05-12","1 Y 2017-06-12 to 2018-06-12","1 Y 2017-07-11 to 2018-07-12","1 Y 2017-08-11 to 2018-08-12","1 Y 2017-09-11 to 2018-09-12","1 Y 2017-10-11 to 2018-10-12","1 Y 2017-11-13 to 2018-11-12","1 Y 2017-12-11 to 2018-12-12","1 Y 2018-01-11 to 2019-01-12","1 Y 2018-02-12 to 2019-02-12","1 Y 2018-03-12 to 2019-03-12","1 Y 2018-04-11 to 2019-04-12","1 Y 2018-05-11 to 2019-05-12","1 Y 2018-06-11 to 2019-06-12","1 Y 2018-07-11 to 2019-07-12","1 Y 2018-08-13 to 2019-08-12","1 Y 2018-09-11 to 2019-09-12","1 Y 2018-10-11 to 2019-10-12","1 Y 2018-11-12 to 2019-11-12","1 Y 2018-12-11 to 2019-12-12","1 Y 2019-01-11 to 2020-01-12","1 Y 2019-02-11 to 2020-02-12","1 Y 2019-03-11 to 2020-03-12","1 Y 2019-04-11 to 2020-04-12","1 Y 2019-05-13 to 2020-05-12","1 Y 2019-06-11 to 2020-06-12","1 Y 2019-07-11 to 2020-07-12","1 Y 2019-08-12 to 2020-08-12","1 Y 2019-09-11 to 2020-09-12","1 Y 2019-10-11 to 2020-10-12","1 Y 2019-11-11 to 2020-11-12","1 Y 2019-12-11 to 2020-12-12","1 Y 2020-01-13 to 2021-01-12","1 Y 2020-02-11 to 2021-02-12","1 Y 2020-03-11 to 2021-03-12","1 Y 2020-04-13 to 2021-04-12","1 Y 2020-05-11 to 2021-05-12","1 Y 2020-06-11 to 2021-06-12","1 Y 2020-07-13 to 2021-07-12","1 Y 2020-08-11 to 2021-08-12","1 Y 2020-09-11 to 2021-09-12"
"P Information Ratio","0.18","1.15","0.1","0.34","0.59","0.58","-0.01","-0.14","0.85","-0.86","0.72","2.1","2.06","2.74","3.49","1.59","1.12","1.56","1.67","1.45","1.75","2.32","2.15","1.63","1.88","1.44","1.6","2.39","1.94","0.95","0.5","1.71","0.14","0.95","0.95","0.9","0.42","0.12","0.07","-0.04","-1.52","-0.03","-0.72","-0.86","-0.65","-0.2","-0.64","-0.15","0.04","-1.88","-1.7","-3.26","-0.19","-0.75","0.05","0.52","0.61","0.99","1.95","-0.34","-0.25","1.77","1.31","4.23","1.76","2.36","1.43","1.52","1.08","0.96"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.37","0.75","0.09","0.34","0.34","0.31","-0.05","0.1","1.01","0.22","0.62","0.33","0.56","0.7","0.89","0.54","0.41","0.19","0.56","0.31","0.7","0.29","0.94","1.27","1.12","0.38","-0.19","0.16","0.47","0.25","0.28","0.24","0.05","0.33","0.13","0.46","0.23","-0.06","0.06","0.06","-0.4","-0.34","-0.42","-0.14","-0.15","-0.03","-0.42","-0.15","-0.32","-0.47","-0.81","-0.56","-0.2","-0.44","-0.07","0.18","0.45","0.92","1.02","-0.15","0.01","0.84","0.22","1.52","1.39","1.16","1.4","1.65","0.92","0.76"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","0.79","0.88","0.79","0.73","0.77","0.75","0.71","0.74","0.66","0.68","0.81","0.89","0.92","0.97","1.02","1.12","1.2","1.28","1.2","1.28","1.06","1.22","0.82","0.67","0.71","0.87","1.37","1.23","1.09","1.12","1.04","1.08","0.96","0.98","1.03","0.93","0.92","0.93","0.94","0.94","1.05","0.98","0.97","1.05","1.04","1.05","1.16","1.1","1.11","0.99","1.06","0.95","1.15","1.15","1.18","1.14","1.17","1.17","1.19","1.06","1.06","1.15","1.24","1.05","1.19","1.02","0.97","0.89","1.1","1.09"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","71.47","75.42","77.43","71.15","77.02","78.49","72.32","73.83","81.16","88.6","87.73","86.83","88.27","64.51","58.88","60.12","51.31","59.12","56.94","47.94","42.54","48.04","25.86","18.12","29.52","38.96","65.61","81.85","80.36","81.02","83.08","87.52","86.42","84.49","85.97","90.73","91.77","94.33","92.54","95.5","91.9","92.45","92.37","93.78","91.99","91.83","93.55","89.73","83.54","81.82","81.99","87.82","89.81","92.16","87.4","88.39","88.3","90","90.6","91.24","90.47","93.96","91.82","78","74.09","63.4","62.63","53.35","50.38","36.11"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-12.8058","-12.5407","-13.9307","-12.7574","-12.6407","-12.5484","-13.7748","-14.1235","-11.5429","-11.7896","-12.8891","-12.3983","-12.7222","-7.9324","-5.7919","-4.5947","-5.5752","-5.5101","-4.5388","-4.8948","-3.6153","-3.2237","-2.847","-3.1018","-2.8374","-2.7097","-8.7507","-9.2006","-9.2724","-10.4426","-10.2714","-9.9496","-9.7787","-9.5374","-9.8663","-9.4653","-10.267","-19.3871","-18.4401","-17.7888","-19.8621","-20.0363","-19.1295","-19.5948","-19.6168","-19.5922","-17.6729","-14.4589","-10.7876","-7.2422","-7.5716","-28.7642","-32.5472","-32.6629","-32.6615","-31.0787","-30.7133","-30.8111","-31.0137","-30.1774","-29.3772","-29.4233","-30.0271","-13.9988","-8.3486","-8.5278","-8.1173","-7.8209","-8.9964","-6.5134"
"B Max Drawdown","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-11.8362","-11.8362","-11.8362","-11.4136","-10.5262","-5.1204","-5.1204","-5.1205","-5.1204","-5.1205","-4.8468","-4.3548","-4.3548","-3.7967","-2.9402","-2.9033","-2.9033","-2.9033","-9.7411","-9.7411","-10.5811","-10.5811","-10.5811","-10.5811","-10.5811","-10.5811","-10.5811","-10.5811","-10.5811","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-16.7416","-15.8126","-11.4984","-7.6691","-7.6691","-18.5281","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-16.0505","-10.5021","-10.5021","-10.5021","-10.502","-10.5021","-7.8111"
"MD DIFF(P-B)","0.5221","0.7872","-0.6028","0.570499999999999","0.687199999999999","0.779499999999999","-0.446900000000001","-0.7956","0.2933","0.0465999999999998","-1.0529","-0.9847","-2.196","-2.812","-0.6715","0.5258","-0.4548","-0.389600000000001","0.308","-0.54","0.7395","0.573","0.0931999999999999","-0.1985","0.0659000000000001","0.1936","0.990399999999999","0.5405","1.3087","0.138499999999999","0.309699999999999","0.631499999999999","0.802399999999999","1.0437","0.714799999999999","1.1158","0.3141","0.572199999999999","1.5192","2.1705","0.0971999999999973","-0.0770000000000017","0.829799999999999","0.3645","0.342499999999998","0.367100000000001","-0.9313","1.3537","0.710800000000001","0.4269","0.0975000000000001","-10.2361","-1.016","-1.1317","-1.1303","0.452499999999997","0.817899999999998","0.720099999999999","0.517499999999998","1.3538","2.154","2.1079","1.5041","2.0517","2.1535","1.9743","2.3848","2.6811","1.5057","1.2977"
