"","2013-06-11_to_2016-06-12_ALLPortfolio_2QRank","2013-07-11_to_2016-07-12_ALLPortfolio_2QRank","2013-08-12_to_2016-08-12_ALLPortfolio_2QRank","2013-09-11_to_2016-09-12_ALLPortfolio_2QRank","2013-10-11_to_2016-10-12_ALLPortfolio_2QRank","2013-11-11_to_2016-11-12_ALLPortfolio_2QRank","2013-12-11_to_2016-12-12_ALLPortfolio_2QRank","2014-01-13_to_2017-01-12_ALLPortfolio_2QRank","2014-02-11_to_2017-02-12_ALLPortfolio_2QRank","2014-03-11_to_2017-03-12_ALLPortfolio_2QRank","2014-04-11_to_2017-04-12_ALLPortfolio_2QRank","2014-05-12_to_2017-05-12_ALLPortfolio_2QRank","2014-06-11_to_2017-06-12_ALLPortfolio_2QRank","2014-07-11_to_2017-07-12_ALLPortfolio_2QRank","2014-08-11_to_2017-08-12_ALLPortfolio_2QRank","2014-09-11_to_2017-09-12_ALLPortfolio_2QRank","2014-10-13_to_2017-10-12_ALLPortfolio_2QRank","2014-11-11_to_2017-11-12_ALLPortfolio_2QRank","2014-12-11_to_2017-12-12_ALLPortfolio_2QRank","2015-01-12_to_2018-01-12_ALLPortfolio_2QRank","2015-02-11_to_2018-02-12_ALLPortfolio_2QRank","2015-03-11_to_2018-03-12_ALLPortfolio_2QRank","2015-04-13_to_2018-04-12_ALLPortfolio_2QRank","2015-05-11_to_2018-05-12_ALLPortfolio_2QRank","2015-06-11_to_2018-06-12_ALLPortfolio_2QRank","2015-07-13_to_2018-07-12_ALLPortfolio_2QRank","2015-08-11_to_2018-08-12_ALLPortfolio_2QRank","2015-09-11_to_2018-09-12_ALLPortfolio_2QRank","2015-10-12_to_2018-10-12_ALLPortfolio_2QRank","2015-11-11_to_2018-11-12_ALLPortfolio_2QRank","2015-12-11_to_2018-12-12_ALLPortfolio_2QRank","2016-01-11_to_2019-01-12_ALLPortfolio_2QRank","2016-02-11_to_2019-02-12_ALLPortfolio_2QRank","2016-03-11_to_2019-03-12_ALLPortfolio_2QRank","2016-04-11_to_2019-04-12_ALLPortfolio_2QRank","2016-05-11_to_2019-05-12_ALLPortfolio_2QRank","2016-06-13_to_2019-06-12_ALLPortfolio_2QRank","2016-07-11_to_2019-07-12_ALLPortfolio_2QRank","2016-08-11_to_2019-08-12_ALLPortfolio_2QRank","2016-09-12_to_2019-09-12_ALLPortfolio_2QRank","2016-10-11_to_2019-10-12_ALLPortfolio_2QRank","2016-11-11_to_2019-11-12_ALLPortfolio_2QRank","2016-12-12_to_2019-12-12_ALLPortfolio_2QRank","2017-01-11_to_2020-01-12_ALLPortfolio_2QRank","2017-02-13_to_2020-02-12_ALLPortfolio_2QRank","2017-03-13_to_2020-03-12_ALLPortfolio_2QRank","2017-04-11_to_2020-04-12_ALLPortfolio_2QRank","2017-05-11_to_2020-05-12_ALLPortfolio_2QRank","2017-06-12_to_2020-06-12_ALLPortfolio_2QRank","2017-07-11_to_2020-07-12_ALLPortfolio_2QRank","2017-08-11_to_2020-08-12_ALLPortfolio_2QRank","2017-09-11_to_2020-09-12_ALLPortfolio_2QRank","2017-10-11_to_2020-10-12_ALLPortfolio_2QRank","2017-11-13_to_2020-11-12_ALLPortfolio_2QRank","2017-12-11_to_2020-12-12_ALLPortfolio_2QRank","2018-01-11_to_2021-01-12_ALLPortfolio_2QRank","2018-02-12_to_2021-02-12_ALLPortfolio_2QRank","2018-03-12_to_2021-03-12_ALLPortfolio_2QRank","2018-04-11_to_2021-04-12_ALLPortfolio_2QRank","2018-05-11_to_2021-05-12_ALLPortfolio_2QRank","2018-06-11_to_2021-06-12_ALLPortfolio_2QRank","2018-07-11_to_2021-07-12_ALLPortfolio_2QRank","2018-08-13_to_2021-08-12_ALLPortfolio_2QRank","2018-09-11_to_2021-09-12_ALLPortfolio_2QRank","2018-10-11_to_2021-10-12_ALLPortfolio_2QRank"
"P Information Ratio","0.85","0.8","0.75","0.5","0.63","0.88","0.96","0.71","0.73","0.54","1.06","1.12","1.39","1.5","1.43","1.15","1.69","0.75","1.14","1.12","0.51","1.26","1","0.66","0.71","0.72","0.35","0.38","1.52","1.08","0.71","0.88","1.08","0.78","1.05","0.56","0.72","0.77","0.27","0.55","0.38","-0.12","0.1","-0.16","0","-0.76","0.13","0.02","0.29","0.25","0.39","0.35","0.05","0.22","0.22","-0.17","0.82","0.44","0.51","-0.29","0.05","0","0.1","0.39","0.39"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.56","0.45","0.47","0.41","0.41","0.51","0.46","0.4","0.38","0.38","0.56","0.52","0.67","0.69","0.69","0.55","0.66","0.35","0.5","0.43","0.2","0.53","0.5","0.39","0.39","0.42","0.44","0.26","0.67","0.38","0.25","0.2","0.14","0.2","0.27","0.08","0.14","0.18","0.03","0.09","0.01","0.03","0.03","-0.06","-0.1","0.03","-0.11","-0.14","0.1","0.03","0.09","0.09","-0.02","0.05","0.1","-0.09","0.35","0.09","0.22","-0.22","0.01","0.04","0.02","0.1","-0.05"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","0.92","0.89","0.85","0.78","0.85","0.85","0.83","0.84","0.83","0.88","0.91","0.9","0.89","0.96","0.93","0.91","0.96","0.9","0.9","0.89","0.94","0.96","0.89","0.84","0.84","0.87","0.84","0.9","0.95","1.01","1.08","1.14","1.13","1.09","1.11","1.09","1.08","1.14","1.07","1.04","1.08","1","1.01","1.02","0.99","0.96","1.07","1.1","1.11","1.09","1.12","1.13","1.04","1.06","1.14","1","1.09","1.12","1.12","1.04","1","1.03","1.03","1.16","1.2"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","70.27","69.6","73.95","73.52","76.08","73.94","72.17","75.26","74.35","78.33","78.66","76.01","74.98","75.32","76.11","79.23","78.81","80.48","79.76","80.18","82.76","76.69","75.4","79.06","77.22","77.98","77.35","83.06","71.76","81.71","81.45","84.7","87.23","87.57","85.48","85.08","86.83","88.19","88.32","87.86","89.58","86.88","85.59","87.72","85.79","85.44","87.95","90.38","89.23","88.95","90.09","91.38","90.39","89.41","86.74","88.7","88.83","88.92","89.07","88.46","89.06","89.29","87.56","86.54","87.43"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-17.0179","-15.7117","-14.0541","-12.7475","-13.8418","-14.1243","-13.4568","-12.5287","-12.7746","-13.3922","-14.0265","-14.2647","-14.1937","-16.6319","-15.1832","-14.3617","-14.3505","-14.8867","-14.4198","-14.0114","-14.4256","-14.6293","-13.7949","-13.5057","-13.0678","-13.4154","-14.7819","-14.5905","-13.4415","-13.336","-15.3407","-24.3618","-23.5212","-21.6337","-21.6896","-22.1217","-21.0465","-21.5906","-20.7573","-19.4009","-20.4166","-19.0988","-19.4201","-19.8045","-19.5506","-28.3223","-32.0391","-32.1664","-31.0656","-31.1183","-32.1545","-31.9887","-31.4938","-31.6493","-32.4827","-30.1461","-30.4528","-31.6715","-30.8563","-31.0554","-29.8476","-29.1415","-30.5092","-32.0039","-31.5262"
"B Max Drawdown","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-11.8362","-11.8362","-11.8362","-11.4136","-10.5811","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312"
"MD DIFF(P-B)","-3.69","-2.3838","-0.7262","0.580399999999999","-0.5139","-0.7964","-0.1289","0.799199999999999","0.5533","-0.0643000000000011","-0.698600000000001","-0.9368","-0.8658","-3.304","-1.8553","-1.0338","-1.0226","-1.5588","-1.0919","-0.6835","-1.0977","-1.3014","-0.467000000000001","-0.1778","0.2601","-0.0875000000000004","-2.9457","-2.7543","-1.6053","-1.9224","-4.7596","-4.4025","-3.5619","-1.6744","-1.7303","-2.1624","-1.0872","-1.6313","-0.798000000000002","0.558399999999999","-0.4573","0.860499999999998","0.539199999999997","0.154799999999998","0.4087","-8.363","-0.507899999999999","-0.635200000000005","0.465599999999998","0.412899999999997","-0.6233","-0.457500000000003","0.0373999999999981","-0.118100000000002","-0.951500000000003","1.3851","1.0784","-0.140300000000003","0.674899999999997","0.4758","1.6836","2.3897","1.022","-0.472700000000003","0.00499999999999901"
