"","2013-03-12_to_2016-03-13_GrowthPortfolio_1QRank","2013-04-12_to_2016-04-13_GrowthPortfolio_1QRank","2013-05-13_to_2016-05-13_GrowthPortfolio_1QRank","2013-06-12_to_2016-06-13_GrowthPortfolio_1QRank","2013-07-12_to_2016-07-13_GrowthPortfolio_1QRank","2013-08-12_to_2016-08-13_GrowthPortfolio_1QRank","2013-09-12_to_2016-09-13_GrowthPortfolio_1QRank","2013-10-14_to_2016-10-13_GrowthPortfolio_1QRank","2013-11-12_to_2016-11-13_GrowthPortfolio_1QRank","2013-12-12_to_2016-12-13_GrowthPortfolio_1QRank","2014-01-13_to_2017-01-13_GrowthPortfolio_1QRank","2014-02-12_to_2017-02-13_GrowthPortfolio_1QRank","2014-03-12_to_2017-03-13_GrowthPortfolio_1QRank","2014-04-14_to_2017-04-13_GrowthPortfolio_1QRank","2014-05-12_to_2017-05-13_GrowthPortfolio_1QRank","2014-06-12_to_2017-06-13_GrowthPortfolio_1QRank","2014-07-14_to_2017-07-13_GrowthPortfolio_1QRank","2014-08-12_to_2017-08-13_GrowthPortfolio_1QRank","2014-09-12_to_2017-09-13_GrowthPortfolio_1QRank","2014-10-13_to_2017-10-13_GrowthPortfolio_1QRank","2014-11-12_to_2017-11-13_GrowthPortfolio_1QRank","2014-12-12_to_2017-12-13_GrowthPortfolio_1QRank","2015-01-12_to_2018-01-13_GrowthPortfolio_1QRank","2015-02-12_to_2018-02-13_GrowthPortfolio_1QRank","2015-03-12_to_2018-03-13_GrowthPortfolio_1QRank","2015-04-13_to_2018-04-13_GrowthPortfolio_1QRank","2015-05-12_to_2018-05-13_GrowthPortfolio_1QRank","2015-06-12_to_2018-06-13_GrowthPortfolio_1QRank","2015-07-13_to_2018-07-13_GrowthPortfolio_1QRank","2015-08-12_to_2018-08-13_GrowthPortfolio_1QRank","2015-09-14_to_2018-09-13_GrowthPortfolio_1QRank","2015-10-12_to_2018-10-13_GrowthPortfolio_1QRank","2015-11-12_to_2018-11-13_GrowthPortfolio_1QRank","2015-12-14_to_2018-12-13_GrowthPortfolio_1QRank","2016-01-12_to_2019-01-13_GrowthPortfolio_1QRank","2016-02-12_to_2019-02-13_GrowthPortfolio_1QRank","2016-03-14_to_2019-03-13_GrowthPortfolio_1QRank","2016-04-12_to_2019-04-13_GrowthPortfolio_1QRank","2016-05-12_to_2019-05-13_GrowthPortfolio_1QRank","2016-06-13_to_2019-06-13_GrowthPortfolio_1QRank","2016-07-12_to_2019-07-13_GrowthPortfolio_1QRank","2016-08-12_to_2019-08-13_GrowthPortfolio_1QRank","2016-09-12_to_2019-09-13_GrowthPortfolio_1QRank","2016-10-12_to_2019-10-13_GrowthPortfolio_1QRank","2016-11-14_to_2019-11-13_GrowthPortfolio_1QRank","2016-12-12_to_2019-12-13_GrowthPortfolio_1QRank","2017-01-12_to_2020-01-13_GrowthPortfolio_1QRank","2017-02-13_to_2020-02-13_GrowthPortfolio_1QRank","2017-03-13_to_2020-03-13_GrowthPortfolio_1QRank","2017-04-12_to_2020-04-13_GrowthPortfolio_1QRank","2017-05-12_to_2020-05-13_GrowthPortfolio_1QRank","2017-06-12_to_2020-06-13_GrowthPortfolio_1QRank","2017-07-12_to_2020-07-13_GrowthPortfolio_1QRank","2017-08-14_to_2020-08-13_GrowthPortfolio_1QRank","2017-09-12_to_2020-09-13_GrowthPortfolio_1QRank","2017-10-12_to_2020-10-13_GrowthPortfolio_1QRank","2017-11-13_to_2020-11-13_GrowthPortfolio_1QRank","2017-12-12_to_2020-12-13_GrowthPortfolio_1QRank","2018-01-12_to_2021-01-13_GrowthPortfolio_1QRank","2018-02-12_to_2021-02-13_GrowthPortfolio_1QRank","2018-03-12_to_2021-03-13_GrowthPortfolio_1QRank","2018-04-12_to_2021-04-13_GrowthPortfolio_1QRank","2018-05-14_to_2021-05-13_GrowthPortfolio_1QRank","2018-06-12_to_2021-06-13_GrowthPortfolio_1QRank","2018-07-12_to_2021-07-13_GrowthPortfolio_1QRank","2018-08-13_to_2021-08-13_GrowthPortfolio_1QRank","2018-09-12_to_2021-09-13_GrowthPortfolio_1QRank","2018-10-12_to_2021-10-13_GrowthPortfolio_1QRank"
"P Information Ratio","0.89","1.17","1.41","0.91","0.47","1.13","0.85","1.02","1.41","1.26","0.74","0.87","1.41","1.15","1.59","0.74","1.17","1.24","1.24","0.64","0.74","0.33","1.85","2.14","2.05","1.9","1.23","1.34","0.8","1.8","2.05","1.55","1.19","0.88","1.07","-0.59","-0.75","0.86","1.06","1.07","0.61","1.28","0.98","0.6","-0.01","-0.17","-0.03","0.42","1.16","1.05","1.71","1.82","1.19","1.31","1.02","0.38","1.61","-0.02","0.64","0.04","0.58","0.51","0.32","-0.04","0.72","1.48","-0.01","0.4"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.54","1.09","0.96","0.63","0.29","0.7","0.61","0.69","0.91","0.68","0.42","0.56","1.07","0.81","0.72","0.29","0.6","0.52","0.59","0.26","0.33","0.41","1","1.23","1.28","1.27","0.57","0.49","0.31","1.15","1.1","0.92","0.56","0.36","0.55","-0.02","-0.17","0.28","0.37","0.48","0.13","0.52","0.17","-0.01","-0.38","-0.37","-0.27","0.04","0.67","0.57","0.82","0.75","0.53","0.38","0.74","0.28","0.8","-0.11","0.15","-0.04","0.29","0.23","0.21","0.07","0.4","1.05","0.3","0.42"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","1.08","0.8","0.89","0.91","0.99","0.93","0.86","0.98","0.93","0.98","0.87","0.92","0.85","0.77","0.8","0.94","0.96","1.05","0.97","0.92","0.86","0.73","0.92","1.04","1.06","1.12","0.96","1.05","1","0.93","1.03","1.13","1.31","1.32","1.17","0.64","0.81","1.14","1.27","1.15","1.16","1.16","1.29","1.4","1.39","1.33","1.27","1.16","1.04","0.94","1.05","0.99","1.09","1.05","0.97","0.93","1.04","1.11","1.07","1.05","1.03","0.96","0.91","0.9","0.97","0.97","0.78","0.83"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","70.23","39.44","62.52","64.37","69.92","64.06","57.5","64.2","63.54","71.48","65.97","58.16","59.04","63.36","72.85","86.61","72.81","79.91","75.36","86.7","78.13","72.7","62.81","62.48","60.48","63.86","75.33","79.32","78.58","56.24","62.28","59.3","70.79","68.49","66.65","44.02","73.07","76.94","79.58","83.02","88.18","83.46","89.85","87.02","87.64","84.96","85.57","82.47","78.88","78.8","83.04","90.75","89.45","92.74","81.27","86.66","89.7","92.73","94.12","92.76","92.39","91.99","93.18","90.1","92.02","76.92","86.06","85.84"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-21.5118","-22.5682","-16.961","-21.8556","-20.3577","-18.782","-16.512","-18.6554","-18.1601","-16.3518","-15.9906","-17.1621","-16.7706","-12.3147","-11.4916","-14.054","-19.3825","-17.5887","-20.5274","-13.8158","-13.8985","-10.7257","-12.9318","-16.54","-18.3263","-18.6043","-18.5885","-19.1837","-18.1728","-14.7792","-14.5712","-15.5707","-16.8085","-21.3239","-27.3654","-13.231","-16.6359","-25.5956","-28.8188","-26.2727","-25.373","-24.2912","-25.1068","-28.963","-28.5753","-27.482","-26.0114","-23.8051","-27.6069","-30.1534","-30.6847","-29.8428","-33.0427","-37.4862","-28.4253","-29.8323","-28.488","-35.2519","-31.8512","-33.064","-29.7747","-31.221","-28.7354","-30.787","-29.8527","-26.5322","-24.9889","-27.2033"
"B Max Drawdown","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-11.8362","-11.8362","-11.8362","-11.4136","-11.1728","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-26.0386","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312"
"MD DIFF(P-B)","-8.1839","-9.2403","-3.6331","-8.5277","-7.0298","-5.4541","-3.1841","-5.3275","-4.8322","-3.0239","-2.6627","-3.8342","-3.4427","1.0132","1.8363","-0.726100000000001","-6.0546","-4.2608","-7.1995","-0.4879","-0.570600000000001","2.6022","0.396099999999999","-3.2121","-4.9984","-5.2764","-5.2606","-5.8558","-4.8449","-2.943","-2.735","-3.7345","-5.3949","-10.1511","-7.4061","6.7283","3.3234","-5.6363","-8.8595","-6.3134","-5.4137","-4.3319","-5.1475","-9.0037","-8.616","-7.5227","-6.0521","-3.8458","-1.5683","1.3778","0.846499999999999","1.6884","-1.51150000000001","-5.955","3.1059","1.6989","3.0432","-3.7207","-0.32","-1.5328","1.7565","0.310199999999998","2.7958","0.744199999999999","1.6785","4.999","6.5423","4.3279"
