"","1 Y 2013-06-11 to 2015-06-12","1 Y 2013-07-11 to 2015-07-12","1 Y 2013-08-12 to 2015-08-12","1 Y 2013-09-11 to 2015-09-12","1 Y 2013-10-11 to 2015-10-12","1 Y 2013-11-11 to 2015-11-12","1 Y 2013-12-11 to 2015-12-12","1 Y 2014-01-13 to 2016-01-12","1 Y 2014-02-11 to 2016-02-12","1 Y 2014-03-11 to 2016-03-12","1 Y 2014-04-11 to 2016-04-12","1 Y 2014-05-12 to 2016-05-12","1 Y 2014-06-11 to 2016-06-12","1 Y 2014-07-11 to 2016-07-12","1 Y 2014-08-11 to 2016-08-12","1 Y 2014-09-11 to 2016-09-12","1 Y 2014-10-13 to 2016-10-12","1 Y 2014-11-11 to 2016-11-12","1 Y 2014-12-11 to 2016-12-12","1 Y 2015-01-12 to 2017-01-12","1 Y 2015-02-11 to 2017-02-12","1 Y 2015-03-11 to 2017-03-12","1 Y 2015-04-13 to 2017-04-12","1 Y 2015-05-11 to 2017-05-12","1 Y 2015-06-11 to 2017-06-12","1 Y 2015-07-13 to 2017-07-12","1 Y 2015-08-11 to 2017-08-12","1 Y 2015-09-11 to 2017-09-12","1 Y 2015-10-12 to 2017-10-12","1 Y 2015-11-11 to 2017-11-12","1 Y 2015-12-11 to 2017-12-12","1 Y 2016-01-11 to 2018-01-12","1 Y 2016-02-11 to 2018-02-12","1 Y 2016-03-11 to 2018-03-12","1 Y 2016-04-11 to 2018-04-12","1 Y 2016-05-11 to 2018-05-12","1 Y 2016-06-13 to 2018-06-12","1 Y 2016-07-11 to 2018-07-12","1 Y 2016-08-11 to 2018-08-12","1 Y 2016-09-12 to 2018-09-12","1 Y 2016-10-11 to 2018-10-12","1 Y 2016-11-11 to 2018-11-12","1 Y 2016-12-12 to 2018-12-12","1 Y 2017-01-11 to 2019-01-12","1 Y 2017-02-13 to 2019-02-12","1 Y 2017-03-13 to 2019-03-12","1 Y 2017-04-11 to 2019-04-12","1 Y 2017-05-11 to 2019-05-12","1 Y 2017-06-12 to 2019-06-12","1 Y 2017-07-11 to 2019-07-12","1 Y 2017-08-11 to 2019-08-12","1 Y 2017-09-11 to 2019-09-12","1 Y 2017-10-11 to 2019-10-12","1 Y 2017-11-13 to 2019-11-12","1 Y 2017-12-11 to 2019-12-12","1 Y 2018-01-11 to 2020-01-12","1 Y 2018-02-12 to 2020-02-12","1 Y 2018-03-12 to 2020-03-12","1 Y 2018-04-11 to 2020-04-12","1 Y 2018-05-11 to 2020-05-12","1 Y 2018-06-11 to 2020-06-12","1 Y 2018-07-11 to 2020-07-12","1 Y 2018-08-13 to 2020-08-12","1 Y 2018-09-11 to 2020-09-12","1 Y 2018-10-11 to 2020-10-12","1 Y 2018-11-12 to 2020-11-12","1 Y 2018-12-11 to 2020-12-12","1 Y 2019-01-11 to 2021-01-12","1 Y 2019-02-11 to 2021-02-12","1 Y 2019-03-11 to 2021-03-12","1 Y 2019-04-11 to 2021-04-12","1 Y 2019-05-13 to 2021-05-12","1 Y 2019-06-11 to 2021-06-12","1 Y 2019-07-11 to 2021-07-12","1 Y 2019-08-12 to 2021-08-12","1 Y 2019-09-11 to 2021-09-12","2 Y 2013-06-11 to 2015-06-12","2 Y 2013-07-11 to 2015-07-12","2 Y 2013-08-12 to 2015-08-12","2 Y 2013-09-11 to 2015-09-12","2 Y 2013-10-11 to 2015-10-12","2 Y 2013-11-11 to 2015-11-12","2 Y 2013-12-11 to 2015-12-12","2 Y 2014-01-13 to 2016-01-12","2 Y 2014-02-11 to 2016-02-12","2 Y 2014-03-11 to 2016-03-12","2 Y 2014-04-11 to 2016-04-12","2 Y 2014-05-12 to 2016-05-12","2 Y 2014-06-11 to 2016-06-12","2 Y 2014-07-11 to 2016-07-12","2 Y 2014-08-11 to 2016-08-12","2 Y 2014-09-11 to 2016-09-12","2 Y 2014-10-13 to 2016-10-12","2 Y 2014-11-11 to 2016-11-12","2 Y 2014-12-11 to 2016-12-12","2 Y 2015-01-12 to 2017-01-12","2 Y 2015-02-11 to 2017-02-12","2 Y 2015-03-11 to 2017-03-12","2 Y 2015-04-13 to 2017-04-12","2 Y 2015-05-11 to 2017-05-12","2 Y 2015-06-11 to 2017-06-12","2 Y 2015-07-13 to 2017-07-12","2 Y 2015-08-11 to 2017-08-12","2 Y 2015-09-11 to 2017-09-12","2 Y 2015-10-12 to 2017-10-12","2 Y 2015-11-11 to 2017-11-12","2 Y 2015-12-11 to 2017-12-12","2 Y 2016-01-11 to 2018-01-12","2 Y 2016-02-11 to 2018-02-12","2 Y 2016-03-11 to 2018-03-12","2 Y 2016-04-11 to 2018-04-12","2 Y 2016-05-11 to 2018-05-12","2 Y 2016-06-13 to 2018-06-12","2 Y 2016-07-11 to 2018-07-12","2 Y 2016-08-11 to 2018-08-12","2 Y 2016-09-12 to 2018-09-12","2 Y 2016-10-11 to 2018-10-12","2 Y 2016-11-11 to 2018-11-12","2 Y 2016-12-12 to 2018-12-12","2 Y 2017-01-11 to 2019-01-12","2 Y 2017-02-13 to 2019-02-12","2 Y 2017-03-13 to 2019-03-12","2 Y 2017-04-11 to 2019-04-12","2 Y 2017-05-11 to 2019-05-12","2 Y 2017-06-12 to 2019-06-12","2 Y 2017-07-11 to 2019-07-12","2 Y 2017-08-11 to 2019-08-12","2 Y 2017-09-11 to 2019-09-12","2 Y 2017-10-11 to 2019-10-12","2 Y 2017-11-13 to 2019-11-12","2 Y 2017-12-11 to 2019-12-12","2 Y 2018-01-11 to 2020-01-12","2 Y 2018-02-12 to 2020-02-12","2 Y 2018-03-12 to 2020-03-12","2 Y 2018-04-11 to 2020-04-12","2 Y 2018-05-11 to 2020-05-12","2 Y 2018-06-11 to 2020-06-12","2 Y 2018-07-11 to 2020-07-12","2 Y 2018-08-13 to 2020-08-12","2 Y 2018-09-11 to 2020-09-12","2 Y 2018-10-11 to 2020-10-12","2 Y 2018-11-12 to 2020-11-12","2 Y 2018-12-11 to 2020-12-12","2 Y 2019-01-11 to 2021-01-12","2 Y 2019-02-11 to 2021-02-12","2 Y 2019-03-11 to 2021-03-12","2 Y 2019-04-11 to 2021-04-12","2 Y 2019-05-13 to 2021-05-12","2 Y 2019-06-11 to 2021-06-12","2 Y 2019-07-11 to 2021-07-12","2 Y 2019-08-12 to 2021-08-12","2 Y 2019-09-11 to 2021-09-12"
"P Information Ratio","1.94","2.17","2.08","2.78","3.21","2.44","2.34","4.11","1.03","0.85","1.14","0.75","1.05","0.7","2.05","-0.01","0.32","0.36","-1.85","-1.39","-0.41","2.12","2.14","2.03","1.26","1.89","1.14","1.07","2.49","2.78","2.02","2.05","1.16","1.39","1.63","0.33","-0.57","0.6","1.14","1.24","0.54","-0.64","-1.01","-1.26","-0.5","-1.45","-1.03","0.44","0.69","0.24","0.54","0.22","-0.11","0.47","0.1","-0.52","0.8","-0.55","0.43","0.5","1.31","2.6","1.94","1.89","2.15","-0.3","-0.46","6.93","-1.14","-1.45","-1.09","0.07","1.55","0.7","0.02","-0.63","1.53","1.71","1.62","1.57","1.54","1.55","1.5","1.36","0.5","0.6","1.43","0.9","1.26","0.93","1.75","0.83","1.4","0.91","0.12","-0.02","-0.03","1.15","1.44","1.47","0.7","1.03","0.34","0.39","2.23","2.15","1.62","1.79","1.11","1.3","1.45","0.57","0.41","1.06","2.43","1.93","1.7","0.5","-0.17","-0.29","0.35","0.46","0.62","1.19","1.61","0.96","1","0.73","0.2","0.55","0.54","0.72","0.74","-0.18","0.91","0.11","0.9","1.68","1.59","0.61","0.75","-0.35","-0.62","2.03","-0.68","-0.72","-0.34","-0.1","0.31","0.53","-0.19","-1"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.55","1.27","1.26","1.37","1.38","1.6","1.87","1.47","0.78","0.8","0.71","0.28","0.67","0.49","0.76","0.2","0.17","-0.06","-0.44","-0.49","-0.63","0.29","1.13","0.71","1.56","1.33","0.93","1.11","2.65","2.51","2.28","2.03","0.82","0.54","1.05","-0.22","-0.06","0.18","0.34","0.57","0.26","-0.17","-0.62","-1.11","-0.53","-0.56","-0.62","0.18","0.43","0.38","0.14","0.22","0.05","0.09","-0.3","0.01","-0.3","0.05","0.18","-0.03","0.78","1.31","1.16","0.6","0.9","-0.16","0.01","2.15","-0.07","0.63","0.67","0.33","0.69","-0.07","0.37","-0.74","0.91","1.29","1.38","0.97","1.09","1.17","1.26","1.04","0.47","0.79","0.7","0.61","0.66","0.6","0.61","0.43","0.57","0.34","0.26","0.11","-0.06","0.64","0.87","0.48","0.42","0.5","0.26","0.33","1.26","1.21","0.88","0.93","0.83","0.66","0.94","0.38","0.2","0.45","0.99","0.59","0.72","0.11","-0.19","-0.37","0.13","0.28","0.15","0.56","0.94","0.55","0.47","0.61","0.06","0.28","0.16","0.24","0.1","0.02","0.34","-0.04","0.53","0.83","0.79","0.35","0.58","0.02","0.23","1.12","0.04","-0.11","0.23","0.05","0.08","0.19","-0.05","-0.35"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","1.05","0.84","0.68","0.83","1.04","0.81","0.75","0.97","1.05","0.96","0.8","0.75","0.78","0.92","0.91","0.87","1.21","1.29","1.13","1.02","1.14","1.28","0.95","0.84","0.47","0.49","0.63","0.47","0.08","0.4","0.39","0.37","1.13","1.2","1.16","1.08","1.01","1.15","1.08","1.1","1.07","1.2","1.29","1.09","1.22","1.13","1.16","1.06","1.01","1.02","1","0.97","1.02","0.97","1.15","1.01","1.19","1.09","0.95","1.04","1.02","0.88","0.83","0.96","0.91","0.68","0.65","1.05","0.72","0.54","0.69","0.86","0.95","1.01","0.92","1.14","0.97","0.84","0.69","0.81","0.99","0.85","0.77","0.84","0.95","0.91","0.81","0.74","0.84","0.95","0.9","0.88","0.95","0.95","0.78","0.74","0.83","0.86","0.91","0.9","0.91","0.9","0.96","0.83","0.87","0.96","1.04","0.96","0.91","0.96","1.01","0.98","0.93","1.1","1.01","1.11","1.11","1.2","1.29","1.22","1.23","1.16","1.17","1.13","1.08","1.03","1.05","1.03","1.14","1.08","1.12","1.03","1.15","1.14","1.05","1.11","1.04","0.92","0.83","0.89","0.85","0.65","0.58","0.94","0.7","0.67","0.78","0.94","1.06","1.03","0.97","1.01"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","76.29","58.37","44.86","75.59","79.88","70.12","69.36","87.57","74.98","68.94","88.16","73.85","76.65","73.49","88.06","86.73","87.87","95.26","94","76.39","86.87","75.74","50.54","68.07","14.12","5.97","25.18","2.23","-10.96","-7.7","-7.19","-8.35","22.17","49.8","51.08","67.06","74.28","82.64","72.71","73.5","74.45","83.01","81.1","87.48","89.31","89.3","87.17","80.81","88.58","96.16","94.19","92.92","90.45","89.95","90.12","88.55","92.08","92.53","96.64","98.77","90.76","91.81","91.89","97.02","94.44","86.32","84.41","94.8","89.35","69.81","74.17","93.12","88.89","93.77","85.04","88.14","53.05","43.97","28.85","49.11","58.66","53.76","44.41","49.99","55.21","61.02","84","66.51","76.67","70.68","85.66","84.02","83.31","84.63","75.98","71.51","73.24","75.21","81.83","86.1","71.92","71.98","78.76","68.51","42.11","46.87","54.64","33.76","34.14","43.67","46.91","46.65","57.09","65.26","60.8","69.51","65.35","81.01","75.63","85.76","85.41","81.53","80.93","76.26","78.75","79.24","79.9","80.48","85.14","84.23","89.24","85.63","86.55","88.99","92.36","95.27","90.57","92.27","92.34","93.23","89.95","79.26","76.38","81.75","82.16","80.88","87.09","92.76","91.58","91.78","91.92","93.5"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-11.0696","-11.1097","-10.6262","-12.3954","-12.9094","-13.1273","-13.1477","-13.6227","-17.9724","-17.4998","-12.6832","-14.9254","-14.3437","-16.8861","-14.2642","-13.7669","-15.9949","-16.33","-13.2037","-9.2993","-8.6426","-5.2604","-4.6117","-5.494","-4.98","-4.3805","-4.1872","-4.4864","-5.404","-5.2524","-4.7973","-5.6696","-10.0202","-10.0973","-10.3043","-11.2192","-10.7907","-10.7105","-9.6145","-9.8084","-9.2981","-15.4841","-20.1104","-28.1809","-26.7191","-25.5221","-25.6882","-22.5716","-21.4025","-20.7592","-21.4942","-21.0883","-17.4284","-15.5147","-11.5226","-9.2841","-9.8966","-29.8081","-30.4484","-33.885","-31.0285","-29.2172","-28.4033","-30.0693","-27.2935","-24.9328","-26.5552","-29.1677","-32.8169","-18.2031","-6.8968","-8.8766","-8.9998","-9.7717","-7.4577","-7.3783","-11.4206","-11.1097","-11.2047","-12.3954","-12.9094","-13.1273","-13.1477","-13.6227","-17.9724","-17.4998","-12.6832","-14.9254","-14.3437","-16.8861","-14.2642","-15.2327","-15.9949","-16.33","-13.7398","-10.9538","-13.6337","-14.2981","-15.1955","-15.8996","-17.9018","-18.0553","-17.9988","-16.798","-15.2957","-15.8219","-14.328","-8.0591","-10.0202","-10.0973","-10.3043","-11.2192","-10.7907","-10.7105","-9.6145","-9.8084","-9.2981","-15.4841","-20.1104","-28.1809","-26.7191","-25.5221","-25.6882","-22.5716","-21.4025","-20.7592","-21.4942","-21.0883","-22.345","-20.5704","-21.1744","-24.397","-24.2576","-29.8081","-30.4484","-33.885","-31.0285","-29.2172","-28.4033","-30.0693","-27.2935","-24.9328","-26.5552","-29.1677","-32.8169","-32.5964","-31.0324","-32.3828","-34.7451","-32.244","-32.5879","-30.4365"
"B Max Drawdown","-7.5098","-7.5098","-7.5098","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-11.8362","-11.8362","-11.8362","-11.4136","-10.5262","-5.1205","-5.1205","-5.1204","-5.1204","-5.1204","-4.8468","-4.6428","-4.6428","-4.0864","-3.2324","-2.9033","-2.9033","-2.9033","-10.3384","-10.3384","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-16.7416","-15.8126","-11.4984","-7.6691","-7.6691","-26.0386","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-15.9392","-10.5021","-10.5021","-10.5021","-10.5021","-10.5021","-7.9326","-7.5098","-7.5098","-7.5098","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-11.8362","-11.8362","-11.8362","-11.4136","-10.5262","-5.1204","-10.3384","-10.3384","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-26.0386","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312"
"MD DIFF(P-B)","-3.5598","-3.5999","-3.1164","0.932499999999999","0.4185","0.2006","0.180199999999999","-0.2948","-4.6445","-4.1719","0.6447","-1.5975","-1.0158","-3.5582","-2.428","-1.9307","-4.1587","-4.9164","-2.6775","-4.1788","-3.5221","-0.14","0.5087","-0.3736","-0.1332","0.262300000000001","0.4556","-0.399999999999999","-2.1716","-2.3491","-1.894","-2.7663","0.318199999999999","0.241099999999999","0.868500000000001","-0.0464000000000002","0.382100000000001","0.462300000000001","1.5583","1.3644","1.8747","-4.3113","-8.9376","-8.2216","-6.7598","-5.5628","-5.7289","-2.6123","-1.4432","-0.799900000000001","-1.5349","-1.129","-0.686800000000002","0.2979","-0.0242000000000004","-1.615","-2.2275","-3.7695","1.0828","-2.3538","0.502699999999997","2.314","3.1279","1.4619","4.2377","6.5984","4.976","2.3635","-1.2857","-2.2639","3.6053","1.6255","1.5023","0.730400000000001","3.0444","0.5543","-3.9108","-3.5999","-3.6949","0.932499999999999","0.4185","0.2006","0.180199999999999","-0.2948","-4.6445","-4.1719","0.6447","-1.5975","-1.0158","-3.5582","-0.936300000000001","-1.9048","-2.667","-3.0021","-0.411900000000001","2.3741","-0.3058","-0.9702","-1.8676","-2.5717","-4.5739","-4.7274","-6.1626","-4.9618","-3.4595","-4.4083","-3.8018","-2.9387","0.318199999999999","0.241099999999999","0.868500000000001","-0.0464000000000002","0.382100000000001","0.462300000000001","1.5583","1.3644","1.8747","-4.3113","-8.9376","-8.2216","-6.7598","-5.5628","-5.7289","-2.6123","-1.4432","-0.799900000000001","-1.5349","-1.129","-2.3857","-0.6111","-1.2151","-4.4377","-4.2983","-3.7695","1.0828","-2.3538","0.502699999999997","2.314","3.1279","1.4619","4.2377","6.5984","4.976","2.3635","-1.2857","-1.0652","0.498799999999999","-0.851600000000005","-3.2139","-0.712800000000001","-1.0567","1.0947"
