"","2013-06-11_to_2016-06-12_ValuePortfolio_2QRank","2013-07-11_to_2016-07-12_ValuePortfolio_2QRank","2013-08-12_to_2016-08-12_ValuePortfolio_2QRank","2013-09-11_to_2016-09-12_ValuePortfolio_2QRank","2013-10-11_to_2016-10-12_ValuePortfolio_2QRank","2013-11-11_to_2016-11-12_ValuePortfolio_2QRank","2013-12-11_to_2016-12-12_ValuePortfolio_2QRank","2014-01-13_to_2017-01-12_ValuePortfolio_2QRank","2014-02-11_to_2017-02-12_ValuePortfolio_2QRank","2014-03-11_to_2017-03-12_ValuePortfolio_2QRank","2014-04-11_to_2017-04-12_ValuePortfolio_2QRank","2014-05-12_to_2017-05-12_ValuePortfolio_2QRank","2014-06-11_to_2017-06-12_ValuePortfolio_2QRank","2014-07-11_to_2017-07-12_ValuePortfolio_2QRank","2014-08-11_to_2017-08-12_ValuePortfolio_2QRank","2014-09-11_to_2017-09-12_ValuePortfolio_2QRank","2014-10-13_to_2017-10-12_ValuePortfolio_2QRank","2014-11-11_to_2017-11-12_ValuePortfolio_2QRank","2014-12-11_to_2017-12-12_ValuePortfolio_2QRank","2015-01-12_to_2018-01-12_ValuePortfolio_2QRank","2015-02-11_to_2018-02-12_ValuePortfolio_2QRank","2015-03-11_to_2018-03-12_ValuePortfolio_2QRank","2015-04-13_to_2018-04-12_ValuePortfolio_2QRank","2015-05-11_to_2018-05-12_ValuePortfolio_2QRank","2015-06-11_to_2018-06-12_ValuePortfolio_2QRank","2015-07-13_to_2018-07-12_ValuePortfolio_2QRank","2015-08-11_to_2018-08-12_ValuePortfolio_2QRank","2015-09-11_to_2018-09-12_ValuePortfolio_2QRank","2015-10-12_to_2018-10-12_ValuePortfolio_2QRank","2015-11-11_to_2018-11-12_ValuePortfolio_2QRank","2015-12-11_to_2018-12-12_ValuePortfolio_2QRank","2016-01-11_to_2019-01-12_ValuePortfolio_2QRank","2016-02-11_to_2019-02-12_ValuePortfolio_2QRank","2016-03-11_to_2019-03-12_ValuePortfolio_2QRank","2016-04-11_to_2019-04-12_ValuePortfolio_2QRank","2016-05-11_to_2019-05-12_ValuePortfolio_2QRank","2016-06-13_to_2019-06-12_ValuePortfolio_2QRank","2016-07-11_to_2019-07-12_ValuePortfolio_2QRank","2016-08-11_to_2019-08-12_ValuePortfolio_2QRank","2016-09-12_to_2019-09-12_ValuePortfolio_2QRank","2016-10-11_to_2019-10-12_ValuePortfolio_2QRank","2016-11-11_to_2019-11-12_ValuePortfolio_2QRank","2016-12-12_to_2019-12-12_ValuePortfolio_2QRank","2017-01-11_to_2020-01-12_ValuePortfolio_2QRank","2017-02-13_to_2020-02-12_ValuePortfolio_2QRank","2017-03-13_to_2020-03-12_ValuePortfolio_2QRank","2017-04-11_to_2020-04-12_ValuePortfolio_2QRank","2017-05-11_to_2020-05-12_ValuePortfolio_2QRank","2017-06-12_to_2020-06-12_ValuePortfolio_2QRank","2017-07-11_to_2020-07-12_ValuePortfolio_2QRank","2017-08-11_to_2020-08-12_ValuePortfolio_2QRank","2017-09-11_to_2020-09-12_ValuePortfolio_2QRank","2017-10-11_to_2020-10-12_ValuePortfolio_2QRank","2017-11-13_to_2020-11-12_ValuePortfolio_2QRank","2017-12-11_to_2020-12-12_ValuePortfolio_2QRank","2018-01-11_to_2021-01-12_ValuePortfolio_2QRank","2018-02-12_to_2021-02-12_ValuePortfolio_2QRank","2018-03-12_to_2021-03-12_ValuePortfolio_2QRank","2018-04-11_to_2021-04-12_ValuePortfolio_2QRank","2018-05-11_to_2021-05-12_ValuePortfolio_2QRank","2018-06-11_to_2021-06-12_ValuePortfolio_2QRank","2018-07-11_to_2021-07-12_ValuePortfolio_2QRank","2018-08-13_to_2021-08-12_ValuePortfolio_2QRank","2018-09-11_to_2021-09-12_ValuePortfolio_2QRank","2018-10-11_to_2021-10-12_ValuePortfolio_2QRank"
"P Information Ratio","1.24","0.7","-0.03","-0.32","-0.32","-0.06","0.05","-0.11","0.02","-0.47","0.96","0.72","0.78","1.18","1.41","1.4","1.77","-0.66","1.17","1.39","-0.18","0.48","-0.35","-0.25","-0.47","-0.38","-0.16","-0.04","0.25","-0.07","0.05","0.33","1.12","0.42","0.59","0.52","1.01","1.11","-0.85","-0.58","-0.75","-0.6","0.01","-0.26","-0.4","-0.53","-0.23","-1.86","-1.85","-1.94","-1.39","-1.4","-1.16","-0.09","0.21","-1.39","0.73","0.4","0.41","-0.72","-0.71","-0.79","-0.56","0.58","0.67"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.76","0.37","0.19","0.11","0.11","0.25","0.14","0.16","0.23","-0.05","0.29","0.27","0.39","0.44","0.48","0.51","0.86","-0.18","0.51","0.45","-0.11","0.22","-0.1","0.1","0.06","0.07","0.09","-0.07","0.08","0","-0.16","0.19","0.39","0.3","0.1","0.16","0.48","0.36","-0.22","-0.01","-0.09","0.08","0.34","0.21","0","-0.2","-0.08","-0.89","-1.09","-0.95","-0.95","-0.94","-0.36","-0.11","0.08","-0.69","0.79","0.33","0.39","-0.28","-0.18","-0.29","-0.32","0.23","-0.03"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","0.76","0.81","0.79","0.6","0.63","0.69","0.71","0.69","0.64","0.83","1.05","1.05","0.92","1.1","1.1","1.03","1.1","0.9","1.04","1.06","1.07","1.04","0.82","0.72","0.71","0.81","0.93","1.04","1.1","0.96","1.18","1.16","1.19","1.12","1.18","1.16","1.16","1.13","0.81","0.79","0.83","0.63","0.63","0.67","0.7","0.84","0.87","1.03","1.1","1.08","1.14","1.07","0.92","1.04","1.09","0.7","0.99","0.99","1.07","0.79","0.81","0.91","1","1.35","1.48"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","72.18","75.61","79.36","57.81","65.13","68.6","69.44","63.89","64.95","79.6","88.58","86.03","79.8","83.78","86.87","83.34","70.91","83.99","78.54","74.92","78.84","73.85","78.79","65.53","65.03","72.66","80.13","75.32","79.14","81.73","77.65","76.84","70.7","73.12","64.14","68.69","80.42","82.57","82.24","77.93","88.3","64.4","62.74","69.79","65.22","82.73","84.09","88.66","87.91","89.14","86.68","89.83","89.2","82.38","75.42","78.52","74.5","73.08","74.26","81.92","83.66","82.82","81.78","80.88","84.43"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-13.2896","-13.3668","-11.9268","-12.1757","-10.4234","-9.9682","-10.4681","-11.9532","-12.0578","-13.9571","-16.987","-15.7373","-15.2535","-19.2972","-17.8362","-16.4893","-14.4924","-18.4389","-16.0588","-17.4314","-18.5878","-19.8676","-17.2505","-16.0343","-11.9616","-13.4375","-15.4581","-15.6727","-15.3451","-13.1044","-17.0202","-23.5583","-24.7417","-21.5512","-24.0464","-23.4056","-22.242","-23.1587","-16.4971","-16.1254","-16.6732","-12.3241","-12.0599","-12.9235","-15.3422","-24.3702","-28.2076","-36.7222","-39.2555","-34.8132","-39.6918","-37.6914","-34.6172","-34.643","-34.373","-32.9267","-32.3444","-32.5604","-33.0939","-31.0354","-30.3223","-31.2486","-36.3527","-37.4919","-38.8472"
"B Max Drawdown","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-11.8362","-11.8362","-11.8362","-11.4136","-11.1728","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9594","-19.9593","-19.9593","-19.9593","-26.0386","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312"
"MD DIFF(P-B)","0.0382999999999996","-0.0388999999999999","1.4011","1.1522","2.9045","3.3597","2.8598","1.3747","1.2701","-0.629200000000001","-3.6591","-2.4094","-1.9256","-5.9693","-4.5083","-3.1614","-1.1645","-5.111","-2.7309","-4.1035","-5.2599","-6.5397","-3.9226","-2.7064","1.3663","-0.1096","-3.6219","-3.8365","-3.5089","-1.6908","-5.8474","-3.599","-4.7824","-1.5919","-4.0871","-3.4463","-2.2827","-3.1994","3.4622","3.8339","3.2861","7.6353","7.8994","7.0358","4.6171","1.6684","3.3236","-5.191","-7.7243","-3.282","-8.1606","-6.1602","-3.086","-3.1118","-2.8418","-1.3955","-0.813200000000002","-1.0292","-1.5627","0.495799999999999","1.2089","0.282599999999999","-4.8215","-5.9607","-7.316"
