"","1 Y 2014-03-11 to 2015-03-12","1 Y 2014-04-11 to 2015-04-12","1 Y 2014-05-12 to 2015-05-12","1 Y 2014-06-11 to 2015-06-12","1 Y 2014-07-11 to 2015-07-12","1 Y 2014-08-11 to 2015-08-12","1 Y 2014-09-11 to 2015-09-12","1 Y 2014-10-13 to 2015-10-12","1 Y 2014-11-11 to 2015-11-12","1 Y 2014-12-11 to 2015-12-12","1 Y 2015-01-12 to 2016-01-12","1 Y 2015-02-11 to 2016-02-12","1 Y 2015-03-11 to 2016-03-12","1 Y 2015-04-13 to 2016-04-12","1 Y 2015-05-11 to 2016-05-12","1 Y 2015-06-11 to 2016-06-12","1 Y 2015-07-13 to 2016-07-12","1 Y 2015-08-11 to 2016-08-12","1 Y 2015-09-11 to 2016-09-12","1 Y 2015-10-12 to 2016-10-12","1 Y 2015-11-11 to 2016-11-12","1 Y 2015-12-11 to 2016-12-12","1 Y 2016-01-11 to 2017-01-12","1 Y 2016-02-11 to 2017-02-12","1 Y 2016-03-11 to 2017-03-12","1 Y 2016-04-11 to 2017-04-12","1 Y 2016-05-11 to 2017-05-12","1 Y 2016-06-13 to 2017-06-12","1 Y 2016-07-11 to 2017-07-12","1 Y 2016-08-11 to 2017-08-12","1 Y 2016-09-12 to 2017-09-12","1 Y 2016-10-11 to 2017-10-12","1 Y 2016-11-11 to 2017-11-12","1 Y 2016-12-12 to 2017-12-12","1 Y 2017-01-11 to 2018-01-12","1 Y 2017-02-13 to 2018-02-12","1 Y 2017-03-13 to 2018-03-12","1 Y 2017-04-11 to 2018-04-12","1 Y 2017-05-11 to 2018-05-12","1 Y 2017-06-12 to 2018-06-12","1 Y 2017-07-11 to 2018-07-12","1 Y 2017-08-11 to 2018-08-12","1 Y 2017-09-11 to 2018-09-12","1 Y 2017-10-11 to 2018-10-12","1 Y 2017-11-13 to 2018-11-12","1 Y 2017-12-11 to 2018-12-12","1 Y 2018-01-11 to 2019-01-12","1 Y 2018-02-12 to 2019-02-12","1 Y 2018-03-12 to 2019-03-12","1 Y 2018-04-11 to 2019-04-12","1 Y 2018-05-11 to 2019-05-12","1 Y 2018-06-11 to 2019-06-12","1 Y 2018-07-11 to 2019-07-12","1 Y 2018-08-13 to 2019-08-12","1 Y 2018-09-11 to 2019-09-12","1 Y 2018-10-11 to 2019-10-12","1 Y 2018-11-12 to 2019-11-12","1 Y 2018-12-11 to 2019-12-12","1 Y 2019-01-11 to 2020-01-12","1 Y 2019-02-11 to 2020-02-12","1 Y 2019-03-11 to 2020-03-12","1 Y 2019-04-11 to 2020-04-12","1 Y 2019-05-13 to 2020-05-12","1 Y 2019-06-11 to 2020-06-12","1 Y 2019-07-11 to 2020-07-12","1 Y 2019-08-12 to 2020-08-12","1 Y 2019-09-11 to 2020-09-12","1 Y 2019-10-11 to 2020-10-12","1 Y 2019-11-11 to 2020-11-12","1 Y 2019-12-11 to 2020-12-12","1 Y 2020-01-13 to 2021-01-12","1 Y 2020-02-11 to 2021-02-12","1 Y 2020-03-11 to 2021-03-12","1 Y 2020-04-13 to 2021-04-12","1 Y 2020-05-11 to 2021-05-12","1 Y 2020-06-11 to 2021-06-12","1 Y 2020-07-13 to 2021-07-12","1 Y 2020-08-11 to 2021-08-12","1 Y 2020-09-11 to 2021-09-12"
"P Information Ratio","0.83","2.53","2.11","1.83","1.89","1.8","1.51","2.21","1.27","0.64","0.82","0.48","0.34","1","0.67","0.06","0.17","0.57","0.06","1.4","2.02","0.56","2.2","5.97","3.03","2.42","3.34","2","2.03","2.23","1.62","2.04","2.3","2.56","3.37","2.74","4.05","3.4","2.96","2.99","1.96","0.97","0.85","0","0.35","0.74","0.78","0.76","0.54","0.7","0.22","-0.2","0.15","0.07","0.09","0.46","0.19","-0.79","-0.24","-0.42","0.37","1","1.2","0.12","0.92","-0.1","0.29","0.55","1.7","3.79","6.84","3.69","1.93","1.47","0.97","1.13","1","1","1.28"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.78","1.57","0.91","1.28","1.18","1.07","0.95","1.05","0.82","0.75","0.37","0.26","0.27","0.83","0.09","-0.01","-0.02","0.22","0.14","0.68","0.46","0.2","0.63","1.4","1.37","1.84","1.72","2.58","2.02","1.78","1.62","2.2","1.92","2.05","1.44","0.43","0.97","1.11","1.23","1.17","0.75","0.45","0.51","0.05","0.29","0.57","0.09","0.17","0.73","0.29","0.07","0.06","0.33","0.08","0.13","0.2","0.25","-0.09","0.09","0.05","-0.02","0.54","0.68","0.46","0.69","0.17","0.28","0.83","1","2.18","2.31","1.48","0.85","0.46","0.35","0.06","0.51","0.27","0.18"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","1.01","0.85","0.86","0.84","0.93","0.83","0.94","0.94","0.77","0.85","0.81","0.74","0.66","0.84","0.78","0.83","0.84","0.84","0.9","1.12","1.14","1.2","1.07","1","0.67","0.56","0.46","0.15","0.25","0.57","0.49","0.23","0.5","0.4","0.74","1.55","1.05","1.05","1.22","1.22","1.25","1.05","1.13","0.99","1.26","1.24","1.08","1.11","1.06","1.11","1.11","1.06","1.07","1.04","1.08","0.93","0.82","0.91","0.88","0.78","0.8","0.67","0.76","0.78","0.87","0.79","0.75","0.75","0.83","1.16","1.16","1.11","1.15","1.22","1.23","1.19","1.01","0.96","1.01"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","67.69","50.78","57.05","43.37","57.44","50.28","66.81","71.66","74.37","81.53","80.08","65.32","61.6","76.54","87.95","89.37","92.11","90.91","90.19","87.33","89.59","90.23","71.4","71.02","34.45","19.2","16.34","-9.23","-8.58","7.96","-0.31","-9.46","-1.57","0.21","14.47","75.27","82.22","75.03","71.73","73.43","70.81","55.91","58.71","60.96","77.74","77.74","83.55","81.61","79.86","84.93","86.48","88.09","91.51","89.11","90.77","88.08","85.55","81.65","78.8","82.22","85.97","80.92","85.03","86.27","89.02","86.81","88.64","89.14","91.99","92.05","96.83","96.06","82.34","73.96","77.72","80.58","72.92","75.63","76.61"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-10.905","-10.4189","-11.2978","-10.6902","-10.8436","-10.695","-13.2911","-14.8218","-12.9756","-13.5323","-12.7359","-15.1197","-14.3813","-15.8891","-14.1091","-14.4952","-15.0341","-15.512","-15.2343","-15.2116","-16.8732","-16.0535","-11.1287","-4.744","-5.15","-5.6509","-5.8696","-4.4427","-5.3352","-4.1513","-4.2667","-4.7237","-3.4323","-2.9894","-3.1887","-9.3315","-9.1035","-9.4925","-10.0539","-9.828","-9.8849","-10.1135","-10.8057","-9.5827","-14.3565","-15.5261","-23.8947","-23.498","-22.5979","-23.0035","-22.9928","-23.4747","-22.7339","-22.8812","-24.9802","-18.8574","-16.2196","-12.4523","-8.2351","-8.1907","-24.3696","-26.781","-26.5685","-29.2223","-27.9244","-28.8326","-27.0312","-27.4433","-28.017","-31.6335","-31.8687","-32.9044","-14.3994","-14.7895","-13.3155","-13.9767","-13.2816","-12.7868","-11.7613"
"B Max Drawdown","-7.5098","-7.5099","-7.5098","-7.5098","-7.5098","-7.5098","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-11.8362","-11.8362","-11.8362","-11.4136","-10.5262","-5.1204","-5.1204","-5.1204","-5.1204","-5.1205","-4.8468","-4.6428","-4.6428","-4.0864","-3.2324","-2.9033","-2.9033","-2.9033","-10.3384","-10.3384","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-16.7416","-15.8126","-11.4984","-7.6691","-7.6691","-26.0386","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-15.9392","-10.5021","-10.5021","-10.5021","-10.502","-10.5021","-7.9326"
"MD DIFF(P-B)","-3.3952","-2.909","-3.788","-3.1804","-3.3338","-3.1852","0.0367999999999995","-1.4939","0.3523","-0.2044","0.591999999999999","-1.7918","-1.0534","-2.5612","-0.7812","-1.1673","-1.7062","-3.6758","-3.3981","-3.3754","-5.4596","-5.5273","-6.0083","0.3764","-0.0296000000000003","-0.5305","-0.7491","0.4041","-0.6924","0.4915","-0.1803","-1.4913","-0.529","-0.0860999999999996","-0.2854","1.0069","1.2349","1.6803","1.1189","1.3448","1.2879","1.0593","0.367100000000001","1.5901","-3.1837","-4.3533","-3.9354","-3.5387","-2.6386","-3.0442","-3.0335","-3.5154","-2.7746","-2.9219","-5.0209","-2.1158","-0.407","-0.953899999999999","-0.565999999999999","-0.521599999999999","1.669","4.7502","4.9627","2.3089","3.6068","2.6986","4.5","4.0879","3.5142","-0.102300000000003","-0.337500000000002","-1.3732","1.5398","-4.2874","-2.8134","-3.4746","-2.7796","-2.2847","-3.8287"
