"","2014-06-11_to_2016-06-12_VGPortfolio_6QRank","2014-07-11_to_2016-07-12_VGPortfolio_6QRank","2014-08-11_to_2016-08-12_VGPortfolio_6QRank","2014-09-11_to_2016-09-12_VGPortfolio_6QRank","2014-10-13_to_2016-10-12_VGPortfolio_6QRank","2014-11-11_to_2016-11-12_VGPortfolio_6QRank","2014-12-11_to_2016-12-12_VGPortfolio_6QRank","2015-01-12_to_2017-01-12_VGPortfolio_6QRank","2015-02-11_to_2017-02-12_VGPortfolio_6QRank","2015-03-11_to_2017-03-12_VGPortfolio_6QRank","2015-04-13_to_2017-04-12_VGPortfolio_6QRank","2015-05-11_to_2017-05-12_VGPortfolio_6QRank","2015-06-11_to_2017-06-12_VGPortfolio_6QRank","2015-07-13_to_2017-07-12_VGPortfolio_6QRank","2015-08-11_to_2017-08-12_VGPortfolio_6QRank","2015-09-11_to_2017-09-12_VGPortfolio_6QRank","2015-10-12_to_2017-10-12_VGPortfolio_6QRank","2015-11-11_to_2017-11-12_VGPortfolio_6QRank","2015-12-11_to_2017-12-12_VGPortfolio_6QRank","2016-01-11_to_2018-01-12_VGPortfolio_6QRank","2016-02-11_to_2018-02-12_VGPortfolio_6QRank","2016-03-11_to_2018-03-12_VGPortfolio_6QRank","2016-04-11_to_2018-04-12_VGPortfolio_6QRank","2016-05-11_to_2018-05-12_VGPortfolio_6QRank","2016-06-13_to_2018-06-12_VGPortfolio_6QRank","2016-07-11_to_2018-07-12_VGPortfolio_6QRank","2016-08-11_to_2018-08-12_VGPortfolio_6QRank","2016-09-12_to_2018-09-12_VGPortfolio_6QRank","2016-10-11_to_2018-10-12_VGPortfolio_6QRank","2016-11-11_to_2018-11-12_VGPortfolio_6QRank","2016-12-12_to_2018-12-12_VGPortfolio_6QRank","2017-01-11_to_2019-01-12_VGPortfolio_6QRank","2017-02-13_to_2019-02-12_VGPortfolio_6QRank","2017-03-13_to_2019-03-12_VGPortfolio_6QRank","2017-04-11_to_2019-04-12_VGPortfolio_6QRank","2017-05-11_to_2019-05-12_VGPortfolio_6QRank","2017-06-12_to_2019-06-12_VGPortfolio_6QRank","2017-07-11_to_2019-07-12_VGPortfolio_6QRank","2017-08-11_to_2019-08-12_VGPortfolio_6QRank","2017-09-11_to_2019-09-12_VGPortfolio_6QRank","2017-10-11_to_2019-10-12_VGPortfolio_6QRank","2017-11-13_to_2019-11-12_VGPortfolio_6QRank","2017-12-11_to_2019-12-12_VGPortfolio_6QRank","2018-01-11_to_2020-01-12_VGPortfolio_6QRank","2018-02-12_to_2020-02-12_VGPortfolio_6QRank","2018-03-12_to_2020-03-12_VGPortfolio_6QRank","2018-04-11_to_2020-04-12_VGPortfolio_6QRank","2018-05-11_to_2020-05-12_VGPortfolio_6QRank","2018-06-11_to_2020-06-12_VGPortfolio_6QRank","2018-07-11_to_2020-07-12_VGPortfolio_6QRank","2018-08-13_to_2020-08-12_VGPortfolio_6QRank","2018-09-11_to_2020-09-12_VGPortfolio_6QRank","2018-10-11_to_2020-10-12_VGPortfolio_6QRank","2018-11-12_to_2020-11-12_VGPortfolio_6QRank","2018-12-11_to_2020-12-12_VGPortfolio_6QRank","2019-01-11_to_2021-01-12_VGPortfolio_6QRank","2019-02-11_to_2021-02-12_VGPortfolio_6QRank","2019-03-11_to_2021-03-12_VGPortfolio_6QRank","2019-04-11_to_2021-04-12_VGPortfolio_6QRank","2019-05-13_to_2021-05-12_VGPortfolio_6QRank","2019-06-11_to_2021-06-12_VGPortfolio_6QRank","2019-07-11_to_2021-07-12_VGPortfolio_6QRank","2019-08-12_to_2021-08-12_VGPortfolio_6QRank","2019-09-11_to_2021-09-12_VGPortfolio_6QRank"
"P Information Ratio","0.75","1.42","1.33","0.77","0.44","0.8","0.62","0.57","1.77","0.78","0.99","0.06","1.4","-0.15","1.23","-0.04","1.88","2.69","2.26","2.42","3.25","2.22","2.57","2.94","3.2","2.72","2.26","1.87","1.67","1.57","1.8","1.75","1.02","0.92","0.17","0.5","-0.27","0.12","-0.53","-0.28","-0.61","-0.46","-0.44","-1.21","-1.01","-0.32","-0.41","0.02","-0.09","-0.76","-0.38","-0.24","1.54","-0.32","-0.89","-1.03","1.08","1.29","1.04","1.42","1.7","1.57","1.94","1.74"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.32","0.57","0.48","0.35","0.24","0.39","0.3","0.16","0.48","0.34","0.44","0.12","0.66","0.1","0.5","0.08","0.58","0.59","0.38","0.55","0.55","0.55","0.72","0.73","0.88","0.79","0.71","0.62","0.5","0.45","0.42","0.39","0.22","0.19","0","0.09","-0.04","-0.06","-0.13","-0.1","-0.17","-0.13","-0.11","-0.2","-0.11","-0.04","-0.09","-0.08","-0.07","-0.11","-0.06","-0.15","0.56","-0.03","-0.48","-0.36","0.29","0.48","0.46","0.77","0.84","0.8","0.87","0.71"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","0.78","0.81","0.85","0.8","0.85","0.78","0.85","0.97","0.99","0.89","0.89","0.79","0.84","0.85","0.93","0.91","1.04","1.08","1.17","1.08","1.2","1.14","1.15","1.18","1.07","1.04","1.02","0.96","0.99","1.05","1.1","1","0.99","0.99","1.03","1.01","0.98","1.02","1.01","1.06","1.04","1.02","1.01","0.98","0.97","0.97","0.99","0.96","1","1.03","1","1.01","1.11","0.99","1.06","0.99","1.17","1.12","1.12","1.11","1.15","1.08","1.08","1.09"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","85.69","87.13","87.7","88.98","87.84","87.09","87.95","89.79","90.73","87.84","90.11","90.21","81.89","92.11","86.46","86.96","80.49","83.92","85.98","72.05","73.34","72.84","75.36","79.04","81.78","75.98","74.01","74.79","76.54","85.6","87.32","92.45","97.03","96.16","95.86","93.86","95.9","97.19","96","95.69","94.59","96.78","95.94","97.05","97.3","97.8","98.19","97.98","98.17","97.96","96.81","96.03","94.22","95.64","93.31","96.33","93.79","92.29","91.64","86.18","86.16","85.84","86.26","87.9"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-14.0919","-12.2995","-11.9882","-12.8399","-13.5352","-13.4421","-13.485","-14.8218","-13.5946","-13.1834","-13.1887","-12.3058","-13.032","-14.6973","-13.7634","-15.1171","-13.1655","-12.1692","-13.2833","-7.1647","-9.7914","-9.8626","-10.7948","-10.69","-9.5407","-9.9563","-9.4467","-9.0159","-9.4505","-11.779","-13.4124","-20.6523","-18.3088","-20.1935","-19.5894","-20.4485","-18.4682","-19.9736","-20.6746","-21.2324","-20.9582","-20.9114","-20.9027","-19.8795","-20.2165","-26.9322","-33.0941","-32.1443","-33.5698","-32.8566","-33.6598","-32.7083","-33.7879","-32.1392","-35.8781","-32.9038","-34.5582","-32.2234","-33.2967","-32.6733","-32.1359","-31.9373","-32.8358","-33.875"
"B Max Drawdown","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-11.8362","-11.8362","-11.8362","-11.4136","-10.5262","-5.1204","-10.3384","-10.3384","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-26.0386","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312"
"MD DIFF(P-B)","-0.764000000000001","1.0284","1.3397","0.488","-0.2073","-0.1142","-0.1571","-1.4939","-0.2667","0.144499999999999","0.139199999999999","1.0221","0.2959","-1.3694","-1.9272","-3.2809","-1.3293","-0.755599999999999","-2.7571","-2.0443","0.547000000000001","0.4758","0.378","0.482800000000001","1.6321","1.2165","1.7261","2.1569","1.7223","-0.606199999999999","-2.2396","-0.693000000000001","1.6505","-0.234200000000001","0.369899999999998","-0.4892","1.4911","-0.0143000000000022","-0.715300000000003","-1.2731","-0.998900000000003","-0.952100000000002","-0.9434","0.0797999999999988","-0.257200000000001","-0.893600000000003","-1.5629","-0.613100000000003","-2.0386","-1.3254","-2.1286","-1.1771","-2.2567","-0.608000000000004","-4.34690000000001","-1.3726","-3.027","-0.6922","-1.7655","-1.1421","-0.604700000000001","-0.406100000000002","-1.3046","-2.3438"
