"","2015-12-11_to_2016-12-12_CorePortfolio_12QRank","2016-01-11_to_2017-01-12_CorePortfolio_12QRank","2016-02-11_to_2017-02-12_CorePortfolio_12QRank","2016-03-11_to_2017-03-12_CorePortfolio_12QRank","2016-04-11_to_2017-04-12_CorePortfolio_12QRank","2016-05-11_to_2017-05-12_CorePortfolio_12QRank","2016-06-13_to_2017-06-12_CorePortfolio_12QRank","2016-07-11_to_2017-07-12_CorePortfolio_12QRank","2016-08-11_to_2017-08-12_CorePortfolio_12QRank","2016-09-12_to_2017-09-12_CorePortfolio_12QRank","2016-10-11_to_2017-10-12_CorePortfolio_12QRank","2016-11-11_to_2017-11-12_CorePortfolio_12QRank","2016-12-12_to_2017-12-12_CorePortfolio_12QRank","2017-01-11_to_2018-01-12_CorePortfolio_12QRank","2017-02-13_to_2018-02-12_CorePortfolio_12QRank","2017-03-13_to_2018-03-12_CorePortfolio_12QRank","2017-04-11_to_2018-04-12_CorePortfolio_12QRank","2017-05-11_to_2018-05-12_CorePortfolio_12QRank","2017-06-12_to_2018-06-12_CorePortfolio_12QRank","2017-07-11_to_2018-07-12_CorePortfolio_12QRank","2017-08-11_to_2018-08-12_CorePortfolio_12QRank","2017-09-11_to_2018-09-12_CorePortfolio_12QRank","2017-10-11_to_2018-10-12_CorePortfolio_12QRank","2017-11-13_to_2018-11-12_CorePortfolio_12QRank","2017-12-11_to_2018-12-12_CorePortfolio_12QRank","2018-01-11_to_2019-01-12_CorePortfolio_12QRank","2018-02-12_to_2019-02-12_CorePortfolio_12QRank","2018-03-12_to_2019-03-12_CorePortfolio_12QRank","2018-04-11_to_2019-04-12_CorePortfolio_12QRank","2018-05-11_to_2019-05-12_CorePortfolio_12QRank","2018-06-11_to_2019-06-12_CorePortfolio_12QRank","2018-07-11_to_2019-07-12_CorePortfolio_12QRank","2018-08-13_to_2019-08-12_CorePortfolio_12QRank","2018-09-11_to_2019-09-12_CorePortfolio_12QRank","2018-10-11_to_2019-10-12_CorePortfolio_12QRank","2018-11-12_to_2019-11-12_CorePortfolio_12QRank","2018-12-11_to_2019-12-12_CorePortfolio_12QRank","2019-01-11_to_2020-01-12_CorePortfolio_12QRank","2019-02-11_to_2020-02-12_CorePortfolio_12QRank","2019-03-11_to_2020-03-12_CorePortfolio_12QRank","2019-04-11_to_2020-04-12_CorePortfolio_12QRank","2019-05-13_to_2020-05-12_CorePortfolio_12QRank","2019-06-11_to_2020-06-12_CorePortfolio_12QRank","2019-07-11_to_2020-07-12_CorePortfolio_12QRank","2019-08-12_to_2020-08-12_CorePortfolio_12QRank","2019-09-11_to_2020-09-12_CorePortfolio_12QRank","2019-10-11_to_2020-10-12_CorePortfolio_12QRank","2019-11-11_to_2020-11-12_CorePortfolio_12QRank","2019-12-11_to_2020-12-12_CorePortfolio_12QRank","2020-01-13_to_2021-01-12_CorePortfolio_12QRank","2020-02-11_to_2021-02-12_CorePortfolio_12QRank","2020-03-11_to_2021-03-12_CorePortfolio_12QRank","2020-04-13_to_2021-04-12_CorePortfolio_12QRank","2020-05-11_to_2021-05-12_CorePortfolio_12QRank","2020-06-11_to_2021-06-12_CorePortfolio_12QRank","2020-07-13_to_2021-07-12_CorePortfolio_12QRank","2020-08-11_to_2021-08-12_CorePortfolio_12QRank","2020-09-11_to_2021-09-12_CorePortfolio_12QRank"
"P Information Ratio","0.55","0.29","0.42","1.15","0.27","-0.14","-1.81","-1.08","-0.96","0.37","0.09","-0.39","0.97","-0.47","-0.98","-1.17","-0.56","-1.25","-1.86","-3.15","-2.56","-2.07","-1.63","-0.71","-0.58","-0.41","-0.12","-0.1","0.02","0.29","0.78","0.14","0.6","0.44","0.21","-1.38","-0.62","-1.62","-1.87","-2.58","-1.06","-1.84","-2.42","-0.48","0.12","-0.08","-0.31","-1.82","-1.45","-0.95","-1.22","-0.73","-0.4","0.59","0.37","-0.11","0.14","-0.13"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.01","0.23","-0.09","0.11","-0.14","-0.02","-0.32","-0.25","-0.28","-0.03","0.12","0.12","0.24","-0.21","-0.02","-0.07","0.05","-0.08","-0.27","-0.29","-0.34","-0.54","-0.34","-0.36","-0.16","-0.28","-0.04","-0.02","0.18","0.25","0.29","0.05","0.23","0.23","0.05","-0.27","-0.22","-0.25","-0.44","-0.31","-0.37","-0.4","-0.64","-0.31","-0.31","-0.32","-0.25","-0.94","-0.66","-0.44","-0.52","0.15","0.36","0.19","0.83","0.37","0.61","0.13"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","1.16","0.95","1.01","1.04","1.09","1.06","1.1","1.08","1.12","1.05","0.92","0.94","0.94","1.11","0.9","0.91","0.89","0.9","0.88","0.85","0.94","0.9","0.91","0.77","0.77","0.87","0.85","0.9","0.86","0.82","0.84","0.88","0.87","0.88","0.92","0.95","0.99","1.01","1.01","1.02","1.07","1.08","1.02","1.07","1.08","1.15","1.13","0.93","0.97","0.95","0.95","0.86","0.93","0.88","0.86","0.89","0.91","0.98"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","91.07","89.56","93.51","91.03","93.87","92.25","94.21","89.67","90.95","89.52","81.64","69.76","75.62","85.61","87.37","94.8","94.61","91.27","93.46","95.38","92.58","86.49","91.41","88.44","85.28","90.5","92.23","91.59","90.47","89.92","92.92","92.42","95","95.43","96.31","97.64","95.4","95.13","93.8","98.47","98.23","98.69","97.01","97.48","98.42","97.85","97.27","93.09","92.72","93.24","90.23","83.13","76.73","74.83","75.44","69.09","70","71.41"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-14.0216","-5.6239","-5.5598","-5.4209","-5.5678","-5.377","-5.4828","-5.6822","-5.7306","-5.077","-2.9738","-3.4906","-3.2181","-3.479","-9.3767","-9.4428","-10.5813","-10.6152","-10.659","-10.8334","-11.1774","-11.2734","-11.1562","-11.569","-11.2909","-18.9871","-16.5776","-16.9973","-16.0521","-15.5328","-15.6345","-16.2866","-15.8713","-16.1554","-14.4396","-14.6559","-10.4389","-7.437","-7.1814","-27.6605","-35.1664","-35.4428","-34.4886","-35.4372","-34.9443","-35.6332","-36.1253","-34.4871","-34.3083","-34.0071","-33.8228","-17.9504","-9.3176","-9.2051","-7.3909","-8.1824","-7.8593","-7.5999"
"B Max Drawdown","-10.5262","-5.1204","-5.1204","-5.1204","-5.1204","-5.1205","-4.8468","-4.6428","-4.6428","-4.0864","-3.2324","-2.9033","-2.9033","-2.9033","-10.3384","-10.3384","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-16.7416","-15.8126","-11.4984","-7.6691","-7.6691","-26.0386","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-15.9392","-10.5021","-10.5021","-10.5021","-10.502","-10.5021","-7.9326"
"MD DIFF(P-B)","-3.4954","-0.5035","-0.4394","-0.3005","-0.4474","-0.2565","-0.636","-1.0394","-1.0878","-0.9906","0.2586","-0.5873","-0.3148","-0.5757","0.9617","0.8956","0.5915","0.557600000000001","0.5138","0.339400000000001","-0.00459999999999994","-0.1006","0.0166000000000004","-0.3962","-0.1181","0.972199999999997","3.3817","2.962","3.9072","4.4265","4.3248","3.6727","4.088","3.8039","2.302","1.1567","1.0595","0.2321","0.4877","-1.6219","-3.6352","-3.9116","-2.9574","-3.906","-3.4131","-4.102","-4.5941","-2.9559","-2.7771","-2.4759","-2.2916","-2.0112","1.1845","1.297","3.1112","2.3196","2.6428","0.3327"
