"","1 Y 2014-06-11 to 2016-06-12","1 Y 2014-07-11 to 2016-07-12","1 Y 2014-08-11 to 2016-08-12","1 Y 2014-09-11 to 2016-09-12","1 Y 2014-10-13 to 2016-10-12","1 Y 2014-11-11 to 2016-11-12","1 Y 2014-12-11 to 2016-12-12","1 Y 2015-01-12 to 2017-01-12","1 Y 2015-02-11 to 2017-02-12","1 Y 2015-03-11 to 2017-03-12","1 Y 2015-04-13 to 2017-04-12","1 Y 2015-05-11 to 2017-05-12","1 Y 2015-06-11 to 2017-06-12","1 Y 2015-07-13 to 2017-07-12","1 Y 2015-08-11 to 2017-08-12","1 Y 2015-09-11 to 2017-09-12","1 Y 2015-10-12 to 2017-10-12","1 Y 2015-11-11 to 2017-11-12","1 Y 2015-12-11 to 2017-12-12","1 Y 2016-01-11 to 2018-01-12","1 Y 2016-02-11 to 2018-02-12","1 Y 2016-03-11 to 2018-03-12","1 Y 2016-04-11 to 2018-04-12","1 Y 2016-05-11 to 2018-05-12","1 Y 2016-06-13 to 2018-06-12","1 Y 2016-07-11 to 2018-07-12","1 Y 2016-08-11 to 2018-08-12","1 Y 2016-09-12 to 2018-09-12","1 Y 2016-10-11 to 2018-10-12","1 Y 2016-11-11 to 2018-11-12","1 Y 2016-12-12 to 2018-12-12","1 Y 2017-01-11 to 2019-01-12","1 Y 2017-02-13 to 2019-02-12","1 Y 2017-03-13 to 2019-03-12","1 Y 2017-04-11 to 2019-04-12","1 Y 2017-05-11 to 2019-05-12","1 Y 2017-06-12 to 2019-06-12","1 Y 2017-07-11 to 2019-07-12","1 Y 2017-08-11 to 2019-08-12","1 Y 2017-09-11 to 2019-09-12","1 Y 2017-10-11 to 2019-10-12","1 Y 2017-11-13 to 2019-11-12","1 Y 2017-12-11 to 2019-12-12","1 Y 2018-01-11 to 2020-01-12","1 Y 2018-02-12 to 2020-02-12","1 Y 2018-03-12 to 2020-03-12","1 Y 2018-04-11 to 2020-04-12","1 Y 2018-05-11 to 2020-05-12","1 Y 2018-06-11 to 2020-06-12","1 Y 2018-07-11 to 2020-07-12","1 Y 2018-08-13 to 2020-08-12","1 Y 2018-09-11 to 2020-09-12","1 Y 2018-10-11 to 2020-10-12","1 Y 2018-11-12 to 2020-11-12","1 Y 2018-12-11 to 2020-12-12","1 Y 2019-01-11 to 2021-01-12","1 Y 2019-02-11 to 2021-02-12","1 Y 2019-03-11 to 2021-03-12","1 Y 2019-04-11 to 2021-04-12","1 Y 2019-05-13 to 2021-05-12","1 Y 2019-06-11 to 2021-06-12","1 Y 2019-07-11 to 2021-07-12","1 Y 2019-08-12 to 2021-08-12","1 Y 2019-09-11 to 2021-09-12","2 Y 2014-06-11 to 2016-06-12","2 Y 2014-07-11 to 2016-07-12","2 Y 2014-08-11 to 2016-08-12","2 Y 2014-09-11 to 2016-09-12","2 Y 2014-10-13 to 2016-10-12","2 Y 2014-11-11 to 2016-11-12","2 Y 2014-12-11 to 2016-12-12","2 Y 2015-01-12 to 2017-01-12","2 Y 2015-02-11 to 2017-02-12","2 Y 2015-03-11 to 2017-03-12","2 Y 2015-04-13 to 2017-04-12","2 Y 2015-05-11 to 2017-05-12","2 Y 2015-06-11 to 2017-06-12","2 Y 2015-07-13 to 2017-07-12","2 Y 2015-08-11 to 2017-08-12","2 Y 2015-09-11 to 2017-09-12","2 Y 2015-10-12 to 2017-10-12","2 Y 2015-11-11 to 2017-11-12","2 Y 2015-12-11 to 2017-12-12","2 Y 2016-01-11 to 2018-01-12","2 Y 2016-02-11 to 2018-02-12","2 Y 2016-03-11 to 2018-03-12","2 Y 2016-04-11 to 2018-04-12","2 Y 2016-05-11 to 2018-05-12","2 Y 2016-06-13 to 2018-06-12","2 Y 2016-07-11 to 2018-07-12","2 Y 2016-08-11 to 2018-08-12","2 Y 2016-09-12 to 2018-09-12","2 Y 2016-10-11 to 2018-10-12","2 Y 2016-11-11 to 2018-11-12","2 Y 2016-12-12 to 2018-12-12","2 Y 2017-01-11 to 2019-01-12","2 Y 2017-02-13 to 2019-02-12","2 Y 2017-03-13 to 2019-03-12","2 Y 2017-04-11 to 2019-04-12","2 Y 2017-05-11 to 2019-05-12","2 Y 2017-06-12 to 2019-06-12","2 Y 2017-07-11 to 2019-07-12","2 Y 2017-08-11 to 2019-08-12","2 Y 2017-09-11 to 2019-09-12","2 Y 2017-10-11 to 2019-10-12","2 Y 2017-11-13 to 2019-11-12","2 Y 2017-12-11 to 2019-12-12","2 Y 2018-01-11 to 2020-01-12","2 Y 2018-02-12 to 2020-02-12","2 Y 2018-03-12 to 2020-03-12","2 Y 2018-04-11 to 2020-04-12","2 Y 2018-05-11 to 2020-05-12","2 Y 2018-06-11 to 2020-06-12","2 Y 2018-07-11 to 2020-07-12","2 Y 2018-08-13 to 2020-08-12","2 Y 2018-09-11 to 2020-09-12","2 Y 2018-10-11 to 2020-10-12","2 Y 2018-11-12 to 2020-11-12","2 Y 2018-12-11 to 2020-12-12","2 Y 2019-01-11 to 2021-01-12","2 Y 2019-02-11 to 2021-02-12","2 Y 2019-03-11 to 2021-03-12","2 Y 2019-04-11 to 2021-04-12","2 Y 2019-05-13 to 2021-05-12","2 Y 2019-06-11 to 2021-06-12","2 Y 2019-07-11 to 2021-07-12","2 Y 2019-08-12 to 2021-08-12","2 Y 2019-09-11 to 2021-09-12"
"P Information Ratio","0.92","0.53","0.48","0.53","-0.13","0.19","0.34","0.64","0.33","-1.48","-1","-2.68","-2.01","-1.81","-1.6","-0.39","-1.03","-2.13","-1.17","-0.26","0","0.18","0.54","1.58","1.53","0.1","0.43","0.56","-0.62","1.01","1.48","0.79","0.18","0.62","-0.59","-0.03","-0.71","-0.4","0.34","0.01","-0.44","-1.44","-1.19","-2.22","-1.91","-1.1","-0.79","-2.04","-2.81","-4.65","-4.31","-3.62","1.15","-2.62","-1.27","-1.29","1.45","2.62","2.3","2.41","2.27","1.68","2.01","1.4","0.37","-0.05","-0.04","0.14","-0.28","-0.15","0.07","0.6","-0.47","-0.82","-0.77","-1.08","-0.52","-0.59","-0.7","-0.27","-0.6","0.01","0.36","0.47","1.19","0.47","0.48","1.15","0.99","0.72","0.73","0.43","0.14","0.33","0.65","0.16","-0.14","-0.49","-0.97","-0.83","-0.79","-0.38","-0.78","-0.91","-1.02","-1.05","-0.92","-1.18","-1.01","-0.51","-0.89","-1.33","-1.83","-2.28","-1.62","-1.49","0.54","-1.84","-1.1","-1.64","0.59","0.9","0.72","1.14","1.48","1.47","1.87","1.57"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.48","0.43","0.99","0.64","0.42","0.36","0.03","0.06","-0.45","-0.23","-0.44","-0.44","-0.07","-0.23","-0.48","-0.32","-0.42","-0.42","-0.44","-0.02","0.44","0.24","0.28","0.55","0.51","0.08","0.16","-0.12","-0.21","0.31","0.49","0.36","0.32","0.53","-0.06","-0.22","-0.42","-0.14","0.14","0.11","-0.18","-0.53","0.22","-0.18","-0.15","-0.69","-0.43","-0.84","-1.74","-2.29","-2.3","-2.55","0.75","-1.61","-1.63","-1.26","1.31","1.16","0.75","0.97","0.63","0.6","0.04","-0.47","0.24","0.11","0.18","0.13","0.12","0.01","-0.02","0.23","-0.16","-0.28","-0.32","-0.32","-0.01","-0.06","-0.24","-0.22","-0.09","0.07","-0.03","0.13","0.4","0.26","0.01","0.34","0.58","0.4","0.22","0.14","-0.21","0.22","0.26","0.19","0.04","-0.02","-0.28","-0.24","-0.29","-0.09","-0.3","-0.35","-0.27","-0.45","-0.38","-0.42","-0.03","-0.39","-0.41","-0.65","-1.1","-1.22","-1.02","-1.17","0.1","-1.07","-1.31","-1.25","0.22","0.52","0.54","1","1.11","1.16","1.35","1.03"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","0.65","0.73","0.56","0.57","0.79","0.8","0.97","1.25","1.32","0.75","0.96","0.68","0.75","0.83","0.92","1","0.98","0.84","1.07","0.99","0.84","0.99","1.08","1.08","0.96","1.04","1.13","1.02","1.1","0.9","1.03","0.93","0.85","0.81","0.91","0.85","0.78","0.8","0.76","0.9","0.88","0.85","0.54","0.48","0.55","0.87","0.89","0.78","0.95","1.04","1.05","0.92","1.29","0.94","1.15","1.05","1.57","1.44","1.84","1.87","1.96","1.86","1.6","1.78","0.6","0.71","0.66","0.67","0.75","0.73","0.87","1.07","1.03","0.9","0.92","0.77","0.84","0.95","1.01","1.07","1.03","0.91","1.14","1.11","1.12","1.09","1.18","1.2","1.09","1.06","1.17","1.08","1.15","0.86","0.96","0.91","0.87","0.85","0.93","0.87","0.82","0.8","0.71","0.87","0.79","0.79","0.72","0.66","0.66","0.82","0.86","0.81","0.93","1.02","1","0.93","1.23","1.03","1.2","1.07","1.48","1.33","1.41","1.41","1.46","1.34","1.31","1.38"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","79.32","75.83","59.63","61.44","66.07","63.51","77.54","82.18","83.92","40.82","60.39","43.66","72.93","65.29","50.01","39.34","34.17","52.09","39.14","32.33","30.7","53.02","60.33","81.63","79.48","71.64","85.2","93.19","86.41","92.84","93.57","91.06","82.08","89.01","86.2","82.83","83.52","89.79","90.67","94.75","88.65","82.15","52.85","58.24","48.61","86.95","92.29","90.92","88.38","93.5","91.9","88.82","89.41","87.2","80.04","85.98","84.09","73.25","76.86","72.63","75.75","75.96","69.57","67.43","74.23","77.73","68.79","74.27","80.93","75.8","85.25","89.63","86.37","77.83","82.7","73.84","87.49","86.57","77.74","72.52","71.37","61.54","66.9","51.48","38.33","36.82","44.37","60.95","56.32","44.82","56.45","63.2","63.52","84.05","76.29","83.22","75.86","81.89","79.7","77.8","79.59","82.7","73.56","83.47","79.53","79.03","71.24","66.34","70.04","84.65","89.16","88.97","88.05","88.61","84.12","79.72","88.59","87.73","81.63","87.46","83.86","82.04","79.29","73.97","74.63","72.13","73.09","75.75"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-10.4575","-11.0764","-9.5304","-6.9161","-8.4814","-8.8831","-9.6794","-6.8246","-6.1613","-6.0396","-5.5538","-6.8949","-5.3206","-4.1078","-5.0096","-5.409","-4.6673","-3.7309","-4.8901","-5.3445","-10.377","-10.8109","-13.2488","-12.6611","-11.3067","-12.7082","-12.4483","-11.7756","-12.3169","-12.5608","-13.7638","-17.1224","-14.0289","-16.0969","-16.4443","-16.638","-15.7595","-15.9007","-15.2791","-17.8901","-15.8023","-14.7966","-10.7158","-5.4965","-6.3841","-24.6992","-31.2877","-31.1161","-36.6328","-37.613","-37.6452","-36.1624","-36.5638","-37.604","-41.8072","-38.8412","-40.3157","-17.1114","-13.3416","-14.4921","-14.4544","-13.9076","-13.5111","-13.2267","-10.7628","-12.9648","-13.632","-12.5451","-13.6297","-13.1645","-14.8406","-14.736","-16.2032","-17.5052","-16.7403","-16.4686","-13.4646","-14.7309","-15.5144","-17.8279","-13.6808","-10.1614","-11.2434","-8.3512","-12.3632","-12.5084","-13.2488","-12.6611","-11.3067","-12.7082","-12.4483","-11.7756","-12.3169","-12.5608","-13.7638","-17.1224","-14.4357","-16.0969","-16.4443","-16.638","-15.7595","-15.9007","-15.8032","-19.7566","-19.2747","-19.8172","-18.1164","-16.4331","-14.8248","-24.6992","-31.2877","-31.1161","-36.6328","-37.613","-37.6452","-36.1624","-36.5638","-37.604","-41.8072","-38.8412","-40.3157","-35.7626","-37.7022","-38.2709","-37.806","-35.577","-36.073","-38.3542"
"B Max Drawdown","-13.3279","-13.3279","-11.8362","-11.8362","-11.8362","-11.4136","-10.5262","-5.1205","-5.1205","-5.1204","-5.1204","-5.1204","-4.8468","-4.6428","-4.6428","-4.0864","-3.2324","-2.9033","-2.9033","-2.9033","-10.3384","-10.3384","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-16.7416","-15.8126","-11.4984","-7.6691","-7.6691","-26.0386","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-15.9392","-10.5021","-10.5021","-10.5021","-10.5021","-10.5021","-7.9326","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-11.8362","-11.8362","-11.8362","-11.4136","-10.5262","-5.1204","-10.3384","-10.3384","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-26.0386","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312"
"MD DIFF(P-B)","2.8704","2.2515","2.3058","4.9201","3.3548","2.5305","0.8468","-1.7041","-1.0408","-0.9192","-0.4334","-1.7745","-0.4738","0.535","-0.3668","-1.3226","-1.4349","-0.8276","-1.9868","-2.4412","-0.0386000000000006","-0.4725","-2.076","-1.4883","-0.133899999999999","-1.5354","-1.2755","-0.6028","-1.1441","-1.388","-2.591","2.8369","5.9304","3.8624","3.515","3.3213","4.1998","4.0586","4.6802","2.0692","0.939299999999998","1.016","0.7826","2.1726","1.285","1.3394","0.243499999999997","0.415099999999999","-5.1016","-6.0818","-6.114","-4.6312","-5.0326","-6.0728","-10.276","-7.31","-8.7845","-1.1722","-2.8395","-3.99","-3.9523","-3.4055","-3.009","-5.2941","2.5651","0.363099999999999","-0.3041","0.7828","-0.3018","0.163399999999999","-1.5127","-1.4081","-2.8753","-4.1773","-3.4124","-3.1407","-0.136700000000001","-1.403","-3.6782","-5.9917","-1.8446","1.2522","-0.7172","-3.2308","-2.0248","-2.17","-2.076","-1.4883","-0.133899999999999","-1.5354","-1.2755","-0.6028","-1.1441","-1.388","-2.591","2.8369","5.5236","3.8624","3.515","3.3213","4.1998","4.0586","4.1561","0.2027","0.6846","0.142099999999999","1.8429","3.5262","5.1345","1.3394","0.243499999999997","0.415099999999999","-5.1016","-6.0818","-6.114","-4.6312","-5.0326","-6.0728","-10.276","-7.31","-8.7845","-4.2314","-6.171","-6.7397","-6.2748","-4.0458","-4.5418","-6.823"
