"","1 Y 2014-06-11 to 2016-06-12","1 Y 2014-07-11 to 2016-07-12","1 Y 2014-08-11 to 2016-08-12","1 Y 2014-09-11 to 2016-09-12","1 Y 2014-10-13 to 2016-10-12","1 Y 2014-11-11 to 2016-11-12","1 Y 2014-12-11 to 2016-12-12","1 Y 2015-01-12 to 2017-01-12","1 Y 2015-02-11 to 2017-02-12","1 Y 2015-03-11 to 2017-03-12","1 Y 2015-04-13 to 2017-04-12","1 Y 2015-05-11 to 2017-05-12","1 Y 2015-06-11 to 2017-06-12","1 Y 2015-07-13 to 2017-07-12","1 Y 2015-08-11 to 2017-08-12","1 Y 2015-09-11 to 2017-09-12","1 Y 2015-10-12 to 2017-10-12","1 Y 2015-11-11 to 2017-11-12","1 Y 2015-12-11 to 2017-12-12","1 Y 2016-01-11 to 2018-01-12","1 Y 2016-02-11 to 2018-02-12","1 Y 2016-03-11 to 2018-03-12","1 Y 2016-04-11 to 2018-04-12","1 Y 2016-05-11 to 2018-05-12","1 Y 2016-06-13 to 2018-06-12","1 Y 2016-07-11 to 2018-07-12","1 Y 2016-08-11 to 2018-08-12","1 Y 2016-09-12 to 2018-09-12","1 Y 2016-10-11 to 2018-10-12","1 Y 2016-11-11 to 2018-11-12","1 Y 2016-12-12 to 2018-12-12","1 Y 2017-01-11 to 2019-01-12","1 Y 2017-02-13 to 2019-02-12","1 Y 2017-03-13 to 2019-03-12","1 Y 2017-04-11 to 2019-04-12","1 Y 2017-05-11 to 2019-05-12","1 Y 2017-06-12 to 2019-06-12","1 Y 2017-07-11 to 2019-07-12","1 Y 2017-08-11 to 2019-08-12","1 Y 2017-09-11 to 2019-09-12","1 Y 2017-10-11 to 2019-10-12","1 Y 2017-11-13 to 2019-11-12","1 Y 2017-12-11 to 2019-12-12","1 Y 2018-01-11 to 2020-01-12","1 Y 2018-02-12 to 2020-02-12","1 Y 2018-03-12 to 2020-03-12","1 Y 2018-04-11 to 2020-04-12","1 Y 2018-05-11 to 2020-05-12","1 Y 2018-06-11 to 2020-06-12","1 Y 2018-07-11 to 2020-07-12","1 Y 2018-08-13 to 2020-08-12","1 Y 2018-09-11 to 2020-09-12","1 Y 2018-10-11 to 2020-10-12","1 Y 2018-11-12 to 2020-11-12","1 Y 2018-12-11 to 2020-12-12","1 Y 2019-01-11 to 2021-01-12","1 Y 2019-02-11 to 2021-02-12","1 Y 2019-03-11 to 2021-03-12","1 Y 2019-04-11 to 2021-04-12","1 Y 2019-05-13 to 2021-05-12","1 Y 2019-06-11 to 2021-06-12","1 Y 2019-07-11 to 2021-07-12","1 Y 2019-08-12 to 2021-08-12","1 Y 2019-09-11 to 2021-09-12","2 Y 2014-06-11 to 2016-06-12","2 Y 2014-07-11 to 2016-07-12","2 Y 2014-08-11 to 2016-08-12","2 Y 2014-09-11 to 2016-09-12","2 Y 2014-10-13 to 2016-10-12","2 Y 2014-11-11 to 2016-11-12","2 Y 2014-12-11 to 2016-12-12","2 Y 2015-01-12 to 2017-01-12","2 Y 2015-02-11 to 2017-02-12","2 Y 2015-03-11 to 2017-03-12","2 Y 2015-04-13 to 2017-04-12","2 Y 2015-05-11 to 2017-05-12","2 Y 2015-06-11 to 2017-06-12","2 Y 2015-07-13 to 2017-07-12","2 Y 2015-08-11 to 2017-08-12","2 Y 2015-09-11 to 2017-09-12","2 Y 2015-10-12 to 2017-10-12","2 Y 2015-11-11 to 2017-11-12","2 Y 2015-12-11 to 2017-12-12","2 Y 2016-01-11 to 2018-01-12","2 Y 2016-02-11 to 2018-02-12","2 Y 2016-03-11 to 2018-03-12","2 Y 2016-04-11 to 2018-04-12","2 Y 2016-05-11 to 2018-05-12","2 Y 2016-06-13 to 2018-06-12","2 Y 2016-07-11 to 2018-07-12","2 Y 2016-08-11 to 2018-08-12","2 Y 2016-09-12 to 2018-09-12","2 Y 2016-10-11 to 2018-10-12","2 Y 2016-11-11 to 2018-11-12","2 Y 2016-12-12 to 2018-12-12","2 Y 2017-01-11 to 2019-01-12","2 Y 2017-02-13 to 2019-02-12","2 Y 2017-03-13 to 2019-03-12","2 Y 2017-04-11 to 2019-04-12","2 Y 2017-05-11 to 2019-05-12","2 Y 2017-06-12 to 2019-06-12","2 Y 2017-07-11 to 2019-07-12","2 Y 2017-08-11 to 2019-08-12","2 Y 2017-09-11 to 2019-09-12","2 Y 2017-10-11 to 2019-10-12","2 Y 2017-11-13 to 2019-11-12","2 Y 2017-12-11 to 2019-12-12","2 Y 2018-01-11 to 2020-01-12","2 Y 2018-02-12 to 2020-02-12","2 Y 2018-03-12 to 2020-03-12","2 Y 2018-04-11 to 2020-04-12","2 Y 2018-05-11 to 2020-05-12","2 Y 2018-06-11 to 2020-06-12","2 Y 2018-07-11 to 2020-07-12","2 Y 2018-08-13 to 2020-08-12","2 Y 2018-09-11 to 2020-09-12","2 Y 2018-10-11 to 2020-10-12","2 Y 2018-11-12 to 2020-11-12","2 Y 2018-12-11 to 2020-12-12","2 Y 2019-01-11 to 2021-01-12","2 Y 2019-02-11 to 2021-02-12","2 Y 2019-03-11 to 2021-03-12","2 Y 2019-04-11 to 2021-04-12","2 Y 2019-05-13 to 2021-05-12","2 Y 2019-06-11 to 2021-06-12","2 Y 2019-07-11 to 2021-07-12","2 Y 2019-08-12 to 2021-08-12","2 Y 2019-09-11 to 2021-09-12"
"P Information Ratio","-0.14","1.17","1.33","0.06","0.11","0.72","-0.55","-0.12","5.23","2.88","2.53","1.23","3.39","0.95","2.69","0.93","2.9","3.8","2.96","2.79","2.23","2.45","2.31","1.9","2.3","1.77","1.02","0.92","0.77","0.4","0.58","0.9","-0.51","-0.41","-0.99","0.01","-0.99","-0.67","-0.76","-0.55","0.01","0.82","0.83","0.73","1.07","0.82","0.96","2.79","3.33","3.19","2.97","4.25","5.37","3.18","1.32","1.39","1.61","1.44","0.08","-1.14","-0.34","-0.99","-0.08","0.05","0.65","1.86","1.69","0.91","0.73","1.12","0.62","0.33","2.31","1.67","1.82","1.08","1.85","0.26","2.07","0.27","2.29","2.5","1.7","2.26","2.38","2.3","2.42","2.36","2.27","2.19","1.6","1.34","1.35","1.29","1.34","1.39","1.03","0.99","0.99","1.11","0.66","0.41","0.32","0.39","0.24","0.57","0.49","0.47","0.53","0.24","0.47","1.17","1.43","1.63","1.7","1.62","2.24","1.7","0.38","0.72","0.94","0.82","0.46","0.57","0.48","0","0.11","0"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","-0.15","0.51","0.61","0.14","0.06","0.37","-0.32","-0.43","1.53","1.25","1.68","0.75","2.5","0.72","1.85","0.72","3.02","2.68","2.46","2.02","0.25","0.94","1.33","0.69","1.15","0.84","0.65","0.91","0.74","0.47","0.27","0.04","-0.16","-0.29","-0.45","-0.2","-0.26","-0.36","-0.37","-0.3","0.02","0.13","-0.42","-0.52","-0.13","0.71","0.68","1.16","1.67","1.45","1.26","1.57","1.9","1.3","0.62","0.68","0.85","0.7","0.43","0.05","0.02","-0.07","0.41","0.34","0.43","1.01","0.78","0.59","0.37","0.77","0.63","0.09","1.05","0.91","1.14","0.53","1.24","0.26","1.15","0.4","1.17","1.04","0.78","0.96","0.75","0.84","1.41","1.12","1.19","1.2","1.2","1.08","1.17","0.7","0.6","0.6","0.42","0.41","0.28","0.39","0.21","0","0.06","0.17","-0.04","0.2","0.19","0.04","-0.16","0.31","0.22","0.44","0.81","0.83","0.74","0.7","1.02","0.85","0.29","0.45","0.37","0.46","0.41","0.54","0.55","0.39","0.38","0.39"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","0.97","0.88","1.07","0.98","1.34","1.2","1.31","1.25","1.04","0.84","0.74","0.82","0.63","0.77","0.75","0.76","0.06","0.52","0.5","0.55","1.96","1.46","1.36","1.39","1.26","1.18","0.99","0.96","0.89","1.27","1.26","0.97","1.06","1.12","1.08","1.11","1.12","1.23","1.28","1.21","1.22","1.19","1.42","1.38","1.24","1.15","1.15","1.12","1.06","0.97","0.97","1.01","1.02","0.95","0.94","0.94","0.89","0.97","0.84","0.84","0.87","0.8","0.77","0.71","0.95","0.89","1.01","0.92","0.94","0.84","0.83","0.87","0.95","0.88","0.87","0.81","0.84","0.76","0.86","0.74","1.06","1.23","1.2","1.06","1.26","1.18","1.12","1.17","1.06","1.03","0.89","0.85","0.84","1.21","1.22","1.08","1.09","1.12","1.11","1.13","1.13","1.22","1.25","1.22","1.25","1.22","1.26","1.25","1.26","1.12","1.12","1.09","1.05","1.04","0.99","1.06","1","0.94","0.93","0.91","0.9","0.93","0.86","0.81","0.83","0.79","0.81","0.75"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","74.53","76.68","76.83","77.15","72.88","77.61","84.56","87.34","63.94","38.34","37.9","36.62","13.09","29.67","16.63","23.31","-11.01","-4.46","-3.54","-4.28","56.13","61.14","58.04","65.04","69.18","66.14","41.95","45.23","44.93","77.02","77.75","81.85","95.37","90.57","93.03","88.29","96.06","97.47","95.76","94.42","90.81","95.26","94.69","93.91","93.1","88.5","90.78","92.48","89.87","92.79","92.28","95.55","95.39","93.36","94.2","93.11","94.01","89.05","82.14","88.7","90.54","88.39","83.41","71.94","72.22","72.45","76.74","75.52","72.55","67.87","65.61","74.36","75.39","73.46","76.09","74.25","58.47","74.57","68.38","71.92","53.67","61.89","61.79","41.19","52.66","55.34","48.89","52.6","51.47","48.54","33.14","29.34","30.02","63.66","66.45","73.1","88.44","80.3","81.64","80.69","91.73","90.54","87.43","84.25","84.74","87.76","84.97","88.67","95","89.05","91.03","90.49","88.9","91.48","91.86","92.53","92.66","91.29","91.06","90.47","92.52","91.12","89.88","87.1","87.57","86.75","88.61","85.13"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-20.8009","-16.6445","-17.107","-15.4524","-17.3235","-16.6399","-16.195","-7.7684","-5.7833","-5.5965","-5.5714","-5.844","-5.0229","-5.5224","-5.0749","-4.6487","-4.6158","-4.6903","-4.8","-4.9495","-9.7781","-9.3964","-9.6007","-9.2563","-9.2878","-9.4319","-9.6524","-9.7268","-10.2263","-15.286","-17.134","-23.4737","-21.9776","-23.6249","-22.544","-23.5783","-20.9236","-23.7158","-25.4288","-24.4894","-20.9024","-17.4059","-12.0762","-10.9419","-9.6006","-30.1839","-35.7408","-33.8944","-32.083","-30.8063","-31.2683","-30.4736","-31.1732","-28.5311","-31.1932","-28.0727","-29.2525","-13.2123","-9.1524","-8.8023","-8.744","-8.8467","-7.8541","-7.2405","-20.8009","-16.6445","-17.107","-15.7762","-18.0883","-17.686","-16.5626","-16.0441","-15.2695","-14.9856","-14.8467","-15.143","-17.2354","-15.5203","-15.5666","-13.7765","-16.8244","-17.3212","-16.0339","-9.6404","-9.7781","-9.3964","-9.6007","-9.2563","-9.2878","-9.4319","-9.6524","-9.7268","-10.2263","-15.286","-17.134","-23.4737","-21.9776","-23.6249","-22.544","-23.5783","-20.9236","-23.7158","-25.4288","-24.4894","-25.0045","-24.6357","-25.5657","-26.0848","-25.9121","-30.1839","-35.7408","-33.8944","-32.083","-30.8063","-31.2683","-30.4736","-31.1732","-28.5311","-31.1932","-28.0727","-29.2525","-28.8307","-28.9709","-26.9696","-25.9391","-27.8722","-29.1238","-29.0994"
"B Max Drawdown","-13.3279","-13.3279","-11.8362","-11.8362","-11.8362","-11.4136","-10.5262","-5.1205","-5.1205","-5.1204","-5.1204","-5.1204","-4.8468","-4.6428","-4.6428","-4.0864","-3.2324","-2.9033","-2.9033","-2.9033","-10.3384","-10.3384","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-16.7416","-15.8126","-11.4984","-7.6691","-7.6691","-26.0386","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-15.9392","-10.5021","-10.5021","-10.5021","-10.5021","-10.5021","-7.9326","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-11.8362","-11.8362","-11.8362","-11.4136","-10.5262","-5.1204","-10.3384","-10.3384","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-26.0386","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312"
"MD DIFF(P-B)","-7.473","-3.3166","-5.2708","-3.6162","-5.4873","-5.2263","-5.6688","-2.6479","-0.6628","-0.4761","-0.451","-0.7236","-0.1761","-0.8796","-0.4321","-0.5623","-1.3834","-1.787","-1.8967","-2.0462","0.5603","0.942","1.5721","1.9165","1.885","1.7409","1.5204","1.446","0.9465","-4.1132","-5.9612","-3.5144","-2.0183","-3.6656","-2.5847","-3.619","-0.964300000000001","-3.7565","-5.4695","-4.5301","-4.1608","-1.5933","-0.5778","-3.2728","-1.9315","-4.1453","-4.2096","-2.3632","-0.5518","0.724899999999998","0.262899999999998","1.0576","0.357999999999997","3.0001","0.337999999999997","3.4585","2.2787","2.7269","1.3497","1.6998","1.7581","1.6554","2.648","0.6921","-7.473","-3.3166","-3.7791","-2.4483","-4.7604","-4.3581","-3.2347","-2.7162","-1.9416","-1.6577","-1.5188","-1.8151","-3.9075","-2.1924","-3.7304","-1.9403","-4.9882","-5.9076","-5.5077","-4.52","0.5603","0.942","1.5721","1.9165","1.885","1.7409","1.5204","1.446","0.9465","-4.1132","-5.9612","-3.5144","-2.0183","-3.6656","-2.5847","-3.619","-0.964300000000001","-3.7565","-5.4695","-4.5301","-5.0452","-4.6764","-5.6064","-6.1255","-5.9528","-4.1453","-4.2096","-2.3632","-0.5518","0.724899999999998","0.262899999999998","1.0576","0.357999999999997","3.0001","0.337999999999997","3.4585","2.2787","2.7005","2.5603","4.5616","5.5921","3.659","2.4074","2.4318"
