"","1 Y 2017-12-12 to 2018-12-13","1 Y 2018-01-12 to 2019-01-13","1 Y 2018-02-12 to 2019-02-13","1 Y 2018-03-12 to 2019-03-13","1 Y 2018-04-12 to 2019-04-13","1 Y 2018-05-14 to 2019-05-13","1 Y 2018-06-12 to 2019-06-13","1 Y 2018-07-12 to 2019-07-13","1 Y 2018-08-13 to 2019-08-13","1 Y 2018-09-12 to 2019-09-13","1 Y 2018-10-12 to 2019-10-13","1 Y 2018-11-12 to 2019-11-13","1 Y 2018-12-12 to 2019-12-13","1 Y 2019-01-14 to 2020-01-13","1 Y 2019-02-12 to 2020-02-13","1 Y 2019-03-12 to 2020-03-13","1 Y 2019-04-12 to 2020-04-13","1 Y 2019-05-13 to 2020-05-13","1 Y 2019-06-12 to 2020-06-13","1 Y 2019-07-12 to 2020-07-13","1 Y 2019-08-12 to 2020-08-13","1 Y 2019-09-12 to 2020-09-13","1 Y 2019-10-14 to 2020-10-13","1 Y 2019-11-12 to 2020-11-13","1 Y 2019-12-12 to 2020-12-13","1 Y 2020-01-13 to 2021-01-13","1 Y 2020-02-12 to 2021-02-13","1 Y 2020-03-12 to 2021-03-13","1 Y 2020-04-13 to 2021-04-13","1 Y 2020-05-12 to 2021-05-13","1 Y 2020-06-12 to 2021-06-13","1 Y 2020-07-13 to 2021-07-13","1 Y 2020-08-12 to 2021-08-13","1 Y 2020-09-14 to 2021-09-13"
"P Information Ratio","-0.44","0.09","-0.01","0.63","-0.9","-0.1","-0.33","-0.31","-0.82","-0.55","-0.71","-0.53","-0.28","-2.44","-2.35","-2.51","-1.55","-2.27","-2.41","-2.44","0.37","-0.01","-3.86","-3.44","-2.27","-1.85","-1.02","1.36","0.86","2.68","1.44","1.16","1.29","0.94"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","-0.39","-0.03","0.19","0.19","-0.24","-0.13","-0.39","-0.07","-0.13","-0.27","-0.26","-0.47","-0.77","-1.14","-1.42","-0.92","-1","-1.73","-2.34","-2.11","-0.16","-0.21","-2.7","-2.73","-1.99","-1.76","-1.26","1.79","2.25","2.58","2.94","2.66","2","1.64"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","0.51","0.7","0.75","0.67","0.72","0.78","0.79","0.88","0.99","1.06","1.12","1.16","1.28","1.18","1.16","1.15","1.18","1.09","1.09","1.1","1.3","1.47","0.94","0.85","0.94","0.95","1.06","0.7","0.71","0.68","0.63","0.72","1.04","0.96"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","47.37","73.09","85.66","81.7","79.48","83.73","89.05","91.64","95.7","94.47","93.93","91.67","87.84","88.03","75.85","88.63","89.91","84.04","83.75","82.49","90.89","85.57","88.56","84.79","82.82","81.14","70.15","38.85","26.63","22.46","22.13","24.72","36.49","24.5"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-11.2818","-14.6302","-16.3724","-14.221","-15.9891","-16.7291","-16.6734","-17.514","-19.1258","-19.2006","-15.0237","-14.8561","-9.8218","-8.7495","-8.4504","-31.5423","-36.9824","-38.2289","-39.2962","-38.5047","-39.374","-40.4805","-38.3978","-38.1363","-37.085","-37.8623","-39.2356","-17.3157","-18.0957","-18.8906","-8.7974","-9.3996","-11.5013","-12.0666"
"B Max Drawdown","-11.1728","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-16.7416","-15.8126","-11.4984","-7.6691","-7.6691","-26.0386","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-15.9392","-10.5021","-10.5021","-10.5021","-10.502","-10.5021","-7.9326"
"MD DIFF(P-B)","-0.109","5.3291","3.5869","5.7383","3.9702","3.2302","3.2859","2.4453","0.833499999999997","0.758699999999997","1.7179","0.9565","1.6766","-1.0804","-0.7813","-5.5037","-5.4512","-6.6977","-7.765","-6.9735","-7.8428","-8.9493","-6.8666","-6.6051","-5.5538","-6.3311","-7.7044","-1.3765","-7.5936","-8.3885","1.7047","1.1024","-0.9992","-4.134"
