"","2013-03-12_to_2014-03-13_GrowthPortfolio_1QRank","2013-04-12_to_2014-04-13_GrowthPortfolio_1QRank","2013-05-13_to_2014-05-13_GrowthPortfolio_1QRank","2013-06-12_to_2014-06-13_GrowthPortfolio_1QRank","2013-07-12_to_2014-07-13_GrowthPortfolio_1QRank","2013-08-12_to_2014-08-13_GrowthPortfolio_1QRank","2013-09-12_to_2014-09-13_GrowthPortfolio_1QRank","2013-10-14_to_2014-10-13_GrowthPortfolio_1QRank","2013-11-12_to_2014-11-13_GrowthPortfolio_1QRank","2013-12-12_to_2014-12-13_GrowthPortfolio_1QRank","2014-01-13_to_2015-01-13_GrowthPortfolio_1QRank","2014-02-12_to_2015-02-13_GrowthPortfolio_1QRank","2014-03-12_to_2015-03-13_GrowthPortfolio_1QRank","2014-04-14_to_2015-04-13_GrowthPortfolio_1QRank","2014-05-12_to_2015-05-13_GrowthPortfolio_1QRank","2014-06-12_to_2015-06-13_GrowthPortfolio_1QRank","2014-07-14_to_2015-07-13_GrowthPortfolio_1QRank","2014-08-12_to_2015-08-13_GrowthPortfolio_1QRank","2014-09-12_to_2015-09-13_GrowthPortfolio_1QRank","2014-10-13_to_2015-10-13_GrowthPortfolio_1QRank","2014-11-12_to_2015-11-13_GrowthPortfolio_1QRank","2014-12-12_to_2015-12-13_GrowthPortfolio_1QRank","2015-01-12_to_2016-01-13_GrowthPortfolio_1QRank","2015-02-12_to_2016-02-13_GrowthPortfolio_1QRank","2015-03-12_to_2016-03-13_GrowthPortfolio_1QRank","2015-04-13_to_2016-04-13_GrowthPortfolio_1QRank","2015-05-12_to_2016-05-13_GrowthPortfolio_1QRank","2015-06-12_to_2016-06-13_GrowthPortfolio_1QRank","2015-07-13_to_2016-07-13_GrowthPortfolio_1QRank","2015-08-12_to_2016-08-13_GrowthPortfolio_1QRank","2015-09-14_to_2016-09-13_GrowthPortfolio_1QRank","2015-10-12_to_2016-10-13_GrowthPortfolio_1QRank","2015-11-12_to_2016-11-13_GrowthPortfolio_1QRank","2015-12-14_to_2016-12-13_GrowthPortfolio_1QRank","2016-01-12_to_2017-01-13_GrowthPortfolio_1QRank","2016-02-12_to_2017-02-13_GrowthPortfolio_1QRank","2016-03-14_to_2017-03-13_GrowthPortfolio_1QRank","2016-04-12_to_2017-04-13_GrowthPortfolio_1QRank","2016-05-12_to_2017-05-13_GrowthPortfolio_1QRank","2016-06-13_to_2017-06-13_GrowthPortfolio_1QRank","2016-07-12_to_2017-07-13_GrowthPortfolio_1QRank","2016-08-12_to_2017-08-13_GrowthPortfolio_1QRank","2016-09-12_to_2017-09-13_GrowthPortfolio_1QRank","2016-10-12_to_2017-10-13_GrowthPortfolio_1QRank","2016-11-14_to_2017-11-13_GrowthPortfolio_1QRank","2016-12-12_to_2017-12-13_GrowthPortfolio_1QRank","2017-01-12_to_2018-01-13_GrowthPortfolio_1QRank","2017-02-13_to_2018-02-13_GrowthPortfolio_1QRank","2017-03-13_to_2018-03-13_GrowthPortfolio_1QRank","2017-04-12_to_2018-04-13_GrowthPortfolio_1QRank","2017-05-12_to_2018-05-13_GrowthPortfolio_1QRank","2017-06-12_to_2018-06-13_GrowthPortfolio_1QRank","2017-07-12_to_2018-07-13_GrowthPortfolio_1QRank","2017-08-14_to_2018-08-13_GrowthPortfolio_1QRank","2017-09-12_to_2018-09-13_GrowthPortfolio_1QRank","2017-10-12_to_2018-10-13_GrowthPortfolio_1QRank","2017-11-13_to_2018-11-13_GrowthPortfolio_1QRank","2017-12-12_to_2018-12-13_GrowthPortfolio_1QRank","2018-01-12_to_2019-01-13_GrowthPortfolio_1QRank","2018-02-12_to_2019-02-13_GrowthPortfolio_1QRank","2018-03-12_to_2019-03-13_GrowthPortfolio_1QRank","2018-04-12_to_2019-04-13_GrowthPortfolio_1QRank","2018-05-14_to_2019-05-13_GrowthPortfolio_1QRank","2018-06-12_to_2019-06-13_GrowthPortfolio_1QRank","2018-07-12_to_2019-07-13_GrowthPortfolio_1QRank","2018-08-13_to_2019-08-13_GrowthPortfolio_1QRank","2018-09-12_to_2019-09-13_GrowthPortfolio_1QRank","2018-10-12_to_2019-10-13_GrowthPortfolio_1QRank","2018-11-12_to_2019-11-13_GrowthPortfolio_1QRank","2018-12-12_to_2019-12-13_GrowthPortfolio_1QRank","2019-01-14_to_2020-01-13_GrowthPortfolio_1QRank","2019-02-12_to_2020-02-13_GrowthPortfolio_1QRank","2019-03-12_to_2020-03-13_GrowthPortfolio_1QRank","2019-04-12_to_2020-04-13_GrowthPortfolio_1QRank","2019-05-13_to_2020-05-13_GrowthPortfolio_1QRank","2019-06-12_to_2020-06-13_GrowthPortfolio_1QRank","2019-07-12_to_2020-07-13_GrowthPortfolio_1QRank","2019-08-12_to_2020-08-13_GrowthPortfolio_1QRank","2019-09-12_to_2020-09-13_GrowthPortfolio_1QRank","2019-10-14_to_2020-10-13_GrowthPortfolio_1QRank","2019-11-12_to_2020-11-13_GrowthPortfolio_1QRank","2019-12-12_to_2020-12-13_GrowthPortfolio_1QRank","2020-01-13_to_2021-01-13_GrowthPortfolio_1QRank","2020-02-12_to_2021-02-13_GrowthPortfolio_1QRank","2020-03-12_to_2021-03-13_GrowthPortfolio_1QRank","2020-04-13_to_2021-04-13_GrowthPortfolio_1QRank","2020-05-12_to_2021-05-13_GrowthPortfolio_1QRank","2020-06-12_to_2021-06-13_GrowthPortfolio_1QRank","2020-07-13_to_2021-07-13_GrowthPortfolio_1QRank","2020-08-12_to_2021-08-13_GrowthPortfolio_1QRank","2020-09-14_to_2021-09-13_GrowthPortfolio_1QRank"
"P Information Ratio","3.34","1.66","1.29","1.71","1.06","1.28","0.86","0.73","0.85","0.96","0.6","-0.02","0.74","0.69","0.5","0.24","2","2.26","3.98","1.74","0.89","0.25","0.69","0.92","0.78","1.33","1.3","0.06","-0.54","2.01","3.35","1.73","1.78","1.46","1.84","-1.13","-1.42","1.75","3.63","2.19","0.98","2.46","3.15","3.8","1.44","1.26","1.79","1.33","2.8","1.21","2.28","1.67","1.93","0.93","0.96","1.04","0.67","0.53","1.28","0.25","0.04","0.55","1.07","-0.44","0.22","0.24","-0.17","0.7","-0.68","-1.39","-0.88","-1.1","-1.85","0","-0.34","-0.54","-1.65","-1.96","2.23","0.49","1.7","1.99","3.98","5.04","1.67","0.35","0.27","4.75","2.25","1.75","0.21"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","1.72","2.42","1.47","1.45","1.33","1.07","1.29","0.97","0.89","0.47","-0.2","0.14","1.1","0.51","0.35","0.06","1.07","0.75","1.21","0.64","0.55","0.43","0.64","0.66","0.57","0.87","0.5","0.05","-0.49","0.82","0.91","0.67","0.53","0.45","0.62","-0.22","-0.26","1.01","1.08","1.56","0.33","1.08","0.64","1.13","0.39","0.64","0.31","0.19","1.34","0.67","1.01","0.57","0.82","0.02","0.52","0.54","0.67","0.08","0.34","0.04","0.09","0.16","0.48","-0.11","0.31","0.05","0.04","0.46","-0.03","0.01","0.33","-0.54","-0.14","-0.08","-0.36","-0.2","-0.68","-0.81","2.46","0.72","1.47","1.76","2.19","2.19","0.69","-0.01","0.37","1.06","0.63","0.86","-0.11"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","1.07","0.57","0.66","0.77","0.66","0.81","0.53","0.93","0.79","1.02","1.15","0.57","0.78","0.82","0.86","1.11","0.98","1.01","1","0.94","0.72","0.66","0.79","0.86","0.88","1.05","0.95","1.04","0.93","0.88","0.98","1.12","1.28","1.24","1.02","0.74","0.61","0.89","0.95","0.61","1.09","1.1","1.36","1.13","1.19","1","1.08","1.23","1.02","1","1.41","1.23","1.43","1.21","1.22","1.16","1.25","1.04","1.12","1.21","1.17","1.13","0.93","0.94","0.94","0.78","0.71","0.81","0.62","0.59","0.64","1.02","0.95","1.04","1.08","1.02","1","0.85","1.33","0.76","1.27","1.4","1.21","1.07","1.13","1.09","1.1","1.22","1.16","1.03","0.99"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","69.7","6.78","23.1","31.23","28.74","21.69","4.81","28.58","16.52","40.96","35.93","8.28","38.98","67.75","68.29","91.92","70.57","79.75","90.74","87.94","76.32","70.11","73.61","76.37","73.98","83.84","84.4","86.16","85.46","89.03","92.3","89.19","90.39","92.91","66.13","19.49","14.63","44.22","54.66","27.05","46.15","42.91","62.84","34.94","35.68","22.07","34.16","56.78","47.23","57.11","69.49","80.39","78.29","85.76","62.34","76.85","77.76","95.24","97.66","92.8","89.17","91.83","88.02","92.42","90.82","95.28","84.83","85.41","74.36","63.7","65.59","88.81","93.33","96.5","93.96","86.27","91.28","93.12","83.06","89.1","88.45","88.67","91.16","92.55","82.52","75.75","75.47","92.84","86.55","71.99","92.57"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-5.5341","-11.573","-9.9012","-9.3624","-8.7947","-10.3713","-10.8683","-10.0714","-11.7154","-9.9636","-9.0923","-11.6403","-11.122","-7.9455","-7.1316","-7.9855","-9.8244","-10.2579","-12.5089","-11.1105","-11.2481","-10.7257","-11.6052","-16.54","-18.3263","-18.6043","-18.5885","-19.1837","-18.1728","-14.7792","-14.5712","-15.5707","-15.7504","-13.9535","-7.3865","-9.1921","-7.0023","-4.9844","-6.464","-4.8409","-5.5438","-4.5926","-4.8387","-4.4364","-7.3728","-7.027","-6.2507","-8.0886","-9.0022","-9.7178","-9.4981","-10.286","-11.1141","-11.106","-10.1446","-10.631","-14.3711","-12.8923","-22.9448","-23.7068","-23.7683","-22.7394","-18.696","-19.5498","-20.187","-16.7696","-15.9141","-14.7293","-12.7719","-10.6969","-5.0161","-8.7824","-30.7131","-34.7313","-33.6013","-34.0236","-34.4294","-30.2641","-33.4579","-28.8552","-36.0214","-37.8451","-33.4392","-30.3415","-14.8121","-12.7356","-12.9749","-10.7985","-11.4638","-9.4535","-9.4161"
"B Max Drawdown","-6.2539","-6.2539","-6.2539","-6.2539","-6.2539","-6.2539","-6.2539","-6.3048","-7.5098","-7.5098","-7.5098","-7.5098","-7.5098","-7.5099","-7.5098","-7.5098","-7.5098","-7.5098","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-11.8362","-11.8362","-11.8362","-11.4136","-10.5262","-5.1205","-5.1204","-5.1205","-5.1205","-5.1204","-4.8468","-4.6428","-4.6428","-4.0864","-3.2324","-2.9033","-2.9033","-2.9033","-10.3384","-10.3384","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1727","-11.1728","-11.1728","-11.1728","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-16.7416","-15.8126","-11.4984","-7.6691","-7.6691","-26.0386","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-15.9392","-10.5021","-10.5021","-10.5021","-10.502","-10.5021","-7.9326"
