"","1 Y 2013-12-11 to 2014-12-12","1 Y 2014-01-13 to 2015-01-12","1 Y 2014-02-11 to 2015-02-12","1 Y 2014-03-11 to 2015-03-12","1 Y 2014-04-11 to 2015-04-12","1 Y 2014-05-12 to 2015-05-12","1 Y 2014-06-11 to 2015-06-12","1 Y 2014-07-11 to 2015-07-12","1 Y 2014-08-11 to 2015-08-12","1 Y 2014-09-11 to 2015-09-12","1 Y 2014-10-13 to 2015-10-12","1 Y 2014-11-11 to 2015-11-12","1 Y 2014-12-11 to 2015-12-12","1 Y 2015-01-12 to 2016-01-12","1 Y 2015-02-11 to 2016-02-12","1 Y 2015-03-11 to 2016-03-12","1 Y 2015-04-13 to 2016-04-12","1 Y 2015-05-11 to 2016-05-12","1 Y 2015-06-11 to 2016-06-12","1 Y 2015-07-13 to 2016-07-12","1 Y 2015-08-11 to 2016-08-12","1 Y 2015-09-11 to 2016-09-12","1 Y 2015-10-12 to 2016-10-12","1 Y 2015-11-11 to 2016-11-12","1 Y 2015-12-11 to 2016-12-12","1 Y 2016-01-11 to 2017-01-12","1 Y 2016-02-11 to 2017-02-12","1 Y 2016-03-11 to 2017-03-12","1 Y 2016-04-11 to 2017-04-12","1 Y 2016-05-11 to 2017-05-12","1 Y 2016-06-13 to 2017-06-12","1 Y 2016-07-11 to 2017-07-12","1 Y 2016-08-11 to 2017-08-12","1 Y 2016-09-12 to 2017-09-12","1 Y 2016-10-11 to 2017-10-12","1 Y 2016-11-11 to 2017-11-12","1 Y 2016-12-12 to 2017-12-12","1 Y 2017-01-11 to 2018-01-12","1 Y 2017-02-13 to 2018-02-12","1 Y 2017-03-13 to 2018-03-12","1 Y 2017-04-11 to 2018-04-12","1 Y 2017-05-11 to 2018-05-12","1 Y 2017-06-12 to 2018-06-12","1 Y 2017-07-11 to 2018-07-12","1 Y 2017-08-11 to 2018-08-12","1 Y 2017-09-11 to 2018-09-12","1 Y 2017-10-11 to 2018-10-12","1 Y 2017-11-13 to 2018-11-12","1 Y 2017-12-11 to 2018-12-12","1 Y 2018-01-11 to 2019-01-12","1 Y 2018-02-12 to 2019-02-12","1 Y 2018-03-12 to 2019-03-12","1 Y 2018-04-11 to 2019-04-12","1 Y 2018-05-11 to 2019-05-12","1 Y 2018-06-11 to 2019-06-12","1 Y 2018-07-11 to 2019-07-12","1 Y 2018-08-13 to 2019-08-12","1 Y 2018-09-11 to 2019-09-12","1 Y 2018-10-11 to 2019-10-12","1 Y 2018-11-12 to 2019-11-12","1 Y 2018-12-11 to 2019-12-12","1 Y 2019-01-11 to 2020-01-12","1 Y 2019-02-11 to 2020-02-12","1 Y 2019-03-11 to 2020-03-12","1 Y 2019-04-11 to 2020-04-12","1 Y 2019-05-13 to 2020-05-12","1 Y 2019-06-11 to 2020-06-12","1 Y 2019-07-11 to 2020-07-12","1 Y 2019-08-12 to 2020-08-12","1 Y 2019-09-11 to 2020-09-12","1 Y 2019-10-11 to 2020-10-12","1 Y 2019-11-11 to 2020-11-12","1 Y 2019-12-11 to 2020-12-12","1 Y 2020-01-13 to 2021-01-12","1 Y 2020-02-11 to 2021-02-12","1 Y 2020-03-11 to 2021-03-12","1 Y 2020-04-13 to 2021-04-12","1 Y 2020-05-11 to 2021-05-12","1 Y 2020-06-11 to 2021-06-12","1 Y 2020-07-13 to 2021-07-12","1 Y 2020-08-11 to 2021-08-12","1 Y 2020-09-11 to 2021-09-12"
"P Information Ratio","0.63","0.53","-0.25","-0.68","-0.85","-0.24","0.41","0.29","-0.38","-0.14","1.64","0.87","2.13","2.74","-0.38","0.03","-0.05","-0.08","0.24","0.39","-0.12","0.15","-0.26","1.23","1.97","1.32","2.58","0.89","0.92","0.91","0.85","1","1.13","0.81","1.13","-0.89","-0.19","-2.22","-2.99","-3.21","-1.93","-2.38","-1.81","-1.53","-1.46","-1.65","-1.71","-1.34","-1.04","-0.74","-0.1","-0.29","-0.4","0.31","0.33","-0.22","0.28","0.08","-0.67","-0.02","-0.29","-0.95","-0.85","-1.47","-0.37","0.07","0.4","1.99","2.72","-1.47","-1.1","-2.27","1.07","-2.05","-0.7","2.17","1.21","2.49","1.2","1.4","1.49","1.31"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.32","-0.26","0.35","0.02","0.11","0.35","0.34","0","0","-0.13","0.49","0.17","1.09","0.87","-0.29","-0.08","-0.21","0.02","0.16","0.29","0.08","0.11","0.36","0.43","0.68","0.77","0.74","0.44","0.14","-0.17","0.21","0.67","0.91","0.35","-0.05","0.07","0.16","-0.59","-0.51","-1.04","-0.64","-0.65","-0.73","-0.86","-0.62","-0.64","-0.49","-0.77","-0.53","-0.57","0.26","-0.16","0.14","0.36","0.1","-0.21","0.21","0.03","-0.43","-0.45","-1.48","-1.6","-1.37","-0.51","0.14","0.51","0.02","0.87","1.38","-1.13","-0.94","-1.68","0.59","-1.23","-0.98","1.95","1.82","2.35","2.77","2.68","2.1","1.79"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","0.87","1.06","0.56","0.53","0.42","0.49","0.71","0.85","0.69","0.91","1.01","0.88","0.97","1.05","1.18","1.03","0.95","0.74","0.83","0.93","0.98","0.96","1.2","1.16","1.29","1.17","1.44","1.27","1.39","1.56","1.4","1.04","0.97","1.16","1.17","0.75","0.82","1.11","0.6","0.95","0.81","0.78","0.8","0.7","0.93","0.76","0.85","0.99","0.82","0.8","0.79","0.83","0.82","0.7","0.71","0.91","0.95","0.98","1.17","1.41","1.64","1.54","1.56","1.23","1.26","1.12","1.2","1.04","1.07","0.95","0.83","0.81","1.32","0.95","1.15","0.83","0.97","0.91","0.75","0.93","1.25","1.17"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","70.7","63.44","38.56","45.23","53.07","52.5","90.54","92.28","63.57","85.95","92.45","90.69","88.92","91.98","88.93","79.25","87.08","73.68","84.96","87.4","71.91","69.67","86.49","81.76","82.2","52.74","45.23","30.34","28.93","47.68","39.42","20.56","13.58","30.83","46.79","37.94","26.89","65.26","41.47","74.55","64.81","56.99","56.13","37.95","61.98","65.73","64.35","81.85","73.42","76.25","76.23","77.74","68.53","56.68","65.54","84.87","87.55","83.37","91.13","90.36","90.45","91.85","92.53","90.79","89.42","87.07","86.65","82.7","87.83","82.27","82.53","84.9","88.6","88.8","82.03","45.02","36.69","26.68","16.38","26.01","41.49","24.52"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-4.9472","-4.9898","-4.4888","-6.6913","-5.1523","-4.6395","-4.4935","-5.1659","-5.2348","-13.0556","-13.2427","-13.8762","-11.8319","-12.2919","-18.4921","-18.6301","-16.0559","-16.3338","-13.6367","-14.56","-15.8857","-15.572","-14.7165","-10.9403","-11.3176","-8.2967","-11.9192","-12.2914","-11.27","-9.6606","-7.4705","-6.5564","-7.2468","-6.0387","-3.8624","-4.3519","-3.1075","-2.8278","-8.6664","-8.7005","-12.5516","-12.5532","-11.8576","-13.3266","-13.5893","-12.1452","-13.503","-16.5303","-14.7144","-19.5034","-14.9474","-15.5478","-14.9563","-13.937","-14.2528","-17.4244","-16.8482","-16.0058","-15.9306","-15.0437","-12.1223","-11.8261","-11.3996","-31.272","-38.9986","-37.9561","-39.4496","-34.4929","-36.5716","-35.3472","-32.6125","-33.261","-34.2421","-35.6218","-38.0739","-20.3241","-18.977","-20.7488","-13.0996","-11.4685","-11.2852","-12.1434"
"B Max Drawdown","-7.5098","-7.5098","-7.5098","-7.5098","-7.5099","-7.5098","-7.5098","-7.5098","-7.5098","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-11.8362","-11.8362","-11.8362","-11.4136","-10.5262","-5.1204","-5.1204","-5.1204","-5.1204","-5.1205","-4.8468","-4.6428","-4.6428","-4.0864","-3.2324","-2.9033","-2.9033","-2.9033","-10.3384","-10.3384","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-16.7416","-15.8126","-11.4984","-7.6691","-7.6691","-26.0386","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-15.9392","-10.5021","-10.5021","-10.5021","-10.502","-10.5021","-7.9326"
"MD DIFF(P-B)","2.5626","2.52","3.021","0.8185","2.3576","2.8703","3.0163","2.3439","2.275","0.2723","0.0852000000000004","-0.548300000000001","1.496","1.036","-5.1642","-5.3022","-2.728","-3.0059","-0.3088","-1.2321","-4.0495","-3.7358","-2.8803","0.4733","-0.791400000000001","-3.1763","-6.7988","-7.171","-6.1496","-4.5401","-2.6237","-1.9136","-2.604","-1.9523","-0.63","-1.4486","-0.2042","0.0755000000000003","1.672","1.6379","-1.3788","-1.3804","-0.684799999999999","-2.1538","-2.4165","-0.9724","-2.3302","-5.3575","-3.5416","0.4559","5.0119","4.4115","5.003","6.0223","5.7065","2.5349","3.1111","3.9535","0.810999999999998","0.7689","-0.623899999999999","-4.157","-3.7305","-5.2334","-7.4674","-6.4249","-7.9184","-2.9617","-5.0404","-3.816","-1.0813","-1.7298","-2.7109","-4.0906","-6.5427","-4.3849","-8.4749","-10.2467","-2.5975","-0.9665","-0.783099999999999","-4.2108"
