"","2013-12-11_to_2015-12-12_VGPortfolio_4QRank","2014-01-13_to_2016-01-12_VGPortfolio_4QRank","2014-02-11_to_2016-02-12_VGPortfolio_4QRank","2014-03-11_to_2016-03-12_VGPortfolio_4QRank","2014-04-11_to_2016-04-12_VGPortfolio_4QRank","2014-05-12_to_2016-05-12_VGPortfolio_4QRank","2014-06-11_to_2016-06-12_VGPortfolio_4QRank","2014-07-11_to_2016-07-12_VGPortfolio_4QRank","2014-08-11_to_2016-08-12_VGPortfolio_4QRank","2014-09-11_to_2016-09-12_VGPortfolio_4QRank","2014-10-13_to_2016-10-12_VGPortfolio_4QRank","2014-11-11_to_2016-11-12_VGPortfolio_4QRank","2014-12-11_to_2016-12-12_VGPortfolio_4QRank","2015-01-12_to_2017-01-12_VGPortfolio_4QRank","2015-02-11_to_2017-02-12_VGPortfolio_4QRank","2015-03-11_to_2017-03-12_VGPortfolio_4QRank","2015-04-13_to_2017-04-12_VGPortfolio_4QRank","2015-05-11_to_2017-05-12_VGPortfolio_4QRank","2015-06-11_to_2017-06-12_VGPortfolio_4QRank","2015-07-13_to_2017-07-12_VGPortfolio_4QRank","2015-08-11_to_2017-08-12_VGPortfolio_4QRank","2015-09-11_to_2017-09-12_VGPortfolio_4QRank","2015-10-12_to_2017-10-12_VGPortfolio_4QRank","2015-11-11_to_2017-11-12_VGPortfolio_4QRank","2015-12-11_to_2017-12-12_VGPortfolio_4QRank","2016-01-11_to_2018-01-12_VGPortfolio_4QRank","2016-02-11_to_2018-02-12_VGPortfolio_4QRank","2016-03-11_to_2018-03-12_VGPortfolio_4QRank","2016-04-11_to_2018-04-12_VGPortfolio_4QRank","2016-05-11_to_2018-05-12_VGPortfolio_4QRank","2016-06-13_to_2018-06-12_VGPortfolio_4QRank","2016-07-11_to_2018-07-12_VGPortfolio_4QRank","2016-08-11_to_2018-08-12_VGPortfolio_4QRank","2016-09-12_to_2018-09-12_VGPortfolio_4QRank","2016-10-11_to_2018-10-12_VGPortfolio_4QRank","2016-11-11_to_2018-11-12_VGPortfolio_4QRank","2016-12-12_to_2018-12-12_VGPortfolio_4QRank","2017-01-11_to_2019-01-12_VGPortfolio_4QRank","2017-02-13_to_2019-02-12_VGPortfolio_4QRank","2017-03-13_to_2019-03-12_VGPortfolio_4QRank","2017-04-11_to_2019-04-12_VGPortfolio_4QRank","2017-05-11_to_2019-05-12_VGPortfolio_4QRank","2017-06-12_to_2019-06-12_VGPortfolio_4QRank","2017-07-11_to_2019-07-12_VGPortfolio_4QRank","2017-08-11_to_2019-08-12_VGPortfolio_4QRank","2017-09-11_to_2019-09-12_VGPortfolio_4QRank","2017-10-11_to_2019-10-12_VGPortfolio_4QRank","2017-11-13_to_2019-11-12_VGPortfolio_4QRank","2017-12-11_to_2019-12-12_VGPortfolio_4QRank","2018-01-11_to_2020-01-12_VGPortfolio_4QRank","2018-02-12_to_2020-02-12_VGPortfolio_4QRank","2018-03-12_to_2020-03-12_VGPortfolio_4QRank","2018-04-11_to_2020-04-12_VGPortfolio_4QRank","2018-05-11_to_2020-05-12_VGPortfolio_4QRank","2018-06-11_to_2020-06-12_VGPortfolio_4QRank","2018-07-11_to_2020-07-12_VGPortfolio_4QRank","2018-08-13_to_2020-08-12_VGPortfolio_4QRank","2018-09-11_to_2020-09-12_VGPortfolio_4QRank","2018-10-11_to_2020-10-12_VGPortfolio_4QRank","2018-11-12_to_2020-11-12_VGPortfolio_4QRank","2018-12-11_to_2020-12-12_VGPortfolio_4QRank","2019-01-11_to_2021-01-12_VGPortfolio_4QRank","2019-02-11_to_2021-02-12_VGPortfolio_4QRank","2019-03-11_to_2021-03-12_VGPortfolio_4QRank","2019-04-11_to_2021-04-12_VGPortfolio_4QRank","2019-05-13_to_2021-05-12_VGPortfolio_4QRank","2019-06-11_to_2021-06-12_VGPortfolio_4QRank","2019-07-11_to_2021-07-12_VGPortfolio_4QRank","2019-08-12_to_2021-08-12_VGPortfolio_4QRank","2019-09-11_to_2021-09-12_VGPortfolio_4QRank"
"P Information Ratio","0.76","1.17","0.49","0.7","1.17","0.99","1.52","0.78","1.12","0.43","0.99","0.49","2.17","1.71","1.67","0.81","0.2","-0.04","-0.08","-0.1","-0.06","0.05","2.05","2.64","2.94","2.65","3.88","2.94","2.64","2.5","2.59","1.65","1.6","0.96","1.57","0.59","0.94","-0.13","0.36","0.35","0.4","-0.21","-0.05","-0.51","-0.32","-0.26","-0.93","-0.37","0.45","-0.18","-0.3","-0.02","-0.09","0.38","0.79","-0.68","-0.38","1.06","1.4","0.42","-0.34","-0.32","-0.66","-0.36","1.61","1.51","1.58","1.31","1.39","-0.65"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.55","0.58","0.23","0.46","0.57","0.48","0.63","0.3","0.43","0.24","0.38","0.18","0.76","0.33","0.56","0.33","0.14","0.07","0.07","0.01","0.11","0.12","0.64","0.66","0.61","0.74","0.86","0.71","0.75","0.6","0.6","0.32","0.59","0.27","0.49","0.09","0.15","-0.05","0.09","0.13","0.06","-0.11","-0.05","-0.2","-0.1","-0.04","-0.14","-0.1","0.16","-0.01","0.04","0.01","0","0.1","0.27","-0.04","-0.06","0.47","0.48","0.13","-0.19","-0.09","-0.27","-0.02","0.68","0.83","0.74","0.64","0.52","0.03"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","0.73","0.74","0.71","0.69","0.79","0.76","0.85","0.86","0.87","0.88","0.94","0.86","0.91","0.97","1.04","1.01","0.89","0.81","0.9","0.9","0.85","0.84","1.05","1.07","1.11","0.98","1.13","1.07","1.12","1.11","1.11","1.03","0.97","0.98","0.99","0.97","0.98","1","1.02","1.03","1.07","1.05","1.05","1","1.03","0.99","1","1.01","0.98","0.95","0.89","0.9","0.94","0.9","0.9","0.95","0.96","1.13","1.13","1.03","1.06","0.98","1.02","0.93","1.12","1.09","1.14","1.1","1.13","0.87"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","74.89","74.6","77.49","81.08","84.64","80.94","85.43","85.54","85.54","87.39","89.73","86.54","90.14","92.84","86.67","86.64","93.73","87.31","93.69","92.78","86.86","86.06","80.98","81.33","84.06","68.74","69.95","76.08","75.52","79.95","85.3","86.62","71.83","85.74","75.46","95.94","95.02","94.84","94.38","92.68","92.28","92.53","93.49","94.75","96.74","96.48","96.55","95.12","94.76","95.78","95.4","95.52","97.77","97.13","96.62","96.84","96.04","95.11","94.67","96.47","96.23","97.59","95.33","94.18","91.89","86.96","86.62","86.47","88.01","92.09"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-11.9884","-12.2199","-11.6976","-12.2194","-13.076","-13.56","-13.5749","-14.3253","-12.6712","-13.4264","-14.4327","-13.3562","-13.8623","-14.8829","-15.4676","-14.9802","-12.7632","-12.7563","-12.9527","-13.5244","-14.2199","-13.7699","-14.288","-13.3263","-13.6256","-7.6","-9.128","-9.0187","-10.1085","-10.3793","-10.9447","-11.1858","-9.9204","-10.6663","-10.0312","-11.1937","-10.8301","-19.6265","-20.6639","-20.7542","-21.1952","-21.8978","-22.244","-20.7457","-20.9563","-19.494","-19.623","-20.1645","-19.9705","-19.6545","-18.7477","-26.1776","-31.3595","-32.1835","-31.8023","-30.9515","-31.7788","-33.5937","-34.2895","-33.1804","-34.4552","-33.2398","-35.9541","-34.3845","-34.2183","-33.5381","-33.7813","-31.2348","-34.3074","-32.3127"
"B Max Drawdown","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-11.8362","-11.8362","-11.8362","-11.4136","-10.5262","-5.1204","-10.3384","-10.3384","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-26.0386","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312"
"MD DIFF(P-B)","1.3395","1.108","1.6303","1.1085","0.251899999999999","-0.232100000000001","-0.247","-0.997400000000001","0.656699999999999","-0.0984999999999996","-1.1048","-0.0282999999999998","-0.5344","-1.555","-2.1397","-1.6523","0.5647","0.5716","0.3752","-0.1965","-2.3837","-1.9337","-2.4518","-1.9127","-3.0994","-2.4796","1.2104","1.3197","1.0643","0.7935","0.228100000000001","-0.0129999999999999","1.2524","0.506500000000001","1.1416","-0.0208999999999993","0.342700000000001","0.332799999999999","-0.704600000000003","-0.794900000000002","-1.2359","-1.9385","-2.2847","-0.7864","-0.997","0.465299999999999","0.336299999999998","-0.205200000000001","-0.0112000000000023","0.3048","1.2116","-0.139000000000003","0.171699999999998","-0.652300000000004","-0.271100000000001","0.579699999999999","-0.247600000000002","-2.0625","-2.7583","-1.6492","-2.924","-1.7086","-4.4229","-2.8533","-2.6871","-2.0069","-2.2501","0.296399999999998","-2.7762","-0.781500000000001"
