"","2013-09-11_to_2016-09-12_ALLPortfolio_3QRank","2013-10-11_to_2016-10-12_ALLPortfolio_3QRank","2013-11-11_to_2016-11-12_ALLPortfolio_3QRank","2013-12-11_to_2016-12-12_ALLPortfolio_3QRank","2014-01-13_to_2017-01-12_ALLPortfolio_3QRank","2014-02-11_to_2017-02-12_ALLPortfolio_3QRank","2014-03-11_to_2017-03-12_ALLPortfolio_3QRank","2014-04-11_to_2017-04-12_ALLPortfolio_3QRank","2014-05-12_to_2017-05-12_ALLPortfolio_3QRank","2014-06-11_to_2017-06-12_ALLPortfolio_3QRank","2014-07-11_to_2017-07-12_ALLPortfolio_3QRank","2014-08-11_to_2017-08-12_ALLPortfolio_3QRank","2014-09-11_to_2017-09-12_ALLPortfolio_3QRank","2014-10-13_to_2017-10-12_ALLPortfolio_3QRank","2014-11-11_to_2017-11-12_ALLPortfolio_3QRank","2014-12-11_to_2017-12-12_ALLPortfolio_3QRank","2015-01-12_to_2018-01-12_ALLPortfolio_3QRank","2015-02-11_to_2018-02-12_ALLPortfolio_3QRank","2015-03-11_to_2018-03-12_ALLPortfolio_3QRank","2015-04-13_to_2018-04-12_ALLPortfolio_3QRank","2015-05-11_to_2018-05-12_ALLPortfolio_3QRank","2015-06-11_to_2018-06-12_ALLPortfolio_3QRank","2015-07-13_to_2018-07-12_ALLPortfolio_3QRank","2015-08-11_to_2018-08-12_ALLPortfolio_3QRank","2015-09-11_to_2018-09-12_ALLPortfolio_3QRank","2015-10-12_to_2018-10-12_ALLPortfolio_3QRank","2015-11-11_to_2018-11-12_ALLPortfolio_3QRank","2015-12-11_to_2018-12-12_ALLPortfolio_3QRank","2016-01-11_to_2019-01-12_ALLPortfolio_3QRank","2016-02-11_to_2019-02-12_ALLPortfolio_3QRank","2016-03-11_to_2019-03-12_ALLPortfolio_3QRank","2016-04-11_to_2019-04-12_ALLPortfolio_3QRank","2016-05-11_to_2019-05-12_ALLPortfolio_3QRank","2016-06-13_to_2019-06-12_ALLPortfolio_3QRank","2016-07-11_to_2019-07-12_ALLPortfolio_3QRank","2016-08-11_to_2019-08-12_ALLPortfolio_3QRank","2016-09-12_to_2019-09-12_ALLPortfolio_3QRank","2016-10-11_to_2019-10-12_ALLPortfolio_3QRank","2016-11-11_to_2019-11-12_ALLPortfolio_3QRank","2016-12-12_to_2019-12-12_ALLPortfolio_3QRank","2017-01-11_to_2020-01-12_ALLPortfolio_3QRank","2017-02-13_to_2020-02-12_ALLPortfolio_3QRank","2017-03-13_to_2020-03-12_ALLPortfolio_3QRank","2017-04-11_to_2020-04-12_ALLPortfolio_3QRank","2017-05-11_to_2020-05-12_ALLPortfolio_3QRank","2017-06-12_to_2020-06-12_ALLPortfolio_3QRank","2017-07-11_to_2020-07-12_ALLPortfolio_3QRank","2017-08-11_to_2020-08-12_ALLPortfolio_3QRank","2017-09-11_to_2020-09-12_ALLPortfolio_3QRank","2017-10-11_to_2020-10-12_ALLPortfolio_3QRank","2017-11-13_to_2020-11-12_ALLPortfolio_3QRank","2017-12-11_to_2020-12-12_ALLPortfolio_3QRank","2018-01-11_to_2021-01-12_ALLPortfolio_3QRank","2018-02-12_to_2021-02-12_ALLPortfolio_3QRank","2018-03-12_to_2021-03-12_ALLPortfolio_3QRank","2018-04-11_to_2021-04-12_ALLPortfolio_3QRank","2018-05-11_to_2021-05-12_ALLPortfolio_3QRank","2018-06-11_to_2021-06-12_ALLPortfolio_3QRank","2018-07-11_to_2021-07-12_ALLPortfolio_3QRank","2018-08-13_to_2021-08-12_ALLPortfolio_3QRank","2018-09-11_to_2021-09-12_ALLPortfolio_3QRank","2018-10-11_to_2021-10-12_ALLPortfolio_3QRank"
"P Information Ratio","0.27","0.65","0.73","0.91","0.61","0.8","0.66","1.23","1.57","0.83","0.87","0.83","1.44","1.09","1.13","1.23","1.28","0.89","0.06","0.25","0.65","0.64","0.67","0.35","1.36","1.51","1.1","0.89","0.86","1.24","0.67","0.95","0.61","0.61","0.6","0.4","0.87","0.51","0.04","-0.01","0.11","0","-0.86","-0.07","-0.09","0","-0.11","0.34","0.2","0.53","0.02","0.32","0.23","0.74","0.36","0.5","0.41","0.45","0.41","0.1","0.64","0.47"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.26","0.46","0.42","0.43","0.39","0.44","0.45","0.65","0.63","0.39","0.45","0.46","0.76","0.43","0.53","0.54","0.48","0.38","0.05","0.16","0.33","0.34","0.43","0.47","0.73","0.67","0.41","0.32","0.18","0.17","0.09","0.17","0.05","0.1","0.14","0.06","0.16","0.09","0.08","0.01","0.05","-0.08","0","-0.19","-0.16","-0.02","-0.16","0.05","0.02","0.18","-0.02","0.15","0.13","0.31","0.06","0.22","0.15","0.17","0.16","0.03","0.21","-0.02"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","0.82","0.81","0.84","0.83","0.8","0.79","0.84","0.91","0.91","0.89","0.82","0.85","0.91","0.88","0.92","0.94","0.92","0.9","0.92","0.87","0.89","0.85","0.82","0.79","0.86","0.93","1.01","1.02","1.11","1.17","1.15","1.15","1.14","1.09","1.14","1.09","1.07","1.05","0.99","0.98","1","0.97","0.95","1.07","1.08","1.08","1.09","1.1","1.15","1.11","1.05","1.12","0.98","1.07","1.12","1.1","1.07","1.06","1.16","1.03","1.19","1.23"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","76.47","73.17","73.92","73.34","73.64","72.52","77.35","76.74","79.43","78.57","73.83","73.58","74.04","79.45","78.77","79.17","79.13","80.42","82.82","80.72","80.88","77.94","76.08","76.16","73.08","73.31","80.21","81.78","83.87","86.81","89.36","88.82","85.96","87.95","89.1","86.07","88.43","85.43","88.32","88.62","89.34","85.1","86.22","87.92","91.23","88.02","88.77","90.15","90.06","89.89","90.88","89.15","90.45","88.68","88.94","88.92","87.31","87.54","87.82","87.77","87.79","87.72"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-15.7304","-14.0758","-13.5293","-13.2705","-13.599","-12.5892","-12.7906","-14.3055","-14.7154","-13.8754","-13.2535","-13.6466","-13.9767","-14.12","-15.075","-14.8594","-14.6037","-13.3852","-13.6728","-13.2941","-14.003","-14.1347","-12.5325","-12.5186","-13.3825","-13.2959","-12.7188","-14.4732","-24.2122","-24.8562","-23.4892","-22.3854","-24.0315","-22.3108","-22.3543","-20.8457","-20.7504","-20.7241","-18.7929","-19.0194","-18.8888","-19.0503","-27.3398","-32.6063","-31.6616","-31.7495","-32.201","-31.6748","-32.8295","-32.2997","-30.0659","-30.8714","-29.1156","-30.5337","-31.6142","-30.6988","-30.5854","-30.3549","-32.4391","-31.0328","-32.653","-32.7307"
"B Max Drawdown","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-11.8362","-11.8362","-11.8362","-11.4136","-10.5811","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312"
"MD DIFF(P-B)","-2.4025","-0.7479","-0.2014","0.0573999999999995","-0.271100000000001","0.7387","0.5373","-0.977600000000001","-1.3875","-0.547500000000001","0.0743999999999989","-0.3187","-0.6488","-0.7921","-1.7471","-1.5315","-1.2758","-0.0572999999999997","-0.344900000000001","0.0337999999999994","-0.6751","-0.806800000000001","0.795399999999999","-0.682399999999999","-1.5463","-1.4597","-1.3052","-3.8921","-4.2529","-4.8969","-3.5299","-2.4261","-4.0722","-2.3515","-2.395","-0.886400000000002","-0.7911","-0.764800000000001","1.1664","0.939899999999998","1.0705","0.908999999999999","-7.3805","-1.0751","-0.130400000000002","-0.218300000000003","-0.669800000000002","-0.143600000000003","-1.2983","-0.768500000000003","1.4653","0.659799999999997","2.4156","0.997499999999999","-0.083000000000002","0.8324","0.945799999999998","1.1763","-0.907900000000005","0.498399999999997","-1.1218","-1.1995"
