"","1 Y 2013-03-12 to 2014-03-13","1 Y 2013-04-12 to 2014-04-13","1 Y 2013-05-13 to 2014-05-13","1 Y 2013-06-12 to 2014-06-13","1 Y 2013-07-12 to 2014-07-13","1 Y 2013-08-12 to 2014-08-13","1 Y 2013-09-12 to 2014-09-13","1 Y 2013-10-14 to 2014-10-13","1 Y 2013-11-12 to 2014-11-13","1 Y 2013-12-12 to 2014-12-13","1 Y 2014-01-13 to 2015-01-13","1 Y 2014-02-12 to 2015-02-13","1 Y 2014-03-12 to 2015-03-13","1 Y 2014-04-14 to 2015-04-13","1 Y 2014-05-12 to 2015-05-13","1 Y 2014-06-12 to 2015-06-13","1 Y 2014-07-14 to 2015-07-13","1 Y 2014-08-12 to 2015-08-13","1 Y 2014-09-12 to 2015-09-13","1 Y 2014-10-13 to 2015-10-13","1 Y 2014-11-12 to 2015-11-13","1 Y 2014-12-12 to 2015-12-13","1 Y 2015-01-12 to 2016-01-13","1 Y 2015-02-12 to 2016-02-13","1 Y 2015-03-12 to 2016-03-13","1 Y 2015-04-13 to 2016-04-13","1 Y 2015-05-12 to 2016-05-13","1 Y 2015-06-12 to 2016-06-13","1 Y 2015-07-13 to 2016-07-13","1 Y 2015-08-12 to 2016-08-13","1 Y 2015-09-14 to 2016-09-13","1 Y 2015-10-12 to 2016-10-13","1 Y 2015-11-12 to 2016-11-13","1 Y 2015-12-14 to 2016-12-13","1 Y 2016-01-12 to 2017-01-13","1 Y 2016-02-12 to 2017-02-13","1 Y 2016-03-14 to 2017-03-13","1 Y 2016-04-12 to 2017-04-13","1 Y 2016-05-12 to 2017-05-13","1 Y 2016-06-13 to 2017-06-13","1 Y 2016-07-12 to 2017-07-13","1 Y 2016-08-12 to 2017-08-13","1 Y 2016-09-12 to 2017-09-13","1 Y 2016-10-12 to 2017-10-13","1 Y 2016-11-14 to 2017-11-13","1 Y 2016-12-12 to 2017-12-13","1 Y 2017-01-12 to 2018-01-13","1 Y 2017-02-13 to 2018-02-13","1 Y 2017-03-13 to 2018-03-13","1 Y 2017-04-12 to 2018-04-13","1 Y 2017-05-12 to 2018-05-13","1 Y 2017-06-12 to 2018-06-13","1 Y 2017-07-12 to 2018-07-13","1 Y 2017-08-14 to 2018-08-13","1 Y 2017-09-12 to 2018-09-13","1 Y 2017-10-12 to 2018-10-13","1 Y 2017-11-13 to 2018-11-13","1 Y 2017-12-12 to 2018-12-13","1 Y 2018-01-12 to 2019-01-13","1 Y 2018-02-12 to 2019-02-13","1 Y 2018-03-12 to 2019-03-13","1 Y 2018-04-12 to 2019-04-13","1 Y 2018-05-14 to 2019-05-13","1 Y 2018-06-12 to 2019-06-13","1 Y 2018-07-12 to 2019-07-13","1 Y 2018-08-13 to 2019-08-13","1 Y 2018-09-12 to 2019-09-13","1 Y 2018-10-12 to 2019-10-13","1 Y 2018-11-12 to 2019-11-13","1 Y 2018-12-12 to 2019-12-13","1 Y 2019-01-14 to 2020-01-13","1 Y 2019-02-12 to 2020-02-13","1 Y 2019-03-12 to 2020-03-13","1 Y 2019-04-12 to 2020-04-13","1 Y 2019-05-13 to 2020-05-13","1 Y 2019-06-12 to 2020-06-13","1 Y 2019-07-12 to 2020-07-13","1 Y 2019-08-12 to 2020-08-13","1 Y 2019-09-12 to 2020-09-13","1 Y 2019-10-14 to 2020-10-13","1 Y 2019-11-12 to 2020-11-13","1 Y 2019-12-12 to 2020-12-13","1 Y 2020-01-13 to 2021-01-13","1 Y 2020-02-12 to 2021-02-13","1 Y 2020-03-12 to 2021-03-13","1 Y 2020-04-13 to 2021-04-13","1 Y 2020-05-12 to 2021-05-13","1 Y 2020-06-12 to 2021-06-13","1 Y 2020-07-13 to 2021-07-13","1 Y 2020-08-12 to 2021-08-13","1 Y 2020-09-14 to 2021-09-13"
"P Information Ratio","2.09","0.59","0.55","1.25","1.34","0.65","0.79","-0.06","0.21","1.61","0.99","0.6","0.55","1.48","0.75","1.04","1.43","2.53","1.29","1.88","1.2","0.14","0.41","0.49","0.25","0.42","0.1","0.35","0.92","0.11","-0.24","0.49","1.16","0.41","-0.35","2.34","2.05","-1.91","-0.64","1.05","1.5","0.45","1.34","2.7","0.87","0.61","1.15","2.52","-0.21","1.9","-0.91","0.63","-2.05","-0.75","-0.3","-1.07","-0.44","0.42","0.62","-0.01","-0.36","0.22","-0.51","0.79","-0.05","0.38","0.88","0","-0.64","-0.78","-2.31","-1.28","-2.69","-2.58","-2.5","-2.47","-2.58","-0.86","-3.38","-0.53","-2.47","-1.69","-1.39","-1.31","-0.85","0.05","0.36","0.51","0.57","0.81","0.14"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","1.03","0.14","0.18","0.21","0.32","0.06","-0.04","0.02","0.03","0.23","-0.59","0.2","0.15","0.48","0.3","0.38","0.52","0.7","0.44","0.57","0.2","0.38","0.16","0.06","-0.04","0.15","0.07","0.02","0.26","0.23","0.13","0.35","0.19","0.05","0.01","0.17","0.41","-0.25","0.02","0.02","0.17","0.19","0.29","0.32","0.62","0.57","0.5","0.11","0.04","0.32","-0.09","0.12","-0.17","0.04","0.04","-0.04","-0.26","0.09","0.04","-0.02","-0.02","0.22","-0.16","0.25","0.04","0.14","0.31","0.03","-0.17","-0.04","-0.33","-0.13","-0.39","-0.72","-0.6","-0.36","-0.75","-0.29","-1.1","-0.29","-0.85","-0.5","-0.54","-0.5","0.21","0.56","0.18","0.94","1.04","0.67","0.36"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","0.82","0.96","0.94","1.03","1.04","1.06","1.06","1.03","1.04","0.92","1.46","1.01","0.98","0.91","0.87","0.86","0.88","0.82","0.88","0.87","0.85","0.87","0.85","0.87","0.92","0.92","0.97","0.91","0.89","0.86","0.82","0.94","0.94","0.98","0.97","1.14","0.96","0.91","1.01","1.08","1.08","0.88","0.87","0.87","0.71","0.75","0.77","1.1","1","0.98","0.9","0.97","0.93","0.9","0.85","0.84","0.88","0.91","0.94","0.89","0.93","0.86","0.95","0.87","0.86","0.95","0.96","0.96","1.01","0.93","0.99","0.88","1.03","1.05","0.95","0.96","0.92","1.05","0.95","1.09","0.94","0.92","0.99","0.95","0.84","0.92","0.84","0.83","0.84","0.98","0.95"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","75.58","96.83","93.67","93.33","86.55","85.86","88.54","88.38","88.52","90.19","91.07","80.69","87.89","91.56","84.41","82.13","87.56","87.41","85.83","87.7","96.03","94.52","93.37","95.41","96.79","95.15","95.54","94.72","94.46","92.14","90.82","95.24","92.68","94.83","88.24","91.08","81.36","91.59","92.57","97.23","89.21","85.56","93.22","87.19","59.67","56.92","67.25","96.52","96.66","95.26","92.16","97.02","95.88","95.18","93.1","98.54","95.2","96.41","97.13","96.67","94.83","93.04","93.37","96.44","94.31","96.51","97.62","95.93","97.81","92.79","93.91","93.26","98.33","97.12","98.06","99.11","96.58","98.68","98.11","96.33","96.88","96.98","94.74","91.72","89.04","88.25","82.1","80.23","58.79","73.57","75.39"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-5.2853","-5.7349","-5.5436","-5.8465","-5.8786","-5.7382","-5.9377","-7.105","-7.8756","-7.6565","-7.8542","-7.038","-6.5446","-7.3315","-7.0413","-6.9383","-7.5132","-6.8525","-11.7533","-12.176","-11.3251","-12.1042","-11.6163","-11.989","-13.0616","-14.1105","-15.5789","-13.5685","-11.3485","-13.0981","-11.9595","-11.8982","-11.7839","-11.9225","-5.6701","-5.1683","-5.819","-5.157","-5.5547","-4.8526","-3.8184","-4.3902","-3.0425","-2.7127","-2.0532","-2.8984","-2.3415","-9.7443","-9.2648","-10.6774","-10.6907","-10.6652","-10.7625","-10.5693","-10.7059","-10.1763","-10.9997","-10.2512","-17.6013","-17.1085","-18.0169","-15.6812","-17.7207","-16.2268","-15.9386","-17.732","-17.6328","-15.0462","-15.3476","-10.8993","-7.1295","-5.9479","-26.8642","-34.3431","-33.2511","-32.624","-33.0163","-34.2809","-34.2036","-35.7172","-33.4513","-31.7943","-34.7331","-33.5121","-16.884","-7.4803","-8.6204","-7.4406","-7.8311","-7.5217","-7.479"
"B Max Drawdown","-6.2539","-6.2539","-6.2539","-6.2539","-6.2539","-6.2539","-6.2539","-6.3048","-7.5098","-7.5098","-7.5098","-7.5098","-7.5098","-7.5099","-7.5098","-7.5098","-7.5098","-7.5098","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-11.8362","-11.8362","-11.8362","-11.4136","-10.5262","-5.1205","-5.1204","-5.1205","-5.1205","-5.1204","-4.8468","-4.6428","-4.6428","-4.0864","-3.2324","-2.9033","-2.9033","-2.9033","-10.3384","-10.3384","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1727","-11.1728","-11.1728","-11.1728","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-16.7416","-15.8126","-11.4984","-7.6691","-7.6691","-26.0386","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-15.9392","-10.5021","-10.5021","-10.5021","-10.502","-10.5021","-7.9326"
"MD DIFF(P-B)","0.968599999999999","0.519","0.7103","0.4074","0.3753","0.5157","0.316199999999999","-0.8002","-0.3658","-0.1467","-0.344399999999999","0.4718","0.9652","0.1784","0.468500000000001","0.5715","-0.00340000000000007","0.6573","1.5746","1.1519","2.0028","1.2237","1.7116","1.3389","0.266299999999999","-0.7826","-2.251","-0.240600000000001","1.9794","-1.2619","-0.1233","-0.0619999999999994","-0.370299999999999","-1.3963","-0.5496","-0.0479000000000003","-0.6985","-0.0365000000000002","-0.4343","-0.00579999999999981","0.8244","0.2526","1.0439","0.5197","0.8501","0.00490000000000013","0.5618","0.594099999999999","1.0736","0.4954","0.482100000000001","0.5076","0.410300000000001","0.6035","0.466800000000001","0.996500000000001","0.1731","0.9216","2.358","2.8508","1.9424","4.2781","2.2386","3.7325","4.0207","2.2273","2.3265","1.6954","0.465","0.5991","0.5396","1.7212","-0.825600000000001","-2.8119","-1.7199","-1.0928","-1.4851","-2.7497","-2.6724","-4.186","-1.92010000000001","-0.263100000000001","-3.2019","-1.9809","-0.944800000000001","3.0218","1.8817","3.0615","2.6709","2.9804","0.4536"
