"","2014-12-11_to_2016-12-12_ValuePortfolio_8QRank","2015-01-12_to_2017-01-12_ValuePortfolio_8QRank","2015-02-11_to_2017-02-12_ValuePortfolio_8QRank","2015-03-11_to_2017-03-12_ValuePortfolio_8QRank","2015-04-13_to_2017-04-12_ValuePortfolio_8QRank","2015-05-11_to_2017-05-12_ValuePortfolio_8QRank","2015-06-11_to_2017-06-12_ValuePortfolio_8QRank","2015-07-13_to_2017-07-12_ValuePortfolio_8QRank","2015-08-11_to_2017-08-12_ValuePortfolio_8QRank","2015-09-11_to_2017-09-12_ValuePortfolio_8QRank","2015-10-12_to_2017-10-12_ValuePortfolio_8QRank","2015-11-11_to_2017-11-12_ValuePortfolio_8QRank","2015-12-11_to_2017-12-12_ValuePortfolio_8QRank","2016-01-11_to_2018-01-12_ValuePortfolio_8QRank","2016-02-11_to_2018-02-12_ValuePortfolio_8QRank","2016-03-11_to_2018-03-12_ValuePortfolio_8QRank","2016-04-11_to_2018-04-12_ValuePortfolio_8QRank","2016-05-11_to_2018-05-12_ValuePortfolio_8QRank","2016-06-13_to_2018-06-12_ValuePortfolio_8QRank","2016-07-11_to_2018-07-12_ValuePortfolio_8QRank","2016-08-11_to_2018-08-12_ValuePortfolio_8QRank","2016-09-12_to_2018-09-12_ValuePortfolio_8QRank","2016-10-11_to_2018-10-12_ValuePortfolio_8QRank","2016-11-11_to_2018-11-12_ValuePortfolio_8QRank","2016-12-12_to_2018-12-12_ValuePortfolio_8QRank","2017-01-11_to_2019-01-12_ValuePortfolio_8QRank","2017-02-13_to_2019-02-12_ValuePortfolio_8QRank","2017-03-13_to_2019-03-12_ValuePortfolio_8QRank","2017-04-11_to_2019-04-12_ValuePortfolio_8QRank","2017-05-11_to_2019-05-12_ValuePortfolio_8QRank","2017-06-12_to_2019-06-12_ValuePortfolio_8QRank","2017-07-11_to_2019-07-12_ValuePortfolio_8QRank","2017-08-11_to_2019-08-12_ValuePortfolio_8QRank","2017-09-11_to_2019-09-12_ValuePortfolio_8QRank","2017-10-11_to_2019-10-12_ValuePortfolio_8QRank","2017-11-13_to_2019-11-12_ValuePortfolio_8QRank","2017-12-11_to_2019-12-12_ValuePortfolio_8QRank","2018-01-11_to_2020-01-12_ValuePortfolio_8QRank","2018-02-12_to_2020-02-12_ValuePortfolio_8QRank","2018-03-12_to_2020-03-12_ValuePortfolio_8QRank","2018-04-11_to_2020-04-12_ValuePortfolio_8QRank","2018-05-11_to_2020-05-12_ValuePortfolio_8QRank","2018-06-11_to_2020-06-12_ValuePortfolio_8QRank","2018-07-11_to_2020-07-12_ValuePortfolio_8QRank","2018-08-13_to_2020-08-12_ValuePortfolio_8QRank","2018-09-11_to_2020-09-12_ValuePortfolio_8QRank","2018-10-11_to_2020-10-12_ValuePortfolio_8QRank","2018-11-12_to_2020-11-12_ValuePortfolio_8QRank","2018-12-11_to_2020-12-12_ValuePortfolio_8QRank","2019-01-11_to_2021-01-12_ValuePortfolio_8QRank","2019-02-11_to_2021-02-12_ValuePortfolio_8QRank","2019-03-11_to_2021-03-12_ValuePortfolio_8QRank","2019-04-11_to_2021-04-12_ValuePortfolio_8QRank","2019-05-13_to_2021-05-12_ValuePortfolio_8QRank","2019-06-11_to_2021-06-12_ValuePortfolio_8QRank","2019-07-11_to_2021-07-12_ValuePortfolio_8QRank","2019-08-12_to_2021-08-12_ValuePortfolio_8QRank","2019-09-11_to_2021-09-12_ValuePortfolio_8QRank"
"P Information Ratio","-0.25","0.27","-0.46","-0.57","-0.38","-0.63","-0.67","-0.77","-0.48","-0.53","-0.56","-0.04","0.42","0.83","1.7","0.48","0.64","0.43","0.45","0.44","0.08","-0.26","-0.53","0.07","0.5","-0.18","-0.26","-0.01","-0.53","-0.64","-0.94","-0.93","-0.81","-0.74","-0.8","-0.44","-0.21","-0.52","-1","-0.12","-1.1","-1.1","-1.41","-1.95","-2","-1.77","-2.39","-1.78","-0.72","-1.33","-1.16","-0.84","0.68","0.73","0.9","0.75","0.95","0.77"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","-0.1","0.1","-0.11","-0.12","-0.16","-0.17","-0.13","-0.06","0.06","-0.03","-0.11","-0.01","0.07","0.42","0.49","0.23","0.05","0.11","0.32","0.21","0.01","-0.15","-0.23","0.25","0.25","0.07","-0.04","0.09","-0.09","-0.2","-0.39","-0.31","-0.29","-0.26","-0.1","-0.07","0.04","0.07","-0.07","-0.2","-0.65","-0.69","-0.93","-0.99","-1.07","-1.29","-1.18","-0.97","-1.07","-1.34","-1.32","-0.86","0.45","0.4","0.49","0.3","0.47","0.39"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","0.82","1.07","0.87","0.74","0.73","0.75","0.74","0.78","0.75","0.81","1.06","0.97","1.04","1.14","1.18","1.11","1.15","1.16","1.09","1.07","1.03","0.98","0.97","0.69","0.88","0.93","0.92","0.94","0.92","0.96","0.92","0.89","0.86","0.93","0.92","0.71","0.73","0.7","0.62","0.7","0.87","0.81","0.76","0.78","0.84","0.79","0.9","0.94","1.26","1.11","1.21","1.08","1.43","1.47","1.5","1.45","1.45","1.36"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","76.59","90.97","77.04","63.75","66.15","65.94","72.52","77.43","71.5","74.65","70.03","68.82","58.71","37.77","41.77","44.73","48.46","50.56","47.98","40.51","48.9","48.8","60.29","67.28","69.81","85.82","86.19","87.39","80.41","84.15","84.53","83.43","82.39","89.09","91.12","77.72","78.52","74.84","67.48","71.36","80.05","82.17","82.48","82.96","83.6","80.44","88.69","86.62","83.4","81.94","78.4","76.73","80.24","75.65","74.74","74.17","73.28","71.71"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-16.477","-14.4842","-15.0829","-16.141","-15.2269","-15.1217","-14.8124","-13.336","-11.2907","-12.3295","-14.3388","-10.4083","-10.3844","-9.2998","-12.1899","-10.5554","-13.2942","-13.3872","-12.7493","-12.7569","-13.2157","-13.501","-13.735","-12.1681","-13.5812","-17.3023","-17.7983","-18.1698","-17.8987","-19.5577","-18.4078","-18.2069","-17.2955","-18.4375","-19.1598","-15.7548","-15.9369","-14.803","-13.7627","-22.3249","-32.5064","-31.7643","-31.3165","-31.4064","-33.3298","-33.2408","-33.2649","-34.681","-42.4613","-41.0018","-44.1846","-41.1345","-39.039","-38.4492","-38.5037","-38.1832","-37.5654","-36.3737"
"B Max Drawdown","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-11.8362","-11.8362","-11.8362","-11.4136","-10.5262","-5.1204","-10.3384","-10.3384","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-26.0386","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312"
"MD DIFF(P-B)","-3.1491","-1.1563","-1.755","-2.8131","-1.899","-1.7938","-1.4845","-0.00810000000000066","0.545500000000001","-0.4933","-2.5026","1.0053","0.1418","-4.1794","-1.8515","-0.217000000000001","-2.1214","-2.2144","-1.5765","-1.5841","-2.0429","-2.3282","-2.5622","-0.9953","-2.4084","2.657","2.161","1.7895","2.0606","0.401599999999998","1.5515","1.7524","2.6638","1.5218","0.799499999999998","4.2045","4.0224","5.1563","6.1966","3.7137","-0.975200000000001","-0.2331","0.214699999999997","0.124799999999997","-1.7986","-1.7096","-1.7337","-3.1498","-10.9301","-9.4706","-12.6534","-9.6033","-7.5078","-6.918","-6.9725","-6.652","-6.0342","-4.8425"
