"","1 Y 2013-03-12 to 2014-03-13","1 Y 2013-04-12 to 2014-04-13","1 Y 2013-05-13 to 2014-05-13","1 Y 2013-06-12 to 2014-06-13","1 Y 2013-07-12 to 2014-07-13","1 Y 2013-08-12 to 2014-08-13","1 Y 2013-09-12 to 2014-09-13","1 Y 2013-10-14 to 2014-10-13","1 Y 2013-11-12 to 2014-11-13","1 Y 2013-12-12 to 2014-12-13","1 Y 2014-01-13 to 2015-01-13","1 Y 2014-02-12 to 2015-02-13","1 Y 2014-03-12 to 2015-03-13","1 Y 2014-04-14 to 2015-04-13","1 Y 2014-05-12 to 2015-05-13","1 Y 2014-06-12 to 2015-06-13","1 Y 2014-07-14 to 2015-07-13","1 Y 2014-08-12 to 2015-08-13","1 Y 2014-09-12 to 2015-09-13","1 Y 2014-10-13 to 2015-10-13","1 Y 2014-11-12 to 2015-11-13","1 Y 2014-12-12 to 2015-12-13","1 Y 2015-01-12 to 2016-01-13","1 Y 2015-02-12 to 2016-02-13","1 Y 2015-03-12 to 2016-03-13","1 Y 2015-04-13 to 2016-04-13","1 Y 2015-05-12 to 2016-05-13","1 Y 2015-06-12 to 2016-06-13","1 Y 2015-07-13 to 2016-07-13","1 Y 2015-08-12 to 2016-08-13","1 Y 2015-09-14 to 2016-09-13","1 Y 2015-10-12 to 2016-10-13","1 Y 2015-11-12 to 2016-11-13","1 Y 2015-12-14 to 2016-12-13","1 Y 2016-01-12 to 2017-01-13","1 Y 2016-02-12 to 2017-02-13","1 Y 2016-03-14 to 2017-03-13","1 Y 2016-04-12 to 2017-04-13","1 Y 2016-05-12 to 2017-05-13","1 Y 2016-06-13 to 2017-06-13","1 Y 2016-07-12 to 2017-07-13","1 Y 2016-08-12 to 2017-08-13","1 Y 2016-09-12 to 2017-09-13","1 Y 2016-10-12 to 2017-10-13","1 Y 2016-11-14 to 2017-11-13","1 Y 2016-12-12 to 2017-12-13","1 Y 2017-01-12 to 2018-01-13","1 Y 2017-02-13 to 2018-02-13","1 Y 2017-03-13 to 2018-03-13","1 Y 2017-04-12 to 2018-04-13","1 Y 2017-05-12 to 2018-05-13","1 Y 2017-06-12 to 2018-06-13","1 Y 2017-07-12 to 2018-07-13","1 Y 2017-08-14 to 2018-08-13","1 Y 2017-09-12 to 2018-09-13","1 Y 2017-10-12 to 2018-10-13","1 Y 2017-11-13 to 2018-11-13","1 Y 2017-12-12 to 2018-12-13","1 Y 2018-01-12 to 2019-01-13","1 Y 2018-02-12 to 2019-02-13","1 Y 2018-03-12 to 2019-03-13","1 Y 2018-04-12 to 2019-04-13","1 Y 2018-05-14 to 2019-05-13","1 Y 2018-06-12 to 2019-06-13","1 Y 2018-07-12 to 2019-07-13","1 Y 2018-08-13 to 2019-08-13","1 Y 2018-09-12 to 2019-09-13","1 Y 2018-10-12 to 2019-10-13","1 Y 2018-11-12 to 2019-11-13","1 Y 2018-12-12 to 2019-12-13","1 Y 2019-01-14 to 2020-01-13","1 Y 2019-02-12 to 2020-02-13","1 Y 2019-03-12 to 2020-03-13","1 Y 2019-04-12 to 2020-04-13","1 Y 2019-05-13 to 2020-05-13","1 Y 2019-06-12 to 2020-06-13","1 Y 2019-07-12 to 2020-07-13","1 Y 2019-08-12 to 2020-08-13","1 Y 2019-09-12 to 2020-09-13","1 Y 2019-10-14 to 2020-10-13","1 Y 2019-11-12 to 2020-11-13","1 Y 2019-12-12 to 2020-12-13","1 Y 2020-01-13 to 2021-01-13","1 Y 2020-02-12 to 2021-02-13","1 Y 2020-03-12 to 2021-03-13","1 Y 2020-04-13 to 2021-04-13","1 Y 2020-05-12 to 2021-05-13","1 Y 2020-06-12 to 2021-06-13","1 Y 2020-07-13 to 2021-07-13","1 Y 2020-08-12 to 2021-08-13","1 Y 2020-09-14 to 2021-09-13"
"P Information Ratio","2.39","2.61","2.12","1.04","0.41","-0.22","-0.76","-0.86","0.9","0.7","1.64","0.68","0.45","2.81","3.08","4.17","0.83","-0.01","-0.25","1.26","1.3","1.49","1.73","-0.24","0.44","0.05","1.05","2.61","1.89","0.14","-0.1","-0.2","0.65","1.78","1.77","2.95","1.71","1.55","0.53","0.26","1.51","-0.3","-0.06","-1.96","-0.05","0.32","-0.84","-0.4","-0.74","-0.58","-0.9","-1.21","-0.52","-1.04","-2.17","-1.86","-0.4","-0.44","-0.3","0.37","0.49","-1.74","0.54","-0.92","-0.07","-0.21","-0.31","-0.5","0.1","0.71","0.1","-1.32","-0.25","1","-0.35","-0.05","2.54","0.52","-2.02","-0.19","-0.26","-0.48","-0.87","-0.98","2.28","1.22","2.62","-0.51","-0.65","-0.53","0.86"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","1.64","1.61","0.81","1.19","0.61","0.51","-0.09","-0.12","0.52","0.25","-0.52","0.44","0.22","0.84","0.84","1.27","0.34","0.08","-0.09","0.28","0.62","1.01","1.04","-0.19","0.1","-0.09","0.51","1.14","0.93","0.19","-0.16","-0.22","0.13","0.47","1.15","1.36","0.69","0.51","-0.12","0.1","1.04","0.02","0.34","-0.1","0.05","0.01","-0.23","-0.05","-0.75","-0.31","-0.15","-0.44","-0.1","-0.08","-1.24","-0.79","-0.37","-0.23","-0.81","0.48","0.36","-0.88","0.06","-0.61","-0.26","0.11","-0.41","-0.53","-0.2","-0.96","-0.62","-0.82","0.12","0.56","0.14","-0.29","1.03","-0.04","-1.42","-0.56","0","-0.16","-0.71","-1.15","2.29","2.12","2.18","0.79","0.64","0.59","0.56"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","0.68","0.9","1.03","0.62","0.54","0.61","0.9","0.77","1.05","1.16","1.42","0.79","0.93","1.02","1","0.78","0.76","0.89","1.03","1.06","0.93","0.97","1","0.99","0.81","0.8","0.75","0.82","1.02","1.07","1.21","1.56","1.3","1.31","1.18","1.19","1.37","1.41","1.09","1.06","0.38","0.97","0.63","0.78","1","1.09","1.08","0.89","1.28","1.18","0.92","0.85","0.68","0.92","0.96","0.99","0.62","0.84","0.55","0.71","0.68","0.89","0.83","1.07","1.16","1.18","1.18","1.22","1.31","1.69","1.28","1.24","0.85","0.98","1.14","1.23","1.3","1.18","0.99","1.13","0.88","1.05","0.88","1.09","0.94","1.03","1","0.68","0.72","0.8","1.25"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","49.51","57.52","66.09","36.75","59.57","72.16","82.5","88.19","57.09","65.45","87.85","60.33","70.52","83.46","78.91","81.06","80.03","84.86","95.96","80.91","87.79","81.72","78.87","81.49","83.63","86.39","76.45","89.6","90.22","85.08","79.62","77.26","90.13","84.08","52.41","34.76","50.31","44.74","74.59","55.81","22.58","69.56","37.69","55.68","30.99","38.45","51.47","44.21","82.37","77.65","54.4","76.68","41.2","73.27","70.16","69.86","42.72","61.33","47.28","77.32","64.66","80","86.4","86.61","90.56","96.43","89.55","90.47","90.88","97.37","92.54","85.63","82.29","85.42","92.02","90.71","93.44","90.65","88.91","96.35","89.59","87.2","84.37","74.73","41.89","29.19","24.87","57.21","61.03","63.57","40.96"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-4.9992","-5.6668","-6.5196","-4.4547","-4.339","-5.2006","-6.8872","-5.3941","-7.3758","-7.4329","-6.3571","-5.0416","-7.6134","-8.9659","-10.3042","-8.3555","-5.0895","-6.8108","-12.8436","-14.314","-13.9323","-13.1147","-14.0427","-18.6275","-13.7733","-13.1958","-13.2245","-11.3172","-15.4934","-16.5593","-18.6846","-19.1633","-14.1983","-13.928","-8.7752","-11.6433","-11.1995","-9.446","-5.3868","-6.3202","-3.3058","-4.0223","-4.3521","-3.4912","-3.902","-2.4286","-2.2793","-10.8496","-11.4544","-14.5047","-13.8774","-12.1262","-10.6815","-11.5164","-15.1998","-15.9439","-15.6111","-16.0314","-18.309","-13.2093","-12.9394","-19.8971","-17.8993","-20.3247","-21.4379","-19.879","-20.0636","-15.8514","-16.118","-12.2898","-9.999","-9.3094","-24.6837","-31.8901","-36.1904","-39.3899","-36.6602","-38.0084","-36.4305","-35.6825","-33.0964","-36.5703","-34.112","-40.1898","-23.4391","-21.6353","-21.7751","-6.9993","-7.4354","-10.0861","-9.6927"
"B Max Drawdown","-6.2539","-6.2539","-6.2539","-6.2539","-6.2539","-6.2539","-6.2539","-6.3048","-7.5098","-7.5098","-7.5098","-7.5098","-7.5098","-7.5099","-7.5098","-7.5098","-7.5098","-7.5098","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-11.8362","-11.8362","-11.8362","-11.4136","-10.5262","-5.1205","-5.1204","-5.1205","-5.1205","-5.1204","-4.8468","-4.6428","-4.6428","-4.0864","-3.2324","-2.9033","-2.9033","-2.9033","-10.3384","-10.3384","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1727","-11.1728","-11.1728","-11.1728","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-16.7416","-15.8126","-11.4984","-7.6691","-7.6691","-26.0386","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-15.9392","-10.5021","-10.5021","-10.5021","-10.502","-10.5021","-7.9326"
"MD DIFF(P-B)","1.2547","0.5871","-0.2657","1.7992","1.9149","1.0533","-0.6333","0.9107","0.134","0.0769000000000002","1.1527","2.4682","-0.1036","-1.456","-2.7944","-0.845699999999999","2.4203","0.699","0.484299999999999","-0.9861","-0.6044","0.213200000000001","-0.7148","-5.2996","-0.445400000000001","0.132099999999999","0.103399999999999","2.0107","-2.1655","-4.7231","-6.8484","-7.3271","-2.7847","-3.4018","-3.6547","-6.5229","-6.079","-4.3255","-0.2664","-1.4734","1.337","0.6205","-0.2657","-0.2588","-0.9987","0.4747","0.624","-0.511200000000001","-1.116","-3.3319","-2.7046","-0.9534","0.491300000000001","-0.3436","-4.0271","-4.7711","-4.4383","-4.8586","1.6503","6.75","7.0199","0.0622000000000007","2.06","-0.365400000000001","-1.4786","0.0802999999999976","-0.104300000000002","0.890199999999998","-0.305399999999999","-0.791399999999999","-2.3299","-1.6403","1.3549","-0.358900000000002","-4.6592","-7.8587","-5.129","-6.4772","-4.8993","-4.1513","-1.5652","-5.0391","-2.5808","-8.6586","-7.4999","-11.1332","-11.273","3.5028","3.0666","0.416","-1.7601"
