"","2014-06-11_to_2017-06-12_GrowthPortfolio_6QRank","2014-07-11_to_2017-07-12_GrowthPortfolio_6QRank","2014-08-11_to_2017-08-12_GrowthPortfolio_6QRank","2014-09-11_to_2017-09-12_GrowthPortfolio_6QRank","2014-10-13_to_2017-10-12_GrowthPortfolio_6QRank","2014-11-11_to_2017-11-12_GrowthPortfolio_6QRank","2014-12-11_to_2017-12-12_GrowthPortfolio_6QRank","2015-01-12_to_2018-01-12_GrowthPortfolio_6QRank","2015-02-11_to_2018-02-12_GrowthPortfolio_6QRank","2015-03-11_to_2018-03-12_GrowthPortfolio_6QRank","2015-04-13_to_2018-04-12_GrowthPortfolio_6QRank","2015-05-11_to_2018-05-12_GrowthPortfolio_6QRank","2015-06-11_to_2018-06-12_GrowthPortfolio_6QRank","2015-07-13_to_2018-07-12_GrowthPortfolio_6QRank","2015-08-11_to_2018-08-12_GrowthPortfolio_6QRank","2015-09-11_to_2018-09-12_GrowthPortfolio_6QRank","2015-10-12_to_2018-10-12_GrowthPortfolio_6QRank","2015-11-11_to_2018-11-12_GrowthPortfolio_6QRank","2015-12-11_to_2018-12-12_GrowthPortfolio_6QRank","2016-01-11_to_2019-01-12_GrowthPortfolio_6QRank","2016-02-11_to_2019-02-12_GrowthPortfolio_6QRank","2016-03-11_to_2019-03-12_GrowthPortfolio_6QRank","2016-04-11_to_2019-04-12_GrowthPortfolio_6QRank","2016-05-11_to_2019-05-12_GrowthPortfolio_6QRank","2016-06-13_to_2019-06-12_GrowthPortfolio_6QRank","2016-07-11_to_2019-07-12_GrowthPortfolio_6QRank","2016-08-11_to_2019-08-12_GrowthPortfolio_6QRank","2016-09-12_to_2019-09-12_GrowthPortfolio_6QRank","2016-10-11_to_2019-10-12_GrowthPortfolio_6QRank","2016-11-11_to_2019-11-12_GrowthPortfolio_6QRank","2016-12-12_to_2019-12-12_GrowthPortfolio_6QRank","2017-01-11_to_2020-01-12_GrowthPortfolio_6QRank","2017-02-13_to_2020-02-12_GrowthPortfolio_6QRank","2017-03-13_to_2020-03-12_GrowthPortfolio_6QRank","2017-04-11_to_2020-04-12_GrowthPortfolio_6QRank","2017-05-11_to_2020-05-12_GrowthPortfolio_6QRank","2017-06-12_to_2020-06-12_GrowthPortfolio_6QRank","2017-07-11_to_2020-07-12_GrowthPortfolio_6QRank","2017-08-11_to_2020-08-12_GrowthPortfolio_6QRank","2017-09-11_to_2020-09-12_GrowthPortfolio_6QRank","2017-10-11_to_2020-10-12_GrowthPortfolio_6QRank","2017-11-13_to_2020-11-12_GrowthPortfolio_6QRank","2017-12-11_to_2020-12-12_GrowthPortfolio_6QRank","2018-01-11_to_2021-01-12_GrowthPortfolio_6QRank","2018-02-12_to_2021-02-12_GrowthPortfolio_6QRank","2018-03-12_to_2021-03-12_GrowthPortfolio_6QRank","2018-04-11_to_2021-04-12_GrowthPortfolio_6QRank","2018-05-11_to_2021-05-12_GrowthPortfolio_6QRank","2018-06-11_to_2021-06-12_GrowthPortfolio_6QRank","2018-07-11_to_2021-07-12_GrowthPortfolio_6QRank","2018-08-13_to_2021-08-12_GrowthPortfolio_6QRank","2018-09-11_to_2021-09-12_GrowthPortfolio_6QRank","2018-10-11_to_2021-10-12_GrowthPortfolio_6QRank"
"P Information Ratio","1.12","2.6","2.17","1.47","1.23","1.47","1.22","0.87","2.09","2.15","2.08","0.66","1.95","0.64","1.73","0.53","1.91","1.39","1.23","1.3","1.11","0.91","1.45","1.3","1.06","1.04","1.02","0.87","1.02","1.09","1.16","1.26","0.7","0.75","0.92","1.56","1.27","1.31","1.27","1.37","0.8","1","1.02","1.08","1.04","1.31","1.41","1.1","1.26","1.45","1.25","1.28","1.55"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.7","1.47","1.32","0.87","0.57","0.95","0.93","0.44","1.27","1.26","1.28","0.32","1.22","0.39","0.96","0.37","1.21","0.75","0.5","0.71","0.41","0.35","0.85","0.62","0.62","0.56","0.58","0.49","0.48","0.52","0.49","0.43","0.12","0.38","0.43","0.66","0.51","0.45","0.58","0.87","0.33","0.46","0.5","0.4","0.15","0.84","0.73","0.73","0.8","0.65","0.54","0.46","0.66"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","0.95","0.88","1","0.9","0.93","0.84","0.83","0.87","1.02","0.99","0.99","0.9","0.99","0.87","0.98","0.84","1.17","1.38","1.38","1.27","1.3","1.26","1.24","1.25","1.18","1.15","1.17","1.14","1.12","1.15","1.17","1.11","1.15","1.06","1.08","1.03","1.07","1.2","1.22","1.25","1.15","1.14","1.17","1.18","1.19","1.36","1.33","1.27","1.19","1.03","0.99","1.03","1"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","66.09","60.87","63.71","67.84","69.6","63.11","61.22","69.51","59.32","63.18","66.4","75.02","58.47","74.98","63.2","67.96","55.87","69.59","68.38","68.23","72.97","72.39","67.06","70.51","73.66","73.44","72.3","70.8","71.8","77.77","80.51","81.42","90.22","82.33","85.8","85.4","90.67","89.67","87.86","86.47","87.27","91.03","89.63","92.66","94.62","88.18","86.03","83.42","82.18","91.01","90.83","90.93","90.46"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-20.8009","-16.6445","-17.107","-15.7762","-18.0883","-17.686","-16.5626","-16.0441","-15.2695","-14.9856","-14.8467","-15.143","-17.2354","-15.5203","-15.5666","-13.7765","-16.8244","-17.7759","-21.9966","-28.9325","-30.1667","-29.4173","-27.7157","-28.0768","-27.0709","-27.0086","-26.7023","-25.9356","-24.966","-25.1833","-25.268","-23.4737","-21.9776","-26.5981","-32.9764","-30.002","-33.4343","-35.1344","-35.1229","-34.4104","-32.9644","-32.9112","-32.8879","-33.9834","-34.2473","-35.4675","-35.7408","-33.8944","-32.083","-30.8063","-31.2683","-30.4736","-31.1732"
"B Max Drawdown","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-11.8362","-11.8362","-11.8362","-11.4136","-11.1728","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9594","-19.9593","-19.9593","-19.9593","-26.0386","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312"
"MD DIFF(P-B)","-7.473","-3.3166","-3.7791","-2.4483","-4.7604","-4.3581","-3.2347","-2.7162","-1.9416","-1.6577","-1.5188","-1.8151","-3.9075","-2.1924","-3.7304","-1.9403","-4.9882","-6.3623","-10.8238","-8.9732","-10.2074","-9.458","-7.7564","-8.1175","-7.1116","-7.0493","-6.743","-5.9763","-5.0067","-5.2239","-5.3087","-3.5144","-2.0183","-0.5595","-1.4452","1.5292","-1.9031","-3.6032","-3.5917","-2.8792","-1.4332","-1.38","-1.3567","-2.4522","-2.7161","-3.9363","-4.2096","-2.3632","-0.5518","0.724899999999998","0.262899999999998","1.0576","0.357999999999997"
