"","2013-09-11_to_2014-09-12_CorePortfolio_3QRank","2013-10-11_to_2014-10-12_CorePortfolio_3QRank","2013-11-11_to_2014-11-12_CorePortfolio_3QRank","2013-12-11_to_2014-12-12_CorePortfolio_3QRank","2014-01-13_to_2015-01-12_CorePortfolio_3QRank","2014-02-11_to_2015-02-12_CorePortfolio_3QRank","2014-03-11_to_2015-03-12_CorePortfolio_3QRank","2014-04-11_to_2015-04-12_CorePortfolio_3QRank","2014-05-12_to_2015-05-12_CorePortfolio_3QRank","2014-06-11_to_2015-06-12_CorePortfolio_3QRank","2014-07-11_to_2015-07-12_CorePortfolio_3QRank","2014-08-11_to_2015-08-12_CorePortfolio_3QRank","2014-09-11_to_2015-09-12_CorePortfolio_3QRank","2014-10-13_to_2015-10-12_CorePortfolio_3QRank","2014-11-11_to_2015-11-12_CorePortfolio_3QRank","2014-12-11_to_2015-12-12_CorePortfolio_3QRank","2015-01-12_to_2016-01-12_CorePortfolio_3QRank","2015-02-11_to_2016-02-12_CorePortfolio_3QRank","2015-03-11_to_2016-03-12_CorePortfolio_3QRank","2015-04-13_to_2016-04-12_CorePortfolio_3QRank","2015-05-11_to_2016-05-12_CorePortfolio_3QRank","2015-06-11_to_2016-06-12_CorePortfolio_3QRank","2015-07-13_to_2016-07-12_CorePortfolio_3QRank","2015-08-11_to_2016-08-12_CorePortfolio_3QRank","2015-09-11_to_2016-09-12_CorePortfolio_3QRank","2015-10-12_to_2016-10-12_CorePortfolio_3QRank","2015-11-11_to_2016-11-12_CorePortfolio_3QRank","2015-12-11_to_2016-12-12_CorePortfolio_3QRank","2016-01-11_to_2017-01-12_CorePortfolio_3QRank","2016-02-11_to_2017-02-12_CorePortfolio_3QRank","2016-03-11_to_2017-03-12_CorePortfolio_3QRank","2016-04-11_to_2017-04-12_CorePortfolio_3QRank","2016-05-11_to_2017-05-12_CorePortfolio_3QRank","2016-06-13_to_2017-06-12_CorePortfolio_3QRank","2016-07-11_to_2017-07-12_CorePortfolio_3QRank","2016-08-11_to_2017-08-12_CorePortfolio_3QRank","2016-09-12_to_2017-09-12_CorePortfolio_3QRank","2016-10-11_to_2017-10-12_CorePortfolio_3QRank","2016-11-11_to_2017-11-12_CorePortfolio_3QRank","2016-12-12_to_2017-12-12_CorePortfolio_3QRank","2017-01-11_to_2018-01-12_CorePortfolio_3QRank","2017-02-13_to_2018-02-12_CorePortfolio_3QRank","2017-03-13_to_2018-03-12_CorePortfolio_3QRank","2017-04-11_to_2018-04-12_CorePortfolio_3QRank","2017-05-11_to_2018-05-12_CorePortfolio_3QRank","2017-06-12_to_2018-06-12_CorePortfolio_3QRank","2017-07-11_to_2018-07-12_CorePortfolio_3QRank","2017-08-11_to_2018-08-12_CorePortfolio_3QRank","2017-09-11_to_2018-09-12_CorePortfolio_3QRank","2017-10-11_to_2018-10-12_CorePortfolio_3QRank","2017-11-13_to_2018-11-12_CorePortfolio_3QRank","2017-12-11_to_2018-12-12_CorePortfolio_3QRank","2018-01-11_to_2019-01-12_CorePortfolio_3QRank","2018-02-12_to_2019-02-12_CorePortfolio_3QRank","2018-03-12_to_2019-03-12_CorePortfolio_3QRank","2018-04-11_to_2019-04-12_CorePortfolio_3QRank","2018-05-11_to_2019-05-12_CorePortfolio_3QRank","2018-06-11_to_2019-06-12_CorePortfolio_3QRank","2018-07-11_to_2019-07-12_CorePortfolio_3QRank","2018-08-13_to_2019-08-12_CorePortfolio_3QRank","2018-09-11_to_2019-09-12_CorePortfolio_3QRank","2018-10-11_to_2019-10-12_CorePortfolio_3QRank","2018-11-12_to_2019-11-12_CorePortfolio_3QRank","2018-12-11_to_2019-12-12_CorePortfolio_3QRank","2019-01-11_to_2020-01-12_CorePortfolio_3QRank","2019-02-11_to_2020-02-12_CorePortfolio_3QRank","2019-03-11_to_2020-03-12_CorePortfolio_3QRank","2019-04-11_to_2020-04-12_CorePortfolio_3QRank","2019-05-13_to_2020-05-12_CorePortfolio_3QRank","2019-06-11_to_2020-06-12_CorePortfolio_3QRank","2019-07-11_to_2020-07-12_CorePortfolio_3QRank","2019-08-12_to_2020-08-12_CorePortfolio_3QRank","2019-09-11_to_2020-09-12_CorePortfolio_3QRank","2019-10-11_to_2020-10-12_CorePortfolio_3QRank","2019-11-11_to_2020-11-12_CorePortfolio_3QRank","2019-12-11_to_2020-12-12_CorePortfolio_3QRank","2020-01-13_to_2021-01-12_CorePortfolio_3QRank","2020-02-11_to_2021-02-12_CorePortfolio_3QRank","2020-03-11_to_2021-03-12_CorePortfolio_3QRank","2020-04-13_to_2021-04-12_CorePortfolio_3QRank","2020-05-11_to_2021-05-12_CorePortfolio_3QRank","2020-06-11_to_2021-06-12_CorePortfolio_3QRank","2020-07-13_to_2021-07-12_CorePortfolio_3QRank","2020-08-11_to_2021-08-12_CorePortfolio_3QRank","2020-09-11_to_2021-09-12_CorePortfolio_3QRank"
"P Information Ratio","1.2","-0.09","1.51","1.23","1.38","0.79","1.31","0.76","0.31","0.96","0.58","2.46","1.52","1.54","0.98","-0.1","0.39","0.42","0.85","1.03","1.26","2","0.93","0.43","-0.59","-0.57","0.53","0.7","0.29","1.24","1.03","-0.68","-1.29","-0.24","0.8","-0.22","0.85","2.91","0.43","1.93","3.09","1.11","2.11","1.9","0.25","-0.47","-0.3","-0.58","-0.77","-1.32","-0.55","-0.13","-0.22","-0.07","0.73","-0.6","0.12","0.09","-0.03","-0.29","0.23","0.62","-0.87","0.13","-1.84","-1.05","-2.34","-1.53","-2.53","-3.06","-0.79","-3.42","-2.52","-2.08","0.5","1.28","-0.69","-0.53","0.16","-0.05","0.39","-0.29","-0.1","-0.28","-0.61"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.04","0.07","0.24","0.12","-0.33","0.03","0.2","0.38","0.08","0.27","0.27","0.47","0.45","0.38","0.18","0.24","0.19","0.16","0.22","0.29","0.28","0.44","0.17","0.26","-0.04","-0.05","-0.03","0.03","0.16","-0.02","0.3","-0.2","-0.03","0.04","0.09","0.05","0.14","0","0.63","0.35","0.21","0.1","0.19","0.22","0.03","-0.04","0.11","0.09","-0.15","-0.23","-0.28","0","-0.17","0.03","0.14","-0.15","0.06","0.1","0.03","-0.04","0.14","0.27","-0.21","0.02","-0.12","-0.22","-0.4","-0.64","-0.75","-0.82","-0.48","-1.05","-0.83","-0.77","0.16","0.47","-0.33","-0.14","0.63","0.54","0.27","0.65","0.5","0.36","-0.05"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","1.07","1.01","1.04","1.06","1.38","1.18","1.06","0.84","0.99","0.95","1.02","1.02","0.95","0.93","0.86","0.8","0.84","0.88","0.88","0.96","0.91","1","1.03","0.96","0.96","1.1","1.1","1.08","1.01","1.06","0.86","1.01","0.95","1.02","1.05","0.9","0.93","1.1","0.73","0.99","0.99","1.05","1.08","1.06","0.96","0.98","0.98","0.97","0.93","0.95","0.85","0.9","0.89","0.93","0.94","0.93","0.89","0.89","0.87","0.96","0.9","0.92","0.98","1.02","0.93","0.99","1.02","1.13","1.05","1.03","1.12","0.99","0.96","0.99","1.05","1.1","0.93","0.96","0.85","0.9","0.82","0.82","0.8","0.9","0.97"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","85.41","89.54","88.4","88.11","87.4","89.28","89.31","86.76","86.69","84.12","94.29","92.98","91.22","92.38","96.63","93.66","94.13","91.96","91.85","94.21","95.93","97.66","95.27","93.27","96.26","93","94.45","95.59","88.4","90.9","86.25","86.86","83.78","91.69","85.79","72.14","90.32","90.6","72.17","87.28","90.3","94.37","94.84","97.1","95.9","95.33","95.91","92.48","93.02","91.08","91.32","92.99","95.98","95.86","96.93","94.35","94.53","94.81","93.93","94.9","92.86","95.96","96.84","95.38","95.69","95.33","97.75","97.37","98.05","98.07","97.69","97.34","97.99","94.74","97.9","96.74","94.35","94.36","91.73","86.9","77.09","81.35","69.65","77.26","73.35"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-5.716","-6.169","-8.3878","-8.1352","-8.1647","-7.8873","-7.4951","-6.8936","-7.4219","-7.0204","-7.6631","-7.2562","-11.3419","-11.9224","-11.7046","-11.7909","-11.5736","-13.9348","-13.9446","-14.0537","-12.5609","-12.8572","-14.7025","-14.1989","-13.0414","-13.5962","-13.3904","-12.7898","-5.4938","-5.4114","-5.0058","-5.3179","-5.2025","-4.9001","-5.0489","-5.3918","-3.9534","-3.4581","-2.3833","-2.4409","-2.5582","-10.2707","-10.2629","-11.7674","-11.0756","-11.2968","-10.8438","-11.016","-10.9123","-11.3364","-11.0577","-10.6801","-18.0411","-17.8742","-17.4818","-17.5576","-16.7634","-16.2565","-15.6098","-17.2938","-15.9072","-14.04","-14.77","-10.7955","-6.5647","-6.9179","-27.2716","-35.5776","-34.6389","-33.8261","-36.4717","-33.707","-33.6593","-35.7372","-34.447","-34.1533","-33.1541","-33.0658","-17.1358","-7.6987","-8.782","-7.527","-7.672","-7.8075","-7.5988"
"B Max Drawdown","-6.2539","-6.2539","-7.5098","-7.5098","-7.5098","-7.5098","-7.5098","-7.5099","-7.5098","-7.5098","-7.5098","-7.5098","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-11.8362","-11.8362","-11.8362","-11.4136","-10.5262","-5.1204","-5.1204","-5.1204","-5.1204","-5.1205","-4.8468","-4.6428","-4.6428","-4.0864","-3.2324","-2.9033","-2.9033","-2.9033","-10.3384","-10.3384","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-16.7416","-15.8126","-11.4984","-7.6691","-7.6691","-26.0386","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-15.9392","-10.5021","-10.5021","-10.5021","-10.502","-10.5021","-7.9326"
"MD DIFF(P-B)","0.5379","0.0849000000000002","-0.878","-0.625399999999999","-0.6549","-0.3775","0.0147000000000004","0.6163","0.0879000000000003","0.4894","-0.1533","0.2536","1.986","1.4055","1.6233","1.537","1.7543","-0.6069","-0.6167","-0.7258","0.766999999999999","0.470699999999999","-1.3746","-2.3627","-1.2052","-1.76","-1.9768","-2.2636","-0.3734","-0.291","0.1146","-0.1975","-0.0819999999999999","-0.0533000000000001","-0.406099999999999","-0.749","0.133","-0.2257","0.52","0.4624","0.3451","0.0677000000000003","0.0754999999999999","-0.5946","0.0972000000000008","-0.123999999999999","0.329000000000001","0.1568","0.2605","-0.163599999999999","0.1151","0.492700000000001","1.9182","2.0851","2.4775","2.4017","3.1959","3.7028","4.3495","2.6655","4.0521","2.7016","1.0426","0.7029","1.1044","0.7512","-1.233","-4.0464","-3.1077","-2.2949","-4.9405","-2.1758","-2.1281","-4.206","-2.9158","-2.6221","-1.6229","-1.5346","-1.1966","2.8034","1.7201","2.9751","2.83","2.6946","0.3338"
