"","1 Y 2013-12-11 to 2014-12-12","1 Y 2014-01-13 to 2015-01-12","1 Y 2014-02-11 to 2015-02-12","1 Y 2014-03-11 to 2015-03-12","1 Y 2014-04-11 to 2015-04-12","1 Y 2014-05-12 to 2015-05-12","1 Y 2014-06-11 to 2015-06-12","1 Y 2014-07-11 to 2015-07-12","1 Y 2014-08-11 to 2015-08-12","1 Y 2014-09-11 to 2015-09-12","1 Y 2014-10-13 to 2015-10-12","1 Y 2014-11-11 to 2015-11-12","1 Y 2014-12-11 to 2015-12-12","1 Y 2015-01-12 to 2016-01-12","1 Y 2015-02-11 to 2016-02-12","1 Y 2015-03-11 to 2016-03-12","1 Y 2015-04-13 to 2016-04-12","1 Y 2015-05-11 to 2016-05-12","1 Y 2015-06-11 to 2016-06-12","1 Y 2015-07-13 to 2016-07-12","1 Y 2015-08-11 to 2016-08-12","1 Y 2015-09-11 to 2016-09-12","1 Y 2015-10-12 to 2016-10-12","1 Y 2015-11-11 to 2016-11-12","1 Y 2015-12-11 to 2016-12-12","1 Y 2016-01-11 to 2017-01-12","1 Y 2016-02-11 to 2017-02-12","1 Y 2016-03-11 to 2017-03-12","1 Y 2016-04-11 to 2017-04-12","1 Y 2016-05-11 to 2017-05-12","1 Y 2016-06-13 to 2017-06-12","1 Y 2016-07-11 to 2017-07-12","1 Y 2016-08-11 to 2017-08-12","1 Y 2016-09-12 to 2017-09-12","1 Y 2016-10-11 to 2017-10-12","1 Y 2016-11-11 to 2017-11-12","1 Y 2016-12-12 to 2017-12-12","1 Y 2017-01-11 to 2018-01-12","1 Y 2017-02-13 to 2018-02-12","1 Y 2017-03-13 to 2018-03-12","1 Y 2017-04-11 to 2018-04-12","1 Y 2017-05-11 to 2018-05-12","1 Y 2017-06-12 to 2018-06-12","1 Y 2017-07-11 to 2018-07-12","1 Y 2017-08-11 to 2018-08-12","1 Y 2017-09-11 to 2018-09-12","1 Y 2017-10-11 to 2018-10-12","1 Y 2017-11-13 to 2018-11-12","1 Y 2017-12-11 to 2018-12-12","1 Y 2018-01-11 to 2019-01-12","1 Y 2018-02-12 to 2019-02-12","1 Y 2018-03-12 to 2019-03-12","1 Y 2018-04-11 to 2019-04-12","1 Y 2018-05-11 to 2019-05-12","1 Y 2018-06-11 to 2019-06-12","1 Y 2018-07-11 to 2019-07-12","1 Y 2018-08-13 to 2019-08-12","1 Y 2018-09-11 to 2019-09-12","1 Y 2018-10-11 to 2019-10-12","1 Y 2018-11-12 to 2019-11-12","1 Y 2018-12-11 to 2019-12-12","1 Y 2019-01-11 to 2020-01-12","1 Y 2019-02-11 to 2020-02-12","1 Y 2019-03-11 to 2020-03-12","1 Y 2019-04-11 to 2020-04-12","1 Y 2019-05-13 to 2020-05-12","1 Y 2019-06-11 to 2020-06-12","1 Y 2019-07-11 to 2020-07-12","1 Y 2019-08-12 to 2020-08-12","1 Y 2019-09-11 to 2020-09-12","1 Y 2019-10-11 to 2020-10-12","1 Y 2019-11-11 to 2020-11-12","1 Y 2019-12-11 to 2020-12-12","1 Y 2020-01-13 to 2021-01-12","1 Y 2020-02-11 to 2021-02-12","1 Y 2020-03-11 to 2021-03-12","1 Y 2020-04-13 to 2021-04-12","1 Y 2020-05-11 to 2021-05-12","1 Y 2020-06-11 to 2021-06-12","1 Y 2020-07-13 to 2021-07-12","1 Y 2020-08-11 to 2021-08-12","1 Y 2020-09-11 to 2021-09-12"
"P Information Ratio","1.64","1.19","1.23","1.32","2.52","1.31","0.99","1.32","2.72","2.41","2.17","2.05","-0.07","0.68","0.92","0.89","0.69","1.16","1.18","1.09","1.46","1.35","-0.02","0.11","0.03","-0.1","-0.23","0.08","-0.85","-2.98","-1.82","0.25","-0.85","0.95","0.96","3.33","1.6","2.3","1.91","0.74","0.03","0.36","-0.43","0.28","-0.75","-0.68","-0.15","-0.15","-0.44","0.06","-0.25","0.04","-0.63","0.05","-0.44","-0.03","0.26","0.13","0.15","-1.07","-0.41","-1.56","-1.5","-2.59","-1.52","-2.84","-2.49","-2.71","-2.49","0.12","0.1","0.13","-1.1","-0.59","-1.25","-0.19","0.07","0.5","-0.06","-0.25","-0.45","-0.74"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.23","-0.26","0.23","0.22","0.61","0.27","0.28","0.59","0.7","0.68","0.39","0.43","0.28","0.31","0.32","0.19","0.19","0.24","0.33","0.31","0.45","0.3","0.06","-0.07","-0.07","0.13","-0.21","-0.06","-0.34","-0.14","-0.1","-0.01","-0.24","0.13","-0.05","0.36","0.45","0.47","0.23","0.03","0.03","0.02","-0.05","0.12","0.04","-0.14","0.07","-0.16","-0.14","-0.06","-0.06","-0.03","-0.12","0","-0.09","-0.01","0.11","0.12","0.07","-0.2","0","-0.1","-0.19","-0.28","-0.65","-0.98","-0.77","-1.01","-0.94","-0.16","-0.16","0.03","-0.3","-0.36","-0.48","0.57","0.72","0.16","0.72","0.32","0.41","-0.15"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","1.07","1.29","1.1","1.12","1.04","1.08","0.92","0.89","0.94","0.97","0.92","0.9","0.86","0.88","0.87","0.86","0.95","0.99","0.93","0.94","0.95","0.98","1.08","1.04","1.05","1","1.04","1.05","1.06","0.97","1","1.04","1.05","0.93","1.07","1","0.93","0.85","0.99","1.07","1.02","1.01","0.98","1.05","0.97","0.92","0.9","0.79","0.85","0.91","0.9","0.93","0.89","0.92","0.95","0.9","0.94","0.87","0.94","0.92","0.93","0.91","0.93","1","1.06","1.08","1.07","1.1","1.08","1.16","1.19","1.09","0.95","0.95","0.94","0.83","0.86","0.87","0.84","0.85","0.84","0.98"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","85.22","82.76","84.82","89.91","91.09","92.15","84.13","85.92","88.46","92.1","92.12","96.91","94.94","94.28","93.41","93.95","94.67","96.31","95.3","95","96.88","96.89","94.32","93.25","94.81","90.83","90.05","83.79","84.86","95.39","96.01","93.39","82.84","87.21","74.73","94.54","79.52","81.1","92.84","95.52","96.37","95.65","94.86","96.88","96.57","92.07","94.06","88.01","84.54","89.27","95.01","95.44","95.07","96","95.64","93.66","95.56","94.27","95.06","97.08","92.03","92.68","94.2","98.75","95.83","97.96","97.74","96.64","97.6","97.55","97.21","97.36","95.46","93.57","93.06","90.43","83.39","80.46","80.9","73.29","70.67","72.28"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-8.3886","-7.7371","-7.5611","-7.8785","-7.6607","-7.8825","-7.4323","-7.1363","-7.3324","-10.9833","-11.077","-11.4805","-12.0879","-12.0425","-13.0411","-12.6905","-14.4465","-14.4575","-13.3602","-13.0921","-12.7","-13.0709","-12.8729","-12.8711","-12.0116","-5.2735","-6.1585","-5.8638","-6.1939","-5.0763","-5.0157","-4.3062","-5.705","-3.4309","-3.6517","-2.3592","-2.2247","-2.1311","-10.4753","-10.4526","-11.8138","-11.9153","-11.9537","-11.6351","-11.148","-10.8218","-10.4227","-10.4383","-11.1117","-17.0819","-17.2555","-17.6976","-17.4727","-17.5852","-17.6934","-16.4541","-16.8812","-15.8587","-14.2418","-14.6957","-10.285","-6.5705","-6.7015","-27.4489","-33.9102","-34.5505","-34.6498","-36.5001","-34.2991","-35.3859","-36.7748","-35.5376","-33.0712","-34.4144","-33.7591","-17.2519","-7.8528","-8.6562","-7.2445","-7.6676","-7.8387","-7.7147"
"B Max Drawdown","-7.5098","-7.5098","-7.5098","-7.5098","-7.5099","-7.5098","-7.5098","-7.5098","-7.5098","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-11.8362","-11.8362","-11.8362","-11.4136","-10.5262","-5.1204","-5.1204","-5.1204","-5.1204","-5.1205","-4.8468","-4.6428","-4.6428","-4.0864","-3.2324","-2.9033","-2.9033","-2.9033","-10.3384","-10.3384","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-16.7416","-15.8126","-11.4984","-7.6691","-7.6691","-26.0386","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-15.9392","-10.5021","-10.5021","-10.5021","-10.502","-10.5021","-7.9326"
"MD DIFF(P-B)","-0.8788","-0.2273","-0.0512999999999995","-0.3687","-0.1508","-0.3727","0.0775000000000006","0.3735","0.1774","2.3446","2.2509","1.8474","1.24","1.2854","0.286799999999999","0.6374","-1.1186","-1.1296","-0.0323000000000011","0.235799999999999","-0.863799999999999","-1.2347","-1.0367","-1.4575","-1.4854","-0.1531","-1.0381","-0.7434","-1.0735","0.0442","-0.1689","0.336600000000001","-1.0622","0.6555","-0.4193","0.5441","0.6786","0.7722","-0.136900000000001","-0.1142","-0.641","-0.7425","-0.780899999999999","-0.462299999999999","0.0248000000000008","0.351000000000001","0.7501","0.734500000000001","0.0610999999999997","2.8774","2.7038","2.2617","2.4866","2.3741","2.2659","3.5052","3.0781","4.1006","2.4998","1.1169","1.2134","1.0986","0.9676","-1.4103","-2.379","-3.0193","-3.1186","-4.9689","-2.7679","-3.8547","-5.2436","-4.0064","-1.54","-2.8832","-2.2279","-1.3127","2.6493","1.8459","3.2576","2.8344","2.6634","0.2179"
