"","1 Y 2014-06-11 to 2015-06-12","1 Y 2014-07-11 to 2015-07-12","1 Y 2014-08-11 to 2015-08-12","1 Y 2014-09-11 to 2015-09-12","1 Y 2014-10-13 to 2015-10-12","1 Y 2014-11-11 to 2015-11-12","1 Y 2014-12-11 to 2015-12-12","1 Y 2015-01-12 to 2016-01-12","1 Y 2015-02-11 to 2016-02-12","1 Y 2015-03-11 to 2016-03-12","1 Y 2015-04-13 to 2016-04-12","1 Y 2015-05-11 to 2016-05-12","1 Y 2015-06-11 to 2016-06-12","1 Y 2015-07-13 to 2016-07-12","1 Y 2015-08-11 to 2016-08-12","1 Y 2015-09-11 to 2016-09-12","1 Y 2015-10-12 to 2016-10-12","1 Y 2015-11-11 to 2016-11-12","1 Y 2015-12-11 to 2016-12-12","1 Y 2016-01-11 to 2017-01-12","1 Y 2016-02-11 to 2017-02-12","1 Y 2016-03-11 to 2017-03-12","1 Y 2016-04-11 to 2017-04-12","1 Y 2016-05-11 to 2017-05-12","1 Y 2016-06-13 to 2017-06-12","1 Y 2016-07-11 to 2017-07-12","1 Y 2016-08-11 to 2017-08-12","1 Y 2016-09-12 to 2017-09-12","1 Y 2016-10-11 to 2017-10-12","1 Y 2016-11-11 to 2017-11-12","1 Y 2016-12-12 to 2017-12-12","1 Y 2017-01-11 to 2018-01-12","1 Y 2017-02-13 to 2018-02-12","1 Y 2017-03-13 to 2018-03-12","1 Y 2017-04-11 to 2018-04-12","1 Y 2017-05-11 to 2018-05-12","1 Y 2017-06-12 to 2018-06-12","1 Y 2017-07-11 to 2018-07-12","1 Y 2017-08-11 to 2018-08-12","1 Y 2017-09-11 to 2018-09-12","1 Y 2017-10-11 to 2018-10-12","1 Y 2017-11-13 to 2018-11-12","1 Y 2017-12-11 to 2018-12-12","1 Y 2018-01-11 to 2019-01-12","1 Y 2018-02-12 to 2019-02-12","1 Y 2018-03-12 to 2019-03-12","1 Y 2018-04-11 to 2019-04-12","1 Y 2018-05-11 to 2019-05-12","1 Y 2018-06-11 to 2019-06-12","1 Y 2018-07-11 to 2019-07-12","1 Y 2018-08-13 to 2019-08-12","1 Y 2018-09-11 to 2019-09-12","1 Y 2018-10-11 to 2019-10-12","1 Y 2018-11-12 to 2019-11-12","1 Y 2018-12-11 to 2019-12-12","1 Y 2019-01-11 to 2020-01-12","1 Y 2019-02-11 to 2020-02-12","1 Y 2019-03-11 to 2020-03-12","1 Y 2019-04-11 to 2020-04-12","1 Y 2019-05-13 to 2020-05-12","1 Y 2019-06-11 to 2020-06-12","1 Y 2019-07-11 to 2020-07-12","1 Y 2019-08-12 to 2020-08-12","1 Y 2019-09-11 to 2020-09-12","1 Y 2019-10-11 to 2020-10-12","1 Y 2019-11-11 to 2020-11-12","1 Y 2019-12-11 to 2020-12-12","1 Y 2020-01-13 to 2021-01-12","1 Y 2020-02-11 to 2021-02-12","1 Y 2020-03-11 to 2021-03-12","1 Y 2020-04-13 to 2021-04-12","1 Y 2020-05-11 to 2021-05-12","1 Y 2020-06-11 to 2021-06-12","1 Y 2020-07-13 to 2021-07-12","1 Y 2020-08-11 to 2021-08-12","1 Y 2020-09-11 to 2021-09-12"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","0.69","0.75","0.76","0.84","0.82","0.7","0.74","0.84","0.89","0.82","0.89","0.8","0.84","0.85","0.94","0.91","1.14","1.14","1.25","1.18","1.22","0.95","0.99","1.08","0.96","0.82","0.93","0.88","0.94","0.62","0.52","0.63","1.08","1.06","1.08","1.05","1.02","1.01","0.86","1.01","0.92","0.99","1.01","0.94","1.01","0.95","0.97","0.95","0.96","1.07","0.98","1.05","1.02","1.05","1.15","0.95","1","0.94","1.01","0.94","0.97","0.9","0.92","1.05","1.03","0.92","0.93","1.04","1.01","0.93","1.03","1.07","0.99","0.93","1.08","1.07"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","78.43","83.41","82.47","89.17","87.82","85.81","90.59","92.57","92.53","92.37","92.83","90.99","90.05","92.53","92.1","89.79","96.01","96.71","96.63","89.54","74.08","42.72","43.46","56.85","63.5","39.24","51.88","58.87","54.79","36.13","41.44","50.36","95.27","91.52","96.26","94.3","96.05","97.43","91.18","87.98","87.62","94.54","95.03","97.67","98.2","99.03","96.73","96.59","98.04","99.05","95.95","94.49","95.32","93.83","89.71","97.93","93.95","96.59","98.9","97.82","96.76","95.89","97.98","92.07","92.71","96.92","96.02","98.21","96.08","92.25","81.28","82.91","91.14","81.46","75.84","65.99"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-7.4959","-7.4187","-7.5017","-12.8399","-13.5352","-11.951","-12.6249","-13.392","-13.5946","-13.1834","-13.1887","-12.3058","-13.032","-14.6973","-13.7634","-15.1171","-13.1655","-12.1692","-13.2833","-7.1647","-7.3101","-7.0461","-7.2915","-7.327","-6.019","-3.9913","-4.0679","-3.2625","-3.1338","-2.5503","-2.6667","-2.8289","-9.6299","-9.188","-11.0818","-10.5156","-10.7348","-10.2773","-9.4037","-10.7579","-10.0869","-10.2737","-12.6836","-19.8795","-20.2165","-18.865","-19.4843","-20.0654","-19.5391","-20.8043","-19.5925","-21.1979","-17.4986","-15.8684","-11.359","-7.5742","-7.9628","-26.4609","-33.2967","-32.6733","-32.1359","-31.9373","-32.8358","-33.875","-32.4758","-32.0184","-32.3664","-31.9748","-32.716","-16.5527","-10.9228","-10.2829","-8.8994","-8.968","-9.2783","-6.8837"
"B Max Drawdown","-7.5098","-7.5098","-7.5098","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-11.8362","-11.8362","-11.8362","-11.4136","-10.5262","-5.1204","-5.1204","-5.1204","-5.1204","-5.1205","-4.8468","-4.6428","-4.6428","-4.0864","-3.2324","-2.9033","-2.9033","-2.9033","-10.3384","-10.3384","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-16.7416","-15.8126","-11.4984","-7.6691","-7.6691","-26.0386","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-15.9392","-10.5021","-10.5021","-10.5021","-10.502","-10.5021","-7.9326"
"MD DIFF(P-B)","0.0139000000000005","0.0911","0.00810000000000066","0.488","-0.2073","1.3769","0.702999999999999","-0.0640999999999998","-0.2667","0.144499999999999","0.139199999999999","1.0221","0.2959","-1.3694","-1.9272","-3.2809","-1.3293","-0.755599999999999","-2.7571","-2.0443","-2.1897","-1.9257","-2.1711","-2.2065","-1.1722","0.6515","0.5749","0.8239","0.0986000000000002","0.353","0.2366","0.0744000000000002","0.708500000000001","1.1504","0.0910000000000011","0.657200000000001","0.438000000000001","0.8955","1.7691","0.414900000000001","1.0859","0.899100000000001","-1.5108","0.0797999999999988","-0.257200000000001","1.0943","0.474999999999998","-0.106100000000001","0.420199999999998","-0.845000000000002","0.366799999999998","-1.2386","-0.757000000000001","-0.0557999999999996","0.1394","0.0949","-0.293699999999999","-0.4223","-1.7655","-1.1421","-0.604700000000001","-0.406100000000002","-1.3046","-2.3438","-0.944600000000001","-0.487200000000001","-0.8352","-0.4436","-1.1848","-0.613500000000002","-0.4207","0.219200000000001","1.6027","1.534","1.2238","1.0489"
