"","2015-12-11_to_2018-12-12_GrowthPortfolio_12QRank","2016-01-11_to_2019-01-12_GrowthPortfolio_12QRank","2016-02-11_to_2019-02-12_GrowthPortfolio_12QRank","2016-03-11_to_2019-03-12_GrowthPortfolio_12QRank","2016-04-11_to_2019-04-12_GrowthPortfolio_12QRank","2016-05-11_to_2019-05-12_GrowthPortfolio_12QRank","2016-06-13_to_2019-06-12_GrowthPortfolio_12QRank","2016-07-11_to_2019-07-12_GrowthPortfolio_12QRank","2016-08-11_to_2019-08-12_GrowthPortfolio_12QRank","2016-09-12_to_2019-09-12_GrowthPortfolio_12QRank","2016-10-11_to_2019-10-12_GrowthPortfolio_12QRank","2016-11-11_to_2019-11-12_GrowthPortfolio_12QRank","2016-12-12_to_2019-12-12_GrowthPortfolio_12QRank","2017-01-11_to_2020-01-12_GrowthPortfolio_12QRank","2017-02-13_to_2020-02-12_GrowthPortfolio_12QRank","2017-03-13_to_2020-03-12_GrowthPortfolio_12QRank","2017-04-11_to_2020-04-12_GrowthPortfolio_12QRank","2017-05-11_to_2020-05-12_GrowthPortfolio_12QRank","2017-06-12_to_2020-06-12_GrowthPortfolio_12QRank","2017-07-11_to_2020-07-12_GrowthPortfolio_12QRank","2017-08-11_to_2020-08-12_GrowthPortfolio_12QRank","2017-09-11_to_2020-09-12_GrowthPortfolio_12QRank","2017-10-11_to_2020-10-12_GrowthPortfolio_12QRank","2017-11-13_to_2020-11-12_GrowthPortfolio_12QRank","2017-12-11_to_2020-12-12_GrowthPortfolio_12QRank","2018-01-11_to_2021-01-12_GrowthPortfolio_12QRank","2018-02-12_to_2021-02-12_GrowthPortfolio_12QRank","2018-03-12_to_2021-03-12_GrowthPortfolio_12QRank","2018-04-11_to_2021-04-12_GrowthPortfolio_12QRank","2018-05-11_to_2021-05-12_GrowthPortfolio_12QRank","2018-06-11_to_2021-06-12_GrowthPortfolio_12QRank","2018-07-11_to_2021-07-12_GrowthPortfolio_12QRank","2018-08-13_to_2021-08-12_GrowthPortfolio_12QRank","2018-09-11_to_2021-09-12_GrowthPortfolio_12QRank","2018-10-11_to_2021-10-12_GrowthPortfolio_12QRank"
"P Information Ratio","1.15","1.3","1.48","1.21","1.33","1.25","1.14","1.17","1.3","1.21","1.16","1.08","0.92","1.25","1.16","1.15","1.26","1.62","1.55","1.55","1.75","1.61","1.3","1.54","1.46","1.3","0.88","0.7","0.83","0.38","0.46","0.72","1.31","1.62","2.1"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.42","0.72","0.68","0.57","0.8","0.62","0.67","0.59","0.75","0.6","0.47","0.53","0.39","0.41","0.41","0.56","0.79","0.78","0.85","0.77","0.79","0.91","0.6","0.76","0.79","0.56","0.28","0.37","0.23","0.11","0.17","0.32","0.44","0.51","0.73"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","1.37","1.27","1.27","1.3","1.27","1.24","1.23","1.22","1.22","1.19","1.18","1.15","1.18","1.15","1.23","1.15","1.06","1.06","1.07","1.08","1.06","1.09","1.04","1.06","1.05","1.03","1.06","1.06","1.06","1.07","1.05","1.08","1.08","1.03","0.99"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","68.97","69.07","68.72","70.96","67.54","69.48","73.8","74.91","74.16","76.1","75.57","77.78","79.26","79.82","82.72","81.6","78.89","82.93","85.12","84.01","87.39","86.3","87.35","88.95","88.83","90.9","90.84","90.84","91.65","92.52","91.9","93.07","93.08","93.6","93.03"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-20.9424","-27.93","-29.3633","-28.9978","-28.6381","-28.3954","-27.4652","-27.0875","-27.1652","-26.719","-26.6488","-25.0857","-25.5156","-24.9942","-26.652","-26.7553","-29.8569","-31.1363","-30.765","-31.9491","-31.3171","-30.6788","-31.3147","-31.0193","-30.8667","-31.2308","-30.9033","-31.83","-32.3624","-32.9894","-32.1983","-32.3933","-31.715","-32.2075","-31.5125"
"B Max Drawdown","-11.1728","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9594","-19.9593","-19.9593","-19.9593","-26.0386","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312"
"MD DIFF(P-B)","-9.7696","-7.9707","-9.404","-9.0385","-8.6788","-8.4361","-7.5059","-7.1282","-7.2059","-6.7597","-6.6895","-5.1263","-5.5563","-5.0349","-6.6927","-0.716699999999999","1.6743","0.3949","0.766199999999998","-0.417900000000003","0.214099999999998","0.852399999999999","0.2165","0.511899999999997","0.664499999999997","0.3004","0.627899999999997","-0.2988","-0.831200000000003","-1.45820000000001","-0.667100000000005","-0.862100000000005","-0.183800000000002","-0.676300000000005","0.0186999999999991"
