"","2013-09-11_to_2015-09-12_ALLPortfolio_3QRank","2013-10-11_to_2015-10-12_ALLPortfolio_3QRank","2013-11-11_to_2015-11-12_ALLPortfolio_3QRank","2013-12-11_to_2015-12-12_ALLPortfolio_3QRank","2014-01-13_to_2016-01-12_ALLPortfolio_3QRank","2014-02-11_to_2016-02-12_ALLPortfolio_3QRank","2014-03-11_to_2016-03-12_ALLPortfolio_3QRank","2014-04-11_to_2016-04-12_ALLPortfolio_3QRank","2014-05-12_to_2016-05-12_ALLPortfolio_3QRank","2014-06-11_to_2016-06-12_ALLPortfolio_3QRank","2014-07-11_to_2016-07-12_ALLPortfolio_3QRank","2014-08-11_to_2016-08-12_ALLPortfolio_3QRank","2014-09-11_to_2016-09-12_ALLPortfolio_3QRank","2014-10-13_to_2016-10-12_ALLPortfolio_3QRank","2014-11-11_to_2016-11-12_ALLPortfolio_3QRank","2014-12-11_to_2016-12-12_ALLPortfolio_3QRank","2015-01-12_to_2017-01-12_ALLPortfolio_3QRank","2015-02-11_to_2017-02-12_ALLPortfolio_3QRank","2015-03-11_to_2017-03-12_ALLPortfolio_3QRank","2015-04-13_to_2017-04-12_ALLPortfolio_3QRank","2015-05-11_to_2017-05-12_ALLPortfolio_3QRank","2015-06-11_to_2017-06-12_ALLPortfolio_3QRank","2015-07-13_to_2017-07-12_ALLPortfolio_3QRank","2015-08-11_to_2017-08-12_ALLPortfolio_3QRank","2015-09-11_to_2017-09-12_ALLPortfolio_3QRank","2015-10-12_to_2017-10-12_ALLPortfolio_3QRank","2015-11-11_to_2017-11-12_ALLPortfolio_3QRank","2015-12-11_to_2017-12-12_ALLPortfolio_3QRank","2016-01-11_to_2018-01-12_ALLPortfolio_3QRank","2016-02-11_to_2018-02-12_ALLPortfolio_3QRank","2016-03-11_to_2018-03-12_ALLPortfolio_3QRank","2016-04-11_to_2018-04-12_ALLPortfolio_3QRank","2016-05-11_to_2018-05-12_ALLPortfolio_3QRank","2016-06-13_to_2018-06-12_ALLPortfolio_3QRank","2016-07-11_to_2018-07-12_ALLPortfolio_3QRank","2016-08-11_to_2018-08-12_ALLPortfolio_3QRank","2016-09-12_to_2018-09-12_ALLPortfolio_3QRank","2016-10-11_to_2018-10-12_ALLPortfolio_3QRank","2016-11-11_to_2018-11-12_ALLPortfolio_3QRank","2016-12-12_to_2018-12-12_ALLPortfolio_3QRank","2017-01-11_to_2019-01-12_ALLPortfolio_3QRank","2017-02-13_to_2019-02-12_ALLPortfolio_3QRank","2017-03-13_to_2019-03-12_ALLPortfolio_3QRank","2017-04-11_to_2019-04-12_ALLPortfolio_3QRank","2017-05-11_to_2019-05-12_ALLPortfolio_3QRank","2017-06-12_to_2019-06-12_ALLPortfolio_3QRank","2017-07-11_to_2019-07-12_ALLPortfolio_3QRank","2017-08-11_to_2019-08-12_ALLPortfolio_3QRank","2017-09-11_to_2019-09-12_ALLPortfolio_3QRank","2017-10-11_to_2019-10-12_ALLPortfolio_3QRank","2017-11-13_to_2019-11-12_ALLPortfolio_3QRank","2017-12-11_to_2019-12-12_ALLPortfolio_3QRank","2018-01-11_to_2020-01-12_ALLPortfolio_3QRank","2018-02-12_to_2020-02-12_ALLPortfolio_3QRank","2018-03-12_to_2020-03-12_ALLPortfolio_3QRank","2018-04-11_to_2020-04-12_ALLPortfolio_3QRank","2018-05-11_to_2020-05-12_ALLPortfolio_3QRank","2018-06-11_to_2020-06-12_ALLPortfolio_3QRank","2018-07-11_to_2020-07-12_ALLPortfolio_3QRank","2018-08-13_to_2020-08-12_ALLPortfolio_3QRank","2018-09-11_to_2020-09-12_ALLPortfolio_3QRank","2018-10-11_to_2020-10-12_ALLPortfolio_3QRank","2018-11-12_to_2020-11-12_ALLPortfolio_3QRank","2018-12-11_to_2020-12-12_ALLPortfolio_3QRank","2019-01-11_to_2021-01-12_ALLPortfolio_3QRank","2019-02-11_to_2021-02-12_ALLPortfolio_3QRank","2019-03-11_to_2021-03-12_ALLPortfolio_3QRank","2019-04-11_to_2021-04-12_ALLPortfolio_3QRank","2019-05-13_to_2021-05-12_ALLPortfolio_3QRank","2019-06-11_to_2021-06-12_ALLPortfolio_3QRank","2019-07-11_to_2021-07-12_ALLPortfolio_3QRank","2019-08-12_to_2021-08-12_ALLPortfolio_3QRank","2019-09-11_to_2021-09-12_ALLPortfolio_3QRank"
"P Information Ratio","0.81","0.95","0.65","0.9","0.74","0.66","0.7","1.06","1.13","0.67","0.91","0.79","0.81","0.89","0.92","1.19","1.13","0.82","-0.04","0.09","0.4","0.33","0.26","0.47","1.46","1.77","1.85","1.5","1.81","2.74","2.13","1.81","1.76","1.73","1.32","0.81","1.63","1.25","0.14","0.42","0.6","0.55","0.09","0.03","0.06","-0.26","-0.31","0.06","0.02","0.19","-0.01","-0.26","-0.24","0.14","-1.4","0","0.07","0.19","0.06","-0.1","0.44","0.43","-0.15","-0.01","0.55","-0.44","0.74","0.78","0.51","0.96","0.03","0.78","0.5"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.14","0.57","0.51","0.64","0.49","0.44","0.48","0.62","0.55","0.35","0.5","0.45","0.62","0.39","0.37","0.47","0.46","0.41","0.17","0.14","0.23","0.25","0.24","0.63","0.8","0.71","0.6","0.56","0.57","0.45","0.14","0.45","0.37","0.46","0.37","0.29","0.31","0.41","0.24","0.23","0.1","0.08","0.1","-0.01","-0.08","-0.12","-0.14","-0.04","0.05","0","0.05","-0.03","0.05","0.13","-0.11","-0.16","-0.12","0.07","0.04","-0.06","0.25","0.06","-0.22","-0.2","-0.04","-0.53","0.25","0.44","0.28","0.34","0.08","0.15","0.02"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","0.95","0.89","0.82","0.8","0.76","0.77","0.83","0.89","0.89","0.86","0.79","0.84","0.9","0.87","0.9","0.94","0.93","0.88","0.9","0.85","0.87","0.81","0.78","0.73","0.8","0.88","0.92","0.93","0.92","1.12","1.27","1.15","1.18","1.1","1.08","1.05","1.04","0.98","0.9","0.93","0.99","0.98","1.01","1.01","1.01","1.01","1.02","1.01","0.97","0.97","0.98","0.94","0.91","0.87","0.9","0.98","0.99","1.01","1.12","1.06","1.17","1.19","1.1","1.17","1.2","1.14","1.19","1.18","1.2","1.22","1.01","1.25","1.24"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","75.03","64.72","67.9","67.75","65.74","73.62","76.7","77.91","79.44","79.02","75.92","76.99","80.32","83.02","81.1","82.58","83.58","82.59","82.22","79.75","81.4","77.56","74.32","75.13","75.47","74.79","75.65","77.96","57.67","69","81.39","77.89","77.3","78.55","74.78","72.28","78.12","74.32","85.16","88.7","91.84","91.06","90.37","90.13","92.86","91.79","90.79","92","90.7","89.09","90.41","88.71","89.65","88.94","91.22","91.58","92.98","90.6","90.32","90.92","91.64","91.62","91.05","87.86","88.67","85.49","86.46","88.45","84.7","86.17","84.01","85.15","85.78"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-12.0314","-11.3613","-11.4539","-11.5607","-11.8212","-12.5892","-12.7906","-14.3055","-14.7154","-13.8754","-13.2535","-13.6466","-13.9767","-14.12","-15.075","-14.8594","-14.6037","-13.3852","-13.6728","-13.2941","-14.003","-14.1347","-12.5325","-12.5186","-13.3825","-13.2959","-12.7188","-12.7061","-6.8817","-9.351","-9.5173","-9.7775","-9.5953","-9.6033","-9.2877","-9.2956","-9.4457","-9.636","-9.3053","-10.2144","-18.8888","-19.0503","-19.757","-20.3431","-20.9414","-20.3864","-19.5737","-19.0831","-19.4057","-19.1013","-19.3373","-18.4919","-17.9738","-17.7394","-26.8843","-30.6988","-30.5854","-30.3549","-32.4391","-31.0328","-32.653","-32.7307","-31.7015","-33.1838","-32.5984","-33.873","-32.5508","-30.7874","-31.3426","-32.3509","-29.4467","-32.7649","-32.485"
"B Max Drawdown","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-11.8362","-11.8362","-11.8362","-11.4136","-10.5262","-5.1204","-9.7412","-9.7411","-10.5811","-10.5811","-10.5811","-10.5811","-10.5811","-10.5811","-10.5811","-10.5811","-10.5811","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312"
"MD DIFF(P-B)","1.2965","1.9666","1.874","1.7672","1.5067","0.7387","0.5373","-0.977600000000001","-1.3875","-0.547500000000001","0.0743999999999989","-0.3187","-0.6488","-0.7921","-1.7471","-1.5315","-1.2758","-0.0572999999999997","-0.344900000000001","0.0337999999999994","-0.6751","-0.806800000000001","0.795399999999999","-0.682399999999999","-1.5463","-1.4597","-1.3052","-2.1799","-1.7613","0.390199999999998","0.223799999999999","0.803599999999999","0.985799999999999","0.977799999999998","1.2934","1.2855","1.1354","0.9451","1.2758","0.3667","1.0705","0.908999999999999","0.202299999999997","-0.383800000000001","-0.982100000000003","-0.427099999999999","0.3856","0.876199999999997","0.553599999999999","0.858000000000001","0.622","1.4674","1.9855","2.2199","-6.925","0.8324","0.945799999999998","1.1763","-0.907900000000005","0.498399999999997","-1.1218","-1.1995","-0.170300000000001","-1.6526","-1.0672","-2.3418","-1.0196","0.743799999999997","0.188599999999997","-0.819700000000005","2.0845","-1.2337","-0.953800000000001"
