"","2014-03-11_to_2015-03-12_ALLPortfolio_5QRank","2014-04-11_to_2015-04-12_ALLPortfolio_5QRank","2014-05-12_to_2015-05-12_ALLPortfolio_5QRank","2014-06-11_to_2015-06-12_ALLPortfolio_5QRank","2014-07-11_to_2015-07-12_ALLPortfolio_5QRank","2014-08-11_to_2015-08-12_ALLPortfolio_5QRank","2014-09-11_to_2015-09-12_ALLPortfolio_5QRank","2014-10-13_to_2015-10-12_ALLPortfolio_5QRank","2014-11-11_to_2015-11-12_ALLPortfolio_5QRank","2014-12-11_to_2015-12-12_ALLPortfolio_5QRank","2015-01-12_to_2016-01-12_ALLPortfolio_5QRank","2015-02-11_to_2016-02-12_ALLPortfolio_5QRank","2015-03-11_to_2016-03-12_ALLPortfolio_5QRank","2015-04-13_to_2016-04-12_ALLPortfolio_5QRank","2015-05-11_to_2016-05-12_ALLPortfolio_5QRank","2015-06-11_to_2016-06-12_ALLPortfolio_5QRank","2015-07-13_to_2016-07-12_ALLPortfolio_5QRank","2015-08-11_to_2016-08-12_ALLPortfolio_5QRank","2015-09-11_to_2016-09-12_ALLPortfolio_5QRank","2015-10-12_to_2016-10-12_ALLPortfolio_5QRank","2015-11-11_to_2016-11-12_ALLPortfolio_5QRank","2015-12-11_to_2016-12-12_ALLPortfolio_5QRank","2016-01-11_to_2017-01-12_ALLPortfolio_5QRank","2016-02-11_to_2017-02-12_ALLPortfolio_5QRank","2016-03-11_to_2017-03-12_ALLPortfolio_5QRank","2016-04-11_to_2017-04-12_ALLPortfolio_5QRank","2016-05-11_to_2017-05-12_ALLPortfolio_5QRank","2016-06-13_to_2017-06-12_ALLPortfolio_5QRank","2016-07-11_to_2017-07-12_ALLPortfolio_5QRank","2016-08-11_to_2017-08-12_ALLPortfolio_5QRank","2016-09-12_to_2017-09-12_ALLPortfolio_5QRank","2016-10-11_to_2017-10-12_ALLPortfolio_5QRank","2016-11-11_to_2017-11-12_ALLPortfolio_5QRank","2016-12-12_to_2017-12-12_ALLPortfolio_5QRank","2017-01-11_to_2018-01-12_ALLPortfolio_5QRank","2017-02-13_to_2018-02-12_ALLPortfolio_5QRank","2017-03-13_to_2018-03-12_ALLPortfolio_5QRank","2017-04-11_to_2018-04-12_ALLPortfolio_5QRank","2017-05-11_to_2018-05-12_ALLPortfolio_5QRank","2017-06-12_to_2018-06-12_ALLPortfolio_5QRank","2017-07-11_to_2018-07-12_ALLPortfolio_5QRank","2017-08-11_to_2018-08-12_ALLPortfolio_5QRank","2017-09-11_to_2018-09-12_ALLPortfolio_5QRank","2017-10-11_to_2018-10-12_ALLPortfolio_5QRank","2017-11-13_to_2018-11-12_ALLPortfolio_5QRank","2017-12-11_to_2018-12-12_ALLPortfolio_5QRank","2018-01-11_to_2019-01-12_ALLPortfolio_5QRank","2018-02-12_to_2019-02-12_ALLPortfolio_5QRank","2018-03-12_to_2019-03-12_ALLPortfolio_5QRank","2018-04-11_to_2019-04-12_ALLPortfolio_5QRank","2018-05-11_to_2019-05-12_ALLPortfolio_5QRank","2018-06-11_to_2019-06-12_ALLPortfolio_5QRank","2018-07-11_to_2019-07-12_ALLPortfolio_5QRank","2018-08-13_to_2019-08-12_ALLPortfolio_5QRank","2018-09-11_to_2019-09-12_ALLPortfolio_5QRank","2018-10-11_to_2019-10-12_ALLPortfolio_5QRank","2018-11-12_to_2019-11-12_ALLPortfolio_5QRank","2018-12-11_to_2019-12-12_ALLPortfolio_5QRank","2019-01-11_to_2020-01-12_ALLPortfolio_5QRank","2019-02-11_to_2020-02-12_ALLPortfolio_5QRank","2019-03-11_to_2020-03-12_ALLPortfolio_5QRank","2019-04-11_to_2020-04-12_ALLPortfolio_5QRank","2019-05-13_to_2020-05-12_ALLPortfolio_5QRank","2019-06-11_to_2020-06-12_ALLPortfolio_5QRank","2019-07-11_to_2020-07-12_ALLPortfolio_5QRank","2019-08-12_to_2020-08-12_ALLPortfolio_5QRank","2019-09-11_to_2020-09-12_ALLPortfolio_5QRank","2019-10-11_to_2020-10-12_ALLPortfolio_5QRank","2019-11-11_to_2020-11-12_ALLPortfolio_5QRank","2019-12-11_to_2020-12-12_ALLPortfolio_5QRank","2020-01-13_to_2021-01-12_ALLPortfolio_5QRank","2020-02-11_to_2021-02-12_ALLPortfolio_5QRank","2020-03-11_to_2021-03-12_ALLPortfolio_5QRank","2020-04-13_to_2021-04-12_ALLPortfolio_5QRank","2020-05-11_to_2021-05-12_ALLPortfolio_5QRank","2020-06-11_to_2021-06-12_ALLPortfolio_5QRank","2020-07-13_to_2021-07-12_ALLPortfolio_5QRank","2020-08-11_to_2021-08-12_ALLPortfolio_5QRank","2020-09-11_to_2021-09-12_ALLPortfolio_5QRank"
"P Alpha Stat","0.22","0.52","0.47","0.45","0.71","0.57","0.28","0.63","0.41","0.56","0.52","0.11","0.32","0.23","0.11","-0.01","0.26","0.71","0.18","0.46","0.21","0.32","0.41","0.76","0.53","0.37","0.44","0.8","0.63","0.47","0.25","0.54","0.55","0.72","0.01","-0.25","-0.09","0.24","0.23","0.3","0.02","-0.18","-0.15","-0.16","0.04","0.16","-0.01","0.25","0.13","-0.02","-0.09","-0.14","0.24","0.14","0.21","-0.23","-0.17","-0.55","-0.52","-0.82","-0.38","-0.34","0.07","0.13","0.44","0.33","0.58","0.59","-0.29","0.54","0.42","-0.42","0.88","1.35","0.8","1.19","1.37","0.9","0.64"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","0.99","0.96","0.99","0.9","0.85","0.76","1.07","0.98","0.88","0.92","0.93","0.82","0.8","0.85","0.79","0.82","0.82","0.73","0.84","0.94","0.92","0.98","1.02","1.06","1.18","1.22","1.15","1.03","1.03","1.23","1.2","1.06","0.95","0.85","1.12","1.28","1.11","0.94","0.94","1.01","1.01","0.91","1","0.96","0.96","0.93","0.96","0.98","0.98","0.99","0.95","0.94","0.98","1.01","0.99","1.05","1.07","1.18","1.05","1.09","0.96","1.13","1.04","1.13","1.12","1.16","1.15","1.11","1.03","1.19","1.2","1.29","1.12","1.1","1.03","0.94","0.89","1.03","1.09"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","72.33","71.67","75.89","73.68","76.46","72.64","83.34","69.24","77.31","80.92","79.43","78.13","76.27","81.22","79.79","81.45","82.16","84","91.17","89.49","91.33","91.45","82.16","66.13","67.84","63.85","67.83","65.61","53.25","59.42","64.88","56.23","65.42","47.42","57.31","77.52","88.94","86.09","83.44","86.74","86.95","86.74","87.21","85.05","91.51","92.57","93.89","95.71","96.77","96.19","92.51","94.44","94.69","92.02","91.32","90.31","87.85","81.39","76.54","75.63","84.13","89.37","90.05","88.95","88.52","88.37","90.42","90.97","90.02","90.67","90.82","90.89","82.97","73.29","65.07","63.93","57.14","49.19","38.31"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-6.8878","-7.5757","-7.7172","-7.1107","-7.2298","-7.2836","-12.108","-12.9804","-12.1248","-12.173","-12.0167","-14.0179","-13.1607","-15.2947","-13.1582","-13.8368","-13.4366","-12.8949","-13.772","-14.0246","-12.9539","-13.5545","-7.0637","-5.4132","-5.1289","-5.2651","-5.1303","-4.1966","-3.7741","-3.6377","-3.5733","-2.9633","-2.3278","-2.4453","-2.8731","-9.6117","-9.4985","-9.7566","-9.2268","-9.5267","-9.1035","-9.3839","-10.1776","-10.1145","-10.3753","-10.5187","-18.4673","-19.3275","-19.1289","-18.8707","-18.3704","-18.6051","-18.1259","-18.3759","-18.6816","-16.2745","-14.1669","-11.1675","-7.6447","-7.7667","-27.6805","-31.6486","-29.9052","-31.9134","-30.848","-32.3308","-31.6741","-30.86","-29.5384","-31.2822","-31.9488","-32.746","-14.3202","-8.3497","-8.2744","-8.3344","-8.245","-8.397","-6.7099"
"B Max Drawdown","-7.4469","-7.4469","-7.4469","-7.4469","-7.4469","-7.4469","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-11.8362","-11.8362","-11.8362","-11.4136","-10.5262","-5.1204","-5.1204","-5.1205","-5.1204","-5.1205","-4.8468","-4.3548","-4.3548","-3.7967","-2.9402","-2.9033","-2.9033","-2.9033","-9.7411","-9.7411","-10.5811","-10.5811","-10.5811","-10.5811","-10.5811","-10.5811","-10.5811","-10.5811","-10.5811","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-16.7416","-15.8126","-11.4984","-7.6691","-7.6691","-18.5281","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-16.0505","-10.5021","-10.5021","-10.5021","-10.502","-10.5021","-7.8111"
"MD DIFF(P-B)","0.5591","-0.1288","-0.2703","0.336200000000001","0.2171","0.1633","1.2199","0.3475","1.2031","1.1549","1.3112","-0.69","0.167199999999999","-1.9668","0.169699999999999","-0.508900000000001","-0.108700000000001","-1.0587","-1.9358","-2.1884","-1.5403","-3.0283","-1.9433","-0.2928","-0.00839999999999996","-0.1447","-0.00980000000000025","0.6502","0.5807","0.7171","0.2234","-0.0230999999999999","0.5755","0.458","0.0302000000000002","0.129399999999999","0.242599999999999","0.824499999999999","1.3543","1.0544","1.4776","1.1972","0.403499999999999","0.4666","0.2058","0.0623999999999985","1.492","0.631799999999998","0.830399999999997","1.0886","1.5889","1.3542","1.8334","1.5834","1.2777","0.467099999999999","1.6457","0.3309","0.0244","-0.0975999999999999","-9.1524","-0.1174","1.626","-0.382200000000001","0.683199999999999","-0.799600000000005","-0.142900000000001","0.671199999999999","1.9928","0.248999999999999","-0.4176","-1.2148","1.7303","2.1524","2.2277","2.1677","2.257","2.1051","1.1012"
