"","1 Y 2014-12-11 to 2017-12-12","1 Y 2015-01-12 to 2018-01-12","1 Y 2015-02-11 to 2018-02-12","1 Y 2015-03-11 to 2018-03-12","1 Y 2015-04-13 to 2018-04-12","1 Y 2015-05-11 to 2018-05-12","1 Y 2015-06-11 to 2018-06-12","1 Y 2015-07-13 to 2018-07-12","1 Y 2015-08-11 to 2018-08-12","1 Y 2015-09-11 to 2018-09-12","1 Y 2015-10-12 to 2018-10-12","1 Y 2015-11-11 to 2018-11-12","1 Y 2015-12-11 to 2018-12-12","1 Y 2016-01-11 to 2019-01-12","1 Y 2016-02-11 to 2019-02-12","1 Y 2016-03-11 to 2019-03-12","1 Y 2016-04-11 to 2019-04-12","1 Y 2016-05-11 to 2019-05-12","1 Y 2016-06-13 to 2019-06-12","1 Y 2016-07-11 to 2019-07-12","1 Y 2016-08-11 to 2019-08-12","1 Y 2016-09-12 to 2019-09-12","1 Y 2016-10-11 to 2019-10-12","1 Y 2016-11-11 to 2019-11-12","1 Y 2016-12-12 to 2019-12-12","1 Y 2017-01-11 to 2020-01-12","1 Y 2017-02-13 to 2020-02-12","1 Y 2017-03-13 to 2020-03-12","1 Y 2017-04-11 to 2020-04-12","1 Y 2017-05-11 to 2020-05-12","1 Y 2017-06-12 to 2020-06-12","1 Y 2017-07-11 to 2020-07-12","1 Y 2017-08-11 to 2020-08-12","1 Y 2017-09-11 to 2020-09-12","1 Y 2017-10-11 to 2020-10-12","1 Y 2017-11-13 to 2020-11-12","1 Y 2017-12-11 to 2020-12-12","1 Y 2018-01-11 to 2021-01-12","1 Y 2018-02-12 to 2021-02-12","1 Y 2018-03-12 to 2021-03-12","1 Y 2018-04-11 to 2021-04-12","1 Y 2018-05-11 to 2021-05-12","1 Y 2018-06-11 to 2021-06-12","1 Y 2018-07-11 to 2021-07-12","1 Y 2018-08-13 to 2021-08-12","1 Y 2018-09-11 to 2021-09-12","1 Y 2018-10-11 to 2021-10-12","2 Y 2014-12-11 to 2017-12-12","2 Y 2015-01-12 to 2018-01-12","2 Y 2015-02-11 to 2018-02-12","2 Y 2015-03-11 to 2018-03-12","2 Y 2015-04-13 to 2018-04-12","2 Y 2015-05-11 to 2018-05-12","2 Y 2015-06-11 to 2018-06-12","2 Y 2015-07-13 to 2018-07-12","2 Y 2015-08-11 to 2018-08-12","2 Y 2015-09-11 to 2018-09-12","2 Y 2015-10-12 to 2018-10-12","2 Y 2015-11-11 to 2018-11-12","2 Y 2015-12-11 to 2018-12-12","2 Y 2016-01-11 to 2019-01-12","2 Y 2016-02-11 to 2019-02-12","2 Y 2016-03-11 to 2019-03-12","2 Y 2016-04-11 to 2019-04-12","2 Y 2016-05-11 to 2019-05-12","2 Y 2016-06-13 to 2019-06-12","2 Y 2016-07-11 to 2019-07-12","2 Y 2016-08-11 to 2019-08-12","2 Y 2016-09-12 to 2019-09-12","2 Y 2016-10-11 to 2019-10-12","2 Y 2016-11-11 to 2019-11-12","2 Y 2016-12-12 to 2019-12-12","2 Y 2017-01-11 to 2020-01-12","2 Y 2017-02-13 to 2020-02-12","2 Y 2017-03-13 to 2020-03-12","2 Y 2017-04-11 to 2020-04-12","2 Y 2017-05-11 to 2020-05-12","2 Y 2017-06-12 to 2020-06-12","2 Y 2017-07-11 to 2020-07-12","2 Y 2017-08-11 to 2020-08-12","2 Y 2017-09-11 to 2020-09-12","2 Y 2017-10-11 to 2020-10-12","2 Y 2017-11-13 to 2020-11-12","2 Y 2017-12-11 to 2020-12-12","2 Y 2018-01-11 to 2021-01-12","2 Y 2018-02-12 to 2021-02-12","2 Y 2018-03-12 to 2021-03-12","2 Y 2018-04-11 to 2021-04-12","2 Y 2018-05-11 to 2021-05-12","2 Y 2018-06-11 to 2021-06-12","2 Y 2018-07-11 to 2021-07-12","2 Y 2018-08-13 to 2021-08-12","2 Y 2018-09-11 to 2021-09-12","2 Y 2018-10-11 to 2021-10-12","3 Y 2014-12-11 to 2017-12-12","3 Y 2015-01-12 to 2018-01-12","3 Y 2015-02-11 to 2018-02-12","3 Y 2015-03-11 to 2018-03-12","3 Y 2015-04-13 to 2018-04-12","3 Y 2015-05-11 to 2018-05-12","3 Y 2015-06-11 to 2018-06-12","3 Y 2015-07-13 to 2018-07-12","3 Y 2015-08-11 to 2018-08-12","3 Y 2015-09-11 to 2018-09-12","3 Y 2015-10-12 to 2018-10-12","3 Y 2015-11-11 to 2018-11-12","3 Y 2015-12-11 to 2018-12-12","3 Y 2016-01-11 to 2019-01-12","3 Y 2016-02-11 to 2019-02-12","3 Y 2016-03-11 to 2019-03-12","3 Y 2016-04-11 to 2019-04-12","3 Y 2016-05-11 to 2019-05-12","3 Y 2016-06-13 to 2019-06-12","3 Y 2016-07-11 to 2019-07-12","3 Y 2016-08-11 to 2019-08-12","3 Y 2016-09-12 to 2019-09-12","3 Y 2016-10-11 to 2019-10-12","3 Y 2016-11-11 to 2019-11-12","3 Y 2016-12-12 to 2019-12-12","3 Y 2017-01-11 to 2020-01-12","3 Y 2017-02-13 to 2020-02-12","3 Y 2017-03-13 to 2020-03-12","3 Y 2017-04-11 to 2020-04-12","3 Y 2017-05-11 to 2020-05-12","3 Y 2017-06-12 to 2020-06-12","3 Y 2017-07-11 to 2020-07-12","3 Y 2017-08-11 to 2020-08-12","3 Y 2017-09-11 to 2020-09-12","3 Y 2017-10-11 to 2020-10-12","3 Y 2017-11-13 to 2020-11-12","3 Y 2017-12-11 to 2020-12-12","3 Y 2018-01-11 to 2021-01-12","3 Y 2018-02-12 to 2021-02-12","3 Y 2018-03-12 to 2021-03-12","3 Y 2018-04-11 to 2021-04-12","3 Y 2018-05-11 to 2021-05-12","3 Y 2018-06-11 to 2021-06-12","3 Y 2018-07-11 to 2021-07-12","3 Y 2018-08-13 to 2021-08-12","3 Y 2018-09-11 to 2021-09-12","3 Y 2018-10-11 to 2021-10-12"
"P Information Ratio","0.52","1.66","1.24","2.13","1.8","0.91","1.15","1.1","0.87","0.23","0.88","-0.21","0.35","-0.38","-0.19","-0.47","-0.56","-0.81","-1.14","-0.61","-0.49","-0.41","0.43","-0.08","-0.65","-0.93","-0.5","-1.64","0.11","-0.59","0.24","-0.23","0.47","0.03","1.36","0.74","0","0.63","1.48","2.29","0.3","0.36","1.12","0.81","0.76","0.72","0.69","1.04","1.55","1.46","1.74","1.52","0.88","0.98","0.85","1.14","0.86","1.33","0.6","0.72","0.54","0.75","0.57","0.86","0.7","0.24","0.23","0.05","-0.03","0.08","0.13","0.02","-0.27","-0.16","-1.05","-0.09","-0.38","-0.03","-0.27","0.28","0.08","1.04","0.35","-0.1","0.17","0.6","0.02","-0.04","-0.38","-0.17","-0.13","0.25","-0.56","-0.29","0.65","1.01","0.77","1.09","1.13","0.68","0.52","0.44","0.95","0.29","1.16","1.05","0.99","0.89","1.46","0.86","0.93","0.92","0.69","0.63","0.54","0.62","0.61","0.45","0.41","0.1","0.23","-0.45","0.27","-0.08","0.06","-0.06","0.3","0.17","0.63","0.44","-0.01","0.15","0.43","0.07","-0.31","-0.22","-0.26","-0.26","0.17","-0.35","-0.28"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.68","0.41","-0.04","0.37","0.8","0.2","0.51","0.31","0.28","0.17","0.28","0.13","0.2","-0.24","-0.06","-0.29","-0.33","-0.62","-0.54","-0.15","-0.24","-0.22","-0.35","-0.1","-0.42","-0.43","-0.45","-0.08","-0.16","-0.3","0.1","-0.04","0.2","0","0.72","0.4","0.11","0.43","0.32","0.63","0.81","-0.04","0.3","0.39","-0.13","-0.31","-0.42","0.32","0.32","0.14","0.27","0.64","0.31","0.3","0.3","0.56","0.19","0.53","0.35","0.28","0.08","0.18","0.16","0.19","0.05","0.02","0","-0.06","-0.11","-0.12","0.12","0.02","-0.07","-0.12","-0.1","-0.21","-0.34","-0.05","-0.15","0.11","0","0.25","0.1","-0.11","-0.08","0.08","-0.03","-0.01","-0.18","-0.14","-0.11","-0.16","-0.29","-0.22","0.36","0.41","0.38","0.54","0.6","0.39","0.32","0.33","0.76","0.33","0.53","0.36","0.35","0.19","0.27","0.18","0.21","0.16","0.11","0.12","0.09","0.03","0.09","0.25","0.17","0.03","-0.05","0.09","-0.02","-0.14","0.02","-0.07","0.04","0.03","0.2","0.18","0.01","0.04","0.13","-0.01","-0.13","-0.2","-0.14","-0.12","-0.05","-0.21","-0.26"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","0.75","0.84","1.21","1.25","1.13","0.99","1","0.97","0.99","0.9","0.98","1.03","1.08","1.08","1.14","1.17","1.22","1.16","1.17","1.24","1.2","1.19","1.13","1.04","1.02","1.1","1.05","0.88","1.04","1.09","1.09","1.09","1.13","1.09","1.11","1.13","1.11","1.12","1.3","1.02","1.01","1.01","0.91","0.98","1.22","1.09","1.14","0.88","0.9","1.05","1.16","1.05","0.97","0.97","0.97","0.95","0.93","0.99","1.01","1.06","1.15","1.19","1.17","1.19","1.16","1.17","1.2","1.15","1.15","1.07","0.99","0.97","1","1","0.97","1.02","1.06","1.06","1.07","1.08","1.06","1.1","1.08","1.07","1.1","1.18","1.06","1.08","1.07","1.02","1.08","1.19","1.07","1.11","0.84","0.9","0.88","0.88","0.88","0.84","0.83","0.84","0.78","0.79","0.93","0.97","1","1.12","1.16","1.17","1.19","1.17","1.18","1.2","1.15","1.16","1.08","0.99","0.97","1.02","1.03","0.98","1.03","1.07","1.06","1.06","1.07","1.05","1.08","1.05","1.04","1.07","1.12","1.03","1.06","1.04","1.01","1.06","1.14","1.05","1.11"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","27.71","35.71","55.41","64.96","62.54","77.06","85.08","84.79","69.86","80.93","72.87","85.56","84.41","87.79","90.04","93.45","93.3","94.98","95.88","96.11","93.81","93.49","90.91","86.54","80.15","79.39","73.62","78.97","85.59","90.23","88.88","90.38","89.79","89.89","91.94","91.65","87.51","91.24","91.95","83.82","68.14","74.88","73.11","74.83","71.38","63.48","63.46","79.34","64.37","70.03","67.43","64.22","72.73","76.66","75.35","59.26","74.18","64.09","77.78","78.89","86.72","87.81","89.54","88.74","88.81","91.06","92.03","89.63","89.66","88.67","86.44","88.83","90.2","87.15","87.91","89.86","92.83","91.25","91.8","90.55","90.85","91.57","90.16","86.76","88.95","87.64","88.2","85.25","86.38","86.88","87.16","87.39","86.86","86.36","77.99","79.01","77.88","72.98","72.01","77.92","76.96","77.82","68.68","81.72","74.34","82.07","82.49","85.15","85.72","87.39","85.86","85.58","88.2","88.42","86.58","87.1","85.91","83.41","86.02","88.68","86.15","86.66","88.96","91.74","90.86","91.59","90.43","90.63","91.76","90.26","88.47","90.39","88.17","89.57","86.72","88.52","88.76","89.04","88.68","88.48","88.42"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-2.3148","-2.3164","-9.1257","-9.3087","-9.3783","-8.9078","-9.4728","-9.4531","-9.3792","-9.6095","-9.6991","-11.547","-14.2975","-23.917","-24.6701","-24.1635","-24.3714","-24.0481","-23.4634","-23.3994","-22.6489","-22.4767","-17.3209","-14.2939","-11.3776","-7.4242","-7.1826","-26.3244","-30.4916","-30.4329","-30.8575","-30.7441","-31.1956","-30.9154","-31.1267","-30.4557","-31.2071","-30.9839","-31.204","-13.7739","-8.381","-8.7531","-8.7457","-9.2816","-9.4772","-7.5066","-8.2226","-12.4258","-6.7838","-9.1257","-9.3087","-9.3783","-8.9078","-9.4728","-9.4531","-9.3792","-9.6095","-9.6991","-11.547","-14.2975","-23.917","-24.6701","-24.1635","-24.3714","-24.0481","-23.4634","-23.3994","-22.6489","-22.4767","-21.2637","-19.5104","-18.8669","-19.8486","-20.4169","-26.3244","-30.4916","-30.4329","-30.8575","-30.7441","-31.1956","-30.9154","-31.1267","-30.4557","-31.2071","-30.9839","-31.204","-29.8426","-31.5737","-30.7681","-30.4348","-31.2819","-32.415","-31.5127","-32.0627","-14.0701","-14.4325","-13.6351","-12.8598","-12.7615","-12.639","-13.3458","-13.6582","-12.0918","-12.2333","-13.0339","-12.6189","-14.2975","-23.917","-24.6701","-24.1635","-24.3714","-24.0481","-23.4634","-23.3994","-22.6489","-22.4767","-21.2637","-19.5104","-18.8669","-19.8486","-20.4169","-26.3244","-30.4916","-30.4329","-30.8575","-30.7441","-31.1956","-30.9154","-31.1267","-30.4557","-31.2071","-30.9839","-31.204","-29.8426","-31.5737","-30.7681","-30.4348","-31.2819","-32.415","-31.5127","-32.0627"
"B Max Drawdown","-2.9033","-2.9033","-9.7411","-9.7411","-10.5811","-10.5811","-10.5811","-10.5811","-10.5811","-10.5811","-10.5811","-10.5811","-10.5811","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-16.7416","-15.8126","-11.4984","-7.6691","-7.669","-18.5281","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-16.0505","-10.5021","-10.5021","-10.5021","-10.5021","-10.5021","-10.5021","-10.5021","-10.5262","-5.1205","-9.7411","-9.7411","-10.5811","-10.5811","-10.5811","-10.5811","-10.5811","-10.5811","-10.5811","-10.5811","-10.5811","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-11.8362","-11.8362","-11.8362","-11.4136","-10.5811","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312"
"MD DIFF(P-B)","0.5885","0.5869","0.615399999999999","0.432399999999999","1.2028","1.6733","1.1083","1.128","1.2019","0.971599999999999","0.882","-0.965900000000001","-3.7164","-3.9577","-4.7108","-4.2042","-4.4121","-4.0888","-3.5041","-3.4401","-2.6896","-2.5174","-0.579300000000003","1.5187","0.120800000000001","0.2449","0.4864","-7.7963","1.0396","1.0983","0.673699999999997","0.787099999999999","0.335599999999999","0.615799999999997","0.404499999999999","1.0755","0.324099999999998","0.5473","0.327199999999998","2.2766","2.1211","1.749","1.7564","1.2205","1.0249","2.9955","2.2795","-1.8996","-1.6633","0.615399999999999","0.432399999999999","1.2028","1.6733","1.1083","1.128","1.2019","0.971599999999999","0.882","-0.965900000000001","-3.7164","-3.9577","-4.7108","-4.2042","-4.4121","-4.0888","-3.5041","-3.4401","-2.6896","-2.5174","-1.3044","0.448899999999998","1.0924","0.110699999999998","-0.457599999999999","-6.3651","1.0396","1.0983","0.673699999999997","0.787099999999999","0.335599999999999","0.615799999999997","0.404499999999999","1.0755","0.324099999999998","0.5473","0.327199999999998","1.6886","-0.0425000000000004","0.763099999999998","1.0964","0.249299999999998","-0.883800000000001","0.0184999999999995","-0.531500000000001","-0.7422","-1.1046","-0.3072","0.4681","0.5664","0.6889","-0.0179000000000009","-0.330300000000001","-0.255599999999999","-0.3971","-1.1977","-1.2053","-3.7164","-3.9577","-4.7108","-4.2042","-4.4121","-4.0888","-3.5041","-3.4401","-2.6896","-2.5174","-1.3044","0.448899999999998","1.0924","0.110699999999998","-0.457599999999999","-6.3651","1.0396","1.0983","0.673699999999997","0.787099999999999","0.335599999999999","0.615799999999997","0.404499999999999","1.0755","0.324099999999998","0.5473","0.327199999999998","1.6886","-0.0425000000000004","0.763099999999998","1.0964","0.249299999999998","-0.883800000000001","0.0184999999999995","-0.531500000000001"
