"","2013-06-11_to_2015-06-12_CorePortfolio_2QRank","2013-07-11_to_2015-07-12_CorePortfolio_2QRank","2013-08-12_to_2015-08-12_CorePortfolio_2QRank","2013-09-11_to_2015-09-12_CorePortfolio_2QRank","2013-10-11_to_2015-10-12_CorePortfolio_2QRank","2013-11-11_to_2015-11-12_CorePortfolio_2QRank","2013-12-11_to_2015-12-12_CorePortfolio_2QRank","2014-01-13_to_2016-01-12_CorePortfolio_2QRank","2014-02-11_to_2016-02-12_CorePortfolio_2QRank","2014-03-11_to_2016-03-12_CorePortfolio_2QRank","2014-04-11_to_2016-04-12_CorePortfolio_2QRank","2014-05-12_to_2016-05-12_CorePortfolio_2QRank","2014-06-11_to_2016-06-12_CorePortfolio_2QRank","2014-07-11_to_2016-07-12_CorePortfolio_2QRank","2014-08-11_to_2016-08-12_CorePortfolio_2QRank","2014-09-11_to_2016-09-12_CorePortfolio_2QRank","2014-10-13_to_2016-10-12_CorePortfolio_2QRank","2014-11-11_to_2016-11-12_CorePortfolio_2QRank","2014-12-11_to_2016-12-12_CorePortfolio_2QRank","2015-01-12_to_2017-01-12_CorePortfolio_2QRank","2015-02-11_to_2017-02-12_CorePortfolio_2QRank","2015-03-11_to_2017-03-12_CorePortfolio_2QRank","2015-04-13_to_2017-04-12_CorePortfolio_2QRank","2015-05-11_to_2017-05-12_CorePortfolio_2QRank","2015-06-11_to_2017-06-12_CorePortfolio_2QRank","2015-07-13_to_2017-07-12_CorePortfolio_2QRank","2015-08-11_to_2017-08-12_CorePortfolio_2QRank","2015-09-11_to_2017-09-12_CorePortfolio_2QRank","2015-10-12_to_2017-10-12_CorePortfolio_2QRank","2015-11-11_to_2017-11-12_CorePortfolio_2QRank","2015-12-11_to_2017-12-12_CorePortfolio_2QRank","2016-01-11_to_2018-01-12_CorePortfolio_2QRank","2016-02-11_to_2018-02-12_CorePortfolio_2QRank","2016-03-11_to_2018-03-12_CorePortfolio_2QRank","2016-04-11_to_2018-04-12_CorePortfolio_2QRank","2016-05-11_to_2018-05-12_CorePortfolio_2QRank","2016-06-13_to_2018-06-12_CorePortfolio_2QRank","2016-07-11_to_2018-07-12_CorePortfolio_2QRank","2016-08-11_to_2018-08-12_CorePortfolio_2QRank","2016-09-12_to_2018-09-12_CorePortfolio_2QRank","2016-10-11_to_2018-10-12_CorePortfolio_2QRank","2016-11-11_to_2018-11-12_CorePortfolio_2QRank","2016-12-12_to_2018-12-12_CorePortfolio_2QRank","2017-01-11_to_2019-01-12_CorePortfolio_2QRank","2017-02-13_to_2019-02-12_CorePortfolio_2QRank","2017-03-13_to_2019-03-12_CorePortfolio_2QRank","2017-04-11_to_2019-04-12_CorePortfolio_2QRank","2017-05-11_to_2019-05-12_CorePortfolio_2QRank","2017-06-12_to_2019-06-12_CorePortfolio_2QRank","2017-07-11_to_2019-07-12_CorePortfolio_2QRank","2017-08-11_to_2019-08-12_CorePortfolio_2QRank","2017-09-11_to_2019-09-12_CorePortfolio_2QRank","2017-10-11_to_2019-10-12_CorePortfolio_2QRank","2017-11-13_to_2019-11-12_CorePortfolio_2QRank","2017-12-11_to_2019-12-12_CorePortfolio_2QRank","2018-01-11_to_2020-01-12_CorePortfolio_2QRank","2018-02-12_to_2020-02-12_CorePortfolio_2QRank","2018-03-12_to_2020-03-12_CorePortfolio_2QRank","2018-04-11_to_2020-04-12_CorePortfolio_2QRank","2018-05-11_to_2020-05-12_CorePortfolio_2QRank","2018-06-11_to_2020-06-12_CorePortfolio_2QRank","2018-07-11_to_2020-07-12_CorePortfolio_2QRank","2018-08-13_to_2020-08-12_CorePortfolio_2QRank","2018-09-11_to_2020-09-12_CorePortfolio_2QRank","2018-10-11_to_2020-10-12_CorePortfolio_2QRank","2018-11-12_to_2020-11-12_CorePortfolio_2QRank","2018-12-11_to_2020-12-12_CorePortfolio_2QRank","2019-01-11_to_2021-01-12_CorePortfolio_2QRank","2019-02-11_to_2021-02-12_CorePortfolio_2QRank","2019-03-11_to_2021-03-12_CorePortfolio_2QRank","2019-04-11_to_2021-04-12_CorePortfolio_2QRank","2019-05-13_to_2021-05-12_CorePortfolio_2QRank","2019-06-11_to_2021-06-12_CorePortfolio_2QRank","2019-07-11_to_2021-07-12_CorePortfolio_2QRank","2019-08-12_to_2021-08-12_CorePortfolio_2QRank","2019-09-11_to_2021-09-12_CorePortfolio_2QRank"
"P Information Ratio","1.44","1.11","1.57","1.55","1.26","0.99","0.23","0.62","0.42","0.74","0.85","0.9","0.96","0.72","1.04","1.17","0.81","2.23","1.35","1.58","2.57","1.2","1.26","1.77","1.57","2.18","1.63","2","0.02","0.5","0.72","-0.19","1.62","1.62","-0.1","1.06","0.61","-0.27","0.59","1.24","0.96","1.21","1.32","1.91","1.3","1.09","0.69","0.23","-0.05","-0.01","-0.26","-0.34","-0.29","-0.64","-0.2","-0.55","-1.37","-0.49","-1.14","-0.49","-1.22","-0.95","-0.95","-0.75","-0.9","0.21","0.4","-1.09","0.03","0.34","0.65","-0.8","-0.44","-0.49","-0.32","-0.2"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.35","0.3","0.37","0.32","0.34","0.21","0.15","0.22","0.14","0.23","0.25","0.19","0.17","0.29","0.33","0.37","0.26","0.54","0.4","0.39","0.64","0.25","0.31","0.32","0.43","0.48","0.61","0.55","0.01","0","0.01","0.13","0.07","0.15","-0.01","0.19","0.13","0.01","0.07","0.24","0.12","0.19","0.26","0.33","0.28","0.28","0.2","0.12","0","0.08","-0.07","-0.05","0.01","-0.09","0.02","-0.05","-0.23","-0.16","-0.37","-0.14","-0.32","-0.34","-0.3","-0.38","-0.27","0","-0.02","-0.37","-0.1","0.01","0.11","-0.39","-0.07","-0.11","-0.02","0.07"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","0.96","0.99","1.02","1.04","0.98","0.94","0.95","0.93","0.96","0.93","0.93","0.95","0.96","0.84","0.85","0.87","0.84","0.9","0.91","0.96","0.92","0.92","0.98","1.01","1.01","0.99","0.89","0.91","1.12","1.08","1.02","0.91","1.05","1.06","1.01","1.02","1.01","0.99","1.05","0.94","0.96","1","0.94","0.93","0.95","0.98","0.94","0.9","0.92","0.93","0.94","0.91","0.89","0.93","0.93","0.95","0.91","0.9","0.97","0.94","0.98","1","1.01","0.94","0.91","1.05","1.1","0.99","1.08","1.12","1.18","1","0.95","0.96","0.94","0.94"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","87.89","86.47","88.52","90.6","89.84","93.95","94.19","90.42","94.26","92.56","92.01","95.69","96.45","93.21","94.1","95.67","92.37","93.33","94.82","94.54","93.19","94.84","94.49","94.68","91.32","93.17","88.15","90.41","89.86","95.29","92.64","85.59","88.98","90.6","93.96","92.87","94.18","95.09","96.18","92.14","93.43","94.99","95.12","96.07","95.04","94.68","94.73","93.09","94.15","94.61","93.39","93.39","96.53","96.48","97.21","96.39","94.55","95.07","95.57","96.37","95.94","94.78","96.49","94.87","92.9","97.64","96.58","94.81","95.1","95.85","95.76","92.4","93.52","89.2","92.1","92.22"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-7.4872","-6.994","-7.8776","-12.3944","-11.8902","-12.4824","-11.9282","-11.5346","-14.6363","-13.3343","-14.393","-13.3129","-13.6008","-11.5001","-12.3514","-12.4489","-13.6441","-13.1999","-13.4996","-14.0922","-13.3123","-12.6761","-13.9079","-14.0121","-14.1652","-12.8951","-12.157","-12.0934","-13.4237","-12.8029","-12.1238","-5.0955","-9.5238","-9.3822","-10.7297","-10.7378","-10.7431","-10.585","-11.377","-10.0501","-10.733","-11.0698","-11.0773","-17.1206","-16.9934","-17.1274","-17.0278","-16.7564","-17.3647","-17.3442","-16.4983","-16.9349","-17.1042","-18.4857","-18.1405","-17.1627","-17.1673","-25.9942","-34.6655","-33.7507","-35.2286","-36.3451","-35.0432","-33.8922","-34.4587","-34.7905","-34.1432","-34.0771","-32.9858","-33.5331","-35.2136","-35.495","-33.9421","-35.3032","-33.3088","-34.3721"
"B Max Drawdown","-7.5098","-7.5098","-7.5098","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-11.8362","-11.8362","-11.8362","-11.4136","-10.5262","-5.1204","-10.3384","-10.3384","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-26.0386","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312"
"MD DIFF(P-B)","0.0226000000000006","0.5158","-0.3678","0.9335","1.4377","0.845499999999999","1.3997","1.7933","-1.3084","-0.00640000000000107","-1.0651","0.0149999999999988","-0.2729","1.8278","0.9765","0.879","-0.3162","0.128","-0.1717","-0.7643","0.0155999999999992","0.6518","-0.58","-0.684200000000001","-0.837300000000001","0.4328","-0.3208","-0.257200000000001","-1.5875","-1.3893","-1.5976","0.0248999999999997","0.8146","0.956200000000001","0.443100000000001","0.435","0.4297","0.5878","-0.2042","1.1227","0.4398","0.103","0.0955000000000013","2.8387","2.9659","2.8319","2.9315","3.2029","2.5946","2.6151","3.461","3.0244","2.8551","1.4736","1.8188","2.7966","2.792","0.0443999999999996","-3.1343","-2.2195","-3.6974","-4.8139","-3.512","-2.361","-2.9275","-3.2593","-2.612","-2.5459","-1.4546","-2.0019","-3.6824","-3.9638","-2.41090000000001","-3.772","-1.7776","-2.8409"
