"","1 Y 2017-12-12 to 2018-12-13","1 Y 2018-01-12 to 2019-01-13","1 Y 2018-02-12 to 2019-02-13","1 Y 2018-03-12 to 2019-03-13","1 Y 2018-04-12 to 2019-04-13","1 Y 2018-05-14 to 2019-05-13","1 Y 2018-06-12 to 2019-06-13","1 Y 2018-07-12 to 2019-07-13","1 Y 2018-08-13 to 2019-08-13","1 Y 2018-09-12 to 2019-09-13","1 Y 2018-10-12 to 2019-10-13","1 Y 2018-11-12 to 2019-11-13","1 Y 2018-12-12 to 2019-12-13","1 Y 2019-01-14 to 2020-01-13","1 Y 2019-02-12 to 2020-02-13","1 Y 2019-03-12 to 2020-03-13","1 Y 2019-04-12 to 2020-04-13","1 Y 2019-05-13 to 2020-05-13","1 Y 2019-06-12 to 2020-06-13","1 Y 2019-07-12 to 2020-07-13","1 Y 2019-08-12 to 2020-08-13","1 Y 2019-09-12 to 2020-09-13","1 Y 2019-10-14 to 2020-10-13","1 Y 2019-11-12 to 2020-11-13","1 Y 2019-12-12 to 2020-12-13","1 Y 2020-01-13 to 2021-01-13","1 Y 2020-02-12 to 2021-02-13","1 Y 2020-03-12 to 2021-03-13","1 Y 2020-04-13 to 2021-04-13","1 Y 2020-05-12 to 2021-05-13","1 Y 2020-06-12 to 2021-06-13","1 Y 2020-07-13 to 2021-07-13","1 Y 2020-08-12 to 2021-08-13","1 Y 2020-09-14 to 2021-09-13"
"P Information Ratio","-0.48","-0.43","-0.14","-0.26","-0.3","0.17","0.33","-0.18","0.23","0.04","-0.14","-1.88","-1.83","-2.5","-2.57","-2.9","-1.88","-2.45","-1.43","-1.01","-3.13","-3.38","-0.53","-0.73","0.08","-1.04","-1.35","-0.32","-0.76","0.58","0.01","0.03","0.18","0"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","-0.05","-0.2","0","0","-0.04","0.1","0.2","-0.09","0.13","0.09","-0.11","-0.35","-0.21","-0.09","-0.34","-0.39","-0.41","-0.42","-0.23","-0.51","-1.04","-1.27","-0.24","-0.27","-0.09","-0.55","-0.54","0.34","0.4","0.12","0.7","0.53","0.55","0.03"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","0.9","0.93","0.91","0.98","0.93","0.9","0.9","0.9","0.9","0.86","0.93","0.92","0.92","0.87","0.93","0.97","1.05","1.03","1.04","1.03","0.97","0.95","1.09","1.03","1.12","0.95","0.93","0.86","0.91","0.89","0.84","0.86","0.92","1.04"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","89.22","91.65","93.1","92.28","88.61","89.41","90.64","92.36","93.5","91.43","93.85","97.84","96.54","96.25","96.15","98.02","98.23","98.79","98.75","98.4","96.16","97.45","96.78","97.01","94.57","92.09","90.19","80.89","75.36","71.72","72.07","66.57","69.66","68.63"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-11.7895","-18.729","-17.1011","-17.5419","-16.9035","-16.3284","-16.3221","-16.519","-16.1669","-15.7639","-14.8709","-14.5683","-10.2748","-6.0955","-6.5862","-27.046","-34.756","-34.7507","-35.1346","-35.0279","-33.9671","-33.7593","-35.1424","-34.983","-35.4316","-34.5009","-34.124","-18.7861","-9.4823","-9.9162","-7.5091","-7.403","-7.5144","-7.1866"
"B Max Drawdown","-11.1728","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-16.7416","-15.8126","-11.4984","-7.6691","-7.6691","-26.0386","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-15.9392","-10.5021","-10.5021","-10.5021","-10.502","-10.5021","-7.9326"
"MD DIFF(P-B)","-0.6167","1.2303","2.8582","2.4174","3.0558","3.6309","3.6372","3.4403","3.7924","4.1954","1.8707","1.2443","1.2236","1.5736","1.0829","-1.0074","-3.2248","-3.2195","-3.6034","-3.4967","-2.4359","-2.2281","-3.6112","-3.4518","-3.9004","-2.9697","-2.5928","-2.8469","1.0198","0.585900000000001","2.993","3.099","2.9877","0.746"
