"","2015-12-11_to_2017-12-12_ValuePortfolio_12QRank","2016-01-11_to_2018-01-12_ValuePortfolio_12QRank","2016-02-11_to_2018-02-12_ValuePortfolio_12QRank","2016-03-11_to_2018-03-12_ValuePortfolio_12QRank","2016-04-11_to_2018-04-12_ValuePortfolio_12QRank","2016-05-11_to_2018-05-12_ValuePortfolio_12QRank","2016-06-13_to_2018-06-12_ValuePortfolio_12QRank","2016-07-11_to_2018-07-12_ValuePortfolio_12QRank","2016-08-11_to_2018-08-12_ValuePortfolio_12QRank","2016-09-12_to_2018-09-12_ValuePortfolio_12QRank","2016-10-11_to_2018-10-12_ValuePortfolio_12QRank","2016-11-11_to_2018-11-12_ValuePortfolio_12QRank","2016-12-12_to_2018-12-12_ValuePortfolio_12QRank","2017-01-11_to_2019-01-12_ValuePortfolio_12QRank","2017-02-13_to_2019-02-12_ValuePortfolio_12QRank","2017-03-13_to_2019-03-12_ValuePortfolio_12QRank","2017-04-11_to_2019-04-12_ValuePortfolio_12QRank","2017-05-11_to_2019-05-12_ValuePortfolio_12QRank","2017-06-12_to_2019-06-12_ValuePortfolio_12QRank","2017-07-11_to_2019-07-12_ValuePortfolio_12QRank","2017-08-11_to_2019-08-12_ValuePortfolio_12QRank","2017-09-11_to_2019-09-12_ValuePortfolio_12QRank","2017-10-11_to_2019-10-12_ValuePortfolio_12QRank","2017-11-13_to_2019-11-12_ValuePortfolio_12QRank","2017-12-11_to_2019-12-12_ValuePortfolio_12QRank","2018-01-11_to_2020-01-12_ValuePortfolio_12QRank","2018-02-12_to_2020-02-12_ValuePortfolio_12QRank","2018-03-12_to_2020-03-12_ValuePortfolio_12QRank","2018-04-11_to_2020-04-12_ValuePortfolio_12QRank","2018-05-11_to_2020-05-12_ValuePortfolio_12QRank","2018-06-11_to_2020-06-12_ValuePortfolio_12QRank","2018-07-11_to_2020-07-12_ValuePortfolio_12QRank","2018-08-13_to_2020-08-12_ValuePortfolio_12QRank","2018-09-11_to_2020-09-12_ValuePortfolio_12QRank","2018-10-11_to_2020-10-12_ValuePortfolio_12QRank","2018-11-12_to_2020-11-12_ValuePortfolio_12QRank","2018-12-11_to_2020-12-12_ValuePortfolio_12QRank","2019-01-11_to_2021-01-12_ValuePortfolio_12QRank","2019-02-11_to_2021-02-12_ValuePortfolio_12QRank","2019-03-11_to_2021-03-12_ValuePortfolio_12QRank","2019-04-11_to_2021-04-12_ValuePortfolio_12QRank","2019-05-13_to_2021-05-12_ValuePortfolio_12QRank","2019-06-11_to_2021-06-12_ValuePortfolio_12QRank","2019-07-11_to_2021-07-12_ValuePortfolio_12QRank","2019-08-12_to_2021-08-12_ValuePortfolio_12QRank","2019-09-11_to_2021-09-12_ValuePortfolio_12QRank"
"P Information Ratio","0.25","0.09","1.26","-0.31","-0.08","-0.31","0.39","0.29","-0.04","-0.19","-0.4","-0.83","-1.07","-0.78","-0.55","-0.58","-0.72","-0.16","-0.5","-1.03","-0.92","-1.25","-1.26","-0.84","-0.96","-1.02","-1.12","-0.67","-1.69","-1.47","-2.19","-1.95","-2.17","-1.96","-2.41","-1.8","-1.43","-1.88","-2.17","-1.36","-1.4","-1.03","0.74","-1.29","-1.44","-1.63"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.26","-0.02","0.34","-0.03","-0.19","-0.08","0.22","0.15","-0.02","-0.15","-0.23","-0.09","-0.27","-0.21","-0.14","-0.09","-0.22","-0.05","-0.2","-0.45","-0.4","-0.65","-0.28","-0.32","-0.36","-0.18","-0.18","-0.39","-0.87","-0.76","-1.3","-0.69","-1.31","-1.52","-1.74","-1.3","-1.33","-1.33","-1.1","-0.76","-0.61","-0.65","0.34","-0.69","-0.87","-1.07"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","0.75","1.08","1.11","0.97","1.01","0.98","1.1","1.08","1.04","1.02","0.96","0.62","0.81","0.93","0.96","0.96","1","0.97","1.01","1.05","1.02","1.06","0.93","0.94","0.89","0.78","0.8","0.87","0.99","0.91","0.97","0.9","0.96","0.87","0.94","1","1.07","0.9","0.85","0.92","0.81","0.87","1.51","0.83","0.83","0.83"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","47.14","59.12","41.86","61.54","63.42","63.46","50.84","42.08","49.38","46.31","49.57","56.65","69.34","85.25","87.73","90.97","86.6","87.5","90.27","89.53","86.45","92.76","88.5","89.75","85.94","81.83","81.06","85.99","87.69","89.71","88.01","91.66","84.87","80.27","80.54","84.17","77.43","80.55","80.13","81.45","73.1","74.87","73.49","66.48","59.7","61.49"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-8.0173","-5.224","-9.8161","-9.6348","-12.1701","-12.4337","-12.7392","-12.8701","-13.134","-13.2167","-12.5806","-12.2318","-14.0535","-19.888","-19.6183","-21.5958","-20.6792","-19.7299","-20.3904","-22.9591","-21.3183","-22.7368","-18.7936","-19.5702","-18.5159","-15.41","-16.3444","-26.5643","-34.127","-30.8103","-35.2842","-32.0243","-35.7269","-35.7871","-37.6969","-37.9038","-38.2644","-35.248","-33.7745","-34.664","-33.7956","-33.7327","-37.0232","-34.2745","-36.3704","-36.4771"
"B Max Drawdown","-10.5262","-5.1204","-10.3384","-10.3384","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-26.0386","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312"
"MD DIFF(P-B)","2.5089","-0.1036","0.5223","0.7036","-0.997299999999999","-1.2609","-1.5664","-1.6973","-1.9612","-2.0439","-1.4078","-1.059","-2.8807","0.0712999999999973","0.340999999999998","-1.6365","-0.719900000000003","0.229399999999998","-0.431100000000001","-2.9998","-1.359","-2.7775","1.1657","0.389099999999999","1.4434","4.5493","3.6149","-0.525700000000001","-2.5958","0.720899999999997","-3.753","-0.493099999999998","-4.1957","-4.2559","-6.1657","-6.3726","-6.7332","-3.7168","-2.2433","-3.1328","-2.2644","-2.2015","-5.492","-2.7433","-4.8392","-4.9459"
