"","1 Y 2014-06-11 to 2015-06-12","1 Y 2014-07-11 to 2015-07-12","1 Y 2014-08-11 to 2015-08-12","1 Y 2014-09-11 to 2015-09-12","1 Y 2014-10-13 to 2015-10-12","1 Y 2014-11-11 to 2015-11-12","1 Y 2014-12-11 to 2015-12-12","1 Y 2015-01-12 to 2016-01-12","1 Y 2015-02-11 to 2016-02-12","1 Y 2015-03-11 to 2016-03-12","1 Y 2015-04-13 to 2016-04-12","1 Y 2015-05-11 to 2016-05-12","1 Y 2015-06-11 to 2016-06-12","1 Y 2015-07-13 to 2016-07-12","1 Y 2015-08-11 to 2016-08-12","1 Y 2015-09-11 to 2016-09-12","1 Y 2015-10-12 to 2016-10-12","1 Y 2015-11-11 to 2016-11-12","1 Y 2015-12-11 to 2016-12-12","1 Y 2016-01-11 to 2017-01-12","1 Y 2016-02-11 to 2017-02-12","1 Y 2016-03-11 to 2017-03-12","1 Y 2016-04-11 to 2017-04-12","1 Y 2016-05-11 to 2017-05-12","1 Y 2016-06-13 to 2017-06-12","1 Y 2016-07-11 to 2017-07-12","1 Y 2016-08-11 to 2017-08-12","1 Y 2016-09-12 to 2017-09-12","1 Y 2016-10-11 to 2017-10-12","1 Y 2016-11-11 to 2017-11-12","1 Y 2016-12-12 to 2017-12-12","1 Y 2017-01-11 to 2018-01-12","1 Y 2017-02-13 to 2018-02-12","1 Y 2017-03-13 to 2018-03-12","1 Y 2017-04-11 to 2018-04-12","1 Y 2017-05-11 to 2018-05-12","1 Y 2017-06-12 to 2018-06-12","1 Y 2017-07-11 to 2018-07-12","1 Y 2017-08-11 to 2018-08-12","1 Y 2017-09-11 to 2018-09-12","1 Y 2017-10-11 to 2018-10-12","1 Y 2017-11-13 to 2018-11-12","1 Y 2017-12-11 to 2018-12-12","1 Y 2018-01-11 to 2019-01-12","1 Y 2018-02-12 to 2019-02-12","1 Y 2018-03-12 to 2019-03-12","1 Y 2018-04-11 to 2019-04-12","1 Y 2018-05-11 to 2019-05-12","1 Y 2018-06-11 to 2019-06-12","1 Y 2018-07-11 to 2019-07-12","1 Y 2018-08-13 to 2019-08-12","1 Y 2018-09-11 to 2019-09-12","1 Y 2018-10-11 to 2019-10-12","1 Y 2018-11-12 to 2019-11-12","1 Y 2018-12-11 to 2019-12-12","1 Y 2019-01-11 to 2020-01-12","1 Y 2019-02-11 to 2020-02-12","1 Y 2019-03-11 to 2020-03-12","1 Y 2019-04-11 to 2020-04-12","1 Y 2019-05-13 to 2020-05-12","1 Y 2019-06-11 to 2020-06-12","1 Y 2019-07-11 to 2020-07-12","1 Y 2019-08-12 to 2020-08-12","1 Y 2019-09-11 to 2020-09-12","1 Y 2019-10-11 to 2020-10-12","1 Y 2019-11-11 to 2020-11-12","1 Y 2019-12-11 to 2020-12-12","1 Y 2020-01-13 to 2021-01-12","1 Y 2020-02-11 to 2021-02-12","1 Y 2020-03-11 to 2021-03-12","1 Y 2020-04-13 to 2021-04-12","1 Y 2020-05-11 to 2021-05-12","1 Y 2020-06-11 to 2021-06-12","1 Y 2020-07-13 to 2021-07-12","1 Y 2020-08-11 to 2021-08-12","1 Y 2020-09-11 to 2021-09-12"
"P Information Ratio","1.86","1.91","2.96","2.27","3.43","2.58","0.76","2.33","0.71","0.82","0.88","1.23","0.91","1.85","0.45","1.81","0.05","0.54","1.11","0.73","1.59","0.6","-0.9","-2.58","-2.02","-1.7","-1.99","-0.18","0.21","-1.69","-1.94","-0.91","0.94","1.49","1.22","0.13","-0.04","-1.44","-0.49","-0.73","-0.62","-0.28","0.28","0.49","0.27","0.34","0.13","0.59","0.52","0.08","0.07","0.22","0.04","-0.62","-0.19","-2","-1.78","-2.05","-1.21","-2.78","-2.52","-2.73","-2.79","-3.1","-2.76","-1.19","0.31","-0.94","-0.72","-0.11","-0.25","0.13","0.07","-0.06","0.06","-0.25"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.48","0.59","0.76","0.65","0.65","0.29","0.43","0.49","0.26","0.18","0.23","0.31","0.2","0.4","0.36","0.43","0.1","0.02","0.12","0.3","0.12","0.08","-0.32","-0.23","-0.29","-0.31","-0.33","-0.07","0.09","-0.28","-0.37","-0.21","-0.03","0.16","0.25","0.03","-0.03","-0.05","-0.03","-0.15","-0.05","-0.14","0.11","0.03","0.13","0.06","0.15","0.26","0.2","0.07","0.08","0.16","0.07","-0.19","0.01","-0.19","-0.37","-0.3","-0.51","-0.93","-1","-1.04","-1.36","-1.27","-1.16","-0.39","0.02","-0.5","-0.4","0.3","0.34","0.15","0.82","0.49","0.53","0.05"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","1.03","0.96","0.94","0.99","0.99","0.94","0.92","0.89","0.89","0.94","0.96","1.01","0.98","0.98","0.88","0.94","1.08","1.05","1.02","0.95","0.99","1.01","1.05","0.99","1.03","1.06","0.98","0.98","0.92","1.07","1.13","1.09","1.09","1.06","0.97","0.98","0.99","0.98","1.05","0.9","0.95","0.86","0.87","0.89","0.86","0.92","0.89","0.9","0.9","0.85","0.94","0.89","0.95","0.95","0.94","1","0.97","1.01","1.05","1.07","1.07","1.12","1.12","1.06","1.03","1.07","1.14","1.01","1.01","0.92","0.94","0.82","0.82","0.85","0.87","0.99"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","87.43","90.93","89.46","92.49","93.86","97.97","97.26","97.58","91.94","93.86","95.26","96.02","96.43","95.66","94.69","96.16","92.82","92.39","94.27","92.78","94.2","84.51","84.15","89.09","94.53","87.18","84.68","84.68","79.31","83.51","90.12","87.49","94.29","96.35","97.06","96.79","96.5","96.63","95.34","88.35","94.32","93.68","88.17","92.83","92.61","92.81","93.45","93.37","94.11","92.69","94.8","93.47","94.97","97.17","94.88","96.51","92.36","96.96","96.89","96.91","96.27","96.74","97.02","97.57","94.66","97.33","95.85","94.21","93.69","88.51","89.42","70.73","72.06","70.29","72.87","70.88"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-7.4765","-7.51","-7.4887","-11.2352","-11.0376","-11.6069","-11.2503","-11.1482","-13.8561","-14.1584","-14.0376","-15.0213","-13.2172","-13.3839","-12.893","-12.2652","-13.4906","-13.6516","-12.2538","-5.2721","-4.7139","-5.1087","-5.8062","-5.6403","-5.6267","-6.1224","-6.1659","-4.4108","-2.8864","-3.4562","-3.4262","-3.4563","-9.6015","-9.9006","-10.587","-11.06","-10.8165","-11.1928","-11.7734","-11.0268","-11.3941","-11.4897","-11.5089","-16.5382","-15.9479","-16.8041","-16.5703","-16.2772","-16.4309","-15.6934","-16.6542","-15.3603","-13.9309","-14.2813","-10.2837","-7.3768","-7.0217","-27.6002","-34.497","-35.099","-35.8677","-35.942","-35.6645","-34.5494","-35.708","-35.2143","-35.1743","-35.2564","-34.8698","-17.805","-8.4189","-9.3234","-7.6713","-8.1434","-8.0772","-7.9327"
"B Max Drawdown","-7.5098","-7.5098","-7.5098","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-11.8362","-11.8362","-11.8362","-11.4136","-10.5262","-5.1204","-5.1204","-5.1204","-5.1204","-5.1205","-4.8468","-4.6428","-4.6428","-4.0864","-3.2324","-2.9033","-2.9033","-2.9033","-10.3384","-10.3384","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-16.7416","-15.8126","-11.4984","-7.6691","-7.6691","-26.0386","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-15.9392","-10.5021","-10.5021","-10.5021","-10.502","-10.5021","-7.9326"
"MD DIFF(P-B)","0.0333000000000006","-0.000199999999999534","0.0211000000000006","2.0927","2.2903","1.721","2.0776","2.1797","-0.5282","-0.830500000000001","-0.7097","-1.6934","0.1107","-0.0560000000000009","-1.0568","-0.429","-1.6544","-2.238","-1.7276","-0.1517","0.4065","0.0117000000000003","-0.6858","-0.5198","-0.7799","-1.4796","-1.5231","-0.3244","0.346","-0.5529","-0.5229","-0.553","0.7369","0.437799999999999","0.585800000000001","0.1128","0.356300000000001","-0.0199999999999996","-0.6006","0.146000000000001","-0.221299999999999","-0.316899999999999","-0.3361","3.4211","4.0114","3.1552","3.389","3.6821","3.5284","4.2659","3.3051","4.599","2.8107","1.5313","1.2147","0.2923","0.6474","-1.5616","-2.9658","-3.5678","-4.3365","-4.4108","-4.1333","-3.0182","-4.1768","-3.6831","-3.6431","-3.7252","-3.3386","-1.8658","2.0832","1.1787","2.8308","2.3586","2.4249","-9.99999999997669e-05"
