"","1 Y 2014-06-11 to 2016-06-12","1 Y 2014-07-11 to 2016-07-12","1 Y 2014-08-11 to 2016-08-12","1 Y 2014-09-11 to 2016-09-12","1 Y 2014-10-13 to 2016-10-12","1 Y 2014-11-11 to 2016-11-12","1 Y 2014-12-11 to 2016-12-12","1 Y 2015-01-12 to 2017-01-12","1 Y 2015-02-11 to 2017-02-12","1 Y 2015-03-11 to 2017-03-12","1 Y 2015-04-13 to 2017-04-12","1 Y 2015-05-11 to 2017-05-12","1 Y 2015-06-11 to 2017-06-12","1 Y 2015-07-13 to 2017-07-12","1 Y 2015-08-11 to 2017-08-12","1 Y 2015-09-11 to 2017-09-12","1 Y 2015-10-12 to 2017-10-12","1 Y 2015-11-11 to 2017-11-12","1 Y 2015-12-11 to 2017-12-12","1 Y 2016-01-11 to 2018-01-12","1 Y 2016-02-11 to 2018-02-12","1 Y 2016-03-11 to 2018-03-12","1 Y 2016-04-11 to 2018-04-12","1 Y 2016-05-11 to 2018-05-12","1 Y 2016-06-13 to 2018-06-12","1 Y 2016-07-11 to 2018-07-12","1 Y 2016-08-11 to 2018-08-12","1 Y 2016-09-12 to 2018-09-12","1 Y 2016-10-11 to 2018-10-12","1 Y 2016-11-11 to 2018-11-12","1 Y 2016-12-12 to 2018-12-12","1 Y 2017-01-11 to 2019-01-12","1 Y 2017-02-13 to 2019-02-12","1 Y 2017-03-13 to 2019-03-12","1 Y 2017-04-11 to 2019-04-12","1 Y 2017-05-11 to 2019-05-12","1 Y 2017-06-12 to 2019-06-12","1 Y 2017-07-11 to 2019-07-12","1 Y 2017-08-11 to 2019-08-12","1 Y 2017-09-11 to 2019-09-12","1 Y 2017-10-11 to 2019-10-12","1 Y 2017-11-13 to 2019-11-12","1 Y 2017-12-11 to 2019-12-12","1 Y 2018-01-11 to 2020-01-12","1 Y 2018-02-12 to 2020-02-12","1 Y 2018-03-12 to 2020-03-12","1 Y 2018-04-11 to 2020-04-12","1 Y 2018-05-11 to 2020-05-12","1 Y 2018-06-11 to 2020-06-12","1 Y 2018-07-11 to 2020-07-12","1 Y 2018-08-13 to 2020-08-12","1 Y 2018-09-11 to 2020-09-12","1 Y 2018-10-11 to 2020-10-12","1 Y 2018-11-12 to 2020-11-12","1 Y 2018-12-11 to 2020-12-12","1 Y 2019-01-11 to 2021-01-12","1 Y 2019-02-11 to 2021-02-12","1 Y 2019-03-11 to 2021-03-12","1 Y 2019-04-11 to 2021-04-12","1 Y 2019-05-13 to 2021-05-12","1 Y 2019-06-11 to 2021-06-12","1 Y 2019-07-11 to 2021-07-12","1 Y 2019-08-12 to 2021-08-12","1 Y 2019-09-11 to 2021-09-12","2 Y 2014-06-11 to 2016-06-12","2 Y 2014-07-11 to 2016-07-12","2 Y 2014-08-11 to 2016-08-12","2 Y 2014-09-11 to 2016-09-12","2 Y 2014-10-13 to 2016-10-12","2 Y 2014-11-11 to 2016-11-12","2 Y 2014-12-11 to 2016-12-12","2 Y 2015-01-12 to 2017-01-12","2 Y 2015-02-11 to 2017-02-12","2 Y 2015-03-11 to 2017-03-12","2 Y 2015-04-13 to 2017-04-12","2 Y 2015-05-11 to 2017-05-12","2 Y 2015-06-11 to 2017-06-12","2 Y 2015-07-13 to 2017-07-12","2 Y 2015-08-11 to 2017-08-12","2 Y 2015-09-11 to 2017-09-12","2 Y 2015-10-12 to 2017-10-12","2 Y 2015-11-11 to 2017-11-12","2 Y 2015-12-11 to 2017-12-12","2 Y 2016-01-11 to 2018-01-12","2 Y 2016-02-11 to 2018-02-12","2 Y 2016-03-11 to 2018-03-12","2 Y 2016-04-11 to 2018-04-12","2 Y 2016-05-11 to 2018-05-12","2 Y 2016-06-13 to 2018-06-12","2 Y 2016-07-11 to 2018-07-12","2 Y 2016-08-11 to 2018-08-12","2 Y 2016-09-12 to 2018-09-12","2 Y 2016-10-11 to 2018-10-12","2 Y 2016-11-11 to 2018-11-12","2 Y 2016-12-12 to 2018-12-12","2 Y 2017-01-11 to 2019-01-12","2 Y 2017-02-13 to 2019-02-12","2 Y 2017-03-13 to 2019-03-12","2 Y 2017-04-11 to 2019-04-12","2 Y 2017-05-11 to 2019-05-12","2 Y 2017-06-12 to 2019-06-12","2 Y 2017-07-11 to 2019-07-12","2 Y 2017-08-11 to 2019-08-12","2 Y 2017-09-11 to 2019-09-12","2 Y 2017-10-11 to 2019-10-12","2 Y 2017-11-13 to 2019-11-12","2 Y 2017-12-11 to 2019-12-12","2 Y 2018-01-11 to 2020-01-12","2 Y 2018-02-12 to 2020-02-12","2 Y 2018-03-12 to 2020-03-12","2 Y 2018-04-11 to 2020-04-12","2 Y 2018-05-11 to 2020-05-12","2 Y 2018-06-11 to 2020-06-12","2 Y 2018-07-11 to 2020-07-12","2 Y 2018-08-13 to 2020-08-12","2 Y 2018-09-11 to 2020-09-12","2 Y 2018-10-11 to 2020-10-12","2 Y 2018-11-12 to 2020-11-12","2 Y 2018-12-11 to 2020-12-12","2 Y 2019-01-11 to 2021-01-12","2 Y 2019-02-11 to 2021-02-12","2 Y 2019-03-11 to 2021-03-12","2 Y 2019-04-11 to 2021-04-12","2 Y 2019-05-13 to 2021-05-12","2 Y 2019-06-11 to 2021-06-12","2 Y 2019-07-11 to 2021-07-12","2 Y 2019-08-12 to 2021-08-12","2 Y 2019-09-11 to 2021-09-12"
"P Information Ratio","0.24","0.7","0.92","-0.21","0.43","1.3","0.48","1.39","3.6","1.5","0.9","0","1.86","0.55","1.07","1.21","1.86","2.04","1.28","2.09","1.92","2.69","2.51","2.21","2.05","1.25","0.96","0.6","0.6","0.6","1.05","0.98","0.4","0.54","-0.94","-0.17","-0.89","-0.57","-0.34","-0.16","0.52","-0.38","-0.34","-1.22","-1.12","-1.98","0.03","-0.44","0.11","-0.34","-0.6","-0.42","1.61","-0.23","-0.33","0.08","1.27","3.81","1.75","1.77","2.59","1.57","1.33","1.67","0.62","1.05","0.88","0.45","0.47","0.69","0.8","0.56","0.98","0.48","0.59","0.25","1.02","0.25","0.81","0.16","1.46","1.92","1.34","2.32","2.59","2.06","1.94","2.17","2.14","1.72","1.33","1.39","1.23","0.97","1.35","1.35","0.86","0.8","0.42","0.41","-0.15","0.03","-0.36","-0.2","-0.21","-0.21","-0.23","-0.66","-0.42","-1.23","-0.33","-0.24","-0.03","-0.35","-0.16","-0.21","0.79","-0.26","-0.43","-0.38","0.52","0.62","0.57","0.69","1.13","1","1.11","1.01"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.14","0.45","1.04","0.42","0.37","0.18","0.05","-0.08","0.59","0.38","0.43","0.08","0.92","0.06","0.48","-0.07","1.04","0.82","0.57","0.43","-0.04","0.26","0.74","0.51","0.83","0.35","0.26","0.23","0.15","0.41","0.43","0.13","0.16","0.12","-0.12","-0.27","-0.35","-0.1","-0.17","-0.02","-0.28","-0.22","-0.24","-0.35","-0.34","-0.13","-0.26","-0.19","-0.04","-0.2","-0.44","-0.33","0.84","-0.15","-0.27","0","0.29","0.88","0.67","0.14","0.17","0.16","0.03","-0.89","0.32","0.55","0.47","0.46","0.3","0.36","0.34","0.3","0.5","0.44","0.38","0.24","0.6","0.21","0.73","0.26","0.61","0.57","0.49","0.43","0.38","0.16","0.56","0.58","0.69","0.56","0.48","0.36","0.38","0.47","0.43","0.29","0.15","0.23","0.08","0.06","-0.03","-0.02","-0.15","-0.08","-0.18","-0.06","-0.09","-0.14","-0.09","-0.08","-0.33","-0.31","-0.1","-0.14","-0.08","-0.16","0.3","-0.23","-0.48","-0.39","-0.06","0.18","0.28","0.42","0.46","0.49","0.41","0.38"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","0.8","0.8","0.72","0.73","0.88","0.83","0.89","1.03","0.97","0.99","1.02","0.97","0.91","1.04","1.05","1.16","0.76","0.93","1.02","1.03","1.42","1.29","1.13","1.13","1.08","1.08","1.05","1","0.99","0.99","1.05","0.94","0.93","0.98","1","0.95","0.95","1.02","1.05","1.06","1.09","1.08","1.03","0.98","0.9","0.92","1.13","1.09","1.14","1.14","1.17","1.11","1.19","1.09","1.19","1.13","1.34","1.23","1.36","1.35","1.39","1.33","1.28","1.53","0.81","0.81","0.84","0.8","0.84","0.79","0.84","0.89","0.9","0.85","0.84","0.79","0.82","0.85","0.8","0.84","0.91","0.94","0.96","1","1.13","1.27","1.15","1.15","1.09","1.08","1.07","1.02","1.01","0.97","1.02","1","0.97","0.97","1","0.96","0.96","1.01","1","1.04","1.02","1.01","1.01","0.97","0.94","0.93","1.05","1.04","1.08","1.11","1.1","1.08","1.16","1.09","1.18","1.1","1.24","1.19","1.23","1.2","1.22","1.17","1.18","1.18"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","77.25","77.66","82.23","91.83","88.32","88.67","91.52","78.92","74.4","71.76","71.43","73.58","49.9","64.4","48.25","56.64","20.44","30.2","36.65","33.14","63.21","84.79","78.18","80.68","82.11","80.28","76","75.03","74.39","89.31","91.77","94.85","96.17","97.61","95.04","93.57","94.12","92.89","92.3","92.67","90.83","89.32","81.03","77.85","72.98","85.62","90.61","92.98","90.01","89.95","91.15","91.65","92.86","90.8","88.48","90.21","91.52","85.88","85.38","81.48","82.11","83.45","71.55","76.87","77.23","78.71","79.93","78.3","80.48","78.22","80.33","80.84","81.15","80.27","80.39","78.78","74.38","80.67","75.9","83.67","75","75.62","78.07","62.18","67.86","77.95","73.13","74.14","74.2","68.85","68.45","69.43","69.48","82.77","85.58","91.22","93.4","93.83","92.89","90.07","91.07","92.23","91.8","92.5","90.68","89.97","90.33","89.22","87.76","90.81","91.75","93.62","91.23","92.04","91.39","91.6","91.76","90.73","88.35","88.09","88.62","87.79","89.76","84.86","85.17","86.06","84.91","86.71"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-13.5259","-12.5803","-12.1521","-11.5243","-12.7519","-12.3716","-13.1544","-6.7412","-4.0065","-3.7897","-3.6716","-4.6587","-3.9327","-4.2043","-3.9236","-2.9748","-2.5729","-2.3367","-2.987","-3.1833","-9.6941","-9.7072","-9.9243","-9.6181","-9.5122","-9.5402","-9.1602","-9.0128","-9.1405","-10.6382","-11.932","-19.6487","-18.1065","-19.341","-19.1826","-19.4389","-18.3718","-19.2774","-19.7114","-20.1705","-16.7462","-14.6863","-11.2582","-6.8765","-6.5015","-26.7755","-31.5224","-31.0078","-32.0518","-31.5036","-31.9517","-31.4088","-32.1349","-30.9966","-33.3993","-31.4618","-32.6801","-13.6626","-8.6668","-9.2531","-9.4145","-9.1755","-9.0353","-8.1035","-13.5259","-12.5803","-12.1521","-12.2264","-13.1632","-13.1178","-13.4624","-14.1741","-13.5622","-13.0247","-13.0503","-12.3821","-12.9737","-14.0122","-13.5741","-14.4694","-13.2134","-12.4638","-13.0776","-6.5054","-9.6941","-9.7072","-9.9243","-9.6181","-9.5122","-9.5402","-9.1602","-9.0128","-9.1405","-10.6382","-11.932","-19.6487","-18.1065","-19.341","-19.1826","-19.4389","-18.3718","-19.2774","-19.7114","-20.1705","-19.9476","-19.8637","-19.8484","-19.1375","-19.341","-26.7755","-31.5224","-31.0078","-32.0518","-31.5036","-31.9517","-31.4088","-32.1349","-30.9966","-33.3993","-31.4618","-32.6801","-31.2007","-31.7879","-31.2724","-30.8899","-30.6417","-31.0706","-31.4958"
"B Max Drawdown","-13.3279","-13.3279","-11.8362","-11.8362","-11.8362","-11.4136","-10.5262","-5.1205","-5.1205","-5.1204","-5.1204","-5.1204","-5.1204","-4.3548","-4.3548","-3.7967","-2.9402","-2.9033","-2.9033","-2.9033","-9.7412","-9.7411","-10.5811","-10.5811","-10.5811","-10.5811","-10.5811","-10.5811","-10.5811","-10.5811","-10.5811","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-16.7416","-15.8126","-11.4984","-7.6691","-7.6691","-18.528","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-16.0505","-10.5021","-10.5021","-10.5021","-10.5021","-10.5021","-10.5021","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-11.8362","-11.8362","-11.8362","-11.4136","-10.5262","-5.1204","-9.7412","-9.7411","-10.5811","-10.5811","-10.5811","-10.5811","-10.5811","-10.5811","-10.5811","-10.5811","-10.5811","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312"
"MD DIFF(P-B)","-0.198","0.7476","-0.315900000000001","0.3119","-0.915699999999999","-0.958","-2.6282","-1.6207","1.114","1.3307","1.4488","0.4617","1.1877","0.1505","0.4312","0.8219","0.3673","0.5666","-0.0836999999999999","-0.28","0.0470999999999986","0.0338999999999992","0.656799999999999","0.962999999999999","1.0689","1.0409","1.4209","1.5683","1.4406","-0.0571000000000002","-1.3509","0.310599999999997","1.8528","0.618299999999998","0.776699999999998","0.520399999999999","1.5875","0.681899999999999","0.247899999999998","-0.211200000000002","-0.00460000000000349","1.1263","0.2402","0.7926","1.1676","-8.2475","0.00879999999999725","0.523399999999999","-0.520600000000002","0.0275999999999996","-0.420500000000001","0.122399999999999","-0.603700000000003","0.534599999999998","-1.8681","0.0693999999999981","-1.1489","2.3879","1.8353","1.249","1.0876","1.3266","1.4668","2.3986","-0.198","0.7476","1.1758","1.1015","0.1647","0.210099999999999","-0.134500000000001","-0.8462","-0.234300000000001","0.3032","0.2776","0.9458","0.354200000000001","-0.6843","-1.7379","-2.6332","-1.3772","-1.0502","-2.5514","-1.385","0.0470999999999986","0.0338999999999992","0.656799999999999","0.962999999999999","1.0689","1.0409","1.4209","1.5683","1.4406","-0.0571000000000002","-1.3509","0.310599999999997","1.8528","0.618299999999998","0.776699999999998","0.520399999999999","1.5875","0.681899999999999","0.247899999999998","-0.211200000000002","0.0116999999999976","0.0955999999999975","0.110899999999997","0.8218","0.618299999999998","-6.8162","0.00879999999999725","0.523399999999999","-0.520600000000002","0.0275999999999996","-0.420500000000001","0.122399999999999","-0.603700000000003","0.534599999999998","-1.8681","0.0693999999999981","-1.1489","0.330499999999997","-0.256700000000002","0.258799999999997","0.641299999999998","0.889499999999998","0.460599999999999","0.0353999999999992"
