"","1 Y 2018-01-23 to 2019-01-24","1 Y 2018-02-23 to 2019-02-24","1 Y 2018-03-23 to 2019-03-24","1 Y 2018-04-23 to 2019-04-24","1 Y 2018-05-23 to 2019-05-24","1 Y 2018-06-25 to 2019-06-24","1 Y 2018-07-23 to 2019-07-24","1 Y 2018-08-23 to 2019-08-24","1 Y 2018-09-24 to 2019-09-24","1 Y 2018-10-23 to 2019-10-24","1 Y 2018-11-26 to 2019-11-24","1 Y 2018-12-24 to 2019-12-24","1 Y 2019-01-23 to 2020-01-24","1 Y 2019-02-25 to 2020-02-24","1 Y 2019-03-25 to 2020-03-24","1 Y 2019-04-23 to 2020-04-24","1 Y 2019-05-23 to 2020-05-24","1 Y 2019-06-24 to 2020-06-24","1 Y 2019-07-23 to 2020-07-24","1 Y 2019-08-23 to 2020-08-24","1 Y 2019-09-23 to 2020-09-24","1 Y 2019-10-23 to 2020-10-24","1 Y 2019-11-25 to 2020-11-24","1 Y 2019-12-23 to 2020-12-24","1 Y 2020-01-23 to 2021-01-24","1 Y 2020-02-24 to 2021-02-24","1 Y 2020-03-23 to 2021-03-24","1 Y 2020-04-23 to 2021-04-24","1 Y 2020-05-26 to 2021-05-24","1 Y 2020-06-23 to 2021-06-24","1 Y 2020-07-23 to 2021-07-24","1 Y 2020-08-24 to 2021-08-24","1 Y 2020-09-23 to 2021-09-24","1 Y 2020-10-23 to 2021-10-24","1 Y 2020-11-23 to 2021-11-24","1 Y 2020-12-23 to 2021-12-24","1 Y 2021-01-25 to 2022-01-24","1 Y 2021-02-23 to 2022-02-24","1 Y 2021-03-23 to 2022-03-24","1 Y 2021-04-23 to 2022-04-24"
"P Information Ratio",-0.25,-0.8,-0.71,-0.03,0.63,-0.23,-0.36,-1.02,-0.57,0.55,-0.35,-0.17,0.63,1.32,0.23,0.8,-0.17,0.36,0.28,0.23,0.2,0.19,0.54,1.58,1.44,2.94,5.45,5.37,4.44,4.5,3.36,4.04,5.07,5.35,4.65,3.23,2.44,1.06,2.07,0.75
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",-0.21,-0.52,-0.23,-0.08,0.72,-0.01,0.02,-1.23,-0.39,-0.36,-0.14,-0.29,0.2,0.95,0.36,1.48,0.65,1.23,0.88,-0.12,1.12,0.38,0.34,3.75,2.45,3.49,3.46,4.12,2.55,5.76,4.41,4.19,3.96,2.57,4.25,4.85,3.39,3.25,1.26,0.31
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",0.9,0.93,0.83,0.83,0.95,0.98,0.97,1.1,0.78,1.09,1.3,1.24,1.09,1.34,1.72,1.19,1.25,1.23,1.15,1.16,1.21,1.24,1.27,1.43,1.16,1.24,1.2,0.99,1.29,0.87,1.09,1.21,1.27,1.21,1.27,1.19,1.41,0.89,1.33,1.21
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",35.38,52.41,41.06,43.34,54.64,64.03,48.42,76.87,44.73,70.55,53.95,48.95,38.16,48.21,63.99,92.39,91.43,87.79,90.42,88.04,84.79,85.16,83.66,76.53,71.84,78.47,43.97,38.4,47.84,18.38,27.16,31.45,38.91,58.3,25.21,22.84,26.17,9.41,65.01,65.14
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-15.3585,-13.7926,-15.3589,-15.3988,-16.1799,-15.923,-15.5311,-22.1239,-13.7895,-16.6488,-18.9291,-19.0803,-14.7357,-14.0157,-40.7414,-38.5809,-40.4356,-39.5628,-39.0689,-41.91,-42.686,-45.0565,-44.9158,-45.7832,-42.58,-41.4835,-8.3319,-9.3332,-8.7514,-9.3166,-17.4073,-15.0386,-13.6788,-6.5598,-15.1025,-15.2289,-15.3922,-13.3053,-13.59,-14.6912
"B Max Drawdown",-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-11.2775,-11.2775,-11.2775,-11.2775,-11.2775,-11.2775,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-37.6068,-35.6583,-7.3471,-7.3471,-6.9018,-6.9018,-6.9018,-6.9018,-6.3375,-6.3375,-6.3375,-10.2422,-10.2422,-10.2422,-14.3334,-14.3333
"MD DIFF(P-B)",-1.3796,0.186299999999999,-1.38,-1.4199,-2.201,-1.9441,-1.5522,-8.145,-2.512,-5.3713,-7.6516,-7.8028,-3.4582,-2.7382,-2.4359,-0.275399999999998,-2.1301,-1.2573,-0.763399999999997,-3.60449999999999,-4.3805,-6.751,-6.6103,-7.4777,-4.9732,-5.8252,-0.984799999999999,-1.9861,-1.8496,-2.4148,-10.5055,-8.1368,-7.3413,-0.2223,-8.765,-4.9867,-5.15,-3.0631,0.743399999999999,-0.357900000000001
