"","2 Y 2017-01-24 to 2019-01-25","2 Y 2017-02-27 to 2019-02-25","2 Y 2017-03-24 to 2019-03-25","2 Y 2017-04-24 to 2019-04-25","2 Y 2017-05-24 to 2019-05-25","2 Y 2017-06-27 to 2019-06-25","2 Y 2017-07-24 to 2019-07-25","2 Y 2017-08-24 to 2019-08-25","2 Y 2017-09-25 to 2019-09-25","2 Y 2017-10-24 to 2019-10-25","2 Y 2017-11-24 to 2019-11-25","2 Y 2017-12-26 to 2019-12-25","2 Y 2018-01-24 to 2020-01-25","2 Y 2018-02-26 to 2020-02-25","2 Y 2018-03-26 to 2020-03-25","2 Y 2018-04-24 to 2020-04-25","2 Y 2018-05-24 to 2020-05-25","2 Y 2018-06-25 to 2020-06-25","2 Y 2018-07-24 to 2020-07-25","2 Y 2018-08-24 to 2020-08-25","2 Y 2018-09-24 to 2020-09-25","2 Y 2018-10-24 to 2020-10-25","2 Y 2018-11-26 to 2020-11-25","2 Y 2018-12-24 to 2020-12-25","2 Y 2019-01-24 to 2021-01-25","2 Y 2019-02-25 to 2021-02-25","2 Y 2019-03-25 to 2021-03-25","2 Y 2019-04-24 to 2021-04-25","2 Y 2019-05-24 to 2021-05-25","2 Y 2019-06-24 to 2021-06-25","2 Y 2019-07-24 to 2021-07-25","2 Y 2019-08-26 to 2021-08-25","2 Y 2019-09-24 to 2021-09-25","2 Y 2019-10-24 to 2021-10-25","2 Y 2019-11-25 to 2021-11-25","2 Y 2019-12-24 to 2021-12-25","2 Y 2020-01-24 to 2022-01-25","2 Y 2020-02-24 to 2022-02-25","2 Y 2020-03-24 to 2022-03-25","2 Y 2020-04-24 to 2022-04-25"
"P Information Ratio",-0.19,-0.38,-0.77,-0.68,-1.2,-0.89,-1.09,-0.31,-1.03,-0.17,-0.66,-0.72,-0.75,0.34,-0.77,-0.31,0.34,0.16,-0.76,-0.51,-0.57,-0.34,-0.48,0.11,2.77,2.69,2.73,1.81,0.91,0.35,0.36,1.05,1.72,1.67,1.55,0.97,0.84,1.52,3.38,2.78
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",-0.06,-0.23,-0.71,-0.86,-1.03,-0.96,-0.98,-0.59,-1.13,-0.63,-0.9,-0.74,-1.15,0.14,-1.68,-0.6,0.9,0.47,-0.8,-0.99,-0.65,-0.2,-0.47,0.26,6.85,7.17,7.38,3.06,1.45,0.39,0.88,1.65,2.15,1.46,1.77,1.79,1.08,2.2,3.68,2.75
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",0.86,0.81,0.62,0.64,0.68,0.89,0.85,0.73,0.81,0.95,0.86,0.42,0.67,1.23,0.94,1.06,1.23,1.2,1.36,1.38,1.36,1.48,1.47,1.34,1.21,1.12,1.29,1.35,1.39,0.99,0.98,1.42,1.34,1.4,1.32,1.26,1.13,1.12,1.39,1.59
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",35.04,32.36,11.75,15.47,24.79,37.81,31.87,17.89,29.92,29.98,23.78,6.55,16.2,68.42,32.06,66.68,76.99,74.92,78.28,79.44,84.89,83.4,88.37,86.16,32.12,23.2,29.27,62.94,74.99,69.09,64.07,71.48,74.14,69.04,69.1,65.81,68.69,68.84,45.75,41.92
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-18.1584,-23.2211,-25.6201,-20.3973,-23.8046,-24.6944,-32.3176,-27.1658,-29.5568,-25.0093,-29.617,-25.6628,-31.4069,-21.283,-48.5101,-40.142,-42.3616,-42.9928,-55.2571,-52.4226,-51.4522,-50.2013,-50.4145,-44.9946,-43.1193,-43.1301,-44.4177,-44.3709,-45.5441,-42.8708,-41.6589,-52.2633,-50.108,-54.6734,-49.8245,-49.9579,-43.8516,-37.1971,-13.1885,-17.2376
"B Max Drawdown",-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-37.6068,-35.4525,-14.3334,-14.3334
"MD DIFF(P-B)",-4.1795,-9.2422,-11.6412,-6.4184,-9.8257,-10.7155,-18.3387,-13.1869,-15.5779,-11.0304,-15.6381,-11.6839,-17.428,-7.3041,-10.2046,-1.8365,-4.0561,-4.6873,-16.9516,-14.1171,-13.1467,-11.8958,-12.109,-6.6891,-4.8138,-4.8246,-6.1122,-6.0654,-7.2386,-4.5653,-3.3534,-13.9578,-11.8025,-16.3679,-11.519,-11.6524,-6.2448,-1.7446,1.1449,-2.9042
