"","1 Y 2017-04-24 to 2018-04-25","1 Y 2017-05-24 to 2018-05-25","1 Y 2017-06-27 to 2018-06-25","1 Y 2017-07-24 to 2018-07-25","1 Y 2017-08-24 to 2018-08-25","1 Y 2017-09-25 to 2018-09-25","1 Y 2017-10-24 to 2018-10-25","1 Y 2017-11-24 to 2018-11-25","1 Y 2017-12-26 to 2018-12-25","1 Y 2018-01-24 to 2019-01-25","1 Y 2018-02-26 to 2019-02-25","1 Y 2018-03-26 to 2019-03-25","1 Y 2018-04-24 to 2019-04-25","1 Y 2018-05-24 to 2019-05-25","1 Y 2018-06-25 to 2019-06-25","1 Y 2018-07-24 to 2019-07-25","1 Y 2018-08-24 to 2019-08-25","1 Y 2018-09-24 to 2019-09-25","1 Y 2018-10-24 to 2019-10-25","1 Y 2018-11-26 to 2019-11-25","1 Y 2018-12-24 to 2019-12-25","1 Y 2019-01-24 to 2020-01-25","1 Y 2019-02-25 to 2020-02-25","1 Y 2019-03-25 to 2020-03-25","1 Y 2019-04-24 to 2020-04-25","1 Y 2019-05-24 to 2020-05-25","1 Y 2019-06-24 to 2020-06-25","1 Y 2019-07-24 to 2020-07-25","1 Y 2019-08-26 to 2020-08-25","1 Y 2019-09-24 to 2020-09-25","1 Y 2019-10-24 to 2020-10-25","1 Y 2019-11-25 to 2020-11-25","1 Y 2019-12-24 to 2020-12-25","1 Y 2020-01-24 to 2021-01-25","1 Y 2020-02-24 to 2021-02-25","1 Y 2020-03-24 to 2021-03-25","1 Y 2020-04-24 to 2021-04-25","1 Y 2020-05-26 to 2021-05-25","1 Y 2020-06-24 to 2021-06-25","1 Y 2020-07-24 to 2021-07-25","1 Y 2020-08-24 to 2021-08-25","1 Y 2020-09-24 to 2021-09-25","1 Y 2020-10-26 to 2021-10-25","1 Y 2020-11-24 to 2021-11-25","1 Y 2020-12-24 to 2021-12-25","1 Y 2021-01-25 to 2022-01-25","1 Y 2021-02-24 to 2022-02-25","1 Y 2021-03-24 to 2022-03-25","1 Y 2021-04-26 to 2022-04-25"
"P Information Ratio",-0.3,-0.46,-0.79,-0.43,0.05,-0.19,-0.39,-0.04,-0.12,-0.45,-1.02,-0.31,-0.59,-1.56,-1.76,-1.62,-1.43,-0.86,0,-0.17,0.04,1.48,1.23,1.68,0.23,1.22,-0.35,-0.05,0.54,0.25,1.83,2.43,1.76,1.62,2.85,6.24,3.95,3.37,3.35,2.8,3.03,3.78,4.14,3.2,2.24,2.35,1.25,1.52,1.44
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.05,0.08,-1.5,-0.42,-0.61,-0.41,-1.18,0.03,-0.09,-0.47,-0.74,0.09,-0.49,-0.87,-0.93,-0.73,-1.25,-0.46,-0.65,0.09,0.15,0.87,1.45,2.65,0.72,3.53,-0.02,1.19,0.26,0.89,3.91,3.16,3.11,2.17,2.99,2.93,2.97,1.16,4.45,2.09,1.75,1.54,1.71,3.15,3.52,3.92,2.83,1.19,0.92
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.03,1.03,1.08,1.12,1.05,1.32,1.44,1.09,0.94,0.84,0.93,1.08,0.92,0.83,1,0.92,1.09,1.02,1.06,1.23,1.07,1.1,0.81,1.84,1.15,1.31,1.51,1.32,1.23,1.29,1.29,1.31,1.35,1.23,1.24,1.26,1.25,1.5,1.02,1.3,1.34,1.68,1.28,0.94,0.72,0.59,0.84,1.34,1.14
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",36.24,48.18,32.73,31.18,38.97,46.35,56.1,44.15,42.5,46.85,58.75,51.45,61.41,73.5,82.66,67.69,81,64.02,60.72,62.48,53.73,43.28,22.3,49.37,87.92,77.23,88.43,92.82,86.82,87.65,76.26,79.12,85.31,81.42,82.51,48.62,47.73,62.58,23.88,53.71,59.48,61.09,55.14,19.31,11.01,4.24,4.27,53.2,59.03
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-14.462,-17.6276,-21.1972,-15.4369,-18.3907,-19.4108,-19.0348,-18.1403,-16.8102,-15.8947,-15.6188,-16.6564,-17.8242,-18.1174,-19.9495,-18.545,-21.136,-14.7336,-16.8015,-17.5269,-14.1931,-11.8677,-9.9806,-37.2547,-39.3784,-41.7219,-47.7015,-42.293,-44.5094,-45.8976,-42.4738,-44.01,-44.4822,-41.2215,-38.4404,-8.7142,-8.679,-8.2891,-8.5348,-9.294,-8.9795,-12.0765,-5.9266,-10.9468,-13.0466,-13.4156,-14.8076,-12.6674,-11.0945
"B Max Drawdown",-9.3683,-9.3683,-9.3683,-9.3683,-9.3683,-9.3683,-13.7493,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-11.2775,-11.2775,-11.2775,-11.2775,-11.2775,-11.2775,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-37.6068,-35.4525,-7.3471,-7.3471,-6.9018,-6.9018,-6.9018,-6.9018,-6.3375,-6.3375,-6.3375,-10.2422,-10.2422,-12.5,-14.3334,-14.3333
"MD DIFF(P-B)",-5.0937,-8.2593,-11.8289,-6.0686,-9.0224,-10.0425,-5.2855,-4.1614,-2.8313,-1.9158,-1.6399,-2.6775,-3.8453,-4.1385,-5.9706,-4.5661,-7.1571,-3.4561,-5.524,-6.2494,-2.9156,-0.590199999999999,1.2969,1.0508,-1.0729,-3.4164,-9.396,-3.9875,-6.2039,-7.59209999999999,-4.1683,-5.7045,-6.1767,-3.6147,-2.9879,-1.3671,-1.3319,-1.3873,-1.633,-2.3922,-2.0777,-5.739,0.410900000000001,-4.6093,-2.8044,-3.1734,-2.3076,1.666,3.2388
