"","1 Y 2017-04-24 to 2018-04-25","1 Y 2017-05-24 to 2018-05-25","1 Y 2017-06-27 to 2018-06-25","1 Y 2017-07-24 to 2018-07-25","1 Y 2017-08-24 to 2018-08-25","1 Y 2017-09-25 to 2018-09-25","1 Y 2017-10-24 to 2018-10-25","1 Y 2017-11-24 to 2018-11-25","1 Y 2017-12-26 to 2018-12-25","1 Y 2018-01-24 to 2019-01-25","1 Y 2018-02-26 to 2019-02-25","1 Y 2018-03-26 to 2019-03-25","1 Y 2018-04-24 to 2019-04-25","1 Y 2018-05-24 to 2019-05-25","1 Y 2018-06-25 to 2019-06-25","1 Y 2018-07-24 to 2019-07-25","1 Y 2018-08-24 to 2019-08-25","1 Y 2018-09-24 to 2019-09-25","1 Y 2018-10-24 to 2019-10-25","1 Y 2018-11-26 to 2019-11-25","1 Y 2018-12-24 to 2019-12-25","1 Y 2019-01-24 to 2020-01-25","1 Y 2019-02-25 to 2020-02-25","1 Y 2019-03-25 to 2020-03-25","1 Y 2019-04-24 to 2020-04-25","1 Y 2019-05-24 to 2020-05-25","1 Y 2019-06-24 to 2020-06-25","1 Y 2019-07-24 to 2020-07-25","1 Y 2019-08-26 to 2020-08-25","1 Y 2019-09-24 to 2020-09-25","1 Y 2019-10-24 to 2020-10-25","1 Y 2019-11-25 to 2020-11-25","1 Y 2019-12-24 to 2020-12-25","1 Y 2020-01-24 to 2021-01-25","1 Y 2020-02-24 to 2021-02-25","1 Y 2020-03-24 to 2021-03-25","1 Y 2020-04-24 to 2021-04-25","1 Y 2020-05-26 to 2021-05-25","1 Y 2020-06-24 to 2021-06-25","1 Y 2020-07-24 to 2021-07-25","1 Y 2020-08-24 to 2021-08-25","1 Y 2020-09-24 to 2021-09-25","1 Y 2020-10-26 to 2021-10-25","1 Y 2020-11-24 to 2021-11-25","1 Y 2020-12-24 to 2021-12-25","1 Y 2021-01-25 to 2022-01-25","1 Y 2021-02-24 to 2022-02-25","1 Y 2021-03-24 to 2022-03-25","1 Y 2021-04-26 to 2022-04-25"
"P Information Ratio",1.24,1.57,1.97,1.04,0.83,0.63,0.2,-0.05,-0.23,0.49,0.21,-1.08,-0.54,0.32,0.18,0.61,0.67,0.87,1.85,0.57,0.81,1.66,1.8,1.52,2.42,2,5.22,3.21,3.48,4.45,1.33,1.06,1.47,0.76,2.37,3.95,4.53,5.33,4.32,3.17,2.44,2.05,2.35,3.27,2.32,1.4,0.6,0.17,-0.47
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.75,0.94,1.23,0.87,0.56,0.72,0.2,0.17,-0.32,0.74,0.31,-0.32,-0.44,0.27,-0.06,0.3,0.1,1.03,0.53,0.52,0.41,0.42,0.68,0.67,2.11,1.98,3.98,3.47,3.07,4.16,1.03,1.09,1.21,0.84,1.19,0.42,6.24,7.18,4.62,5.14,3.63,3.82,3.18,2.08,2.31,1.5,1.95,0.17,0.5
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",0.81,0.9,0.93,0.89,0.91,0.8,0.9,0.89,0.93,1.18,1.24,1.1,1.1,1.15,1.05,1.21,1.08,0.74,0.84,0.93,1.02,0.94,1.03,1.04,0.98,1.01,0.96,1.01,1.05,1.06,1.02,0.96,0.99,1.03,0.97,1.42,0.68,0.52,0.78,0.91,0.9,0.76,1.06,0.89,0.97,1.04,0.32,0.64,0.7
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",64.33,62.13,62.77,61.93,63.74,53.3,67.32,64.71,71.62,75.83,77.71,80.58,70.01,66.29,65.05,76.07,77.92,67.57,68.77,51.95,66.63,72.3,75.78,71.99,85.76,91.69,86.74,88.15,84.2,84.72,94.79,89.4,90.34,94.55,93.7,85.76,7.82,1.51,30.06,12.19,15.06,17.27,22.1,38.35,52.73,42.76,0.67,28.96,61.7
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-7.0672,-6.8349,-6.3313,-7.6548,-7.4671,-7.0065,-15.475,-15.2142,-16.9082,-18.862,-18.1101,-16.4905,-16.6261,-17.9895,-14.9435,-16.8663,-16.6154,-8.8083,-7.7121,-8.9112,-9.7397,-10.4275,-11.101,-35.9741,-35.097,-32.5509,-31.662,-34.332,-34.6288,-33.4961,-35.4454,-33.3296,-32.7492,-35.3652,-30.2922,-7.9531,-8.1472,-8.2873,-7.381,-15.2167,-13.7968,-10.7607,-14.6346,-6.4331,-10.3182,-12.2874,-15.6747,-18.8195,-15.2848
"B Max Drawdown",-9.3683,-9.3683,-9.3683,-9.3683,-9.3683,-9.3683,-13.7493,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-11.2775,-11.2775,-11.2775,-11.2775,-11.2775,-11.2775,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-37.6068,-35.4525,-7.3471,-7.3471,-6.9018,-6.9018,-6.9018,-6.9018,-6.3375,-6.3375,-6.3375,-10.2422,-10.2422,-12.5,-14.3334,-14.3333
"MD DIFF(P-B)",2.3011,2.5334,3.037,1.7135,1.9012,2.3618,-1.7257,-1.2353,-2.9293,-4.8831,-4.1312,-2.5116,-2.6472,-4.0106,-0.964600000000001,-2.8874,-2.6365,2.4692,3.5654,2.3663,1.5378,0.85,0.176499999999999,2.3314,3.2085,5.7546,6.6435,3.9735,3.6767,4.8094,2.8601,4.9759,5.5563,2.2416,5.1603,-0.606,-0.8001,-1.3855,-0.479200000000001,-8.3149,-6.895,-4.4232,-8.2971,-0.0955999999999992,-0.0759999999999987,-2.0452,-3.1747,-4.4861,-0.951500000000001
