"","1 Y 2017-04-24 to 2018-04-25","1 Y 2017-05-24 to 2018-05-25","1 Y 2017-06-27 to 2018-06-25","1 Y 2017-07-24 to 2018-07-25","1 Y 2017-08-24 to 2018-08-25","1 Y 2017-09-25 to 2018-09-25","1 Y 2017-10-24 to 2018-10-25","1 Y 2017-11-24 to 2018-11-25","1 Y 2017-12-26 to 2018-12-25","1 Y 2018-01-24 to 2019-01-25","1 Y 2018-02-26 to 2019-02-25","1 Y 2018-03-26 to 2019-03-25","1 Y 2018-04-24 to 2019-04-25","1 Y 2018-05-24 to 2019-05-25","1 Y 2018-06-25 to 2019-06-25","1 Y 2018-07-24 to 2019-07-25","1 Y 2018-08-24 to 2019-08-25","1 Y 2018-09-24 to 2019-09-25","1 Y 2018-10-24 to 2019-10-25","1 Y 2018-11-26 to 2019-11-25","1 Y 2018-12-24 to 2019-12-25","1 Y 2019-01-24 to 2020-01-25","1 Y 2019-02-25 to 2020-02-25","1 Y 2019-03-25 to 2020-03-25","1 Y 2019-04-24 to 2020-04-25","1 Y 2019-05-24 to 2020-05-25","1 Y 2019-06-24 to 2020-06-25","1 Y 2019-07-24 to 2020-07-25","1 Y 2019-08-26 to 2020-08-25","1 Y 2019-09-24 to 2020-09-25","1 Y 2019-10-24 to 2020-10-25","1 Y 2019-11-25 to 2020-11-25","1 Y 2019-12-24 to 2020-12-25","1 Y 2020-01-24 to 2021-01-25","1 Y 2020-02-24 to 2021-02-25","1 Y 2020-03-24 to 2021-03-25","1 Y 2020-04-24 to 2021-04-25","1 Y 2020-05-26 to 2021-05-25","1 Y 2020-06-24 to 2021-06-25","1 Y 2020-07-24 to 2021-07-25","1 Y 2020-08-24 to 2021-08-25","1 Y 2020-09-24 to 2021-09-25","1 Y 2020-10-26 to 2021-10-25","1 Y 2020-11-24 to 2021-11-25","1 Y 2020-12-24 to 2021-12-25","1 Y 2021-01-25 to 2022-01-25","1 Y 2021-02-24 to 2022-02-25","1 Y 2021-03-24 to 2022-03-25","1 Y 2021-04-26 to 2022-04-25"
"P Information Ratio",-0.14,-0.17,-0.53,-0.3,0.15,-0.1,-0.36,-0.05,-0.14,-0.34,-0.89,-0.42,-0.63,-1.14,-1.29,-1.23,-1.09,-0.61,0.3,-0.04,0.17,1.56,1.33,1.7,0.66,1.35,0.29,0.49,1.11,0.99,1.82,2.48,1.84,1.57,2.95,5.98,4.57,4.31,3.61,3.33,3.21,3.65,4.08,3.3,2.28,2.32,1.27,1.67,1.36
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.18,0.25,-0.91,-0.16,-0.38,-0.19,-0.91,0.05,-0.15,-0.23,-0.53,0,-0.49,-0.63,-0.75,-0.52,-0.97,-0.14,-0.4,0.17,0.2,0.78,1.29,2.26,1.01,3.2,0.92,1.69,0.88,1.63,3.38,2.73,2.72,1.9,2.62,2.47,3.56,2.37,4.48,2.68,2.06,1.95,1.95,2.94,3.28,3.45,2.66,0.98,0.83
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",0.98,1,1.05,1.07,1.02,1.21,1.32,1.05,0.94,0.91,1,1.08,0.95,0.9,1.01,0.98,1.09,0.96,1.01,1.17,1.06,1.07,0.85,1.7,1.11,1.25,1.37,1.26,1.19,1.24,1.24,1.23,1.28,1.19,1.19,1.29,1.14,1.3,0.97,1.22,1.27,1.51,1.24,0.93,0.77,0.68,0.73,1.19,1.05
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",42.09,53.02,41.74,38.46,46.09,51.05,60.76,50.29,50.33,59.44,68.14,59.72,67.16,74.81,81.54,72.7,83.52,65.66,66.02,66.41,58.38,49.86,32.71,53.68,88.55,81.39,89.26,92.77,87.49,87.56,80.23,82.89,87.53,84.39,85.63,55.69,45.17,55.05,26.04,51.27,56.06,56.46,54.04,23.25,17.4,11.6,5.29,61.13,65.53
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-12.8038,-14.0461,-16.1536,-12.5559,-14.9353,-15.4186,-17.1503,-17.4785,-16.6084,-15.996,-16.0386,-16.6133,-17.3671,-16.9472,-18.6962,-16.9482,-18.4818,-12.4566,-14.2567,-14.9639,-12.77,-11.2209,-9.9647,-37.053,-37.9863,-39.7636,-43.2302,-40.2285,-41.764,-42.5812,-41.0758,-41.8033,-42.1583,-40.0132,-36.81,-8.5107,-8.5777,-8.1115,-8.2771,-8.823,-9.4302,-11.5972,-7.2843,-10.1662,-11.2881,-11.6361,-12.0532,-12.2397,-10.8766
"B Max Drawdown",-9.3683,-9.3683,-9.3683,-9.3683,-9.3683,-9.3683,-13.7493,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-11.2775,-11.2775,-11.2775,-11.2775,-11.2775,-11.2775,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-37.6068,-35.4525,-7.3471,-7.3471,-6.9018,-6.9018,-6.9018,-6.9018,-6.3375,-6.3375,-6.3375,-10.2422,-10.2422,-12.5,-14.3334,-14.3333
"MD DIFF(P-B)",-3.4355,-4.6778,-6.7853,-3.1876,-5.567,-6.0503,-3.401,-3.4996,-2.6295,-2.0171,-2.0597,-2.6344,-3.3882,-2.9683,-4.7173,-2.9693,-4.5029,-1.1791,-2.9792,-3.6864,-1.4925,0.0565999999999995,1.3128,1.2525,0.319200000000002,-1.45809999999999,-4.9247,-1.92299999999999,-3.4585,-4.2757,-2.7703,-3.4978,-3.85279999999999,-2.4064,-1.3575,-1.1636,-1.2306,-1.2097,-1.3753,-1.9212,-2.5284,-5.2597,-0.9468,-3.8287,-1.0459,-1.3939,0.4468,2.0937,3.4567
