"","1 Y 2017-01-24 to 2018-01-25","1 Y 2017-02-27 to 2018-02-25","1 Y 2017-03-24 to 2018-03-25","1 Y 2017-04-24 to 2018-04-25","1 Y 2017-05-24 to 2018-05-25","1 Y 2017-06-27 to 2018-06-25","1 Y 2017-07-24 to 2018-07-25","1 Y 2017-08-24 to 2018-08-25","1 Y 2017-09-25 to 2018-09-25","1 Y 2017-10-24 to 2018-10-25","1 Y 2017-11-24 to 2018-11-25","1 Y 2017-12-26 to 2018-12-25","1 Y 2018-01-24 to 2019-01-25","1 Y 2018-02-26 to 2019-02-25","1 Y 2018-03-26 to 2019-03-25","1 Y 2018-04-24 to 2019-04-25","1 Y 2018-05-24 to 2019-05-25","1 Y 2018-06-25 to 2019-06-25","1 Y 2018-07-24 to 2019-07-25","1 Y 2018-08-24 to 2019-08-25","1 Y 2018-09-24 to 2019-09-25","1 Y 2018-10-24 to 2019-10-25","1 Y 2018-11-26 to 2019-11-25","1 Y 2018-12-24 to 2019-12-25","1 Y 2019-01-24 to 2020-01-25","1 Y 2019-02-25 to 2020-02-25","1 Y 2019-03-25 to 2020-03-25","1 Y 2019-04-24 to 2020-04-25","1 Y 2019-05-24 to 2020-05-25","1 Y 2019-06-24 to 2020-06-25","1 Y 2019-07-24 to 2020-07-25","1 Y 2019-08-26 to 2020-08-25","1 Y 2019-09-24 to 2020-09-25","1 Y 2019-10-24 to 2020-10-25","1 Y 2019-11-25 to 2020-11-25","1 Y 2019-12-24 to 2020-12-25","1 Y 2020-01-24 to 2021-01-25","1 Y 2020-02-24 to 2021-02-25","1 Y 2020-03-24 to 2021-03-25","1 Y 2020-04-24 to 2021-04-25","1 Y 2020-05-26 to 2021-05-25","1 Y 2020-06-24 to 2021-06-25","1 Y 2020-07-24 to 2021-07-25","1 Y 2020-08-24 to 2021-08-25","1 Y 2020-09-24 to 2021-09-25","1 Y 2020-10-26 to 2021-10-25","1 Y 2020-11-24 to 2021-11-25","1 Y 2020-12-24 to 2021-12-25","1 Y 2021-01-25 to 2022-01-25","1 Y 2021-02-24 to 2022-02-25","1 Y 2021-03-24 to 2022-03-25","1 Y 2021-04-26 to 2022-04-25"
"P Information Ratio",-1.79,-0.57,-1.02,-1.42,-1.74,-1.2,-1.95,-0.83,-1.21,-0.05,-0.79,-0.94,-0.84,-0.59,-1.95,-1.18,-0.14,-1.89,-1.55,-2.4,-1.95,0.07,-0.72,0.6,2.49,1.4,0.8,-0.58,-0.45,-0.07,-0.16,0.04,0.23,0.07,-0.09,-0.25,-0.15,1.63,4.86,3.6,3.89,3.35,4.33,2.32,-0.33,-2.82,-1.3,-1.38,-0.85,-0.84,-2.46,-1.74
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",-0.58,-0.62,-0.32,-1.65,-1.49,-1.85,-1.97,-1.68,-1.64,-1.03,-1.69,-1.74,-1.59,-0.46,-1.95,-1.92,-0.55,-1.4,-1.83,-1.92,-1.21,-0.54,-0.53,0.37,3.66,3.42,2.68,0.03,0.05,-0.33,0.8,-0.29,1.75,0.17,-0.22,-0.44,-0.12,1.55,2.67,1.67,1.32,2.21,4.49,0.4,-0.35,0.41,-0.56,-0.05,-0.01,-0.3,-1.42,-1.33
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",0.8,0.78,0.43,0.29,0.9,0.92,1,0.51,0.86,1.49,0.93,0.44,0.82,1.02,0.55,1.09,1.44,1.19,0.81,1.35,0.74,1.3,1.08,1.52,1.43,1.66,2.89,1.26,1.41,0.98,1.05,1.42,1.44,1.47,1.36,1.34,1.19,1.17,1.73,2.14,2.19,2,1.92,2.03,1.01,0.44,0.53,0.46,0.83,0.64,0.88,0.65
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",23.55,22.33,1.06,-4.12,38.83,29.44,24.58,0.32,19.84,56.44,24.56,4.74,22.96,70.52,16.91,45.66,80.19,78.21,32.85,88.07,51.9,53.52,36.44,54.46,19.65,17.39,37.79,86.96,83.46,74.31,74.82,80.4,83.29,82.66,78.09,78.25,77.44,76.85,45.91,49.34,54.72,41.39,41.45,60.09,77.11,26.64,16.77,25.24,40.49,10.67,53.11,29.21
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-10.1559,-9.8236,-12.6667,-17.3518,-18.6887,-18.4443,-27.0884,-27.1658,-26.3748,-25.0093,-29.2628,-24.6863,-26.9847,-21.283,-27.0019,-25.7815,-27.3251,-25.8768,-28.1472,-31.8051,-22.423,-21.0987,-21.4777,-18.6327,-18.5747,-25.4917,-44.4177,-44.3709,-45.5441,-42.8708,-41.6589,-52.2633,-50.108,-54.6734,-49.8245,-49.9579,-43.8516,-37.1971,-10.8232,-11.8236,-13.2965,-13.5941,-14.362,-11.9641,-8.1872,-7.9378,-9.3472,-13.4604,-13.1663,-21.9868,-24.3713,-23.79
"B Max Drawdown",-4.4894,-6.9982,-9.3683,-9.3683,-9.3683,-9.3683,-9.3683,-9.3683,-9.3683,-13.7493,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-11.2775,-11.2775,-11.2775,-11.2775,-11.2775,-11.2775,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-37.6068,-35.4525,-7.3471,-7.3471,-6.9018,-6.9018,-6.9018,-6.9018,-6.3375,-6.3375,-6.3375,-10.2422,-10.2422,-12.5,-14.3334,-14.3333
"MD DIFF(P-B)",-5.6665,-2.8254,-3.2984,-7.9835,-9.3204,-9.076,-17.7201,-17.7975,-17.0065,-11.26,-15.2839,-10.7074,-13.0058,-7.3041,-13.023,-11.8026,-13.3462,-11.8979,-14.1683,-17.8262,-11.1455,-9.8212,-10.2002,-7.3552,-7.2972,-14.2142,-6.1122,-6.0654,-7.2386,-4.5653,-3.3534,-13.9578,-11.8025,-16.3679,-11.519,-11.6524,-6.2448,-1.7446,-3.4761,-4.4765,-6.3947,-6.6923,-7.4602,-5.0623,-1.8497,-1.6003,-3.0097,-3.2182,-2.9241,-9.4868,-10.0379,-9.4567
