"","3 Y 2017-01-24 to 2020-01-25","3 Y 2017-02-27 to 2020-02-25","3 Y 2017-03-24 to 2020-03-25","3 Y 2017-04-24 to 2020-04-25","3 Y 2017-05-24 to 2020-05-25","3 Y 2017-06-27 to 2020-06-25","3 Y 2017-07-24 to 2020-07-25","3 Y 2017-08-24 to 2020-08-25","3 Y 2017-09-25 to 2020-09-25","3 Y 2017-10-24 to 2020-10-25","3 Y 2017-11-24 to 2020-11-25","3 Y 2017-12-26 to 2020-12-25","3 Y 2018-01-24 to 2021-01-25","3 Y 2018-02-26 to 2021-02-25","3 Y 2018-03-26 to 2021-03-25","3 Y 2018-04-24 to 2021-04-25","3 Y 2018-05-24 to 2021-05-25","3 Y 2018-06-25 to 2021-06-25","3 Y 2018-07-24 to 2021-07-25","3 Y 2018-08-24 to 2021-08-25","3 Y 2018-09-24 to 2021-09-25","3 Y 2018-10-24 to 2021-10-25","3 Y 2018-11-26 to 2021-11-25","3 Y 2018-12-24 to 2021-12-25","3 Y 2019-01-24 to 2022-01-25","3 Y 2019-02-25 to 2022-02-25","3 Y 2019-03-25 to 2022-03-25","3 Y 2019-04-24 to 2022-04-25"
"P Information Ratio",0.77,0.95,0.55,0.42,0.45,0.61,0.31,0.52,0.34,0.38,0.46,0.13,0.66,1.26,1.18,1.38,1.44,1.17,0.94,0.93,1.45,1.45,1.55,1.95,2.37,2.03,2.02,2.17
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.53,0.79,0.55,0.51,0.51,0.51,0.58,0.32,0.23,0.58,0.51,0.08,0.69,0.66,0.84,1.47,1.14,1.17,0.66,0.73,1.31,0.88,1.15,2.99,3.34,3.91,4.01,2.28
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.02,1.14,1.14,1.03,1.15,1.14,1.19,1.13,1.05,1.1,1.14,1.03,1.11,1.28,1.21,1.12,1.03,1.09,1.09,1.15,1.08,1.09,1.22,1.15,1.1,1.02,1.13,1.26
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",53.41,55.66,49.54,70.72,83.9,83.54,83.28,79.83,78.43,74.97,77.91,78.63,78.87,89.59,82.25,71.31,76.01,79.09,85.7,78.5,81.33,82.17,77.52,53.29,44.4,33.67,41.24,72.16
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-17.9645,-18.7819,-40.4659,-37.1306,-38.799,-37.4902,-37.7394,-36.8229,-35.5268,-36.799,-38.5025,-35.8364,-37.1946,-40.2191,-38.0513,-37.2934,-35.9228,-37.0889,-35.7893,-37.6933,-37.0383,-37.4196,-39.0141,-37.4738,-36.0395,-35.9904,-37.6798,-41.1645
"B Max Drawdown",-13.9789,-13.9789,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055
"MD DIFF(P-B)",-3.9856,-4.803,-2.1604,1.1749,-0.493499999999997,0.815300000000001,0.566099999999999,1.48260000000001,2.7787,1.5065,-0.196999999999996,2.4691,1.1109,-1.9136,0.254200000000004,1.0121,2.3827,1.2166,2.5162,0.612200000000001,1.2672,0.885899999999999,-0.708599999999997,0.831700000000005,2.26600000000001,2.3151,0.625700000000002,-2.85899999999999
