"","1 Y 2018-01-23 to 2019-01-24","1 Y 2018-02-23 to 2019-02-24","1 Y 2018-03-23 to 2019-03-24","1 Y 2018-04-23 to 2019-04-24","1 Y 2018-05-23 to 2019-05-24","1 Y 2018-06-25 to 2019-06-24","1 Y 2018-07-23 to 2019-07-24","1 Y 2018-08-23 to 2019-08-24","1 Y 2018-09-24 to 2019-09-24","1 Y 2018-10-23 to 2019-10-24","1 Y 2018-11-26 to 2019-11-24","1 Y 2018-12-24 to 2019-12-24","1 Y 2019-01-23 to 2020-01-24","1 Y 2019-02-25 to 2020-02-24","1 Y 2019-03-25 to 2020-03-24","1 Y 2019-04-23 to 2020-04-24","1 Y 2019-05-23 to 2020-05-24","1 Y 2019-06-24 to 2020-06-24","1 Y 2019-07-23 to 2020-07-24","1 Y 2019-08-23 to 2020-08-24","1 Y 2019-09-23 to 2020-09-24","1 Y 2019-10-23 to 2020-10-24","1 Y 2019-11-25 to 2020-11-24","1 Y 2019-12-23 to 2020-12-24","1 Y 2020-01-23 to 2021-01-24","1 Y 2020-02-24 to 2021-02-24","1 Y 2020-03-23 to 2021-03-24","1 Y 2020-04-23 to 2021-04-24","1 Y 2020-05-26 to 2021-05-24","1 Y 2020-06-23 to 2021-06-24","1 Y 2020-07-23 to 2021-07-24","1 Y 2020-08-24 to 2021-08-24","1 Y 2020-09-23 to 2021-09-24","1 Y 2020-10-23 to 2021-10-24","1 Y 2020-11-23 to 2021-11-24","1 Y 2020-12-23 to 2021-12-24","1 Y 2021-01-25 to 2022-01-24","1 Y 2021-02-23 to 2022-02-24","1 Y 2021-03-23 to 2022-03-24","1 Y 2021-04-23 to 2022-04-24"
"P Information Ratio",-0.39,-0.74,-0.92,-0.76,-0.78,-1.17,-0.64,-1.61,-1.33,-0.66,-1.05,-1.19,-0.23,-0.2,-0.7,-0.58,-0.93,-0.29,-0.65,-0.21,-0.3,0.04,-0.09,-0.02,-0.01,1.44,5.66,6.32,5.22,4.9,4,3.14,3.63,6.05,4.85,2.77,1.17,-1.94,-1.26,-1.9
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",-0.67,-0.61,-0.84,-1.27,-0.1,-1.32,-0.95,-2.15,-1.63,-1.07,-1.18,-2,-0.76,-0.59,-2.49,-0.62,-1.69,0.35,-0.31,-0.88,0.66,0.33,-0.15,0.17,-0.59,2.51,3.1,4.49,3.06,4.31,4.11,2.67,2.21,3.54,5.79,4.68,1.17,-0.27,-0.92,-1.66
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",0.69,0.65,0.55,0.57,0.58,0.61,0.74,0.95,0.9,1.14,1.31,1.12,1.18,1.6,1.87,1.22,1.51,1.43,1.54,1.52,1.5,1.58,1.5,1.5,1.26,1.19,1.61,1.45,1.87,1.43,1.51,1.61,1.51,1.53,0.86,0.96,1.41,0.83,1.22,1.05
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",24.44,17.49,8.39,13.27,12.93,13.16,17.25,47.49,35.96,56.15,43.54,20.31,24.59,47.01,40.68,87.31,84.06,79.05,78.66,76.81,77.96,83.13,75.29,76.91,69.38,70.49,44.11,39.03,46.75,34.18,42.29,50.28,39.46,47.61,8.07,16.53,47.86,30.07,73.07,59.16
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-18.8759,-18.0608,-16.8694,-19.1951,-18.735,-17.7487,-19.2374,-34.308,-24.8298,-27.9114,-32.0383,-34.0983,-26.8523,-25.3625,-56.1948,-43.3424,-55.827,-48.2252,-53.903,-56.1804,-56.0157,-56.17,-53.6017,-53.9558,-51.825,-44.6553,-11.1028,-12.4005,-11.8409,-12.1214,-12.0825,-11.9456,-9.4659,-9.9584,-8.9048,-12.6809,-11.3379,-23.3499,-26.3657,-27.0386
"B Max Drawdown",-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-11.2775,-11.2775,-11.2775,-11.2775,-11.2775,-11.2775,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-37.6068,-35.6583,-7.3471,-7.3471,-6.9018,-6.9018,-6.9018,-6.9018,-6.3375,-6.3375,-6.3375,-10.2422,-10.2422,-10.2422,-14.3334,-14.3333
"MD DIFF(P-B)",-4.897,-4.0819,-2.8905,-5.2162,-4.7561,-3.7698,-5.2585,-20.3291,-13.5523,-16.6339,-20.7608,-22.8208,-15.5748,-14.085,-17.8893,-5.0369,-17.5215,-9.9197,-15.5975,-17.8749,-17.7102,-17.8645,-15.2962,-15.6503,-14.2182,-8.997,-3.7557,-5.0534,-4.9391,-5.2196,-5.1807,-5.0438,-3.1284,-3.6209,-2.5673,-2.4387,-1.0957,-13.1077,-12.0323,-12.7053
