"","3 Y 2017-01-24 to 2020-01-25","3 Y 2017-02-27 to 2020-02-25","3 Y 2017-03-24 to 2020-03-25","3 Y 2017-04-24 to 2020-04-25","3 Y 2017-05-24 to 2020-05-25","3 Y 2017-06-27 to 2020-06-25","3 Y 2017-07-24 to 2020-07-25","3 Y 2017-08-24 to 2020-08-25","3 Y 2017-09-25 to 2020-09-25","3 Y 2017-10-24 to 2020-10-25","3 Y 2017-11-24 to 2020-11-25","3 Y 2017-12-26 to 2020-12-25","3 Y 2018-01-24 to 2021-01-25","3 Y 2018-02-26 to 2021-02-25","3 Y 2018-03-26 to 2021-03-25","3 Y 2018-04-24 to 2021-04-25","3 Y 2018-05-24 to 2021-05-25","3 Y 2018-06-25 to 2021-06-25","3 Y 2018-07-24 to 2021-07-25","3 Y 2018-08-24 to 2021-08-25","3 Y 2018-09-24 to 2021-09-25","3 Y 2018-10-24 to 2021-10-25","3 Y 2018-11-26 to 2021-11-25","3 Y 2018-12-24 to 2021-12-25","3 Y 2019-01-24 to 2022-01-25","3 Y 2019-02-25 to 2022-02-25","3 Y 2019-03-25 to 2022-03-25","3 Y 2019-04-24 to 2022-04-25"
"P Information Ratio",0.82,0.75,1.43,0.53,0.7,0.52,0.44,1.01,1.12,0.77,0.63,1.38,0.57,0.24,0.53,0.74,1.5,1.68,1.53,1.54,1.26,0.98,0.74,0.5,0.68,1.77,1.81,2.37
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.42,0.4,0.53,0.41,0.65,0.5,0.45,0.56,0.79,0.5,0.5,0.87,0.42,0.15,0.28,0.51,1.39,1.42,1.53,1.35,1.19,0.78,0.55,0.4,0.45,1.22,1.33,2.74
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.1,0.96,1.02,0.99,0.95,0.96,0.89,0.93,1.05,0.97,0.88,1.03,1.05,0.87,1.02,1.02,1.15,1.08,1.1,1.05,1.09,1.1,0.93,1,1.07,1.15,1.03,0.9
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",66.98,68.36,74.33,89.04,81.43,82.92,81.83,80.82,84.9,86.89,85.1,86.36,89.92,84.83,89.22,87.17,79.96,78.15,76.25,80.12,81.86,75.14,84.35,84.96,87.44,84.67,83.48,48.16
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-16.9351,-17.0035,-31.3119,-33.7188,-32.712,-33.9576,-33.1113,-34.1027,-35.9477,-34.0055,-31.2981,-34.3388,-34.5838,-30.6602,-34.2489,-35.4581,-37.7714,-36.2831,-37.1129,-36.1007,-36.8767,-37.1702,-35.8723,-36.4184,-38.1349,-37.9078,-35.5235,-32.5152
"B Max Drawdown",-13.9789,-13.9789,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055
"MD DIFF(P-B)",-2.9562,-3.0246,6.9936,4.5867,5.5935,4.3479,5.1942,4.2028,2.3578,4.3,7.0074,3.9667,3.72170000000001,7.6453,4.0566,2.8474,0.534100000000002,2.0224,1.1926,2.2048,1.4288,1.1353,2.4332,1.8871,0.1706,0.3977,2.782,5.7903
