"","2 Y 2017-07-24 to 2019-07-25","2 Y 2017-08-24 to 2019-08-25","2 Y 2017-09-25 to 2019-09-25","2 Y 2017-10-24 to 2019-10-25","2 Y 2017-11-24 to 2019-11-25","2 Y 2017-12-26 to 2019-12-25","2 Y 2018-01-24 to 2020-01-25","2 Y 2018-02-26 to 2020-02-25","2 Y 2018-03-26 to 2020-03-25","2 Y 2018-04-24 to 2020-04-25","2 Y 2018-05-24 to 2020-05-25","2 Y 2018-06-25 to 2020-06-25","2 Y 2018-07-24 to 2020-07-25","2 Y 2018-08-24 to 2020-08-25","2 Y 2018-09-24 to 2020-09-25","2 Y 2018-10-24 to 2020-10-25","2 Y 2018-11-26 to 2020-11-25","2 Y 2018-12-24 to 2020-12-25","2 Y 2019-01-24 to 2021-01-25","2 Y 2019-02-25 to 2021-02-25","2 Y 2019-03-25 to 2021-03-25","2 Y 2019-04-24 to 2021-04-25","2 Y 2019-05-24 to 2021-05-25","2 Y 2019-06-24 to 2021-06-25","2 Y 2019-07-24 to 2021-07-25","2 Y 2019-08-26 to 2021-08-25","2 Y 2019-09-24 to 2021-09-25","2 Y 2019-10-24 to 2021-10-25","2 Y 2019-11-25 to 2021-11-25","2 Y 2019-12-24 to 2021-12-25","2 Y 2020-01-24 to 2022-01-25","2 Y 2020-02-24 to 2022-02-25","2 Y 2020-03-24 to 2022-03-25","2 Y 2020-04-24 to 2022-04-25"
"P Information Ratio",0.43,0.25,0.45,0.02,0.72,0.68,1.28,1.33,1.07,0.6,0.5,0.81,0.79,0.91,1.05,1.08,1.51,1.52,2.12,0.49,2.95,2.3,2.55,3.62,1.74,2.13,1.5,1.68,1.44,1.77,2.36,2.21,0.48,0.97
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.86,0.02,0.54,-0.17,1.01,0.93,1.38,1.24,1.46,1.12,0.88,0.64,1.02,0.95,1.27,1.09,1.33,1.27,1.69,0.86,2.04,3.4,3.32,7.61,2.04,1.72,1.61,3.68,1.79,4.25,4.6,4.88,2.04,2.04
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.35,1.22,1.43,1.29,1.47,1.49,1.45,1.3,1.32,1.13,1.14,1.13,1.1,1.03,0.86,0.87,0.94,0.85,1.06,0.79,1,1.28,1.36,1.33,1.18,1.1,0.9,1.19,1.17,1.22,1.31,1.31,0.8,0.49
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",43.67,48.38,46.66,43.48,53.78,51.55,59.14,56.09,52.54,79.17,89.32,89.2,83.24,71.77,65.79,77.96,80.38,78.27,85.59,78.23,82.51,67.3,72.47,45.02,73.05,74.48,73.92,40.31,55.69,37.19,43.03,46.56,19.09,6.35
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-22.1969,-21.5654,-19.8967,-23.8973,-21.2117,-22.7521,-20.2092,-16.2182,-40.1962,-38.164,-36.7309,-36.2962,-36.5732,-36.016,-34.1313,-32.2233,-32.359,-30.7952,-33.9015,-27.9997,-34.3491,-39.7736,-40.9325,-39.4094,-36.1758,-36.4268,-32.7432,-36.3061,-38.1146,-38.0972,-40.065,-37.4472,-18.8362,-19.171
"B Max Drawdown",-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-37.6068,-35.4525,-14.3334,-14.3334
"MD DIFF(P-B)",-8.218,-7.5865,-5.9178,-9.9184,-7.2328,-8.7732,-6.2303,-2.2393,-1.8907,0.141500000000001,1.5746,2.0093,1.7323,2.2895,4.1742,6.0822,5.9465,7.5103,4.404,10.3058,3.9564,-1.4681,-2.627,-1.1039,2.1297,1.8787,5.5623,1.9994,0.190899999999999,0.208300000000001,-2.4582,-1.9947,-4.5028,-4.8376
