"","2 Y 2017-05-30 to 2019-06-04","2 Y 2017-06-30 to 2019-07-05","2 Y 2017-07-31 to 2019-08-04","2 Y 2017-08-30 to 2019-09-04","2 Y 2017-10-02 to 2019-10-05","2 Y 2017-10-30 to 2019-11-04","2 Y 2017-11-30 to 2019-12-05","2 Y 2018-01-02 to 2020-01-04","2 Y 2018-01-30 to 2020-02-04","2 Y 2018-03-02 to 2020-03-07","2 Y 2018-04-02 to 2020-04-04","2 Y 2018-04-30 to 2020-05-05","2 Y 2018-05-30 to 2020-06-04","2 Y 2018-07-03 to 2020-07-05","2 Y 2018-07-30 to 2020-08-04","2 Y 2018-08-30 to 2020-09-04","2 Y 2018-10-01 to 2020-10-05","2 Y 2018-10-30 to 2020-11-04","2 Y 2018-11-30 to 2020-12-05","2 Y 2018-12-31 to 2021-01-04","2 Y 2019-01-30 to 2021-02-04","2 Y 2019-03-04 to 2021-03-07","2 Y 2019-04-01 to 2021-04-04","2 Y 2019-04-30 to 2021-05-05","2 Y 2019-05-30 to 2021-06-04","2 Y 2019-07-02 to 2021-07-05","2 Y 2019-07-30 to 2021-08-04","2 Y 2019-08-30 to 2021-09-04","2 Y 2019-09-30 to 2021-10-05","2 Y 2019-10-30 to 2021-11-04","2 Y 2019-12-02 to 2021-12-05","2 Y 2019-12-30 to 2022-01-04","2 Y 2020-01-30 to 2022-02-04","2 Y 2020-03-02 to 2022-03-06","2 Y 2020-03-30 to 2022-04-04","2 Y 2020-04-30 to 2022-05-05","2 Y 2020-06-01 to 2022-06-04","2 Y 2020-06-30 to 2022-07-05","2 Y 2020-07-30 to 2022-08-04","2 Y 2020-08-31 to 2022-09-04"
"P Information Ratio",0.65,0.45,0.5,0.88,1.11,1.02,0.99,0.69,1.08,0.66,0.88,0.63,0.37,0.38,0.05,-0.02,-0.64,-0.22,-0.51,0.39,0.03,0.27,0.24,0.31,-0.13,-0.07,-0.61,-0.57,-0.33,-0.06,-0.42,-0.4,-0.34,-0.37,-0.29,-0.54,-0.46,0.41,0.28,0.6
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.32,0.32,0.26,0.38,0.38,0.33,0.44,0.3,0.51,0.26,0.2,0.28,0.21,0.22,0.08,0.08,-0.32,-0.17,-0.1,0.42,0.08,0.06,0.15,-0.04,0.03,0.14,-0.34,-0.15,-0.08,-0.04,-0.16,-0.19,0.03,0.09,-0.21,-0.1,0.06,0.22,0.2,0.2
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",0.67,0.71,0.8,0.76,0.71,0.73,0.74,0.81,0.66,0.68,0.81,0.95,0.94,0.94,0.94,0.91,0.96,1.04,0.92,0.86,0.93,0.91,0.86,0.99,0.94,0.96,1.02,0.95,0.96,0.96,0.9,0.97,0.88,0.92,1.04,0.97,0.95,0.97,0.98,1.09
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",84.74,87.44,92.37,90.1,84.31,88.81,89.42,91.45,83.59,75.73,87.18,93.01,89.79,92.56,93.52,94.01,94.81,94.51,96.98,77.97,83.87,82.7,82.72,93.27,89.59,86.72,84.83,84.66,84.18,82.58,83.92,87.68,78.03,68.32,77.36,74.46,70.97,78.56,76.53,79.12
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-9.0019,-10.1856,-12.1225,-11.5386,-11.5022,-11.2663,-11.4066,-12.9977,-10.7272,-10.9774,-30.4292,-31.2532,-30.8811,-30.937,-31.6994,-31.7646,-33.5675,-34.0544,-31.1066,-28.1287,-29.634,-29.4737,-28.7988,-31.046,-30.3579,-30.7622,-31.6338,-30.0191,-29.9399,-30.3546,-29.6894,-31.8302,-30.2612,-27.5764,-6.6569,-6.6377,-10.4313,-14.5908,-15.5514,-14.5118
"B Max Drawdown",-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4447,-13.4446,-13.4446,-13.4446,-13.4446,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-31.3526,-7.7678,-7.7678,-10.2681,-14.7947,-16.7839,-16.7839
"MD DIFF(P-B)",4.4427,3.259,1.3221,1.906,1.9424,2.1784,2.038,0.446899999999999,2.7174,2.4672,5.2973,4.4733,4.8454,4.7895,4.0271,3.9619,2.159,1.6721,4.6199,7.5978,6.0925,6.2528,6.9277,4.6805,5.3686,4.9643,4.0927,5.7074,5.7866,5.3719,6.0371,3.8963,5.4653,3.7762,1.1109,1.1301,-0.1632,0.203900000000001,1.2325,2.2721
