"","2 Y 2018-05-29 to 2020-06-03","2 Y 2018-06-29 to 2020-07-04","2 Y 2018-07-30 to 2020-08-03","2 Y 2018-08-29 to 2020-09-03","2 Y 2018-10-01 to 2020-10-04","2 Y 2018-10-29 to 2020-11-03","2 Y 2018-11-29 to 2020-12-04","2 Y 2018-12-31 to 2021-01-03","2 Y 2019-01-29 to 2021-02-03","2 Y 2019-03-01 to 2021-03-06","2 Y 2019-03-29 to 2021-04-03","2 Y 2019-04-29 to 2021-05-04","2 Y 2019-05-29 to 2021-06-03","2 Y 2019-07-02 to 2021-07-04","2 Y 2019-07-29 to 2021-08-03","2 Y 2019-08-29 to 2021-09-03","2 Y 2019-09-30 to 2021-10-04","2 Y 2019-10-29 to 2021-11-03","2 Y 2019-11-29 to 2021-12-04","2 Y 2019-12-30 to 2022-01-03","2 Y 2020-01-29 to 2022-02-03","2 Y 2020-03-02 to 2022-03-06","2 Y 2020-03-30 to 2022-04-03","2 Y 2020-04-29 to 2022-05-04","2 Y 2020-05-29 to 2022-06-03","2 Y 2020-06-29 to 2022-07-04","2 Y 2020-07-29 to 2022-08-03","2 Y 2020-08-31 to 2022-09-03"
"P Alpha Stat",0.91,1.16,1.32,0.87,0.83,0.93,0.64,0.96,0.86,0.72,0.89,0.6,0.34,0.28,0.28,0.51,0.23,0.33,0.2,0.09,0.41,0.52,1.08,0.86,0.9,0.86,0.55,0.72
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.23,1.25,1.27,1.17,1.15,1.26,1.29,1.22,1.24,1.23,1.25,1.19,1.35,1.2,1.25,1.44,1.39,1.35,1.41,1.37,1.36,1.42,1.48,1.23,1.2,1.04,1.21,1.16
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",82.41,86.22,76.76,87.23,85.65,85.84,86.5,70.24,73.71,82.09,77.69,66.88,77.23,75.91,76.29,87.97,91.47,89.11,89.14,91,89.65,75.56,68.45,71.1,70.26,69.86,74.11,72.49
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-35.1244,-35.1553,-33.5942,-33.9987,-33.4266,-34.4819,-36.2554,-34.0242,-33.0179,-34.6691,-33.858,-32.7563,-36.936,-34.1034,-34.4047,-39.0884,-37.3831,-38.1085,-37.9501,-37.6669,-37.3694,-33.3872,-7.9784,-9.4529,-12.2434,-15.6572,-20.0774,-20.031
"B Max Drawdown",-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-31.3526,-7.7678,-7.7678,-10.2681,-14.7947,-16.7839,-16.7839
"MD DIFF(P-B)",0.6021,0.571200000000005,2.1323,1.7278,2.2999,1.2446,-0.5289,1.7023,2.7086,1.0574,1.8685,2.9702,-1.2095,1.6231,1.3218,-3.3619,-1.6566,-2.382,-2.2236,-1.9404,-1.6429,-2.0346,-0.210599999999999,-1.6851,-1.9753,-0.862499999999999,-3.2935,-3.2471
