"","1 Y 2016-03-01 to 2017-03-06","1 Y 2016-04-01 to 2017-04-06","1 Y 2016-05-02 to 2017-05-06","1 Y 2016-06-01 to 2017-06-06","1 Y 2016-07-04 to 2017-07-06","1 Y 2016-08-02 to 2017-08-06","1 Y 2016-09-01 to 2017-09-06","1 Y 2016-10-03 to 2017-10-06","1 Y 2016-11-01 to 2017-11-06","1 Y 2016-12-01 to 2017-12-06","1 Y 2017-01-03 to 2018-01-06","1 Y 2017-02-01 to 2018-02-06","1 Y 2017-03-01 to 2018-03-06","1 Y 2017-04-03 to 2018-04-06","1 Y 2017-05-01 to 2018-05-06","1 Y 2017-06-01 to 2018-06-06","1 Y 2017-07-04 to 2018-07-06","1 Y 2017-08-01 to 2018-08-06","1 Y 2017-09-01 to 2018-09-06","1 Y 2017-10-02 to 2018-10-06","1 Y 2017-11-01 to 2018-11-06","1 Y 2017-12-01 to 2018-12-06","1 Y 2018-01-02 to 2019-01-06","1 Y 2018-02-01 to 2019-02-06","1 Y 2018-03-01 to 2019-03-06","1 Y 2018-04-02 to 2019-04-06","1 Y 2018-05-01 to 2019-05-06","1 Y 2018-06-01 to 2019-06-06","1 Y 2018-07-03 to 2019-07-06","1 Y 2018-08-01 to 2019-08-06","1 Y 2018-09-04 to 2019-09-06","1 Y 2018-10-01 to 2019-10-06","1 Y 2018-11-01 to 2019-11-06","1 Y 2018-12-03 to 2019-12-06","1 Y 2019-01-02 to 2020-01-06","1 Y 2019-02-01 to 2020-02-06","1 Y 2019-03-01 to 2020-03-06","1 Y 2019-04-01 to 2020-04-06","1 Y 2019-05-01 to 2020-05-06","1 Y 2019-06-03 to 2020-06-06","1 Y 2019-07-02 to 2020-07-06","1 Y 2019-08-01 to 2020-08-06","1 Y 2019-09-03 to 2020-09-06","1 Y 2019-10-01 to 2020-10-06","1 Y 2019-11-01 to 2020-11-06","1 Y 2019-12-02 to 2020-12-06","1 Y 2020-01-02 to 2021-01-06","1 Y 2020-02-03 to 2021-02-06","1 Y 2020-03-02 to 2021-03-06","1 Y 2020-04-01 to 2021-04-06","1 Y 2020-05-01 to 2021-05-06","1 Y 2020-06-01 to 2021-06-06","1 Y 2020-07-02 to 2021-07-06","1 Y 2020-08-04 to 2021-08-06","1 Y 2020-09-01 to 2021-09-06","1 Y 2020-10-01 to 2021-10-06","1 Y 2020-11-02 to 2021-11-06","1 Y 2020-12-01 to 2021-12-06","1 Y 2021-01-04 to 2022-01-06","1 Y 2021-02-01 to 2022-02-06","1 Y 2021-03-01 to 2022-03-06","1 Y 2021-04-01 to 2022-04-06","1 Y 2021-05-03 to 2022-05-06","1 Y 2021-06-01 to 2022-06-06","1 Y 2021-07-02 to 2022-07-06","1 Y 2021-08-03 to 2022-08-06","1 Y 2021-09-01 to 2022-09-06"
"P Information Ratio",0.94,1.5,1.11,-0.48,1.12,-0.11,-0.67,-0.42,0.35,0.21,0.06,-0.45,-0.23,-0.21,0.08,0.1,0.71,-0.22,2.82,0.11,0.69,0.18,0.62,0.62,0.26,1.32,0.9,0.94,1.25,1.32,1.98,1.8,0.66,0.22,-0.01,-0.11,-1.46,-1.18,-0.22,-0.46,-0.78,-0.52,-0.38,-0.58,-0.54,0.05,0.31,0.9,1.42,2.71,2.22,1.45,1.69,1.08,1.59,2.02,3.01,0.93,0.31,0.12,0.56,-0.22,-0.42,-1.15,0.14,-0.89,-1
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.58,0.34,0.52,0.84,1.78,-0.35,-0.4,-0.06,0.57,0.55,0.71,-0.2,-0.51,-0.23,-0.47,-0.15,0.05,-0.56,3.87,0.25,0.47,0.08,0.42,1.2,0.62,1.08,1.41,1.08,1.42,1.87,3.42,2.68,1.62,0.17,0.04,-0.23,-1.72,-1.58,0.3,-1.39,-0.59,-0.55,-0.16,-1.29,-0.12,-0.37,0.73,2,1.13,1.56,0.88,0.88,0.62,-0.47,-0.17,-0.39,2.5,1.04,0.66,0.35,-0.1,-0.18,-0.76,-1.01,-0.27,-0.64,-0.56
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",2.44,1.42,0.95,0.38,-0.49,0.92,1.22,1.23,0.16,-0.09,-0.19,0.14,0.93,0.73,1.03,1.34,1.48,1.26,0.8,1.32,0.67,0.54,0.52,0.32,0.17,0.7,0.34,0.06,0.47,0.28,-0.08,0.06,0.21,0.59,1.02,0.76,1.25,1.62,1.5,1.93,1.97,1.67,1.7,1.52,1.59,1.61,1.49,1.67,1.58,1.96,1.82,1.72,2.32,2.51,2.39,2.52,0.66,1.14,0.87,1.18,0.94,1.12,1.27,1.4,1.05,1.06,1.07
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",10.12,3.54,8.68,-2.81,-8.15,16.29,28.31,50.24,-8.17,-10.67,-9.95,-10.47,12.18,0.22,18.3,44.79,51.57,26.07,-4.19,23.09,10.15,7.39,17.28,9.55,-4.23,54.82,17.68,-10.41,62.4,20.23,-9.72,-10.82,-5.38,22.18,22.45,7.82,33.28,84.94,77.95,84.64,85.38,76.52,72.45,78.35,70.65,78.47,86.76,84.96,74.82,45.79,49.33,51.5,65.7,69.24,63.04,52.36,-3.37,15.81,16.3,32.96,19.07,30.03,48.96,62.88,58.43,59.66,57.96
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-10.815,-10.0266,-8.3151,-8.1442,-6.3192,-12.2601,-11.0982,-8.873,-6.3941,-6.3994,-8.2318,-9.1934,-13.287,-15.8247,-16.1285,-15.2899,-14.7542,-16.8516,-19.8325,-15.3476,-17.5512,-11.653,-11.0639,-10.8025,-12.2952,-9.3916,-7.7578,-11.0761,-6.0437,-7.2341,-6.7178,-7.0358,-9.7959,-10.7111,-11.6027,-11.6206,-23.367,-51.6513,-41.0606,-53.5257,-54.5518,-52.2388,-53.3948,-48.0741,-52.5496,-49.5039,-46.1434,-50.2468,-41.2231,-15.7624,-15.2234,-14.0998,-12.6669,-13.0706,-11.011,-13.9547,-13.358,-12.5189,-4.2964,-6.664,-9.1867,-9.2665,-11.3425,-14.0703,-15.9619,-19.9953,-23.1811
"B Max Drawdown",-5.0055,-5.0055,-5.0055,-5.0055,-5.2471,-5.3589,-6.2126,-6.3052,-6.3052,-6.3052,-6.3052,-6.9421,-8.6428,-8.6428,-8.6428,-8.6428,-8.6428,-8.6428,-8.6428,-8.6428,-10.8629,-10.8629,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-12.9881,-11.5827,-10.6565,-7.2553,-7.0974,-4.4131,-4.4131,-8.4037,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-31.3526,-7.7678,-7.7678,-7.7678,-7.7678,-7.7678,-7.1116,-6.0911,-3.8238,-5.1782,-5.1782,-5.1782,-5.1782,-5.1782,-6.2958,-10.2681,-14.7947,-16.7839,-16.7839
"MD DIFF(P-B)",-5.8095,-5.0211,-3.3096,-3.1387,-1.0721,-6.9012,-4.8856,-2.5678,-0.0888999999999998,-0.0941999999999998,-1.9266,-2.2513,-4.6442,-7.1819,-7.4857,-6.6471,-6.1114,-8.2088,-11.1897,-6.7048,-6.6883,-0.790100000000001,2.3807,2.6421,1.1494,4.053,5.6868,2.3685,7.4009,5.754,4.8649,3.6207,-2.5406,-3.6137,-7.1896,-7.2075,-14.9633,-15.9248,-5.3341,-17.7992,-18.8253,-16.5123,-17.6683,-12.3476,-16.8231,-13.7774,-10.4169,-14.5203,-9.8705,-7.9946,-7.4556,-6.332,-4.8991,-5.3028,-3.8994,-7.8636,-9.5342,-7.3407,0.8818,-1.4858,-4.0085,-4.0883,-5.0467,-3.8022,-1.1672,-3.2114,-6.3972
