"","2 Y 2017-05-30 to 2019-06-04","2 Y 2017-06-30 to 2019-07-05","2 Y 2017-07-31 to 2019-08-04","2 Y 2017-08-30 to 2019-09-04","2 Y 2017-10-02 to 2019-10-05","2 Y 2017-10-30 to 2019-11-04","2 Y 2017-11-30 to 2019-12-05","2 Y 2018-01-02 to 2020-01-04","2 Y 2018-01-30 to 2020-02-04","2 Y 2018-03-02 to 2020-03-07","2 Y 2018-04-02 to 2020-04-04","2 Y 2018-04-30 to 2020-05-05","2 Y 2018-05-30 to 2020-06-04","2 Y 2018-07-03 to 2020-07-05","2 Y 2018-07-30 to 2020-08-04","2 Y 2018-08-30 to 2020-09-04","2 Y 2018-10-01 to 2020-10-05","2 Y 2018-10-30 to 2020-11-04","2 Y 2018-11-30 to 2020-12-05","2 Y 2018-12-31 to 2021-01-04","2 Y 2019-01-30 to 2021-02-04","2 Y 2019-03-04 to 2021-03-07","2 Y 2019-04-01 to 2021-04-04","2 Y 2019-04-30 to 2021-05-05","2 Y 2019-05-30 to 2021-06-04","2 Y 2019-07-02 to 2021-07-05","2 Y 2019-07-30 to 2021-08-04","2 Y 2019-08-30 to 2021-09-04","2 Y 2019-09-30 to 2021-10-05","2 Y 2019-10-30 to 2021-11-04","2 Y 2019-12-02 to 2021-12-05","2 Y 2019-12-30 to 2022-01-04","2 Y 2020-01-30 to 2022-02-04","2 Y 2020-03-02 to 2022-03-06","2 Y 2020-03-30 to 2022-04-04","2 Y 2020-04-30 to 2022-05-05","2 Y 2020-06-01 to 2022-06-04","2 Y 2020-06-30 to 2022-07-05","2 Y 2020-07-30 to 2022-08-04","2 Y 2020-08-31 to 2022-09-04"
"P Information Ratio",1.2,1.35,1.29,0.92,0.72,0.63,0.9,0.83,1.18,0.48,0.33,0.77,0.68,1.04,1.15,0.92,1.5,1.96,1.69,1.82,1.9,1.52,1.22,0.96,0.73,0.71,0.96,1.04,0.84,0.89,0.66,0.75,-0.17,-0.44,-0.51,-1.39,-1.11,-1.04,-1.11,-1.05
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",2.39,2.24,1.84,1.81,1,1.08,0.74,1.19,0.75,0.48,0.87,1.08,1.53,1.98,2.01,1.87,1.84,1.96,1.74,1.45,1.54,1.49,1.44,0.92,0.63,0.52,0.88,1.08,0.77,0.42,0.74,0.65,-0.15,-1.15,-0.83,-1.06,-1.36,-1.19,-0.82,-1.21
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.69,1.62,1.36,1.66,1.48,1.27,1.09,0.75,1.2,1.46,1.34,1.49,1.51,1.56,1.59,1.51,1.44,1.21,1.38,1.39,1.35,1.31,1.45,1.44,1.25,1.31,1.19,1.2,1.29,1.19,1.17,1.24,1.21,1.5,1.17,0.93,0.96,0.69,0.66,0.71
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",39.97,40.43,35.1,40.25,39.8,35.58,35.99,21.99,50.97,64.19,77.84,76.44,77.95,79.97,80.24,79.11,82.85,75.35,82.07,80.5,80.63,80.54,83.44,81.88,78.78,80.4,73.43,82.45,78.65,81.06,71.56,76.63,77.65,54,49.27,31.47,32.92,30.34,25.67,26.92
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-26.1194,-25.2427,-21.7913,-25.4646,-23.8709,-21.5932,-18.3664,-18.1526,-20.3317,-21.0225,-35.5792,-34.9648,-34.4726,-35.3625,-35.8662,-34.4012,-33.6137,-27.597,-31.8476,-33.1395,-32.8492,-31.309,-34.304,-34.8074,-31.2748,-32.6787,-30.33,-31.0567,-31.6408,-31.7213,-29.2476,-31.2904,-30.8561,-26.3379,-15.2329,-16.1023,-22.5325,-19.063,-20.9163,-21.2297
"B Max Drawdown",-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4447,-13.4446,-13.4446,-13.4446,-13.4446,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-31.3526,-7.7678,-7.7678,-10.2681,-14.7947,-16.7839,-16.7839
"MD DIFF(P-B)",-12.6748,-11.7981,-8.3467,-12.02,-10.4263,-8.1485,-4.9218,-4.708,-6.8871,-7.5779,0.147300000000001,0.761700000000005,1.2539,0.364000000000004,-0.139699999999998,1.3253,2.1128,8.1295,3.8789,2.587,2.8773,4.4175,1.4225,0.9191,4.4517,3.0478,5.3965,4.6698,4.0857,4.0052,6.4789,4.4361,4.8704,5.0147,-7.4651,-8.3345,-12.2644,-4.2683,-4.1324,-4.4458
